[0] 1:59	Oh.
[3196] 2:25:23	of the um
[3197] 2:25:25	view that the
[3198] 2:25:26	that it's not three persons in one God.
[3199] 2:25:30	The three persons are the one God.
[3200] 2:25:35	So, you know, even that subtle shift in
[3201] 2:25:37	in in verbage,
[3202] 2:25:39	you know, can bring new understanding.
[3203] 2:25:42	It's If you take one of the persons
[3204] 2:25:43	away, you don't have God anymore.
[3205] 2:25:46	Definitionally, God is three persons.
[3206] 2:25:53	And that's
[3207] 2:25:57	Who is that?
[3208] 2:26:02	You mean Jakes?
[3209] 2:26:04	TD Jakes, the uh
[3210] 2:26:06	the um
[3211] 2:26:08	a Oneness Pentecostal.
[3212] 2:26:10	Okay.
[3213] 2:26:11	Which is a damnable heresy.
[3214] 2:26:13	We're just adding that.
[3215] 2:26:16	There's an example of a baptism that
[3216] 2:26:17	wouldn't be valid.
[3217] 2:26:18	Okay? Uh a a a Oneness heresy
[3218] 2:26:22	um Oneness Pentecostalism is modalism.
[3219] 2:26:27	It's modalism. Flat out. It's flat out
[3220] 2:26:29	modalism.
[3221] 2:26:30	And uh Oneness Pentecostals are not
[3222] 2:26:34	Christians.
[3223] 2:26:40	So,
[3224] 2:26:41	uh definitely
[3225] 2:26:44	Yeah.
[3226] 2:26:47	Um Mama says, "Three persons are the one
[3227] 2:26:50	God." Huh.
[3228] 2:26:52	Yeah, grammatically at least that lines
[3229] 2:26:54	up lines up better. Yeah, it does.
[3230] 2:26:58	Um Armargo says, "It's very deep. Deep
[3231] 2:27:01	is calling on deep."
[3232] 2:27:02	>> [laughter]
[3233] 2:27:03	>> It is, and there have been
[3234] 2:27:06	conferences
[3235] 2:27:09	on so
[3236] 2:27:11	Nobody
[3237] 2:27:12	has gotten it.
[3238] 2:27:14	Oh, here's the answer.
[3239] 2:27:18	Yeah, Luis Sandoval says, "Heiser used
[3240] 2:27:20	an example that compares the Trinity as
[3241] 2:27:22	to three perfect clones
[3242] 2:27:23	who have distinct person persona and
[3243] 2:27:26	roles."
[3244] 2:27:27	That's tritheism, Patrick.
[3245] 2:27:29	>> [laughter]
[3246] 2:27:34	>> That's tritheism.
[3247] 2:27:38	There's an element to the Trinity
[3248] 2:27:41	that we just have to
[3249] 2:27:43	as humans Yeah. we're not going
[3250] 2:27:46	we're not going to
[3251] 2:27:49	Yeah.
[3252] 2:27:53	Uh Mama says I have never heard the
[3253] 2:27:55	Pentecostal church is heretical. Not No,
[3254] 2:27:57	oneness Pentecostalism. That oneness is
[3255] 2:28:01	It's not just Pentecostalism. There are
[3256] 2:28:03	Pentecostal churches out there that are
[3257] 2:28:05	perfectly orthodox, okay?
[3258] 2:28:08	The Foursquare Pentecostal church is
[3259] 2:28:10	orthodox.
[3260] 2:28:11	Um Assemblies of God can get strange
[3261] 2:28:14	sometimes, but it's still generally
[3262] 2:28:16	orthodox.
[3263] 2:28:18	Oneness Pentecostalism
[3264] 2:28:21	is a dangerous heresy.
[3265] 2:28:24	Cuz here's what oneness Pentecostalism
[3266] 2:28:26	does.
[3267] 2:28:28	It says the Father
[3268] 2:28:30	became the Son
[3269] 2:28:31	who became the Holy Spirit.
[3270] 2:28:34	Okay?
[3271] 2:28:35	It's God switching hats.
[3272] 2:28:40	One point he's the Father, switches his
[3273] 2:28:42	hat, now he's the Son, switches his hat
[3274] 2:28:44	again, now he's now he's the Holy
[3275] 2:28:46	Spirit.
[3276] 2:28:48	Yeah, it's oneness Pentecostalism that's
[3277] 2:28:51	the problem.
[3278] 2:28:53	Um not any old Pentecostalism. There's a
[3279] 2:28:56	lot of Pentecostal churches out there.
[3280] 2:28:58	A lot of most of them are orthodox, but
[3281] 2:29:02	oneness ones aren't.
[3282] 2:29:13	Uh Luis Sandoval asks, "Do Christians
[3283] 2:29:15	when they go to heaven will learn about
[3284] 2:29:17	the Trinity?"
[3285] 2:29:18	Sure. They'll be able to explore the
[3286] 2:29:21	deep mysteries of the
[3287] 2:29:22	Trinity for all eternity. We won't
[3288] 2:29:24	understand it completely still.
[3289] 2:29:26	We'll still be We are still going to be
[3290] 2:29:28	limited human beings even in heaven.
[3291] 2:29:30	But
[3292] 2:29:32	we at least have then have eternity to
[3293] 2:29:33	try to figure it out.
[3294] 2:29:35	And that's going to be fun.
[3295] 2:29:45	Uh Luis Anibal asks, "Dr. Falk, didn't
[3296] 2:29:47	you like 2 weeks ago that you were
[3297] 2:29:49	writing an article on the genealogies of
[3298] 2:29:51	Genesis? If so, when is it going to be
[3299] 2:29:53	published?"
[3300] 2:29:54	In my copious free time.
[3301] 2:29:58	Look, I mean, I've got I've got a lot of
[3302] 2:30:00	of stuff I am working on. Um
[3303] 2:30:04	I still have to get that chapter out to
[3304] 2:30:05	my publisher. You know, they sh-
[3305] 2:30:08	months late on that.
[3306] 2:30:11	Yeah.
[3307] 2:30:14	Yeah, so uh
[3308] 2:30:15	uh the fact is that doing peer-review
[3309] 2:30:17	ar- articles takes a long, long time. In
[3310] 2:30:21	some ways,
[3311] 2:30:22	it was um
[3312] 2:30:26	it was um
[3313] 2:30:27	it's easier to write a book
[3314] 2:30:30	than it is a peer-review article.
[3315] 2:30:32	With a peer-review article, you got to
[3316] 2:30:35	get every turn of phrase right.
[3317] 2:30:38	Everything has got to be cited
[3318] 2:30:40	voluminously, more so than with a book.
[3319] 2:30:43	Um you are just It's It is just crazy
[3320] 2:30:46	how much work is involved in a
[3321] 2:30:48	peer-reviewed article.
[3322] 2:30:50	So,
[3323] 2:30:52	I don't do a lot of them
[3324] 2:30:54	just because of the massive amounts of
[3325] 2:30:56	work involved with doing them.
[3326] 2:30:58	Like I say, it's just a lot easier to
[3327] 2:31:00	write a book.
[3328] 2:31:02	And it's less trouble, too.
[3329] 2:31:04	So,
[3330] 2:31:06	but um I am working on that paper. It
[3331] 2:31:09	will eventually be published uh when I
[3332] 2:31:11	get the time to finish up. So,
[3333] 2:31:14	um but
[3334] 2:31:16	I There's this paper I'm still working
[3335] 2:31:18	on after 4 years
[3336] 2:31:20	just because of of my time commitments.
[3337] 2:31:24	So,
[3338] 2:31:26	um
[3339] 2:31:27	I was hoping to get I was hoping to
[3340] 2:31:29	actually give the uh paper on the Berlin
[3341] 2:31:32	pedestal.
[3342] 2:31:33	Uh but um
[3343] 2:31:35	the ANE didn't want to hear it.
[3344] 2:31:38	>> [laughter]
[3345] 2:31:39	>> Hypocrites.
[3346] 2:31:41	Nasty hypocrites.
[3347] 2:31:43	>> [laughter]
[3348] 2:31:49	>> Yeah, but they are.
[3349] 2:31:54	All right, moving on.
[3350] 2:31:59	Uh
[3351] 2:32:00	Luciana Berlin pedestal? Yeah, the
[3352] 2:32:03	Berlin pedestal.
[3353] 2:32:04	Um
[3354] 2:32:05	it was um this is a theory that was uh
[3355] 2:32:08	put out by um
[3356] 2:32:10	uh Peter van der Veen and Manfred Gorge.
[3357] 2:32:13	Also uh
[3358] 2:32:14	uh Thissen and Well, I believe. Um it's
[3359] 2:32:17	basically the idea that they found this
[3360] 2:32:20	this pedestal
[3361] 2:32:22	at Berlin Museum. It's basically a base
[3362] 2:32:24	of a column
[3363] 2:32:25	uh pillar.
[3364] 2:32:27	And they believe they found the word
[3365] 2:32:29	Israel on it.
[3366] 2:32:31	And they come up with the most wackiest
[3367] 2:32:34	wacko jacko kind of uh interpretation of
[3368] 2:32:38	it in order to get
[3369] 2:32:40	Israel.
[3370] 2:32:42	And from that they say, "Oh, okay, see,
[3371] 2:32:44	we got evidence here of of an early date
[3372] 2:32:47	of Israel, so early Exodus thing."
[3373] 2:32:51	And it's one of those things that the
[3374] 2:32:52	early Exodus guys love.
[3375] 2:32:54	But they will not
[3376] 2:32:56	they will not hear of any criticisms.
[3377] 2:33:00	Cuz they never do.
[3378] 2:33:02	Cuz they're a sound chamber.
[3379] 2:33:03	Essentially, the ANE is a is an echo
[3380] 2:33:06	chamber for
[3381] 2:33:08	um it's an echo chamber for early Exodus
[3382] 2:33:10	thinking.
[3383] 2:33:12	So.
[3384] 2:33:22	Yeah, probably. Yeah, we'll probably be
[3385] 2:33:24	diverting it into to a journal. So,
[3386] 2:33:31	uh common lurker says, "Also, do you
[3387] 2:33:32	intend to publish that paper on the
[3388] 2:33:33	pedestal in another journal?" Yeah,
[3389] 2:33:35	we'll be we'll I'll be publishing it
[3390] 2:33:36	eventually. Um
[3391] 2:33:39	I kind of dusted it off already and took
[3392] 2:33:41	another look at it. So, it's
[3393] 2:33:43	it's just it's just uh I've I've had so
[3394] 2:33:45	many writing commitments in this
[3395] 2:33:47	uh first 6 months that it's been um I've
[3396] 2:33:51	been overwhelmed with things. So,
[3397] 2:34:03	A common lurker asks, "Is it ever a
[3398] 2:34:05	problem to keep your research up to date
[3399] 2:34:07	because it takes so long to publish?"
[3400] 2:34:09	Um it can be sometimes if it's time
[3401] 2:34:11	sensitive. Most of the stuff that I
[3402] 2:34:14	publish isn't time sensitive.
[3403] 2:34:16	So,
[3404] 2:34:18	um
[3405] 2:34:19	it's usually not a problem.
[3406] 2:34:22	Um
[3407] 2:34:27	And frankly, if there's something that's
[3408] 2:34:28	really cutting edge that you miss, a
[3409] 2:34:31	peer reviewer will normally point that
[3410] 2:34:33	out
[3411] 2:34:36	and say, "Hey, you know,
[3412] 2:34:38	you missed this article that you might
[3413] 2:34:39	want to consider for your paper."
[3414] 2:34:42	And you just add it in.
[3415] 2:34:45	It's usually not a problem.
[3416] 2:34:48	And if it ever does become a problem,
[3417] 2:34:50	well, then you fix it.
[3418] 2:34:53	That's one of the reasons why peer
[3419] 2:34:54	review processes can take so long, too,
[3420] 2:34:57	is because they oftentimes
[3421] 2:35:00	there will be new research that comes
[3422] 2:35:02	out and you have to address it in some
[3423] 2:35:04	way.
[3424] 2:35:10	Okay.
[3425] 2:35:21	>> Uh AJ Higgins asks, "I'm taking a gap
[3426] 2:35:23	year in my academic study between
[3427] 2:35:25	undergrad and grad studies. I'm
[3428] 2:35:27	struggling with what to do with that
[3429] 2:35:28	time. Any advice?"
[3430] 2:35:32	Keep studying.
[3431] 2:35:33	Um
[3432] 2:35:36	that's
[3433] 2:35:37	I would
[3434] 2:35:39	Start working on
[3435] 2:35:42	>> [laughter]
[3436] 2:35:43	>> Uh
[3437] 2:35:46	Here's Here's Here's a couple things I
[3438] 2:35:47	will I will actually
[3439] 2:35:49	the best prep to go between undergrad
[3440] 2:35:53	and grad school.
[3441] 2:35:55	Here's what I would really really advise
[3442] 2:35:58	most people to do.
[3443] 2:36:01	Get their English grammar under control.
[3444] 2:36:08	Yours might be fine.
[3445] 2:36:11	Okay, your your grammar might be
[3446] 2:36:13	completely fine.
[3447] 2:36:16	Most students isn't.
[3448] 2:36:19	Like 80% of undergrads do not have
[3449] 2:36:25	a strong handle on English grammar.
[3450] 2:36:30	Learn how to use the comma.
[3451] 2:36:33	Learn how to use a semicolon.
[3452] 2:36:36	Okay? Academics prefer semicolons, by
[3453] 2:36:37	the way, over em dashes, just saying.
[3454] 2:36:40	Okay?
[3455] 2:36:42	Um
[3456] 2:36:44	It's It's probably the one the most
[3457] 2:36:46	important thing you can do to prep for
[3458] 2:36:49	grad school.
[3459] 2:36:51	Is is learn English
[3460] 2:36:54	grammar
[3461] 2:36:55	well.
[3462] 2:36:58	Um
[3463] 2:37:00	It's It It It'll It'll save you a ton
[3464] 2:37:05	of of grief
[3465] 2:37:08	to to really really understand English
[3466] 2:37:13	at a mastery level.
[3467] 2:37:16	Or at least good enough
[3468] 2:37:18	that it's not going to
[3469] 2:37:21	detract from your from your assignments.
[3470] 2:37:24	Because you're going into a master if
[3471] 2:37:26	you're going in a grad studies program,
[3472] 2:37:28	most of what you're going to be doing is
[3473] 2:37:29	writing now.
[3474] 2:37:31	Okay?
[3475] 2:37:34	Um you're going to be doing a lot of
[3476] 2:37:36	writing. You're going to be doing more
[3477] 2:37:37	writing than you probably going to be
[3478] 2:37:39	doing exams.
[3479] 2:37:42	And even exams are going to be a bunch
[3480] 2:37:44	of writing.
[3481] 2:37:48	So you're going to be doing a lot of
[3482] 2:37:50	papers.
[3483] 2:37:51	Awful lot of papers.
[3484] 2:37:53	In fact, this is where
[3485] 2:37:55	um
[3486] 2:37:56	this is the point
[3487] 2:37:58	where you really start being, how do you
[3488] 2:38:02	say, trained for the field.
[3489] 2:38:06	And the way that training is done is by
[3490] 2:38:07	through writing.
[3491] 2:38:09	Essays, short papers,
[3492] 2:38:12	150-word blurbs,
[3493] 2:38:14	um whatever the writing assignment is,
[3494] 2:38:16	you're going to be doing a lot of them.
[3495] 2:38:19	So
[3496] 2:38:20	get your grammar in check so that it
[3497] 2:38:24	doesn't become a future problem.
[3498] 2:38:32	Uh
[3499] 2:38:33	>> [laughter]
[3500] 2:38:36	>> Common Lurker says, "My brother recently
[3501] 2:38:38	took the step to go to post-graduate
[3502] 2:38:40	school.
[3503] 2:38:41	He told me that it takes a while to get
[3504] 2:38:43	back into that grind of studying and
[3505] 2:38:45	taking tests."
[3506] 2:38:47	Yeah, you know, here's the thing, you
[3507] 2:38:48	know, when you're
[3508] 2:38:50	um the amount of tests go down over
[3509] 2:38:53	time.
[3510] 2:38:54	But the stakes get higher.
[3511] 2:38:57	Okay?
[3512] 2:38:58	So it it's like this.
[3513] 2:39:01	The higher you get in in in um the sort
[3514] 2:39:04	of the grad school pyramid,
[3515] 2:39:07	Um
[3516] 2:39:08	the less tests you take,
[3517] 2:39:10	the more writing you do, and the few
[3518] 2:39:12	tests you have count for more.
[3519] 2:39:17	Like, for example, if you have
[3520] 2:39:20	if you have to take, for example, um
[3521] 2:39:22	now, um
[3522] 2:39:24	qualification tests.
[3523] 2:39:27	Um
[3524] 2:39:28	basically,
[3525] 2:39:30	um
[3526] 2:39:31	candidacy tests.
[3527] 2:39:33	Uh those can be high high-stakes tests
[3528] 2:39:36	that require months and months of study
[3529] 2:39:38	to prepare for.
[3530] 2:39:40	Um
[3531] 2:39:42	and you don't want to take those tests
[3532] 2:39:43	lightly at all.
[3533] 2:39:46	Uh your
[3534] 2:39:47	your um
[3535] 2:39:50	thesis defense,
[3536] 2:39:52	your dissertation defense, is a test.
[3537] 2:39:55	It's an oral test, but it's a test.
[3538] 2:39:58	And it's a high-stakes test.
[3539] 2:40:02	So,
[3540] 2:40:05	so, it's like this, you gain more
[3541] 2:40:09	uh as you go up, you you write more and
[3542] 2:40:12	more and more. And you you you you might
[3543] 2:40:15	be starting off, I mean, undergrad is
[3544] 2:40:17	sort of get you started on that process
[3545] 2:40:20	of writing.
[3546] 2:40:22	And most of the time, if you get a 15
[3547] 2:40:24	page essay,
[3548] 2:40:26	um that's considered a huge humongous
[3549] 2:40:28	capstone essay for an undergrad.
[3550] 2:40:31	The capstone on, say, a graduate level
[3551] 2:40:33	program, I'll say a master's program, is
[3552] 2:40:36	50 pages.
[3553] 2:40:38	Okay?
[3554] 2:40:40	When you talk about the capstone of a
[3555] 2:40:43	PhD program, you're talking 500.
[3556] 2:40:48	So,
[3557] 2:40:50	so, each tier as you go up, the work
[3558] 2:40:54	gets
[3559] 2:40:55	it's it's it's not
[3560] 2:40:56	>> incrementally.
[3561] 2:40:58	it gets incrementally
[3562] 2:41:00	either
[3563] 2:41:02	more of it
[3564] 2:41:04	or less of it.
[3565] 2:41:08	As I said, most like for example when
[3566] 2:41:10	you
[3567] 2:41:11	you take a lot of exams in undergrad, a
[3568] 2:41:12	lot of exams in undergrad. You actually
[3569] 2:41:15	do more exams in undergrad than papers.
[3570] 2:41:18	Um generally.
[3571] 2:41:20	But you also take a lot your papers tend
[3572] 2:41:23	to be short in undergrad.
[3573] 2:41:25	Okay, in graduate school you're still
[3574] 2:41:27	taking some exams but it's less.
[3575] 2:41:29	Less and your papers count for more.
[3576] 2:41:34	You get to PhD program,
[3577] 2:41:37	you might not take a single exam until
[3578] 2:41:39	your doctoral defense.
[3579] 2:41:41	And then it everything rides on it.
[3580] 2:41:44	You really wish you could go back to
[3581] 2:41:46	weekly
[3582] 2:41:47	>> [laughter]
[3583] 2:41:47	>> You wish you could go back to weekly
[3584] 2:41:48	exams.
[3585] 2:41:53	Yeah. Mama says 500 is a legit book.
[3586] 2:41:56	Yeah, it is.
[3587] 2:41:57	Well, my PhD dissertation was 750 pages.
[3588] 2:42:05	So,
[3589] 2:42:08	so absolutely it's it's it is a book.
[3590] 2:42:10	You are writing you are in a PhD program
[3591] 2:42:13	making a major contribution to research.
[3592] 2:42:17	Because it's a major contribution, it's
[3593] 2:42:20	got to have it's got to pass what they
[3594] 2:42:22	call the thumb test.
[3595] 2:42:24	If the manuscript lands on the table
[3596] 2:42:26	with a thump,
[3597] 2:42:28	okay, that's the first pass. You know,
[3598] 2:42:30	you've passed the thump test.
[3599] 2:42:33	>> [laughter]
[3600] 2:42:35	>> Okay?
[3601] 2:42:38	So, um
[3602] 2:42:40	Yours
[3603] 2:42:41	Yeah, mine's thumped. It's
[3604] 2:42:44	posted.
[3605] 2:42:45	Yep, they saw my copy. I mean, you're
[3606] 2:42:47	allowed to the one thing you're allowed
[3607] 2:42:48	to bring into your PhD exam is your
[3608] 2:42:51	dissertation.
[3609] 2:42:52	Like you better have a copy of it on
[3610] 2:42:53	you.
[3611] 2:42:55	No, people don't. And you can mark it
[3612] 2:42:57	up. You're it's it's an open book exam.
[3613] 2:43:01	So, you know, I when I came into my
[3614] 2:43:03	dissertation defense, it was all marked
[3615] 2:43:05	up with post-its and bookmarks and
[3616] 2:43:08	highlighting and I had it color-coded. I
[3617] 2:43:11	mean, it was
[3618] 2:43:12	it was a it was a great it was a
[3619] 2:43:16	it was it shocked the examiners how well
[3620] 2:43:18	prepared I was.
[3621] 2:43:22	Yes,
[3622] 2:43:23	yes, A. Marsh his eyebrow twitched. It
[3623] 2:43:25	was a
[3624] 2:43:26	it was a glorious sight.
[3625] 2:43:28	>> [laughter]
[3626] 2:43:30	>> But then you also get the hard
[3627] 2:43:31	questions, too.
[3628] 2:43:33	Cuz they're not going to take it easy on
[3629] 2:43:34	you. Cuz they want to see what you're
[3630] 2:43:36	made of.
[3631] 2:43:38	Um
[3632] 2:43:39	they a good PhD exam
[3633] 2:43:43	basically checks for three things.
[3634] 2:43:47	Is the is the dissertation orig- did
[3635] 2:43:50	they actually write the dissertation?
[3636] 2:43:52	That's the first thing you check.
[3637] 2:43:54	Second thing you check is
[3638] 2:43:57	does the dissertation
[3639] 2:43:59	match uh does it provide a major
[3640] 2:44:01	contribution to scholarship?
[3641] 2:44:05	The third thing you check in a in a PhD
[3642] 2:44:07	examination is the quality of the
[3643] 2:44:09	candidate themselves.
[3644] 2:44:12	Is the candidate competent
[3645] 2:44:15	to be a peer as a PhD?
[3646] 2:44:18	They pass those three, you're supposed
[3647] 2:44:20	to give them a pass.
[3648] 2:44:22	So
[3649] 2:44:25	So, absolutely, it's
[3650] 2:44:28	uh the game the entire game changes when
[3651] 2:44:31	you go from undergrad to
[3652] 2:44:34	masters to PhD. And each time the game
[3653] 2:44:37	changes just a little bit differently.
[3654] 2:44:40	So
[3655] 2:44:42	So, AJ, um what I would recommend, as I
[3656] 2:44:44	said
[3657] 2:44:45	is if you're going from from undergrad
[3658] 2:44:47	to grad
[3659] 2:44:49	get
[3660] 2:44:50	get books like uh on on uh writing well
[3661] 2:44:54	like but I think his name is
[3662] 2:44:56	Zissner I think is his name.
[3663] 2:44:58	That's
[3664] 2:45:02	Each shoots and leaves is is a is a fun
[3665] 2:45:04	book. But um
[3666] 2:45:07	Also get a good guide on on on the rules
[3667] 2:45:10	of grammar. Um there was one that was
[3668] 2:45:11	spiral bound that I really liked. I
[3669] 2:45:13	can't remember the name of it. Um but
[3670] 2:45:15	just that goes over the whole all 50
[3671] 2:45:18	uses of the comma.
[3672] 2:45:22	>> [laughter]
[3673] 2:45:23	>> Yeah, 50 uses of the comma.
[3674] 2:45:27	Who thought it was a good idea to
[3675] 2:45:29	overload the comma with with so many
[3676] 2:45:31	different uses?
[3677] 2:45:34	That would be typesetters.
[3678] 2:45:37	>> [laughter]
[3679] 2:45:43	>> But yeah, that's the best thing you can
[3680] 2:45:45	do right now to prepare for grad school.
[3681] 2:45:48	Is get your grammar in order. It's the
[3682] 2:45:50	hardest thing for Americans to do.
[3683] 2:45:53	It's um
[3684] 2:45:56	It can always use to probably some
[3685] 2:45:57	tweaking. So
[3686] 2:46:04	So yeah, I hope that helps. Thank you
[3687] 2:46:06	for the question.
[3688] 2:46:13	Okay.
[3689] 2:46:27	Harry Stark asks, do Christians and Jews
[3690] 2:46:30	have a divine right to the land of
[3691] 2:46:31	Israel?
[3692] 2:46:33	Christians don't. The promise wasn't
[3693] 2:46:35	made to Christians.
[3694] 2:46:38	Uh the promise of the land was given to
[3695] 2:46:40	the sons of Jacob. That's what the
[3696] 2:46:42	promise was.
[3697] 2:46:43	Modern Jews as say the descendants of
[3698] 2:46:46	the sons of Jacob
[3699] 2:46:48	have a right to to the land.
[3700] 2:46:53	Do they have a divine right? Well,
[3701] 2:46:55	that's another question.
[3702] 2:46:57	Um but they have a claim to it.
[3703] 2:47:00	And they do have a claim to it because
[3704] 2:47:02	they've never actually left the land.
[3705] 2:47:05	Um now there's a lot of diaspora Jews,
[3706] 2:47:08	a lot of them, and they're returning.
[3707] 2:47:11	And those diaspora Jews, um you know,
[3708] 2:47:14	they they're going to
[3709] 2:47:16	want a piece of the land as as is their
[3710] 2:47:20	as is their birthright.
[3711] 2:47:22	But
[3712] 2:47:23	um
[3713] 2:47:26	there were a lot of Jews that never left
[3714] 2:47:27	Israel.
[3715] 2:47:33	So,
[3716] 2:47:35	um
[3717] 2:47:37	but Christians don't have a claim to it.
[3718] 2:47:38	No.
[3719] 2:47:40	Hope that helps. Thank you for the
[3720] 2:47:41	question.
[3721] 2:47:51	Lou Sanable asks,
[3722] 2:47:53	"How demon How are demons and aliens
[3723] 2:47:56	different from each other?"
[3724] 2:47:59	Well,
[3725] 2:48:03	"How are bears and trees different from
[3726] 2:48:05	each other?"
[3727] 2:48:09	Well, we don't know we don't know if
[3728] 2:48:11	aliens exist. Let's be very honest. Um
[3729] 2:48:13	they might exist, but we're not sure.
[3730] 2:48:17	Uh demons we know exist.
[3731] 2:48:21	Um
[3732] 2:48:22	at least we got a pretty good idea that
[3733] 2:48:24	they exist.
[3734] 2:48:26	Uh demons are spirits.
[3735] 2:48:28	If aliens exist, they're probably not
[3736] 2:48:30	spirits.
[3737] 2:48:32	Now, this is of course we're not talking
[3738] 2:48:34	here about the idea of demons
[3739] 2:48:37	impersonating aliens, which could
[3740] 2:48:41	happen.
[3741] 2:48:42	I'm somewhat skeptical of that at times.
[3742] 2:48:45	But um
[3743] 2:48:48	But absolutely I think I think there are
[3744] 2:48:52	um
[3745] 2:48:54	there are
[3746] 2:48:56	um
[3747] 2:48:59	it's possible that some alien sightings
[3748] 2:49:03	are demons masquerading. But then you
[3749] 2:49:06	also have to ask the question, well then
[3750] 2:49:07	what is the message
[3751] 2:49:10	that
[3752] 2:49:12	a demon masquerading as an alien would
[3753] 2:49:14	be sending. A lot of these sightings are
[3754] 2:49:16	just sort of um zip and go kind of
[3755] 2:49:19	things. You know, so there's no message
[3756] 2:49:22	attached to them.
[3757] 2:49:25	So
[3758] 2:49:27	um
[3759] 2:49:30	whereas with most demons there tends to
[3760] 2:49:32	be some sort of attempts to derail the
[3761] 2:49:35	gospel.
[3762] 2:49:37	And in that case um
[3763] 2:49:40	there is there is an ideological
[3764] 2:49:43	difference between say demons who are
[3765] 2:49:47	trying to kick that can down the road as
[3766] 2:49:49	long as it can
[3767] 2:49:51	to prevent the fulfillment of the
[3768] 2:49:53	Gentiles
[3769] 2:49:54	versus say aliens
[3770] 2:49:57	that are
[3771] 2:49:59	who may or may not
[3772] 2:50:01	have any knowledge of the gospel at all.
[3773] 2:50:04	So
[3774] 2:50:05	that would probably be the long and the
[3775] 2:50:07	short of it. It's more of an ideological
[3776] 2:50:09	difference. But then again, we don't
[3777] 2:50:10	know. So
[3778] 2:50:15	John Smith asked, could some unknown
[3779] 2:50:17	aerial sightings also be angels? Yeah,
[3780] 2:50:20	sure it could.
[3781] 2:50:22	That's possible.
[3782] 2:50:25	Absolutely possible.
[3783] 2:50:33	Buzzing aircraft for no good reason.
[3784] 2:50:35	>> [laughter]
[3785] 2:50:36	>> Just for a lark? I'm bored.
[3786] 2:50:38	You're bored? Yeah. Hey, look. There's a
[3787] 2:50:41	747.
[3788] 2:50:43	>> [laughter]
[3789] 2:50:46	>> Angels doing doing drive-bys.
[3790] 2:50:50	Buzzing the tower.
[3791] 2:50:52	Like in Top Gun.
[3792] 2:50:54	>> [laughter]
[3793] 2:51:00	>> That would be fun.
[3794] 2:51:02	>> [laughter]
[3795] 2:51:12	>> Well,
[3796] 2:51:13	um Just Janet says, "No message, just
[3797] 2:51:15	deceive."
[3798] 2:51:17	Well,
[3799] 2:51:19	uh to deceive is a message.
[3800] 2:51:22	So, you do if you're going to if you're
[3801] 2:51:24	going to say that
[3802] 2:51:26	um
[3803] 2:51:28	uh that aliens are are
[3804] 2:51:31	are demons, then there has to be some
[3805] 2:51:32	attempt to deceive in some way, and that
[3806] 2:51:36	is itself an encapsulated message.
[3807] 2:51:40	So, it's it's it's a little ha it has to
[3808] 2:51:42	be a little more complicated by than
[3809] 2:51:44	like seeing a light pass by. You don't
[3810] 2:51:47	know what that is. Is that an angel? Is
[3811] 2:51:49	that a demon? Is that an alien?
[3812] 2:51:53	Because you don't know, you don't know.
[3813] 2:51:56	That doesn't deceive you. May confuse
[3814] 2:51:59	you.
[3815] 2:52:02	Especially if you're flying at 30,000 ft
[3816] 2:52:04	and you get buzzed.
[3817] 2:52:05	>> [laughter]
[3818] 2:52:07	>> There has been some video from certain
[3819] 2:52:09	war jets uh where that's happened.
[3820] 2:52:15	Freak you out, maybe, that you're you're
[3821] 2:52:17	supposed to be the only person
[3822] 2:52:19	at 40,000 ft
[3823] 2:52:21	>> [laughter]
[3824] 2:52:24	>> flying over some some some territory and
[3825] 2:52:26	you see some
[3826] 2:52:28	where you shouldn't be, and you see some
[3827] 2:52:31	bright light go whizzing by your
[3828] 2:52:33	cockpit. That could give you a brown
[3829] 2:52:35	trousers moment. But it don't think it
[3830] 2:52:38	necessarily deceives you.
[3831] 2:52:42	>> [laughter]
[3832] 2:52:45	>> At least I wouldn't want to be in a
[3833] 2:52:47	cockpit at 40,000 ft over enemy
[3834] 2:52:49	territory
[3835] 2:52:51	and it have be buzzed by an angel.
[3836] 2:52:54	>> [laughter]
[3837] 2:52:59	[laughter]
[3838] 2:53:01	>> Conner says demons know Christ is Lord
[3839] 2:53:03	and tremble in fear. Yeah, they do.
[3840] 2:53:06	Aliens may not.
[3841] 2:53:07	If they don't know,
[3842] 2:53:09	then they're not demons. They're
[3843] 2:53:11	something else.
[3844] 2:53:13	I think this this I think the thing is
[3845] 2:53:15	that
[3846] 2:53:16	um
[3847] 2:53:17	there's a lot of diversity out there.
[3848] 2:53:20	And I don't mean that in a D I sense. I
[3849] 2:53:22	mean in in in a way that God created
[3850] 2:53:24	life.
[3851] 2:53:25	God created life with a huge amount of
[3852] 2:53:28	diversity. He created huge diversity of
[3853] 2:53:31	spirit beings. He created huge uh
[3854] 2:53:34	diversity of living beings. Just look at
[3855] 2:53:36	planet Earth. You can see the diversity
[3856] 2:53:39	of life.
[3857] 2:53:43	And 2 million types of insects, yeah.
[3858] 2:53:46	Oh, yeah.
[3859] 2:53:52	>> [laughter]
[3860] 2:53:54	>> AJ Higgins the spirit world is bigger
[3861] 2:53:55	than we mortals think, eh? Yeah,
[3862] 2:53:57	absolutely.
[3863] 2:54:06	Um oops. Mama says instead of touched by
[3864] 2:54:10	an angel, it's buzzed by an angel. Yep.
[3865] 2:54:13	Uh blue dog uh says foo fighters. Oh,
[3866] 2:54:15	yeah, that's what that's that's the
