[0] 0:00	[Music] foreign [Music]
[909] 1:47:12	period I mean I think it's the early housing period that it has last sort of geothermic activity and it wasn't even
[910] 1:47:18	volcanic um this uh the supposed charring is
[911] 1:47:24	Desert varnish I've seen desert varnish now first hand so you know yeah it's that's not
[912] 1:47:32	charring that's desert varnish so there's there's a lot of things about
[913] 1:47:39	that site that is that sort of disqualifies it from being the real Mount Sinai
[914] 1:47:44	so anyway that's where I'm going to leave this for that um tonight I hope that answers your question thank you
[915] 1:47:50	very much for the Super Chat very much appreciated so in short no I don't buy that uh jebela loss is the Mount Sinai
[916] 1:47:57	one bit but then again too I don't know where Mount Sinai is either it's the geographic location is very
[917] 1:48:04	vague the only thing we know about it really is it's in the Sinai Peninsula so thank you very much for the Super Chat
[918] 1:48:10	and have a great night
[919] 1:48:15	okay uh next question here
[920] 1:48:26	is from Mystery flavor for 20 thank you very much for the Super Chat
[921] 1:48:32	and he says good evening well good evening to you too what are your thoughts on Galatians 3 17
[922] 1:48:37	how does Paul reach this number and why is it important also receive my copy of
[923] 1:48:43	your book and I'm already greatly enjoying it thank you well thank you very much for purchasing my book
[924] 1:48:50	um it was a labor of love for those of you who don't know which
[925] 1:48:55	book that is it is the Ark of the Covenant in its Egyptian
[926] 1:49:00	context and Illustrated Journey there's my name at the bottom okay
[927] 1:49:06	um yeah I really love putting that book together I'd like to do another one very very similar to that you know with lots
[928] 1:49:13	of great pictures um a um let's just say a light-hearted writing
[929] 1:49:19	style entertaining as well as educational so
[930] 1:49:24	um I'm really really glad you're enjoying it and my publisher thanks you uh the fact is if we're very very close
[931] 1:49:32	to earning out on that book now uh for an author that's a big deal is a
[932] 1:49:38	big deal to earn out on a book especially one that's not hasn't been out that long
[933] 1:49:44	uh because it gives the publisher confidence that they can take a second risk on you
[934] 1:49:50	every poster takes a risk when they uh adopt a new author so when a book earns
[935] 1:49:56	out that tells the author or the publisher that hey this guy's this guy's
[936] 1:50:01	got some some talent to write so we might want to have him right again so
[937] 1:50:07	as I said we're really really close to earning out I think we're something like 50 copies away from earning out
[938] 1:50:13	something like that so uh yeah very close so um that would be very exciting to
[939] 1:50:19	have the opportunity to write a second book with them so anyway um glad you're enjoying the book
[940] 1:50:26	so uh as far as your first questions your thoughts on Galatians 3 17 let's look at
[941] 1:50:33	Galatians 3 17 so we're going to bring the Bible back up
[942] 1:50:40	Galatians three 17.
[943] 1:50:47	okay okay
[944] 1:50:54	now let's go back uh
[945] 1:50:59	okay let's start at verse 16. now the promises were spoken to Abraham and to
[946] 1:51:05	his seed he does not say and to his seeds as referring to many but rather to
[947] 1:51:12	one and to your seed that is Christ what I am saying is this
[948] 1:51:18	the law which came 430 years later does not invalidate a
[949] 1:51:24	covenant previously ratified by God no as to nullify the promise okay where
[950] 1:51:31	does he get this number 430 years okay he gets it from Exodus
[951] 1:51:37	12. look over to there
[952] 1:51:43	well I think it's verse 40 if I'm not mistaken
[953] 1:51:52	all right verse 40. now I am reading here from The New
[954] 1:51:58	American Standard which is actually based on the master of text and we'll talk about the the textual problem here
[955] 1:52:04	in just a minute and it says now the time the sons of Israel lived in Egypt was
[956] 1:52:10	430 years okay so that's where Paul is getting that number from
[957] 1:52:16	okay now this is the issue
[958] 1:52:22	the Galatians the uh Paul's writing in Galatians says from the time of the
[959] 1:52:28	promise to Abraham to the giving of the law that's at Mount Sinai the masoretic text just says the time in
[960] 1:52:36	Egypt so what's going on here how do we reconcile this
[961] 1:52:42	because Galatians does seem to elude that this time was stretched over say more than
[962] 1:52:49	one location whereas say the masoretic text seems to restrict it to Egypt
[963] 1:52:55	well when you look at say other text various of this passage like the
[964] 1:53:01	Septuagint it will say that now the time the sons of Israel lived in Egypt and Canaan was
[965] 1:53:10	430 years likewise when you look at the Samaritan pentateuch
[966] 1:53:16	it will say that now the time the sons of Israel lived in Canaan and Egypt was
[967] 1:53:21	430 years so both the uh Septuagint and
[968] 1:53:28	the Samaritan pentateuch are using the
[969] 1:53:34	Egypt and Canaan in this Exodus 1240 passage which means that it the original
[970] 1:53:40	the autographs probably said Egypt and Canaan
[971] 1:53:46	so this makes it consistent with what's happening in Galatians 3 17 where pause
[972] 1:53:53	basically say that the promise began or the uh the 430 years began with the
[973] 1:53:59	promise given to Abraham who was living in Canaan and went through to their giving a law
[974] 1:54:07	in Sinai so when we I hope that explains this thank you very much for the Super Chat
[975] 1:54:13	and it's a great great question
[976] 1:54:20	okay our next one here
[977] 1:54:26	I gotta just gotta make sure here that nothing is falling off here
[978] 1:54:38	okay we're still good
[979] 1:54:47	Okay so 21.
[980] 1:54:55	okay uh our next Super Chat here is from Jared Gilmore for ten dollars
[981] 1:55:00	there and there's not enough room here so we're gonna have to kind of move it about a little bit
[982] 1:55:08	all right yeah I saw that it's extended down okay
[983] 1:55:15	and he says not enough room for question in super chat see my following non-super chat question which we did I cut it all
[984] 1:55:23	and we'll Skip by uh krn 501 Mobius is here and go right to your sub uh
[985] 1:55:29	supplemental here which is do you consider monophysitism which Copic church is ascribed to be
[986] 1:55:35	an error or do you think it is a valid theological conclusion for understanding the nature of Christ
[987] 1:55:42	what was the problem with it historically most other Church Traditions rejected and adopted the two
[988] 1:55:48	Natures in one person view of fully God and fully man okay now that view of fully God and fully man
[989] 1:55:55	was resolved at the Council of chalcedon okay now
[990] 1:56:01	do I consider monophysitism a a error yes I do I'm going to be very
[991] 1:56:08	very blunt yes I think it's an error because one of the things that monophositism
[992] 1:56:13	uh instead was
[993] 1:56:18	when Christ was hungry God was hungry when God was omniscient Christ was
[994] 1:56:25	omniscient so what it did was it confused the
[995] 1:56:31	attributes of Christ's Divine and Human Nature
[996] 1:56:37	when Christ bled God bled uh
[997] 1:56:43	when when God was uh created the the world Jesus created the
[998] 1:56:52	world okay it's a confusion of persons
[999] 1:56:58	and I think that's that's the problem here with with monopolitism now
[1000] 1:57:04	your modern day copt is going to take a very
[1001] 1:57:09	circumstance circumspective approach to this which is they know there's a controversy
[1002] 1:57:18	that had happened at one point they don't really understand what the big deal is anymore and they boil it
[1003] 1:57:24	sometimes down to just vocabulary so you know they don't hold too hard and
[1004] 1:57:30	fast to monophositism anymore it's it's one of sort of almost one of those theological relics that you find
[1005] 1:57:36	in certain churches where there was this debate and at one point people were super passionate about it today not so
[1006] 1:57:44	much and true of all churches you know
[1007] 1:57:50	for example this or the whole Protestant uh Roman Catholic uh conflict
[1008] 1:57:56	most people can't can't articulate what the whole whole thing was about really
[1009] 1:58:02	most people don't understand what the major point of contention was between
[1010] 1:58:07	Protestants and Catholics yeah they'll say it's a pope they'll say it's Mary it ain't
[1011] 1:58:14	okay but very few people today can articulate it very few people can
[1012] 1:58:19	articulate what the differences are in the case of this particular conflict it was really a a conflict between
[1013] 1:58:27	monopolitism the idea that the the there is a complete blending of traits
[1014] 1:58:36	between human and and divinity versus nestorianism
[1015] 1:58:41	which is his own error historianism said that there was a person of Jesus
[1016] 1:58:47	and person uh uh Jesus uh who is divine the person of Christ that was divine
[1017] 1:58:53	there were two different and separate persons
[1018] 1:58:59	and that would that would sort of defeat the whole idea of the Incarnation
[1019] 1:59:06	so there there's definitely there was definitely a theological
[1020] 1:59:12	argument happening there between say the cops and the historians and in this this is one of those cases
[1021] 1:59:18	where neither one neither side was right just like you had a a conflict between
[1022] 1:59:25	the Aryans and the apollinarians and again neither side was right
[1023] 1:59:31	so uh with that said um
[1024] 1:59:38	I I think the problem is that it did say
[1025] 1:59:43	confuse the natures it totally confused the natures and they
[1026] 1:59:51	the early church was very very sensible about these things normally so
[1027] 1:59:57	I think it's one of those things that the Copic Church stuck its guns to it doubled down on physicism monophositism
[1028] 2:00:06	because it was just historianism was such a menace to them and they today it's not so big a deal
[1029] 2:00:15	you'll find very few historians around today given that there's very few historians
[1030] 2:00:21	around anymore um yeah it's it's not it's not a big issue
[1031] 2:00:26	anymore and most most cops don't even hold to it
[1032] 2:00:32	so anyway thank you very much for the Super Chat very much appreciated
[1033] 2:00:40	okay all right next one here
[1034] 2:00:49	is from Addison Weir and he says
[1035] 2:00:58	the Facebook Messenger for an amusing interaction I had the other day okay well I can't really do that on OBS but
[1036] 2:01:05	I'll take your word for it and I'll go take a look later okay thank you very much for the Super Chat
[1037] 2:01:10	very much appreciate it um yeah I've been having a lot of amusing interactions recently so
[1038] 2:01:17	um wouldn't surprise me to get one from you too so anyway thank you very much for the Super Chat very much appreciate
[1039] 2:01:22	it
[1040] 2:01:34	okay our next one here is from the camello park for five dollars thank you much for the Super Chat
[1041] 2:01:40	is it possible that Judas Iscariot repented oh
[1042] 2:01:45	Matthew 27 3 or does Yeshua statement uh Matthew 26 24 imply otherwise
[1043] 2:01:52	alrighty let's talk about this one here because
[1044] 2:01:58	this one is a Sticky Wicket
[1045] 2:02:04	all right let's go to the quote repentance
[1046] 2:02:14	Matthew 27
[1047] 2:02:19	um um
[1048] 2:02:25	and let's start well we can actually probably go
[1049] 2:02:31	right to verse three then when Jesus Jesus there's a then
[1050] 2:02:37	when Judas who had betrayed him that's Jesus saw that he had been condemned
[1051] 2:02:44	he felt remorse and returned the 30 pieces of silver to the chief priests
[1052] 2:02:50	and elders say I have sinned by betraying innocent blood
[1053] 2:02:56	but they said what is that to us see that to that yourself
[1054] 2:03:02	and they threw the pieces of silver into the sanctuary and departed and he went away and hanged himself okay
[1055] 2:03:12	now Matthew 26.
[1056] 2:03:20	verse 24. these are the words of Jesus Christ the
[1057] 2:03:25	son of man is to go just as it is written but woe to that man by whom the
[1058] 2:03:31	son of man is betrayed it would have been no good for that man if he had not been born
[1059] 2:03:40	now there's one more passage I think we need to consider here I'm going to try to
[1060] 2:03:46	look it up here
[1061] 2:03:57	there it is which is John 17 12.
[1062] 2:04:04	and this is a prayer God gave to the father at Gethsemane
[1063] 2:04:10	and he says while I was with them I was keeping them in thy name which thou has given me and I guarded them and not one
[1064] 2:04:19	of them perished but the Son of Perdition that the scripture might be
[1065] 2:04:25	fulfilled okay so here we have three passages
[1066] 2:04:31	uh the first passage with with Matthew 27 3 where Judas Iscariot feels remorse
[1067] 2:04:40	he feels remorse and tries to return the silver
[1068] 2:04:46	and we start having it because it's now blood Money you know
[1069] 2:04:51	they are not going to want that yeah no hypocrisy there but
[1070] 2:04:58	but yeah they aren't going to want that but judas's response is not to accept Jesus
[1071] 2:05:06	Christ as his savior but to go and hang himself
[1072] 2:05:12	he still rejects Christ in the end he still rejects Christ he's he feels
[1073] 2:05:20	the weight of what he did but there's a lot of people who feel the
[1074] 2:05:25	weight a lot of what they did a lot of people feel guilt a lot of people feel guilt over what
[1075] 2:05:33	they did you know guilt is a very very powerful thing
[1076] 2:05:39	and that's because sin is a very very powerful thing it has the power to
[1077] 2:05:44	destroy to corrode to disintegrate the person and guilt is a side effect that a person
[1078] 2:05:52	feels as a result of the corrosive effect of sin
[1079] 2:05:59	so that's a very very important thing here when we talk about just his scare he's feeling remorse he's feeling regret
[1080] 2:06:06	he wishes he hadn't done it but he didn't but he did it anyway
[1081] 2:06:13	and his response is to kill himself not to seek the Risen Savior
[1082] 2:06:20	or at that point this you know confesses sin to to Jesus
[1083] 2:06:27	okay so the the second the second part of
[1084] 2:06:33	yeshua's statement here where he's um
[1085] 2:06:40	in Matthew 26.
[1086] 2:06:46	just go back here for a moment
[1087] 2:06:56	thanks uh verse 24.
[1088] 2:07:03	so it says the son of man is to go just as written him but woe is that man to whom the son of man is betrayed now
[1089] 2:07:09	while that's a woe it's not really that clear what is the Eternal Destiny of
[1090] 2:07:15	Judas so this is the one this is the point where things are a little vague so it's
[1091] 2:07:21	a woe you know but you know some church fathers have noted that
[1092] 2:07:27	there's still the possibility that it could be saved here okay
[1093] 2:07:32	but that final that final passage of John 17 12 is really what puts sort of
[1094] 2:07:38	the nail in the coffin here while
[1095] 2:07:44	while I was given while I was with them I was keeping them and he's talking about the his disciples here keeping
[1096] 2:07:50	them in your name which you have given me and I guard them and not one of them
[1097] 2:07:55	perished except the Son of Perdition and petition here means destruction
[1098] 2:08:03	it means destruction uh apolea you know this is this is you
[1099] 2:08:08	know there's the there's the um you know the destroying Angel uh apollyon that's
[1100] 2:08:14	mentioned in the Book of Revelation and that's what we have here is the son
[1101] 2:08:20	of Destruction he who's going to be destroyed and that the scripture might be
[1102] 2:08:27	fulfilled okay so that's sort of the point where it puts the nail in the coffin
[1103] 2:08:36	so I don't think there's any possibility that Judas Iscariot had a saving repentance
[1104] 2:08:47	uh and I think scripture is pretty clear about this so anyway uh
[1105] 2:08:53	thank you very much the camel leopard uh great question it is one we sometimes get and it's it's a really really good
[1106] 2:09:00	question and it's one that actually I think needs to be better delineated because you know you do get especially
[1107] 2:09:06	universalists who say even Judas Iscariot will be saved
[1108] 2:09:12	and I think this is very much Clear evidence that not only did Judas is
[1109] 2:09:17	Judas not saved but he will never be saved and thus is you know defeats the
[1110] 2:09:25	whole idea of universalism so thank you very much for the Super Chat very very much appreciated
[1111] 2:09:32	yeah good deep question love it
[1112] 2:09:47	okay I'm here eshafra for five dollars
[1113] 2:09:52	how would you parse Isaiah 6 1 well first of all I'm gonna need it in a text
[1114] 2:09:59	that I can read in my size though
[1115] 2:10:06	because my eyes are old Isaiah
[1116] 2:10:15	six verse 1.
[1117] 2:10:23	um go into the Hebrew
[1118] 2:10:32	where you are exactly there is Isaiah 6 1
[1119] 2:10:39	[Music] I I found it here
[1120] 2:10:46	oh you would ask that question oh wow
[1121] 2:10:53	oh that's a nasty question dude
[1122] 2:10:59	dude after all the trouble I got into in the last couple weeks [Laughter]
[1123] 2:11:07	it's the skirt of the robe now uh
[1124] 2:11:14	yeah and his skirt basically the text read and his skirt filled
[1125] 2:11:21	um the the temple okay no we are not gonna answer that question
[1126] 2:11:28	we are not answering that question um
[1127] 2:11:35	I I will just say this I do not take uh
[1128] 2:11:40	um I won't take Dr S's
[1129] 2:11:46	opinion on this but I'm not gonna I'm not gonna answer this question yeah yeah
[1130] 2:11:51	nothing on this nothing on on that topic until this whole thing sort of dies down okay
[1131] 2:11:57	so and we would appreciate none of that okay
[1132] 2:12:04	but I do appreciate the Super Chat okay
[1133] 2:12:25	okay uh Addison we're for 199 who was the dollar to feral you couldn't recall
[1134] 2:12:32	it's one of the ptolema mes I can't remember exactly which one I don't
[1135] 2:12:38	remember if it's uh Tola May the 11th or 12th but it's one of those
[1136] 2:12:45	um it could even be the 13th it's one of the late ptolemys um he was a real Dullard
[1137] 2:12:51	but I don't remember which one it is exactly
[1138] 2:12:58	yeah um
[1139] 2:13:10	I'll just turn this off from over here
[1140] 2:13:18	yeah I'm here I was just asking how you would parse it not Dr s's isagesis laugh
[1141] 2:13:23	out loud yeah but it's it's such a touchy subject right now you know
[1142] 2:13:31	um I wouldn't definitely not take her views on this
[1143] 2:13:37	okay so that's gonna be the end of it
[1144] 2:13:44	okay um yeah add back to ask and where's the question here um yeah I was one of the told me I can't
[1145] 2:13:51	remember which one exactly and that's because they're a lot of them are very similar in the biographies but but yeah
[1146] 2:13:56	the last couple ptolemates were not so bright so anyway I just can't remember exactly which one it was so anyway thank
[1147] 2:14:04	you very much for the Super Chat very much appreciated
[1148] 2:14:18	okay
[1149] 2:14:27	uh camel leopard here for two dollars thank you much to Super Chat tattoo long
[1150] 2:14:33	dig a little deeper down okay
[1151] 2:14:39	probably have to cut and paste it because I probably didn't cut and paste it
[1152] 2:14:47	um
[1153] 2:15:01	okay where is it
[1154] 2:15:06	okay tattoo long dude you see this question yeah right
[1155] 2:15:13	underneath again
[1156] 2:15:20	quickly oh okay okay I see all right okay I got it yeah I'm gonna need to cut
[1157] 2:15:27	that
[1158] 2:15:32	okay
[1159] 2:16:03	foreign
[1160] 2:16:25	question here is for SC
[1161] 2:16:31	um does mercury and animals imply a form of deceptiveness in the Creator
[1162] 2:16:37	the whole question of deception is an interesting one anyway
[1163] 2:16:43	um the Bible is not clear on let's say the
[1164] 2:16:49	sinfulness of deception like for the com uh commandment to bear
[1165] 2:16:55	false witness is not about deception it's about legal proceedings
[1166] 2:17:00	essentially you go to court you tell the truth in court that's what that's what it is
[1167] 2:17:06	it's really not so much about they using deception for particular ends
[1168] 2:17:18	you know it's it's not you know and there are sports times when say
[1169] 2:17:25	you know deceptiveness is used by you know the Creator uh for example you
[1170] 2:17:33	do have that incident where um the Lord asks for volunteers evil
[1171] 2:17:38	spirits to go deceive Ahab we also do see it in in other you know
[1172] 2:17:46	normal practices too like for example you know to deceive you know somebody in war
[1173] 2:17:52	you know you have an enemy that's prone to do um massacres of civilians
[1174] 2:17:59	so you leak information that a bunch of civilians are holed up in this building and instead you set up an ambush
[1175] 2:18:05	that's a kind of deception but it's in a deception used to trap someone who's about to to wants to do
[1176] 2:18:12	something incredibly evil They're Not Innocent parties so there's there's a lot of moral debate
[1177] 2:18:19	over the whole idea of deception so
[1178] 2:18:26	um we do know that there are times when say
[1179] 2:18:31	uh the Creator does deceive men who are inclined to do evil
[1180] 2:18:37	things though that they are hoisted by their own petard
[1181] 2:18:42	so we do see this at times now I don't think you need the mimicry
[1182] 2:18:48	of animals to imply that you can just go to scripture to get that
[1183] 2:18:54	um you know we even have Jesus basically saying you know he's
[1184] 2:19:01	you know his family goes to to the temple and you know he says you know now
[1185] 2:19:07	I'm going to stay behind I'm gonna stay behind here and then later on he goes and the temple
[1186] 2:19:12	in disguise of course they try to Stone him but yeah he tends he goes to the temple in
[1187] 2:19:18	Disguise now that was a form of deception you know but it was deception for a
[1188] 2:19:25	higher purpose so you know that's a lot of this is that
[1189] 2:19:31	that the whole sort of idea of say
[1190] 2:19:36	whether or not deception is right or wrong depends a lot on circumstances and
[1191] 2:19:42	and where it sort of fits in a
[1192] 2:19:47	um more nuanced moral Frameworks
[1193] 2:19:56	so you have to take a more compatibilist view like what's what's the highest what's the higher purpose here in
[1194] 2:20:01	deception is the purpose of deception here to
[1195] 2:20:07	achieve a more moral goal you know
[1196] 2:20:13	yeah basically you know might have to deceive a a patient
[1197] 2:20:20	to take you know medicine for their own good you know it's possible
[1198] 2:20:26	you know like like for example um say say my mother's dying
[1199] 2:20:31	you know she doesn't want to take her pills you know well you say we'll go take him
[1200] 2:20:37	there that you know you need them or you know slip them into her food or something you know so that she takes
[1201] 2:20:43	them you know we do this with her rabbits you know sometimes if you if we if we have a rabbit okay we have a
[1202] 2:20:50	rabbit okay who you couldn't force feed medicine too strong too big there's a big Flemish
[1203] 2:20:57	Giant just incredibly strong animal you cannot force feed that that animal
[1204] 2:21:03	so what we would do to feed a medicine is you know we'd feed him up a piece of
[1205] 2:21:08	um of uh parsley and as The Parsley was going in the mouth the syringe followed
[1206] 2:21:14	right alongside it and slipped right in and we squirted in the medicine did we deceive the rabbit with using a
[1207] 2:21:22	piece of parsley yes did we do it for the rabbits good yes no problem deceiving in those
[1208] 2:21:30	circumstances so you know this is a lot of this is going
[1209] 2:21:35	to depend on what the the claims and the outcomes of these things are
[1210] 2:21:41	so context here is really really going to matter
[1211] 2:21:46	so anyway thank you very much for the Super Chat I hope that helped uh very very much appreciate it
[1212] 2:21:53	okay we've had a few more drop off here so I'm gonna have to take a moment to to pick up some more here
[1213] 2:22:02	um see we're already here 2K is how do we understand X okay so we're
[1214] 2:22:11	up to there oops oopsie ready for you yet
[1215] 2:22:17	okay and
[1216] 2:22:22	give me a few minutes here as I copy some more over from so we could save them
[1217] 2:22:57	okay C's here
[1218] 2:23:50	foreign
[1219] 2:24:02	2ks
[1220] 2:24:56	okay now we've got linguist ammos there
[1221] 2:25:50	okay now we're getting close here
[1222] 2:25:58	caught up
[1223] 2:26:05	all right
[1224] 2:26:21	foreign
[1225] 2:26:47	actually I'll grab the last two also's just so if they do time out we will not
[1226] 2:26:53	lose them
[1227] 2:27:06	okay we should be fully cut up
[1228] 2:27:24	right there's that last one from here
[1229] 2:27:32	foreign
[1230] 2:27:55	should be all cut up now okay so our next one
[1231] 2:28:04	oops
[1232] 2:28:09	28
[1233] 2:28:22	okay our next one here is from the camel apart for five dollars thank you very much the Super Chat
[1234] 2:28:28	great Pharaoh folk is it true you are incarnation of Horrors
[1235] 2:28:35	well I don't think I'm King so I kind of doubt it thanks it's Advanced Dr falcon
[1236] 2:28:42	mom uh no
[1237] 2:28:48	uh yeah
[1238] 2:28:54	oops looks like we missed a couple here I ain't gotta gab those
[1239] 2:29:31	okay and
[1240] 2:29:58	okay all right uh no not the Incarnation of horse but I'm
[1241] 2:30:06	flattered okay uh next one
[1242] 2:30:14	here is here is uh from uh John bullerman for ten dollars Canadians
[1243] 2:30:19	thank you very much for the Super Chat let's get that up there didn't change it what happened
[1244] 2:30:28	change the wrong one
[1245] 2:30:34	should try that again
[1246] 2:30:41	all right there we go and he says for your a d a aadf
[1247] 2:30:48	you know what that means don't know what that means my first ever
[1248] 2:30:54	Super Chat God bless well God bless you also uh thank you very much for the Super
[1249] 2:30:59	Chat uh I'm glad you could join us tonight and uh very much appreciate your
[1250] 2:31:06	uh you're joining us and we also appreciate the contributions uh they
[1251] 2:31:11	really really do help us to stay on the air it helps us to continue doing this work
[1252] 2:31:17	and to answer your questions we just we love doing this work we're here to
[1253] 2:31:24	basically help you understand the Bible better to help you understand the ancient near
[1254] 2:31:30	East to get excited about this stuff I mean this stuff is so cool so cool so anyway thank you very much for the
[1255] 2:31:36	Super Chat very much appreciated I'm glad you could join us tonight
[1256] 2:31:44	okay
[1257] 2:31:49	I see okay
[1258] 2:32:00	I won't post that up there uh BC but um okay I get it now I get the aadf
[1259] 2:32:06	reference thank you very much I really appreciate that
[1260] 2:32:16	okay the next Super Chat here is from the Camilla part for two dollars thank you for the Super Chat
[1261] 2:32:22	so ASAC with Easter eggs and tortillas
[1262] 2:32:28	ha um there's actually a pretty serious uh story behind this a pesach for anyone
[1263] 2:32:35	who doesn't know is the Hebrew word for Passover okay it's Passover
[1264] 2:32:43	now in some places getting unleavened bread matzah is
[1265] 2:32:49	really really difficult to get it's really hard for example here in Vancouver Vancouver
[1266] 2:32:56	is really difficult to to find matzah at a store you know you can go to specialty
[1267] 2:33:03	stores and they won't have it it's considered to be an exotic ethnic food that they never carry because there
[1268] 2:33:09	isn't enough Jews living in this area to make it worth their while
[1269] 2:33:15	so it's really difficult for us to get uh matzah when we want to
[1270] 2:33:21	celebrate uh the setter
[1271] 2:33:26	so I was looking around and at the time I was uh investigating this question
[1272] 2:33:34	I was uh I was essentially the administrative assistant at a Messianic
[1273] 2:33:39	Jewish congregation and it struck me
[1274] 2:33:44	that the the what you need for unleavened bread is essentially bread without
[1275] 2:33:50	leavening in it so it kind of cooked bread with levity in it well you know okay matzah yes sure
[1276] 2:33:57	you know it's a dry cracker it's actually not even really frankly matzah isn't even really bread but
[1277] 2:34:03	um Let's Be Blood it's more of a cracker than it is bread but
[1278] 2:34:09	there was something that did sort of spring into my mind which was tortillas
[1279] 2:34:16	the other breads yeah you know and it struck me you could
[1280] 2:34:24	make a tortilla without any leavening in it no yeast no baking powder
[1281] 2:34:30	and it would be perfectly kosher for basically unleavened bread you've
[1282] 2:34:38	got wheat flour you've got olive oil and you've got water
[1283] 2:34:44	you have unleavened bread yeah and unlike matzo it tastes it
[1284] 2:34:51	actually tastes good hahaha so I kept you know
[1285] 2:34:58	um joking to my math uh Messianic uh Jewish Pastor you know yeah tortillas
[1286] 2:35:04	the other unleavened bread
[1287] 2:35:09	and frankly at times when we can't get matzah we use that
[1288] 2:35:15	and I think it's perfectly acceptable as long as it's cooked within a certain limit I think that's that's the only
[1289] 2:35:21	limitation that I think the I think the limitation for um
[1290] 2:35:28	um say Hasidic Jews is for example it has to be cooked within 17 minutes of
[1291] 2:35:34	having the dough having been prepared and I don't know I think they came to
[1292] 2:35:39	that because they would otherwise it would start self-rising for tortillas that's no problem you know
[1293] 2:35:45	just knead it up cut it up fry it you know you're done so
[1294] 2:35:52	it's like yeah [Laughter] so you know I I love I love the camel
[1295] 2:35:59	leopards uh uh joke here where it talks about having Easter eggs which you know the egg that's used in the Passover
[1296] 2:36:05	Setter is well not supposed to be decorated that might be crossing the lines I don't know uh but I'm not an
[1297] 2:36:12	authority on Jewish uh uh customs and law to to really say that definitively I
[1298] 2:36:18	only investigated the tortilla thing uh unfortunately a lot of commercial tortillas have leavening in it so you
[1299] 2:36:24	can't use a lot of commercial tortillas but but homemade ones that work so anyway thank you very much the Super
[1300] 2:36:31	Chat very much appreciate it
[1301] 2:36:38	hey
[1302] 2:36:54	ask somewhere for 4.99 you should react to Tick-Tock videos that'd be hilarious
[1303] 2:37:02	oh well I do have a tick tock presence I
[1304] 2:37:08	haven't done any reaction videos uh on Tick Tock um
[1305] 2:37:14	I don't know if I should this is more that's more the question is is not could I it's should I
[1306] 2:37:21	foreign a lot of trouble with tick tock
[1307] 2:37:29	although you know it might be fun for some of them because some of them are way out there I mean there you get the
[1308] 2:37:34	strangest stuff on tick tock so you know uh it might be good for a
[1309] 2:37:41	giggle I'll say that it might be good for a giggle so anyway thank you very much for the Super Chat very very much appreciate it
[1310] 2:37:58	okay uh polycarp uh celebrator uh for 199 thank you much for the Super Chat
[1311] 2:38:05	are the stories of David in the Bible reliable I think so
[1312] 2:38:12	uh I know there are other Scholars out there that disagree with me but this is one of those things the whole question
[1313] 2:38:19	of the story of David has been on a big pendulum swing
[1314] 2:38:26	now 40 years ago yeah I'm dating myself here with S2
[1315] 2:38:33	um you know four years ago you would be hard-pressed to find any biblical scholar anywhere that would have said
[1316] 2:38:39	that the that the davidic narratives were reliable most of secular scholarship thought that
[1317] 2:38:47	David didn't exist at all now
[1318] 2:38:54	fortunately the pendulum has swung the other way
[1319] 2:38:59	and there's we're now more or less quibbling over details
[1320] 2:39:05	secular and religious Scholars alike now call that at least David was a
[1321] 2:39:10	historical person whether or not uh he actually did all that he claimed
[1322] 2:39:19	is what's at stake now was the the davidic kingdom as large as
[1323] 2:39:26	it seems to deport is it as Grand as basically you know
[1324] 2:39:35	people imagine it to be and that's a lot of this a lot of a lot of the interpretation of say the davidic
[1325] 2:39:41	narratives is as much imagination uh as it is exegesis
[1326] 2:39:47	so so when we talk about things like for example I I know this when I when I deal
[1327] 2:39:53	with say stuff on The Exodus is I'm not always dealing with what's in
[1328] 2:39:59	the text with most people with even most Skeptics uh most Skeptics I'm dealing with what
[1329] 2:40:05	they have imagined that the Bible is actually saying not what it actually
[1330] 2:40:10	says in its historical context I can I can probably relate that the
[1331] 2:40:19	same sort of debate is happening as far as the davidic narratives are go where
[1332] 2:40:24	it's more well what does the day uh stories of David in their context
[1333] 2:40:31	suggest as opposed to what have say skeptical Bible readers imagine they
[1334] 2:40:37	represent because once you start dealing with the
[1335] 2:40:43	inflation of imagination a very few narratives are going to hold up to that
[1336] 2:40:50	that's just that's just I think one thing that's that that we have to come to terms with
[1337] 2:40:55	when we deal with the biblical narratives is because not everyone is versed at the same level of context
[1338] 2:41:03	you're going to get different people with different ideas of what the texts actually say
[1339] 2:41:10	and what they mean so uh at a base level I do think the
[1340] 2:41:17	stories of David in the Bible are reliable but what does that mean as far as it's
[1341] 2:41:25	the what that reliable interpretation is is going to vary from scholar to scholar
[1342] 2:41:32	and um my view of say the davidic stories
[1343] 2:41:38	might be a lot more humble than say some secularist who is
[1344] 2:41:45	basically trying to over inflate the davidic narratives to sort of tear them
[1345] 2:41:51	down so anyway I hope that helped thank you very much for the Super Chat very much
[1346] 2:41:57	appreciated and it's a good question
[1347] 2:42:12	okay BC for ten dollars Australian thank you very much the Super Chat
[1348] 2:42:18	and he says how did the Israelites understand natural phenomena for example lightning
[1349] 2:42:24	did God cause everything directly or did they conceive of nature as functionally
[1350] 2:42:30	independent of God but something he could wield hmm
[1351] 2:42:38	well say I mean unlike say for example the Greek
[1352] 2:42:44	God Zeus who could throw Lightnings around like Spears we don't get that imagery in the Bible
[1353] 2:42:53	in many respects there is in say the Old Testament a
