[0] 1:48	Heat.
[2073] 1:50:26	you know, just
[2074] 1:50:29	Oh, yeah. That
[2075] 1:50:33	Kiara says the book sellers were
[2076] 1:50:35	cheering. Oh, they were so cheering.
[2077] 1:50:37	They were so happy. [laughter]
[2078] 1:50:49	You have corrected him as pronunciation
[2079] 1:50:51	of wrong.
[2080] 1:50:53	[laughter]
[2081] 1:51:00	Yeah. Well, I did I did tell him that I
[2082] 1:51:03	thought that Wyatt was a fraudster, a
[2083] 1:51:06	charlatan, and a heretic.
[2084] 1:51:10	It's funny. He wasn't he, you know, in
[2085] 1:51:13	in retrospect,
[2086] 1:51:15	he didn't deny the heresy.
[2087] 1:51:18	He didn't deny charlatan or heresy, just
[2088] 1:51:20	the fraud.
[2089] 1:51:22	It's cuz he asked, you know, well, where
[2090] 1:51:24	did he who did he defraud
[2091] 1:51:29	did not deny the heresy? I think it's
[2092] 1:51:32	very interesting.
[2093] 1:51:36	Just [laughter]
[2094] 1:51:41	come blasphemy. You deny the truth
[2095] 1:51:44	revealed to the blessed Rod Wyatt.
[2096] 1:51:47	Praise be his unto him. Repent and know
[2097] 1:51:50	the good news. In Wyatt we trust.
[2098] 1:51:53	[laughter]
[2099] 1:51:58	Keeps learning. Wyatt is indeed a
[2100] 1:52:00	heretic. Yeah, but I think it's f uh
[2101] 1:52:02	funny that Randall Le never denied he
[2102] 1:52:04	was a heretic. just denied he committed
[2103] 1:52:07	fraud.
[2104] 1:52:12	[laughter]
[2105] 1:52:17	[laughter]
[2106] 1:52:18	>> CPN versus DOSS. Heresy is fine. Fraud
[2107] 1:52:22	is bad for business. I guess so. Guess
[2108] 1:52:26	that's I guess that's why he
[2109] 1:52:29	he reacted so badly to the fraud
[2110] 1:52:32	allegation.
[2111] 1:52:34	Frauds.
[2112] 1:52:35	Fraud's bad for business. Herio, that's
[2113] 1:52:38	fine. [laughter]
[2114] 1:52:39	You lose your salvation, that's okay.
[2115] 1:52:42	But fraud.
[2116] 1:52:44	[laughter]
[2117] 1:52:50	[laughter]
[2118] 1:52:56	Oh boy, that's a good time.
[2119] 1:53:03	Yeah. Uh Scott Warin has here wiki
[2120] 1:53:06	citation. Ronald Elden Wyatt was an
[2121] 1:53:09	American nurse anesthes an anesthesiist
[2122] 1:53:11	and pseudoarchchaeologist. Oh yeah, he
[2123] 1:53:13	was totally a pseudoarchchaeologist. He
[2124] 1:53:15	was also a nurse anesthesist too.
[2125] 1:53:20	Which means he prepared the the room for
[2126] 1:53:24	the anesthesiologist.
[2127] 1:53:26	That's what he means. So basically um a
[2128] 1:53:29	nurse an anesthetist is basically
[2129] 1:53:33	somebody
[2130] 1:53:34	who um prepares the room. He might give
[2131] 1:53:38	a a a patient the the relaxation shot
[2132] 1:53:47	before the surgery. But the um the
[2133] 1:53:49	anesthesiologist is actually an MD.
[2134] 1:53:53	Anesthesiologists have to be MDs.
[2135] 1:53:57	So, so he wasn't the guy like
[2136] 1:54:00	controlling the the the mask and the
[2137] 1:54:02	anesthetic. He wasn't that guy. He's not
[2138] 1:54:05	qualified to be that guy.
[2139] 1:54:09	So,
[2140] 1:54:18	yeah. Yeah. The count of mercy. When you
[2141] 1:54:21	don't have an answer, use the ad
[2142] 1:54:22	hominemum attack. Absolutely.
[2143] 1:54:32	Okay, so that was our fun with with
[2144] 1:54:35	Wyatt.
[2145] 1:54:37	By the way, we have a real humdinger
[2146] 1:54:40	that's we are saving for the Monday
[2147] 1:54:42	video. You got a lot still got a lot to
[2148] 1:54:45	work look forward to
[2149] 1:54:50	because something even crazier happened
[2150] 1:54:52	than that.
[2151] 1:54:55	There was a lot of crazy at this year's
[2152] 1:54:57	conferences.
[2153] 1:55:00	Okay, let's move on to the next one
[2154] 1:55:01	here.
[2155] 1:55:03	Close to the end.
[2156] 1:55:05	Uh AJ uh Higgins asks, "Did you present
[2157] 1:55:08	at ETSs this year?" No, I didn't. I was
[2158] 1:55:11	actually too busy with writing
[2159] 1:55:14	[laughter]
[2160] 1:55:15	CPM versus DOSS. How can you have more?
[2161] 1:55:19	[laughter]
[2162] 1:55:20	>> Oh.
[2163] 1:55:21	>> Oh. Oh. Oh yeah, it was crazy. This one
[2164] 1:55:24	was nuts.
[2165] 1:55:26	[laughter]
[2166] 1:55:29	No, no. Even crazier than Wyatt. Even
[2167] 1:55:31	crazier than the Wyatt event. But we'll
[2168] 1:55:33	we'll get into that on on the Monday
[2169] 1:55:36	videos.
[2170] 1:55:36	>> Some of it awesome.
[2171] 1:55:37	>> Some of it awesomely good, but some of
[2172] 1:55:40	it really off-the-wall bonkers.
[2173] 1:55:43	>> All of it very hard to believe.
[2174] 1:55:45	>> Yeah. All of it very hard to believe.
[2175] 1:55:46	Both good and bad. Yeah.
[2176] 1:55:50	Oh.
[2177] 1:55:54	CPN versus US. Looks like I'm going to
[2178] 1:55:56	ETSs for the drama.
[2179] 1:56:02	Some of us do.
[2180] 1:56:13	So, did I present at ETSs this year? No,
[2181] 1:56:15	I didn't. Uh I was way too busy writing
[2182] 1:56:18	doing writing
[2183] 1:56:20	so I couldn't didn't have time. Uh I
[2184] 1:56:22	will be presenting at ETSs next year
[2185] 1:56:24	hopefully. Um
[2186] 1:56:27	I will be submitting a paper next year.
[2187] 1:56:29	I've got already got a paper in mind
[2188] 1:56:31	that I want to submit and um a a forum
[2189] 1:56:36	that might actually allow me to to give
[2190] 1:56:39	it. So,
[2191] 1:56:40	uh, and that's its own piece of crazy,
[2192] 1:56:45	but, um,
[2193] 1:56:47	so yeah. Um,
[2194] 1:56:51	so I didn't present this year. Um, I've
[2195] 1:56:54	sort of eased back to presenting every
[2196] 1:56:56	other year. Uh, I did present last year.
[2197] 1:57:00	I didn't present this year because this
[2198] 1:57:02	year was my writing year. Um, and I did
[2199] 1:57:05	a lot of writing this year. I've still
[2200] 1:57:07	got some more to do. I still got to get
[2201] 1:57:08	that uh chapter done for my publisher.
[2202] 1:57:12	So, um yeah,
[2203] 1:57:15	we'll tell you how well that went on
[2204] 1:57:16	Monday.
[2205] 1:57:23	So,
[2206] 1:57:38	okay, let's go on the next one here.
[2207] 1:57:51	What?
[2208] 1:57:54	The coward one
[2209] 1:57:56	came a coward. You fear to be called out
[2210] 1:57:59	for your hairy sea against the prophet
[2211] 1:58:03	Wyatt Bbu and your denial of the lion
[2212] 1:58:07	snake in the garden.
[2213] 1:58:13	>> [laughter]
[2214] 1:58:15	>> When you can't
[2215] 1:58:22	>> lion snake,
[2216] 1:58:24	[laughter]
[2217] 1:58:27	body of a snake, a tail of a snake.
[2218] 1:58:32	>> Okay. Um, keeps learning asks, "Are you
[2219] 1:58:34	a member of EPS?" EPS is the Evangelical
[2220] 1:58:38	Philosophical Society. I am not a
[2221] 1:58:40	member.
[2222] 1:58:42	We keep trying to renew Mrs. Producers
[2223] 1:58:48	membership and we've had a lot of
[2224] 1:58:50	problems with their credit card system.
[2225] 1:58:53	Okay. They won't take our money cuz
[2226] 1:58:55	they've um their credit card processor
[2227] 1:58:58	is whacked.
[2228] 1:59:02	We've had a lot of issues with dealing
[2229] 1:59:04	with them and and their credit card
[2230] 1:59:07	system. Okay. So,
[2231] 1:59:11	um, I don't qualify as an EPS member. To
[2232] 1:59:15	qualify as an EPS member, you have to
[2233] 1:59:17	have a master's degree or higher in
[2234] 1:59:20	philosophy
[2235] 1:59:22	or a philosophy related subject.
[2236] 1:59:26	Miss Producer has that.
[2237] 1:59:30	I do not.
[2238] 1:59:32	>> So, you
[2239] 1:59:34	>> I was spouse and tow to the EPS
[2240] 1:59:37	meetings.
[2241] 1:59:39	Okay.
[2242] 1:59:42	Oh, no. No. PhD is not enough. It has to
[2243] 1:59:44	be a It has to be um It has to be a me a
[2244] 1:59:48	part of that discipline.
[2245] 1:59:50	>> That's part of the
[2246] 1:59:52	>> Yeah, that's part of the academic and
[2247] 1:59:53	most academic societies have these
[2248] 1:59:55	rules.
[2249] 1:59:56	>> You could have
[2250] 1:59:59	>> Oh, yeah.
[2251] 2:00:02	>> Yeah. I mean, most academic societies
[2252] 2:00:05	have academic
[2253] 2:00:06	standards.
[2254] 2:00:09	Even the NEES has academic standards.
[2255] 2:00:11	You wouldn't know it, but they do. You
[2256] 2:00:15	know, they they basically um
[2257] 2:00:19	um say that you have to have a master's
[2258] 2:00:21	degree or higher in an archaeological
[2259] 2:00:23	discipline.
[2260] 2:00:25	Um
[2261] 2:00:27	the ATS has academic standards. it you
[2262] 2:00:31	have to have a minimum of a THM
[2263] 2:00:34	or a PhD in a cognate field. So So I'm
[2264] 2:00:39	I'm a member of ETSS
[2265] 2:00:42	um because I have a PhD in a cognate
[2266] 2:00:44	field. Mrs. Producer can't be a member
[2267] 2:00:48	of ETSs because she doesn't she's got a
[2268] 2:00:50	master's degree, but that's not good
[2269] 2:00:52	enough for for ETSs.
[2270] 2:00:54	But she can be a member of EPS
[2271] 2:00:59	because she's got a master of arts in
[2272] 2:01:01	bioeththics which is a cognate of
[2273] 2:01:03	philosophy.
[2274] 2:01:05	I don't have that.
[2275] 2:01:07	So she wins and I read her journals. I
[2276] 2:01:11	win for ETSs and she reads my journals.
[2277] 2:01:13	Everyone wins.
[2278] 2:01:22	So
[2279] 2:01:24	yeah, um she's got it right here. Um
[2280] 2:01:27	shared family resources are pretty cool.
[2281] 2:01:29	Yeah.
[2282] 2:01:38	Uh Camil, I feel like I'm developing
[2283] 2:01:41	dyslexia from all these letters being
[2284] 2:01:43	thrown around. Yeah, it happens.
[2285] 2:01:50	Okay.
[2286] 2:02:08	So, let's see what's next on our list
[2287] 2:02:10	here.
[2288] 2:02:12	AJ Higgins, do you think men was an
[2289] 2:02:14	armor? No, I don't. No, I don't think
[2290] 2:02:16	the two are related. Um,
[2291] 2:02:20	the min cult actually occurs in the
[2292] 2:02:23	middle kingdom. Nare
[2293] 2:02:25	uh which was uh from many not men
[2294] 2:02:30	is um
[2295] 2:02:33	is uh much much earlier than that. So I
[2296] 2:02:36	don't think the two are related in any
[2297] 2:02:37	way.
[2298] 2:02:50	>> [clears throat]
[2299] 2:02:53	>> Okay.
[2300] 2:02:55	47
[2301] 2:02:58	the end here.
[2302] 2:03:14	I'll take this one. It's got
[2303] 2:03:15	Worthington. What mindaltering
[2304] 2:03:18	substances have you experimented with?
[2305] 2:03:20	Have you done the intensive meditation
[2306] 2:03:22	which dissolves the sense of self, the
[2307] 2:03:24	illusion? How has this affected your
[2308] 2:03:26	spiritual growth? I have not I have not
[2309] 2:03:31	played or
[2310] 2:03:33	um
[2311] 2:03:35	uh experimented with mind altering
[2312] 2:03:37	substances. It's not my thing. Um,
[2313] 2:03:41	reality is weird enough as it is without
[2314] 2:03:43	making it weirder. [laughter]
[2315] 2:03:46	>> Never been.
[2316] 2:03:50	[laughter]
[2317] 2:03:51	>> It's never been a temptation.
[2318] 2:03:54	It's never been a temptation.
[2319] 2:03:56	>> You want it to get weirder.
[2320] 2:03:59	>> You really want my reality to get
[2321] 2:04:01	weirder. Weirder than it has been.
[2322] 2:04:03	[laughter]
[2323] 2:04:08	>> [laughter]
[2324] 2:04:09	>> Where do you want things to get for me?
[2325] 2:04:15	[laughter]
[2326] 2:04:22	[laughter]
[2327] 2:04:28	CPM versus DOSS. In fact, do we have
[2328] 2:04:31	substances that make the world less
[2329] 2:04:33	weird? Hey, now that I'd get into
[2330] 2:04:37	something that would make this world
[2331] 2:04:38	less weird. [laughter]
[2332] 2:04:44	>> Wait till Monday.
[2333] 2:04:48	[laughter]
[2334] 2:04:49	>> Yeah, wait till Monday and see how wrong
[2335] 2:04:51	that question is.
[2336] 2:04:54	Jeez.
[2337] 2:04:55	[laughter] Uh, no. I've never played
[2338] 2:04:57	with with mindaltering substances. Just
[2339] 2:05:00	not my thing. Uh, I've I've never done
[2340] 2:05:04	um uh marijuana. I've never done uh
[2341] 2:05:08	cocaine. Um there was actually one point
[2342] 2:05:11	where I had used cocaine as part of a
[2343] 2:05:16	medical treatment. Okay. But I was under
[2344] 2:05:18	anesthetic at the time, so didn't do
[2345] 2:05:20	anything to me. Um
[2346] 2:05:24	but uh
[2347] 2:05:26	yeah, that one was weird. That was
[2348] 2:05:28	really weird.
[2349] 2:05:30	>> That was weird. I was I was about to be
[2350] 2:05:32	put into anesthetic and they were doing
[2351] 2:05:35	a procedure and they the
[2352] 2:05:38	anesthesiologist came up to me and said,
[2353] 2:05:40	"Oh, we're going to don't worry, we're
[2354] 2:05:41	going to put some u cocaine up your nose
[2355] 2:05:43	after we knock you out." I said, "Well,
[2356] 2:05:45	what what substance of of of co what
[2357] 2:05:48	sort of de chemical substance?" I was
[2358] 2:05:50	really into chemistry at the time. So, I
[2359] 2:05:52	asked him, he goes, "Oh, no, just powder
[2360] 2:05:54	cocaine like get off the street from a
[2361] 2:05:55	drug dealer." Like, what? [laughter]
[2362] 2:05:59	What
[2363] 2:06:01	was this? Responsibly sourced.
[2364] 2:06:04	[laughter]
[2365] 2:06:08	Okay. But you know there's there's when
[2366] 2:06:10	you're out knocked out, you know, it
[2367] 2:06:11	doesn't do actually affect you in any
[2368] 2:06:13	way. But uh Whoa. But no, I haven't
[2369] 2:06:17	actually tried anything experimented
[2370] 2:06:19	with mind altering substances in any
[2371] 2:06:21	way, you know. Um
[2372] 2:06:26	>> and we have to
[2373] 2:06:30	Yeah. Yeah. You know, reality is just
[2374] 2:06:33	crazy enough that, you know, you I don't
[2375] 2:06:37	need any of that.
[2376] 2:06:40	It's [laughter] just stupid to do that
[2377] 2:06:41	sort of thing.
[2378] 2:06:52	>> Yeah.
[2379] 2:06:53	Yeah.
[2380] 2:06:56	We don't have the
[2381] 2:06:57	>> No, we don't have the time for that. You
[2382] 2:06:59	know, we're we're so focused on our
[2383] 2:07:01	projects that, you know, we kind of have
[2384] 2:07:04	to have our our our
[2385] 2:07:07	our faculties, you know, straight, you
[2386] 2:07:10	know. So, it's just like, okay.
[2387] 2:07:13	Um, it's just dumb to do this.
[2388] 2:07:28	Dark Legos.
[2389] 2:07:30	The high priest folk has spoke and drugs
[2390] 2:07:32	are stupid. Well,
[2391] 2:07:34	>> generally
[2392] 2:07:35	>> they're not productive.
[2393] 2:07:37	>> They're not productive.
[2394] 2:07:38	>> Even the productive.
[2395] 2:07:42	>> Yeah.
[2396] 2:07:45	>> Yeah. A lot of them end up being
[2397] 2:07:47	counter. Even pain relievers are not
[2398] 2:07:49	without risk.
[2399] 2:07:51	They're not without risk. So even some
[2400] 2:07:55	for for medical use, you kind of have to
[2401] 2:07:57	weigh the the costs and and and
[2402] 2:08:02	the the the the drawbacks, you know, the
[2403] 2:08:04	the benefits and the drawbacks because
[2404] 2:08:06	if you don't, you could end up in a
[2405] 2:08:08	world of trouble. You know, a lot of
[2406] 2:08:11	people who who took um oxycottton
[2407] 2:08:16	for for back pain end up being getting
[2408] 2:08:18	hooked on it
[2409] 2:08:20	and then they end up taking heroin on
[2410] 2:08:23	the street. It's just, you know, just
[2411] 2:08:25	really a it's a tragic thing, but you
[2412] 2:08:29	know, you have to weigh the costs of any
[2413] 2:08:32	medical treatment. So,
[2414] 2:08:35	and no, I have not tried Blue Lotus
[2415] 2:08:37	either. Okay, just just to be clear on
[2416] 2:08:40	that.
[2417] 2:08:44	>> Hoffmire.
[2418] 2:08:46	>> No, he wasn't.
[2419] 2:08:48	Uh, Mosingo, does Hoffmire attend ETSs?
[2420] 2:08:52	No, he doesn't. He doesn't go to ETSs.
[2421] 2:08:55	He goes to Azor, though. I saw him at
[2422] 2:08:58	Azor
[2423] 2:08:59	and I did talk to him at Azor. Uh he is
[2424] 2:09:03	uh he um does not attend ETSs.
[2425] 2:09:08	Um I'm not sure why he doesn't attend
[2426] 2:09:10	ETSs. He could have he was there
[2427] 2:09:12	physically, but he just doesn't go
[2428] 2:09:14	there. [clears throat]
[2429] 2:09:17	Um
[2430] 2:09:19	I don't know why he doesn't do ETSs.
[2431] 2:09:22	Okay. And I'll be honest, um the last
[2432] 2:09:25	couple times I've seen him at Azor, he
[2433] 2:09:27	also didn't do ETSs. So, um,
[2434] 2:09:33	so it just doesn't it just isn't one of
[2435] 2:09:34	those things he goes to. A lot of them
[2436] 2:09:37	have sort of gone away from ETSs. Um,
[2437] 2:09:42	I
[2438] 2:09:44	I did not see Lawson Younger either at
[2439] 2:09:46	ETSs.
[2440] 2:09:48	Um, but I saw him at Azor.
[2441] 2:09:54	Dick Averbeck was at ETS, but not Azor.
[2442] 2:09:59	Um,
[2443] 2:10:01	what's his name? Richard Hess. Saw him
[2444] 2:10:03	at both.
[2445] 2:10:05	I saw Richard Hess at both ETSs and
[2446] 2:10:08	Azor. Said hello to him, too. Had a
[2447] 2:10:10	great conversation with him.
[2448] 2:10:14	Um, I also saw Eric Klein.
[2449] 2:10:17	Eric Klene at uh at Azor.
[2450] 2:10:21	Um, I saw Bill Dver. Didn't talk to him
[2451] 2:10:24	this time. Didn't get a chance to say
[2452] 2:10:25	hello. Um, but I did see Bill Dver at at
[2453] 2:10:30	Azor this year, so he's still coming to
[2454] 2:10:33	these things.
[2455] 2:10:37	Yeah. Uh, Klein was at Azor. Um,
[2456] 2:10:42	uh, Emma Slingo says Klein was at Azor.
[2457] 2:10:45	Yeah, he Yeah, he was at Azor. Um
[2458] 2:10:49	Um, I actually said um said hello to
[2459] 2:10:52	him. asked him how he was doing, how how
[2460] 2:10:55	he was keeping up. Um, he's had some
[2461] 2:10:58	tragedy over the years. So, it's kind of
[2462] 2:11:01	painful to him for the go these things.
[2463] 2:11:03	So, you know, I try to stay away from
[2464] 2:11:05	talk about his family.
[2465] 2:11:07	Um, but um but yeah, he was at he was at
[2466] 2:11:11	Azor this year. Um, he's looking well.
[2467] 2:11:14	He's looking well. He's writing. He's
[2468] 2:11:16	keeping up with his writing. So, yeah,
[2469] 2:11:18	that's cool. Um,
[2470] 2:11:21	Darkly asked, "Has the goat ever gone to
[2471] 2:11:24	either?" Are you talking about kitchen?
[2472] 2:11:26	Uh, if you're talking about kitchen,
[2473] 2:11:31	um, he had gone a couple times
[2474] 2:11:35	to Azor and ETSs back in the 19
[2475] 2:11:41	I want to think I want to say 1980s or
[2476] 2:11:44	early 90s, but he never was really big
[2477] 2:11:47	on those conferences. It was too far.
[2478] 2:11:50	Too far.
[2479] 2:12:00	Oh. Uh, the British Academy. Yeah. Why
[2480] 2:12:02	Why would you go to ATS Naser when you
[2481] 2:12:04	got the British Academy right down the
[2482] 2:12:06	street?
[2483] 2:12:08	Yeah. It didn't make sense for Kitchen
[2484] 2:12:10	to go to those conferences.
[2485] 2:12:12	Uh, Murf Monson asks, "Isn't Dver a
[2486] 2:12:15	minimalist?" Yes.
[2487] 2:12:18	Oh yeah. Yeah, he's totally a
[2488] 2:12:19	minimalist. He's less of a minimalist
[2489] 2:12:22	now than he was. Um he's kind of like
[2490] 2:12:25	all of us. We we've kind of come into
[2491] 2:12:27	the middle on this. The maximalists are
[2492] 2:12:29	less maximal. The minimalists are less
[2493] 2:12:31	minimal. We're sort of meeting each
[2494] 2:12:33	other in the middle now. Um
[2495] 2:12:40	um
[2496] 2:12:42	so yeah uh I did see Dver um I heard him
[2497] 2:12:46	talk a couple times but I didn't get to
[2498] 2:12:48	say hello this time. Normally I I try to
[2499] 2:12:51	to grab coffee with him but um
[2500] 2:12:55	uh
[2501] 2:12:56	a minimalist of what? He's a biblical
[2502] 2:12:58	minimalist.
[2503] 2:13:01	So the idea is that um and and it's hard
[2504] 2:13:05	to use even the terms minimalist and
[2505] 2:13:06	maximalist anymore because they don't
[2506] 2:13:09	mean what they used to mean.
[2507] 2:13:12	Uh but he he thought that uh a lot of
[2508] 2:13:16	say the biblical text was was made up
[2509] 2:13:19	and he was very skeptical of it. Now
[2510] 2:13:22	he's less so. So,
[2511] 2:13:29	um,
[2512] 2:13:32	so
[2513] 2:13:34	he used to be he used to be really rigid
[2514] 2:13:37	about this stuff. You know, it was it
[2515] 2:13:40	used to be said that uh it was a right
[2516] 2:13:43	of passage to be devered.
[2517] 2:13:46	Um, and I was probably one of the last
[2518] 2:13:49	people to be devered.
[2519] 2:13:52	And to be diverted is when you go to
[2520] 2:13:54	when you give a paper
[2521] 2:13:57	and and Bill Dver shows up and he goes
[2522] 2:14:01	on a rant for 10 minutes about how
[2523] 2:14:04	everything you say is worthless.
[2524] 2:14:07	Um
[2525] 2:14:10	now when I gave my first paper at Azor
[2526] 2:14:15	I was in a session
[2527] 2:14:18	uh with uh Thomas Schneider and what's
[2528] 2:14:22	his name? Sparks I think was his last
[2529] 2:14:24	name.
[2530] 2:14:27	And um DVA went on his 10-minute rant
[2531] 2:14:31	about everything he said everything
[2532] 2:14:33	everyone said was complete rubbish.
[2533] 2:14:37	And um
[2534] 2:14:41	and um I thought at the end of it, you
[2535] 2:14:43	know, he did scarcely commented on my
[2536] 2:14:45	paper at all. So I thought I actually
[2537] 2:14:48	got away pretty scot-free on this.
[2538] 2:14:51	[laughter]
[2539] 2:14:55	So So I I I felt pretty good about it.
[2540] 2:14:58	You know, if if this is being de That's
[2541] 2:15:00	the worst that can happen. Okay. Yeah.
[2542] 2:15:02	No, [laughter] it's not. It's I'm going
[2543] 2:15:05	to do just fine. Just going to do just
[2544] 2:15:07	fine.
[2545] 2:15:09	[laughter]
[2546] 2:15:15	[laughter]
[2547] 2:15:19	Ah, yeah. Those are good. Those were
[2548] 2:15:20	good times. He doesn't dra people
[2549] 2:15:22	anymore, though.
[2550] 2:15:26	He now says mostly nice things.
[2551] 2:15:30	So, he's mellow out a lot.
[2552] 2:15:33	He'll still he'll still like like
[2553] 2:15:36	um suck the air out of the room for
[2554] 2:15:39	about two or three minutes, but it's no
[2555] 2:15:41	longer it's no long he no longer just
[2556] 2:15:43	does the 10-minute ramps anymore.
[2557] 2:15:49	So, dude's mellowed out a lot. A lot of
[2558] 2:15:51	those guys have mellowed out a lot. Um
[2559] 2:15:55	must be getting old.
[2560] 2:15:58	You know, the day and age of the Tommy
[2561] 2:16:00	Thompson uh 10-minute rants, the Bill
[2562] 2:16:03	Diver rants, they're gone.
[2563] 2:16:11	So, and and I kind of miss that to be
[2564] 2:16:14	honest.
[2565] 2:16:16	The idea that somebody could go on a
[2566] 2:16:18	rant for 10 minutes
[2567] 2:16:20	[snorts]
[2568] 2:16:21	because they hate their your papers so
[2569] 2:16:22	much.
[2570] 2:16:24	I would I kind of miss those days.
[2571] 2:16:28	I kind of missed those days because uh
[2572] 2:16:31	frankly
[2573] 2:16:34	um
[2574] 2:16:36	it kept everyone on their toes, you
[2575] 2:16:38	know. It kept everybody on their toes
[2576] 2:16:40	that you could be potentially chewed out
[2577] 2:16:42	for 10 minutes.
[2578] 2:16:45	Oh yeah, it's a filibuster of academia.
[2579] 2:16:47	Yeah.
[2580] 2:16:51	[laughter] The part mellowing out with
[2581] 2:16:52	age. What happened to the days of the of
[2582] 2:16:54	grouchy old men? They got tired.
[2583] 2:16:58	They got tired.
[2584] 2:17:01	Yeah, being grouchy takes energy. Who
[2585] 2:17:04	Nobody has nobody has the energy for
[2586] 2:17:06	that anymore.
[2587] 2:17:08	Um
[2588] 2:17:10	so, um I as I said, I sort of miss that
[2589] 2:17:13	the the academics aren't don't have that
[2590] 2:17:17	that damically sword hanging over their
[2591] 2:17:19	head and so they're not on their toes.
[2592] 2:17:21	They're not doing their homework, you
[2593] 2:17:23	know, they're they're I would Oh yeah,
[2594] 2:17:26	we're seeing a lot of lazy scholars now.
[2595] 2:17:28	And um I I say I I'd love to see a
[2596] 2:17:31	return, but then again too, moderators
[2597] 2:17:33	aren't tolerating it anymore. You know,
[2598] 2:17:36	moderators aren't are taking away the
[2599] 2:17:38	mic
[2600] 2:17:40	rather than letting them rant for 10
[2601] 2:17:42	minutes.
[2602] 2:17:44	So, I would, as I said, I would really
[2603] 2:17:47	kind of like to see a return to that
[2604] 2:17:50	because I I think the quality of
[2605] 2:17:54	scholarship has dropped
[2606] 2:17:57	because that's not a threat anymore.
[2607] 2:18:01	So,
[2608] 2:18:03	you know, I kind of like the idea that
[2609] 2:18:06	that we're all mellowing out on one
[2610] 2:18:08	hand, but I'd like to see the rigor
[2611] 2:18:11	back.
[2612] 2:18:12	We're not seeing as much rigor anymore.
[2613] 2:18:18	Um, we're seeing some pretty strange
[2614] 2:18:19	stuff though.
[2615] 2:18:24	Um,
[2616] 2:18:26	so, uh,
[2617] 2:18:29	but yeah, it takes energy to be grouchy.
[2618] 2:18:32	It takes energy to do a 10-minute rant.
[2619] 2:18:34	Nobody's got that energy anymore.
[2620] 2:18:37	I mean, I even saw I mean, even seeing
[2621] 2:18:40	Petravich mellow out,
[2622] 2:18:45	you know? That's that was weird.
[2623] 2:18:48	Okay.
[2624] 2:18:53	All right. So, let's move on here.
[2625] 2:19:03	Uh, Andrew Gri has a member question
[2626] 2:19:05	here.
[2627] 2:19:07	Uh, could it be that some thinks Ron Ron
[2628] 2:19:10	Wyatt was normal?
[2629] 2:19:12	There are people out there that think
[2630] 2:19:13	he's the um
[2631] 2:19:17	he really thinks he was a prophet of
[2632] 2:19:18	God.
[2633] 2:19:20	There are people out there that really
[2634] 2:19:22	do think
[2635] 2:19:24	he had the divine revelation of God,
[2636] 2:19:27	that he was visited by Jesus Christ,
[2637] 2:19:29	that he had angelic revelations, God
[2638] 2:19:32	spoke to him directly.
[2639] 2:19:35	There isn't much difference
[2640] 2:19:39	between wrong Wyatt and Muhammad.
[2641] 2:19:44	Really isn't.
[2642] 2:19:46	not dying.
[2643] 2:19:48	>> No.
[2644] 2:19:52	>> Yeah, it's And it's not it's not dying
[2645] 2:19:57	down with his death. We thought we
[2646] 2:19:59	thought we were done with this guy when
[2647] 2:20:01	he passed away,
[2648] 2:20:04	but the internet has breathed new life.
[2649] 2:20:09	He's got more followers now than he's
[2650] 2:20:10	ever had.
[2651] 2:20:13	and his widow and his best friend, you
[2652] 2:20:16	know, keep it alive.
[2653] 2:20:30	Are they comfortably dumb? No. No. It's
[2654] 2:20:31	a grift for for for
[2655] 2:20:35	the wide clan. It's a grift.
[2656] 2:20:39	>> It's their only source of income really.
[2657] 2:20:44	So, it's a grift for for for Marin Nell.
[2658] 2:20:47	Um, it's a grift for um I forget the his
[2659] 2:20:50	name, the guy who runs a Wyatt Museum
[2660] 2:20:51	now. It's a gri for him. It's a griff
[2661] 2:20:54	for most of those guys who are actually
[2662] 2:20:56	involved within the organization.
[2663] 2:20:59	Um,
[2664] 2:21:02	you know, money, money, money.
[2665] 2:21:09	>> Oh, yeah. Yeah, we were all taught in
[2666] 2:21:10	the 80s that this is biblical
[2667] 2:21:11	archaeology. Yeah. None of us knew
[2668] 2:21:14	better, but we were all taught that from
[2669] 2:21:16	the pulpit.
[2670] 2:21:20	>> Great story.
[2671] 2:21:21	>> Yeah, he was a great storyteller. That's
[2672] 2:21:23	the facts.
[2673] 2:21:24	>> It wasn't a true story.
[2674] 2:21:29	Uh CPN versus uh scrift is the correct
[2675] 2:21:32	words. Yeah.
[2676] 2:21:34	Yeah.
[2677] 2:21:41	[laughter]
[2678] 2:21:43	The Wyatt Museum. The heck does he need
[2679] 2:21:45	a museum for? Is he on display like
[2680] 2:21:48	Lennon?
[2681] 2:21:50	Ooh. Ow. Um.
[2682] 2:21:53	Oh, it's it's all his fraudulent f finds
[2683] 2:21:55	like the supposed uh uh finger bone of a
[2684] 2:21:58	giant.
[2685] 2:22:00	Well, it was a giant sloth, but not a
[2686] 2:22:02	human giant.
[2687] 2:22:06	Details, details. The petrified wood of
[2688] 2:22:10	uncertain providence
[2689] 2:22:12	that's that's been ascribed to Noah's
[2690] 2:22:14	arc.
[2691] 2:22:17	Yeah, there's there's all sorts of this
[2692] 2:22:19	stuff, you know. He his his uh his his
[2693] 2:22:22	museum is full of of of curios
[2694] 2:22:27	um that would put uh um PT Barnum to
