[0] 0:01	foreign [Music]
[928] 1:46:47	basket throws them down the the Tigris River or Euphrates and it just bounces
[929] 1:46:52	about till it ends up being pulled out of the uh The River by a gardener
[930] 1:46:58	and then that Sargon grows up he uh
[931] 1:47:03	um uh users the throne conquers a bunch of Kingdoms and they're suffering in the
[932] 1:47:09	land okay so
[933] 1:47:15	what we have here is two Casa priests
[934] 1:47:21	they're taking the ancient equivalent of natitude naditum vows they're taking
[935] 1:47:26	vows of uh of sexual
[936] 1:47:32	um Purity as such and yet they're getting married
[937] 1:47:38	and then they're producing children while under the under their vows
[938] 1:47:44	and that's what's causing the production of these Fallen individuals
[939] 1:47:53	is is the breaking of those vows and this is entirely consistent with
[940] 1:47:59	Bronze Age literature so that's what we have here
[941] 1:48:04	is two sets of cults uh one that uh is a cast of priest for
[942] 1:48:12	the for God one that is basically practicing a ancestor cult they've both
[943] 1:48:19	taken vows they're both breaking the vows and they're producing these people
[944] 1:48:25	who are very powerful and disruptive because of the vows they've broken
[945] 1:48:33	so that's how I understand Genesis 6. and it's all based upon my readings of
[946] 1:48:40	say the um uh LeBron's age sources here so anyway I
[947] 1:48:46	hope that answers your question thank you very much the super chat um it's a very interesting subject and I
[948] 1:48:54	think again uh I think it's a mistake to read Genesis 6 According to second temple
[949] 1:49:00	literature because it's Bronze Age literature so we have to read it according to its textual context
[950] 1:49:08	and that's that's clearly going to be Bronze Age texts like
[951] 1:49:13	um some of the Canadian from tablets we find according to say the literature of
[952] 1:49:19	Egypt and of Mesopotamia so thank you very much for the Super Chat very much appreciate it
[953] 1:49:31	okay the next Super Chat here is from
[954] 1:49:46	okay that's from ass and we're for 4.99 thank you much to Super Chat
[955] 1:49:52	of all the heresies in church history which do you think was the worst
[956] 1:49:58	ooh
[957] 1:50:07	that's a tough question there's no good heresies
[958] 1:50:15	I mean you're you're talking here the difference between bad and really bad
[959] 1:50:24	narcissism's bad I mean it's really bad and
[960] 1:50:30	and it it's long lasting it's been around since the beginning of
[961] 1:50:36	Christianity and it continues to this very day uh but arianism is all so bad
[962] 1:50:46	um arianism starts with uh Aries of Alexandria and we still find it today
[963] 1:50:52	and say the Jehovah's Witnesses you know the Jehovah's Witnesses is essentially
[964] 1:50:57	the uh the heresy of Arius of Alexandria
[965] 1:51:03	so it's it's tough It's a tough call
[966] 1:51:08	um I think maybe uh arianism has probably
[967] 1:51:13	led more people to destruction than gnosticism okay because one of the things about gnosticism
[968] 1:51:21	is that narcissism is always appealed to an elite group narcissism has never been a
[969] 1:51:29	Mass consumption religion it's always been an elitist religion
[970] 1:51:35	uh even when it I guess the most how do I say this the most
[971] 1:51:42	its most popular form was uh in the religion of Christian Science
[972] 1:51:49	okay now unfortunately Christian Science which is not Christianity in case anyone's confused Christian Science is a
[973] 1:51:56	gnostic cult it believed that nothing was is this
[974] 1:52:01	this physicality of the world isn't real that to to cure disease all you have to
[975] 1:52:07	do is just pretend it doesn't exist yeah
[976] 1:52:13	um and right now they have less than a hundred thousand followers you know they were used to I mean Christian Science
[977] 1:52:19	was very very popular at the turn of the 20th century today it's virtually non-existent
[978] 1:52:25	but that just seems to be the the rise and fall the fortune of Gnostic Cults so
[979] 1:52:31	we do see this with narcissism where you know agnostic group will might get a little bit of traction to begin with but
[980] 1:52:37	then it sort of Peters out so it it it's never had the same broad
[981] 1:52:43	appeal as say the Aryan groups have so
[982] 1:52:49	arianism is just I think I think probably the the worst uh uh heresy in
[983] 1:52:54	Christian history just because it affected so many people and still does to this day
[984] 1:53:00	you know even after say the council and I see that condemned uh aryanism
[985] 1:53:06	arianism didn't go away in in fact it spread
[986] 1:53:11	it continued to spread through say the um uh uh European territories for example
[987] 1:53:19	the ostrogoths they were they were Aryans you know they were they were full-blown
[988] 1:53:25	Aryans and when they attacked Rome they were doing it as you know holding up the
[989] 1:53:32	mantle of arianism so you know arianism did not go away
[990] 1:53:38	with nicaea it just proliferated and it proliferated into hundreds of
[991] 1:53:44	thousands millions of people you know narcissism never had that sort of sway
[992] 1:53:51	even with all the variations that gnosticism had it was it was always a as
[993] 1:53:57	I said an elitist religion
[994] 1:54:02	because here's here's one of the differences between arianism and say gnosis
[995] 1:54:08	arianism if you got the basic philosophy you got it you know if you believe that that Jesus
[996] 1:54:15	Christ was nothing but a created being a just more or less the first creation of of
[997] 1:54:20	god Jehovah and that you know that created being then creates the
[998] 1:54:27	world almost like a demiurge um you know you've you've mastered the
[999] 1:54:32	essentials of ofarianism it's very easy to teach anyone can teach arianism
[1000] 1:54:38	it's Simplicity is what made it gave it such traction
[1001] 1:54:45	anyone could teach arianism to anyone you didn't need to be a specialist to do it
[1002] 1:54:51	which is why you have so many non-specialists doing it and this isn't just a modern phenomena it's
[1003] 1:54:58	an ancient phenomenon too you know you did not need Specialists uh you know Highly Educated priests to teach
[1004] 1:55:04	arianism so that's why it spread so rapidly
[1005] 1:55:09	you know it's spread by Word of Mouth narcissism on the other hand
[1006] 1:55:16	was so tricky and so complicated and a lot of it was well
[1007] 1:55:25	to understand gnosticism you had to understand the inner secrets you needed teachers who were highly
[1008] 1:55:32	knowledgeable in all the intricacies of the secret knowledge
[1009] 1:55:37	that's going to narrow down the pool of teachers and the pool of students
[1010] 1:55:45	so it's you're not going to ever get the same numbers with narcissism that you
[1011] 1:55:51	would get with arianism not even close in fact it's probably even safe to say
[1012] 1:55:57	that there were dozens of of Aryans for everyone Gnostic you know it just just
[1013] 1:56:03	isn't even uh even talk about numbers not even even remotely similar
[1014] 1:56:09	now you could make the case
[1015] 1:56:15	that say narcissism was more influential on sort of elite thinking uh then say
[1016] 1:56:22	arianism but you're then now comparing well how does
[1017] 1:56:30	it affect I mean there I mean yeah okay there is a lot of narcissism floating around the culture
[1018] 1:56:37	probably more more narcissism floating around the culture than arianism but then you're sort of comparing well
[1019] 1:56:44	what's the number of adherents versus what's the effect on society
[1020] 1:56:51	in that case you could probably also make a claim then the narcissism was worse but again
[1021] 1:56:56	you're talking about a rat rocks and apple versus a rock and orange you know they're both rocked him
[1022] 1:57:02	so um
[1023] 1:57:09	uh take that one here uh we got a question oops here
[1024] 1:57:16	all right uh just initials asks does Mormonism come from arianism no it
[1025] 1:57:22	doesn't uh Mormonism is its own thing
[1026] 1:57:27	um Jehovah's Witnesses comes from arianism but that's the Bible uh
[1027] 1:57:34	a Watchtower bible and track Society also known as Jehovah's Witnesses they come from arianism Mormonism comes from
[1028] 1:57:41	something else Mormonism is essentially a
[1029] 1:57:47	um a polytheistic system it's essentially the idea there were
[1030] 1:57:54	many gods and you have a hierarchy of gods and Mormonism uh and for example Adam God which is
[1031] 1:58:02	what they call the Creator God Elohim uh
[1032] 1:58:08	he is not God of the universe in Mormonism he's the only God of this world
[1033] 1:58:14	okay and I'm God and Eve goddess
[1034] 1:58:20	procreate and have lots of other baby gods you know some of them become Angels some
[1035] 1:58:26	of them become demons and many of them become Spirit babies
[1036] 1:58:31	that are born as human beings because every human being is also a God in Mormonism
[1037] 1:58:37	so and the purpose of Mormonism is to become a god yourself and Rule your own
[1038] 1:58:43	planet so think of Mormonism as sort of a big Divine pyramid scheme
[1039] 1:58:50	without the fun of actually building a stone pyramid but it's a pyramid scheme essentially where every God is you know
[1040] 1:58:58	you're you're subservient to another God until you become independent and
[1041] 1:59:04	basically rule your own planet so uh
[1042] 1:59:13	so that's that's basically Mormonism in a nutshell it's not it's not related to gnosticism or arianism in any way it's
[1043] 1:59:21	more it's more akin to Hinduism it's more akin to Hinduism than than it
[1044] 1:59:27	is to say other other religions but it's not like Hinduism either it's so they
[1045] 1:59:35	oh no it's not like Divine counsel Theory at all I know it's Mormonism is not
[1046] 1:59:41	related in any way Divine Council Theory now they do Adam God does have a Divine
[1047] 1:59:48	counsel but it's that Divine counsel is essentially uh the children
[1048] 1:59:56	of Adam and Eve God or Adam God and Eve goddess
[1049] 2:00:05	so yeah no it's it's not Divine Council Theory but theology but it is there is a
[1050] 2:00:11	kind of counsel like the the angels who are also Divine children of of
[1051] 2:00:20	um or and God's in their own right okay yeah angels angels in in Mormonism
[1052] 2:00:26	are also gods so uh you know every every everybody in
[1053] 2:00:32	Mormonism is a Divine entity you know is is is a god at least in potential
[1054] 2:00:41	and God on the level of Adam God all right so so we're not talking about Divine counsel words monarchial
[1055] 2:00:47	monotheism okay Mormonism is not a monarchial monotheism
[1056] 2:00:53	it's a hennotheism you know the idea is that every world
[1057] 2:01:00	has its own God every world has its own God and but you owe Your Allegiance in
[1058] 2:01:07	Mormonism to the God of this world so
[1059] 2:01:15	yeah it's it is yeah it's it is kind of like that it's
[1060] 2:01:22	kind of like that at least as if you're a human being you're a God and potential
[1061] 2:01:27	if you're a good Mormon who pays your tithes gets uh baptized
[1062] 2:01:33	and is in good standing with the Mormon church and does good works you'll get your own plants someday
[1063] 2:01:40	that's Mormon Theology and it's a Works theology it's absolutely a work theology
[1064] 2:01:51	so anyway uh thank you very much for the question very much appreciated and we'll
[1065] 2:01:57	move on here to the next Super Chat
[1066] 2:02:04	back to where it was here
[1067] 2:02:26	okay
[1068] 2:02:34	uh Josh Nichols here uh for 4.99 thank you very much for the
[1069] 2:02:40	Super Chat uh thoughts and sons of God passage uh Genesis 6 to 7 which we just discussed
[1070] 2:02:46	uh seems like there are three views and uh yeah there's there's actually
[1071] 2:02:52	um you know this is probably fair to say that there's roughly three main views
[1072] 2:02:57	um you do have say um the idea that uh you have Angels
[1073] 2:03:03	coming down and procreating um with um men to produce Nephilim which are
[1074] 2:03:11	these sort of demigod beings and that's the few Heiser takes uh the more popular view probably in the
[1075] 2:03:18	20th century was that these were representing the sons of God was the
[1076] 2:03:25	quote Godly line of of Abel Daughters of men the ungodly line of Cain who
[1077] 2:03:31	intermarried that was probably the most popular view during the 20th century
[1078] 2:03:38	um you of course have my view that these are Priestly casts [Music] um I don't think we'll ever know for sure
[1079] 2:03:44	which one's the right one because of um just because there's so much
[1080] 2:03:52	intertextuality happening here and you know uncovering that's
[1081] 2:03:57	you know it's it's gonna take time to to Really sort of unfold that
[1082] 2:04:02	but um yeah that's fair to say that there's three views there might even be some more views to be honest people do
[1083] 2:04:08	have various interpretations of this passage so it is disputed it is
[1084] 2:04:14	um it really sources it does lean to be more along the lines
[1085] 2:04:20	of say hyzer's view um you go into say church history sources like earlier sources and say
[1086] 2:04:26	labor benic sources it does tend to be much more along the hyzerian view here
[1087] 2:04:32	but I don't think that's the only that just because it's the most popular view doesn't necessarily mean it's the right
[1088] 2:04:38	View so again I'd caution people here on say I'm getting too dogmatic about this one
[1089] 2:04:46	so anyway thank you very much for the Super Chat very much appreciate it and I hope that helped
[1090] 2:04:57	any Odessa for 11 New Zealand thank you very much for the Super Chat hello how accurate are AI statistical
[1091] 2:05:05	methods for things like dating an authorship of ancient texts have they been applied to biblical books such as
[1092] 2:05:12	Daniel okay uh depends on the statistical method
[1093] 2:05:19	they can be really good they can be wildly off
[1094] 2:05:26	um interesting just recently somebody had tried an AI statistical model dating the
[1095] 2:05:33	pentateuch and discovered it was uh the AI returned
[1096] 2:05:40	that oh this is much older than the documentary hypothesis in chess
[1097] 2:05:46	tell you that story got buried fast
[1098] 2:05:52	that was not that was not a well received result I'll say that
[1099] 2:06:05	um I don't think anyone's applied it yet to the Book of Daniel um we'd have to see how that works again
[1100] 2:06:11	it's going to be a lot of it's going to depend on the statistics yeah statistical methods involved
[1101] 2:06:17	and also the linguistic methods so you're gonna have to train the AI to
[1102] 2:06:22	to really not only just uh check out uh the statisticals but this statistics but
[1103] 2:06:31	also the linguistics and that's going to be the difficulty on this one
[1104] 2:06:39	political portion is is there's some variants there it's the big
[1105] 2:06:46	variance is going to be on the linguistics because once you train an i you have to
[1106] 2:06:52	sort of keep training it in in linguistics the problem with Linguistics is because
[1107] 2:06:58	most of these languages that we're dealing with are still languages we're learning
[1108] 2:07:03	uh because their languages were still learning it's going to have to be tweaked over time
[1109] 2:07:09	that could change the results over time too so
[1110] 2:07:14	uh so yeah um it can be very accurate it can be
[1111] 2:07:20	very accurate it can also be wildly inaccurate too again it depends on methodology
[1112] 2:07:27	so uh anyway that's all I can say on this one um but again the last most recent result
[1113] 2:07:33	that came out on the pentateuch was just again that's that story was buried fast
[1114] 2:07:40	okay
[1115] 2:07:49	As and we're for 199. thank you very much for the Super Chat see non-super chat all right
[1116] 2:07:58	and he asks let's say you make a historical case for
[1117] 2:08:03	a Biblical event for example The Exodus Jesus resurrection and skeptic responds by saying all you
[1118] 2:08:10	have are claims and claims aren't evidence how would you respond all right
[1119] 2:08:17	um
[1120] 2:08:23	there's a disingenuate this is a disingenuous
[1121] 2:08:29	um aspect to that response
[1122] 2:08:38	and I and on one hand I I do understand what he I think he's trying to drive at
[1123] 2:08:44	which is that it doesn't meet his evidentiary Horizon
[1124] 2:08:51	okay now what do I mean by that we all have Horizons
[1125] 2:08:58	historians talk about this thing called Horizon and a horizon is what you consider to be
[1126] 2:09:05	evidence now there are things that are obviously
[1127] 2:09:12	evidence you know written sources all that the problem is once
[1128] 2:09:20	rise and can become so narrow that practically everything is excluded
[1129] 2:09:26	as evidence yeah this is a problem
[1130] 2:09:33	this is a problem and it's a problem that Skeptics are particularly prone to
[1131] 2:09:39	where the Horizon is so limited doesn't matter what you say it's always going to be perceived as a claim and not evidence
[1132] 2:09:46	even if it is very compelling evidence you know like for example you know you
[1133] 2:09:53	often hear claims that there's no evidence for the Exodus well there's a lot of evidence for it
[1134] 2:09:59	you know we have evidence of a large Semitic City living in the Nile Delta
[1135] 2:10:05	we have a evidence of a migration from that said City
[1136] 2:10:11	we also have evidence that the culture is consistent with what we see in the
[1137] 2:10:16	biblical account you know each of these is you know we have evidence of Egyptian
[1138] 2:10:21	loanwords in the book of Exodus each of these is pieces of evidence
[1139] 2:10:30	any skeptic can say all you have is claims
[1140] 2:10:37	my producer says if it's not a photograph from the time it's not evidence
[1141] 2:10:43	[Laughter] yeah
[1142] 2:10:48	again this is this is just the the matter of horizon being so narrow that
[1143] 2:10:54	nothing can qualify as evidence you know I I heard Josh bone once say
[1144] 2:11:01	you know recognize that okay we have the menoptistila that talks about Israel and Canaan but that's not
[1145] 2:11:08	the same Israelites as the Israelites of the Iron Age
[1146] 2:11:14	100 years before that season was written on like a hundred years 100 200 years of
[1147] 2:11:20	tops before the Iron Age if those aren't the same Israelites I don't know who would be
[1148] 2:11:30	that is just a horizon that's gone to a ridiculous extreme really
[1149] 2:11:36	you know
[1150] 2:11:42	so you know anytime I hear this this this you all you have is claims
[1151] 2:11:48	well you know that might be true but more often than not it's going to be just a really really restricted Horizon
[1152] 2:11:58	so you know if if that's you wouldn't use that in any other
[1153] 2:12:04	historical argument too and that's the other issue in this too is
[1154] 2:12:10	would they use the same sort of restrictive
[1155] 2:12:15	um ryzen for say more secular claims and the
[1156] 2:12:21	chances and the answer to that is usually no it's usually no
[1157] 2:12:28	you know they'll use they'll use a much broader Horizon for say normal secular arguments
[1158] 2:12:34	but when it comes to say a Biblical text then the Horizon gets very small very fast
[1159] 2:12:40	that does show a kind of um bias against the against say the
[1160] 2:12:46	events or the text whatever the case may be
[1161] 2:12:51	yeah BC says extraordinary claims require extraordinary evidence no extraordinary claims require evidence
[1162] 2:13:00	evidence is evidence yeah yeah I mean that's that that Carl's
[1163] 2:13:06	saying quote uh extraordinary claims require extraordinary evidence is is an example of a restrictive
[1164] 2:13:14	Horizon you know any logical argument requires evidence
[1165] 2:13:20	but there's nothing in in in the history of logic that says that an extraordinary claim requires extraordinary evidence
[1166] 2:13:26	if it's evidence it's still evidence
[1167] 2:13:33	yeah exactly the two's got it right here any claim extraordinary not requires
[1168] 2:13:38	adequate evidence precisely evidence is evidence whether it's
[1169] 2:13:43	extraordinary or mundane evidence in fact to be very honest some of the best evidence for any claim
[1170] 2:13:50	is mundane evidence you know
[1171] 2:13:55	mundane evidence is less likely to be contested it's less likely to be
[1172] 2:14:02	um defeated by say poor reasoning
[1173] 2:14:07	mundane evidence is better evidence for most claims
[1174] 2:14:18	yeah you know why we my producer just gave
[1175] 2:14:24	the example you know why do we believe in in dinosaurs because they let left us mundane
[1176] 2:14:30	evidence bones footprints
[1177] 2:14:37	it's mundane evidence but it's also the least contestable you know we we don't see of living T-Rex
[1178] 2:14:45	walking around goes ah you see I wasn't going to believe in a T-Rex until I saw a living one walking down Main Street
[1179] 2:14:54	no dinosaurs left us men mundane evidence and it's the least contestable because
[1180] 2:15:01	it's mundane so yes
[1181] 2:15:07	and and frankly there's nothing more extraordinary than basically saying that there's a
[1182] 2:15:13	40-foot lizard walking around Main Street
[1183] 2:15:19	so why don't we demand extraordinary evidence for that because the medane evidence suffices
[1184] 2:15:28	it suffices so if you have an extraordinary claim
[1185] 2:15:33	all you do need is sufficient evidence and mundane evidence is even better
[1186] 2:15:42	so again what we're dealing here with is a a horizon issue a horizon issue that
[1187] 2:15:49	sort of excludes anything that can be evidence much for the Super Chat very very much
[1188] 2:15:55	appreciate it and I hope that helped
[1189] 2:16:02	exegetical apologetics for five dollars thank you very much for the Super Chat sponsoring a non-super chat of your
[1190] 2:16:09	choice thank you for what you do Mr and Mrs Faulk well you're most welcome it's real pleasure to be able to do this
[1191] 2:16:16	so let's find us non-super chat
[1192] 2:16:29	foreign
[1193] 2:16:34	dark blade whereabouts
[1194] 2:17:05	um [Music]
[1195] 2:17:19	all right we'll take dark blades here it's a mathematical question
[1196] 2:17:24	I'm not going to verify the math all right so here's the sponsored question
[1197] 2:17:30	if each pyramid worker was paid the equivalent of five dollars an hour and worked for 2 000 hours a year and 10
[1198] 2:17:39	000 workers worked on pyramids for 15 years I calculated that a building
[1199] 2:17:44	appear building a pyramid would cost 1.5 billion is this accurate
[1200] 2:17:50	well I don't I'm not going to verify your math okay um I'm going to assume that your math here is correct
[1201] 2:17:57	however that five dollars an hour
[1202] 2:18:03	is was probably a lot less back then power of inflation is at work here
[1203] 2:18:11	five out of dollars an hour is like minimum wage today
[1204] 2:18:17	at least in some lesser good States yeah in today's terms yeah in today's
[1205] 2:18:23	terms so yeah uh let's see uh what would be two thousand uh a year here now we have
[1206] 2:18:30	to understand that the Egyptian worker worked 10 days a week yeah yeah our modern
[1207] 2:18:39	weeks or seven the Egyptian week was 10 days they worked nine and a half days
[1208] 2:18:46	okay so there's probably more working hours there than two thousands let's see we'll
[1209] 2:18:52	see what is it he's doing at two thousand so 365. yeah he's working more uh pyramid
[1210] 2:18:58	workers working more than five hours a day um he's probably working more like like
[1211] 2:19:04	10 so
[1212] 2:19:09	yeah they were just paid in food no
[1213] 2:19:17	so so it was more likely to be closer to
[1214] 2:19:26	well let's let's bump it up to 12 hours because you know they're going to get
[1215] 2:19:31	the most out of daily so your typical worker would probably have worked about 40 4 400 hours a year
[1216] 2:19:40	so you take 4 400 hours it Times by five times
[1217] 2:19:48	ten thousand
[1218] 2:19:54	here all right it's going
[1219] 2:20:01	I think I'm getting more like 22 billion but
[1220] 2:20:09	nope
[1221] 2:20:15	um 10K I'm getting 220 million of my calculations but they can be right
[1222] 2:20:23	so I was an hour two thousand years a year oh 15 years sorry
[1223] 2:20:28	but multiply by 15. all righty that makes more sense there
[1224] 2:20:37	yeah I'm getting about 3.3 billion in my calculations thank you
[1225] 2:20:43	but yeah well yeah I wouldn't caught it wouldn't
[1226] 2:20:50	have cost that much it wouldn't cost that much here's the thing um first of all they're paid in food
[1227] 2:20:56	they're paid in food um the food is basically uh cultivated
[1228] 2:21:02	from Lands Run by the government Okay so
[1229] 2:21:07	um the government is not having to buy food it's not having to buy food but it is
[1230] 2:21:13	having to produce food so the government is basically controlling the lands along the Nile
[1231] 2:21:20	and is growing a food to pay the workers
[1232] 2:21:26	second of all uh inflation really happened there was a lot of inflation in
[1233] 2:21:32	Egypt so if we go back in time
[1234] 2:21:38	the cost of Labor during the pyramid age especially its height during Dynasty
[1235] 2:21:44	floor was very low I mean
[1236] 2:21:49	it would have even probably been conceivable that it was more along in the matter of pennies an hour
[1237] 2:21:55	rather than dollars an hour so even then you're talking about apples
[1238] 2:22:00	and oranges because the rate of inflation is so different from then to today
[1239] 2:22:07	hmm so it's only it would be accurate if you
[1240] 2:22:15	tried to do it in today's terms but the economics of this has changed so
[1241] 2:22:21	dramatically over time um that it's it's hard to compare really
[1242] 2:22:28	I think what would be accurate or at least close to Accurate as long as you take like 12-ish hours a day
[1243] 2:22:35	um you know multiply that by 10 000 workers times
[1244] 2:22:40	per mid years you'll probably get a good idea of how many hours were spent
[1245] 2:22:46	on a pyramid that would be accurate but the actual payment and how much it
[1246] 2:22:52	would cost is probably not going to be accurate just because currencies changed so much
[1247] 2:22:57	so honey thank you very much for this for the question and thank you to the sponsor who uh paid for the question
[1248] 2:23:17	okay let's see where we are next okay so again thank you to exegetical
[1249] 2:23:24	apologetics for sponsoring the question
[1250] 2:23:33	uh at somewhere for 199. uh any systematic theology books you would
[1251] 2:23:40	recommend okay thank you very much for the super chat um what is the name of that one you have
[1252] 2:23:46	right there um
[1253] 2:23:51	systematic theology no the best one
[1254] 2:23:57	yeah I know it's on the Shelf there oh I'm coming yeah Wayne grudums that's it
[1255] 2:24:05	yeah it's it's a medical apologetics not ventils no
[1256] 2:24:10	nope sorry I do not recommend van Till's systematic theology [Laughter]
[1257] 2:24:20	it's just Systematic Theology by yeah yeah it's just called systematic uh
[1258] 2:24:25	theology by Wayne grudem it's very thorough it's very good it's it's sort of become the classic go-to system
[1259] 2:24:32	Systematic Theology uh textbook so that's the one
[1260] 2:24:38	um I would recommend
[1261] 2:24:43	um yeah oh no you'll get Darth Dawkins on you now yeah well
[1262] 2:24:51	yeah see see my concern
[1263] 2:24:57	[Laughter] yeah so anyway that's the one I would
[1264] 2:25:03	recommend but there's been a lot of systematic theologies that have been done over the years and some have been
[1265] 2:25:08	very good uh burkhoff used to be pretty good as well but I think today I would recommend uh
[1266] 2:25:16	Wayne Gruden's book over even that one but uh there's been there's there's many systematic theologies and all of them
[1267] 2:25:22	have something interesting to add so um I wouldn't necessarily restrict
[1268] 2:25:27	yourself to one Systematic Theology but if you did have to pick just one a good big thorough beefy textbook one yeah
[1269] 2:25:34	Wayne Gruden's is the one now I've actually heard him speak I've heard him speak he's a terrible speaker
[1270] 2:25:40	um absolutely horrible speaker but he's he's a very good systematician
[1271] 2:25:46	very good systematician and for a
[1272] 2:25:51	if you're if you are doing a Systematic Theology you want to be you want somebody who's a very good systematician
[1273] 2:26:00	and groom definitely qualifies as a good great systematician
[1274] 2:26:07	so anyway thank you very much for the Super Chat very much appreciate and I hope that helps
[1275] 2:26:19	uh Lego David for 10 Romanians thank you very much for the Super Chat but on the apocryphal Apocalypse of
[1276] 2:26:27	Peter um
[1277] 2:26:33	well it's not scripture that doesn't mean it isn't worth reading
[1278] 2:26:40	here's what I would here's what I would say about any Apocrypha any apocrypha which is it's it's literature in the
[1279] 2:26:46	context okay it does give you an idea of what people were thinking and what was
[1280] 2:26:52	floating around the culture just because something is worth writing
[1281] 2:26:58	sorry worth reading doesn't mean it's scripture
[1282] 2:27:04	okay but it's still worth reading lots of stuff is worth reading that's not
[1283] 2:27:09	scripture I've always said this on the channel read widely
[1284] 2:27:16	you know read everything you don't believe everything
[1285] 2:27:23	you know read consciously read critically
[1286] 2:27:30	but read widely and I think Apocrypha that has to be the
[1287] 2:27:35	same rules you don't read it uncritically you it's it's worth reading
[1288] 2:27:43	just because it's part of the culture that's floating around
[1289] 2:27:56	yeah uh you should and my producer here points out that you know you should be
[1290] 2:28:01	able to read it through the perspective of the writers so she used the termically which is a
[1291] 2:28:09	technical term used by Anthropologist to say try to get your your your your your thinking to view these works as they
[1292] 2:28:18	were written in their context now let's uh this can be a little difficult with Apocrypha because they're
[1293] 2:28:24	often times um written much later than their claimed authorship but
[1294] 2:28:31	but read critically and again just because this Apocrypha doesn't mean it's not worth reading
[1295] 2:28:37	but it's also not scripture though that's where I would stand on this one so anyway I hope that helped
[1296] 2:28:43	thank you very much for the Super Chat very much appreciated
[1297] 2:28:51	JP for five dollars thank you very much for the Super Chat what do you think about the claim that
[1298] 2:28:56	mesoamerica and the Bronze Age was societally similar do you notice any
[1299] 2:29:02	significant similarities or differences I'm no expert on mesoamerica I know very
[1300] 2:29:09	little about it so I can't really comment on this
[1301] 2:29:14	um comparative cultures unless you're a specialist in both cultures can be
[1302] 2:29:19	exceptionally difficult to draw those comparisons um
[1303] 2:29:27	I don't really know much about the material culture of mesoamerica or
[1304] 2:29:33	how is culture functioned that would be very very difficult for me to try to really answer that
[1305] 2:29:43	uh again I'm just not I just don't know
[1306] 2:29:50	anything about mesoamerica to as I say intelligently discuss this one
[1307] 2:29:55	so unfortunately I'm gonna have to give you another pass on this one uh you've been throwing some some sort of uh stuff
[1308] 2:30:02	that's that's very much out of my wheelhouse tonight so um I'll you'll have to just I'll have to
[1309] 2:30:08	admit ignorance on this one too just because again
[1310] 2:30:13	um yeah I know they have a historical strategy just brought up human sacrifice
[1311] 2:30:19	was part of a mess American culture yeah um
[1312] 2:30:25	a lot of it was from what I understand the sacrifice of War captives which okay yeah Bronze Age cultures did
[1313] 2:30:34	that too but um they did it a lot the mesoamericans
[1314] 2:30:41	did a lot of sacrifice probably more so than even say uh ancient near Eastern
[1315] 2:30:47	cultures so there's there are definite differences
[1316] 2:30:53	in the culture um I also as I best understand it too Mesoamerican culture had very much
[1317] 2:31:00	issues with maintaining settlements for for extended lengths of time
[1318] 2:31:06	uh because of the environmental degradation it often surrounded their settlements
[1319] 2:31:12	there's so they had to move from place to place a lot more than you would say see and say the ancient near East
[1320] 2:31:21	um so again it's a lot of this is very hard
[1321] 2:31:27	to say um I know recently say the Maya language was deciphered the the hieroglyphs that
[1322] 2:31:35	they use in mesoamerica uh but I don't know anything about the language to say anything too
[1323] 2:31:41	intelligently about that so
[1324] 2:31:46	anyway thank you very much for the super chat again I'm sorry I couldn't give you more on this one it's just non-area I
[1325] 2:31:52	have a specialization in um and and I haven't even done much reading on this one so again I can't say even that
[1326] 2:31:59	but anyway I do appreciate the Super Chat thank you so very much
[1327] 2:32:19	okay ass and we're for 199 thank you very
[1328] 2:32:25	much for the Super Chat worst biblical argument you've ever heard
[1329] 2:32:33	ugh ugh ugh
[1330] 2:32:39	hmm I've heard some pretty bad ones in my time
[1331] 2:32:47	um gee what can I say on this one
[1332] 2:32:56	worst biblical argument I've heard there's been so many bad ones
[1333] 2:33:06	the one one biblical absolutely atrocious biblical argument
[1334] 2:33:13	I've heard is that
[1335] 2:33:19	that uh this the the verse that the body is
[1336] 2:33:25	the Temple of the Lord therefore you should lose weight
[1337] 2:33:31	arable argument terrible because it's totally ripping that out of context
[1338] 2:33:39	um the body is the Temple of the Lord is actually more to do with
[1339] 2:33:45	um say how one lives morally then it has anything to do physically
[1340] 2:33:52	so it's it's just a terrible argument because it just takes everything out of context
[1341] 2:33:58	um another terrible argument I've heard
[1342] 2:34:04	um actually comes right out of Moody Bible Institute of all places um
[1343] 2:34:10	which is that you have to read the book of Revelation literally
[1344] 2:34:23	that one was pretty bad you know
[1345] 2:34:28	yeah a picture in your mind what what the Book of Revelation understood completely wooden literally
[1346] 2:34:34	would look like and you've got to go what um
[1347] 2:34:40	yeah uh
[1348] 2:34:46	mechanic oh you're going into the Greek isn't that that desperate Dr Dino yeah
[1349] 2:34:52	that's that that is something that Ken Hoven would say you know um
[1350] 2:34:58	Refrigeration
[1351] 2:35:05	[Laughter] oh yeah there's yeah there's some there's some Humdinger arguments I mean
[1352] 2:35:12	some there's some really really bad stuff floating around out there
[1353] 2:35:18	well some of these happen the flood happened during the pyramids
[1354] 2:35:24	well there's another Dr Dino for you uh boy that guy's a clown
[1355] 2:35:35	oh boy
[1356] 2:35:45	um now this one I've never heard of but
[1357] 2:35:51	this one would be pretty bad the worst biblical argument I've heard
