[0] 0:03	and stream is
[1481] 1:17:12	I think it's a really really good
[1482] 1:17:13	textbook I think it's really easy for a
[1483] 1:17:17	beginner even one who has very little
[1484] 1:17:20	language
[1485] 1:17:22	experience and very little
[1486] 1:17:25	um oh uh experience of languages in
[1487] 1:17:29	general to sort of really self teach
[1488] 1:17:32	themselves how to do
[1489] 1:17:34	Greek so I think I think that's an
[1490] 1:17:37	excellent textbook I think it's one that
[1491] 1:17:40	people can really benefit
[1492] 1:17:42	from and
[1493] 1:17:49	um all right
[1494] 1:17:52	so
[1495] 1:17:54	uh so there um that's the William's uh
[1496] 1:17:59	introduction to Greek I think Greek is
[1497] 1:18:02	is really the best introductory Greek
[1498] 1:18:05	textbook we have okay okay so next non
[1499] 1:18:10	Super Chat
[1500] 1:18:15	here Ernie Stanley asks did Leviticus
[1501] 1:18:19	1822 originally
[1502] 1:18:21	condone that act like other an cultures
[1503] 1:18:26	but was later redacted because of change
[1504] 1:18:28	in culture and we know this because the
[1505] 1:18:30	upd grammar and syntax I only get
[1506] 1:18:33	honestly uh the fact is that it wouldn't
[1507] 1:18:37	condone it because it's sandwich between
[1508] 1:18:39	phrases of
[1509] 1:18:41	idolatry so when you get that that sort
[1510] 1:18:44	of sandwiching uh basically a kind of um
[1511] 1:18:49	interplay between texts so it couldn't
[1512] 1:18:53	have been used to condone the act just
[1513] 1:18:57	because of its relationship to text on a
[1514] 1:19:01	doit you would have to you'd have to
[1515] 1:19:03	make the case that this was something
[1516] 1:19:04	that was inter somewhere else and there
[1517] 1:19:07	really is no no evidence to Warrant
[1518] 1:19:10	that so anyway I hope that helped thank
[1519] 1:19:13	you very much for the question very much
[1520] 1:19:20	appreciated next one here
[1521] 1:19:25	[Music]
[1522] 1:19:39	dark blade says I have found an anime
[1523] 1:19:41	that Dr faul can't ruin by claiming it's
[1524] 1:19:44	about something dark and
[1525] 1:19:46	horrify a whisker Away by Studio colito
[1526] 1:19:51	total animation and twin
[1527] 1:19:55	well I haven't watched it yet so um who
[1528] 1:19:58	knows I might still ruin it sometime in
[1529] 1:20:00	the future you never
[1530] 1:20:06	[Music]
[1531] 1:20:08	know so you never know when I can ruin
[1532] 1:20:10	something I I can ruin all sorts of
[1533] 1:20:14	things but I haven't seen it yet so I
[1534] 1:20:17	can't ruin it
[1535] 1:20:21	today okay let's see what else we got
[1536] 1:20:38	here need to reorganize my windows here
[1537] 1:20:41	now that
[1538] 1:20:42	we're done with
[1539] 1:20:51	this
[1540] 1:21:04	okay we got some super chats finally
[1541] 1:21:05	here let me go to the bottom here and
[1542] 1:21:08	take those super
[1543] 1:21:10	chats side my windows here a
[1544] 1:21:14	second all
[1545] 1:21:16	[Music]
[1546] 1:21:18	right go wi here yeah I'm I'm operating
[1547] 1:21:21	here for those who don't know I'm
[1548] 1:21:22	operating from a hotel here
[1549] 1:21:25	so um
[1550] 1:21:29	the new
[1551] 1:21:33	content so the
[1552] 1:21:39	the
[1553] 1:21:44	okay Michael be for $10
[1554] 1:21:49	says
[1555] 1:21:51	uh
[1556] 1:21:53	hello
[1557] 1:21:54	show this computer's also a little slow
[1558] 1:21:57	not the best one
[1559] 1:22:00	for doing
[1560] 1:22:10	this all right Michael B for $10 thank
[1561] 1:22:12	you much for the Super Chat really
[1562] 1:22:14	appreciate it any says thanks for the
[1563] 1:22:17	game winning is awesome we hoped you
[1564] 1:22:19	would win because we H you would have
[1565] 1:22:22	found
[1566] 1:22:23	solution we figured that now I want to
[1567] 1:22:25	say say one
[1568] 1:22:29	thing uh the rabbit of kabog is a real
[1569] 1:22:34	DN character so it's been included in
[1570] 1:22:38	the actual Canon and you could find the
[1571] 1:22:41	the character sheet on it on the d andd
[1572] 1:22:43	wiki so it is an honest real D and
[1573] 1:22:48	character real D andd monster so we saw
[1574] 1:22:52	that we got o o this is going to be cool
[1575] 1:22:57	and even though some people did guess it
[1576] 1:22:58	and then that's cool we try to make it
[1577] 1:23:01	as much as the price as
[1578] 1:23:03	possible now we do know that
[1579] 1:23:07	uh that some people would have fallen
[1580] 1:23:10	for say the uh well the french
[1581] 1:23:16	fries we figured if if they might be
[1582] 1:23:19	suspicious of meat but not the French fr
[1583] 1:23:24	so we Lac the french
[1584] 1:23:32	fries
[1585] 1:23:33	[Music]
[1586] 1:23:46	yeah uh somebody what what do you know
[1587] 1:23:49	the time
[1588] 1:23:51	stamp okay it should
[1589] 1:23:54	be oh
[1590] 1:23:57	okay see if I can find that
[1591] 1:24:01	[Music]
[1592] 1:24:05	here ah yes uh the question had been
[1593] 1:24:08	from Bon Bon is Kiara Faulk also doing
[1594] 1:24:11	the producer weed work for the stream as
[1595] 1:24:13	well as is Dr Fulk going solo no she's
[1596] 1:24:16	here the producer is here uh she's using
[1597] 1:24:18	my other um my Netbook and
[1598] 1:24:23	um the
[1599] 1:24:27	um
[1600] 1:24:29	um the network didn't the netbook uh the
[1601] 1:24:32	Chromebook sorry the Chromebook didn't
[1602] 1:24:34	work so well for the live stream just so
[1603] 1:24:36	for some reason it didn't play well with
[1604] 1:24:38	the hotel's Wi-Fi so I she had to give
[1605] 1:24:42	me her laptop and she's got my
[1606] 1:24:45	Chromebook and she's having difficulty
[1607] 1:24:47	hooking in with it so she's still
[1608] 1:24:50	reading comments she's still there and
[1609] 1:24:51	she's still listening so um so she's
[1610] 1:24:56	there she's doing the job but she's not
[1611] 1:24:58	she doesn't have the same online pres
[1612] 1:25:00	that she normally does and yes I do play
[1613] 1:25:02	D and and yes she does play D and
[1614] 1:25:08	D yeah so she definitely does play D
[1615] 1:25:12	and okay let's get back to the um super
[1616] 1:25:16	chat
[1617] 1:25:21	here
[1618] 1:25:24	askon we for
[1619] 1:25:25	$4.99 and he says
[1620] 1:25:28	oops back here hey Dr folks sorry I
[1621] 1:25:31	couldn't make it I didn't have a
[1622] 1:25:33	character sheet ready hope you had fun
[1623] 1:25:35	oh we had a blast this was this was a
[1624] 1:25:37	lot of fun uh I really enjoyed the game
[1625] 1:25:40	uh Speed games could be really really
[1626] 1:25:42	enjoyable they're very challenging
[1627] 1:25:44	they're very
[1628] 1:25:45	short and you know you just sort of get
[1629] 1:25:48	in and get
[1630] 1:25:49	out so you get the story done it's it's
[1631] 1:25:52	really
[1632] 1:25:53	abbreviated
[1633] 1:25:56	uh and it was cool it was really cool to
[1634] 1:25:58	do this game so I I I look was looking
[1635] 1:26:02	forward to this we're not going to do
[1636] 1:26:03	this one often you know this is just a
[1637] 1:26:05	special treat for those of us who are
[1638] 1:26:07	joining after ETS just because we were
[1639] 1:26:11	in a hotel stuck in a hotel here and we
[1640] 1:26:13	couldn't do the live streams as normal
[1641] 1:26:15	so we are grateful that you did join us
[1642] 1:26:19	finally tonight and uh with uh I mean we
[1643] 1:26:23	really enjoyed it all
[1644] 1:26:30	right ask we for $499 did you attend the
[1645] 1:26:33	panel on Adam and Eve if so what are
[1646] 1:26:35	your thoughts I didn't attend the panel
[1647] 1:26:38	on on Adam and Eve uh we got into the
[1648] 1:26:41	hotel here at 10 pm the night before
[1649] 1:26:44	after an all day trip that started at 7
[1650] 1:26:47	a.m. we were so tired we just leftt in
[1651] 1:26:52	the following
[1652] 1:26:53	morning uh I know IP
[1653] 1:26:56	attended and it apparently it wasn't
[1654] 1:26:59	well attended they expected a big crowd
[1655] 1:27:02	for this but apparently not many people
[1656] 1:27:03	actually showed up it was just one of
[1657] 1:27:06	those things where it was just so hard
[1658] 1:27:10	to um it was so hard to um get up for
[1659] 1:27:15	that for most people here
[1660] 1:27:18	so and and they they picked the worst
[1661] 1:27:21	time to actually do it which was first
[1662] 1:27:23	thing in the morning on the first day
[1663] 1:27:25	now there's still people coming in on uh
[1664] 1:27:28	off their flights at that point so yeah
[1665] 1:27:32	that it wasn't as well attended as they
[1666] 1:27:34	were hoping and U it wasn't for lack of
[1667] 1:27:37	good content it was just the time slot
[1668] 1:27:39	was very
[1669] 1:27:40	poor so anyway I hope that helped thank
[1670] 1:27:43	you much for the Super Chat really
[1671] 1:27:44	appreciate
[1672] 1:27:47	it uh Warrior the most high will you do
[1673] 1:27:51	live d andd again probably not in in the
[1674] 1:27:56	in the near future we might do it again
[1675] 1:27:58	sometime maybe next year who
[1676] 1:28:00	knows this was just a special one-off
[1677] 1:28:02	treat so we might do it again say next
[1678] 1:28:06	year well but for those who played well
[1679] 1:28:10	played it was a it was a good game they
[1680] 1:28:13	played well they played smart most the
[1681] 1:28:16	bunny lik carrot the bunny likes the
[1682] 1:28:19	[Laughter]
[1683] 1:28:21	carrot
[1684] 1:28:23	the chickens off doing chicken things
[1685] 1:28:24	says my
[1686] 1:28:27	producer and we only lost one character
[1687] 1:28:31	at the end at the end it's that's like
[1688] 1:28:32	that's actually pretty good you know for
[1689] 1:28:34	a uh for a first time people who are
[1690] 1:28:39	playing for the first time to lose only
[1691] 1:28:41	one character in a campaign like that
[1692] 1:28:44	where everyone's first level first level
[1693] 1:28:46	ceric that's actually really impressive
[1694] 1:28:49	that's really really impressive so
[1695] 1:28:54	uh so Ed we hope to do it again sometime
[1696] 1:28:59	but it's it's it's not going to be a
[1697] 1:29:00	regular thing here this is just a treat
[1698] 1:29:03	so thank you much for the Super Chat
[1699] 1:29:05	sorry the question really appreciate
[1700] 1:29:12	it ask Weir for $499 thank you for the
[1701] 1:29:15	Super Chat why is your camera and
[1702] 1:29:17	connection not as good as IP David and
[1703] 1:29:20	John's the other day well because I'm
[1704] 1:29:22	doing this off of a
[1705] 1:29:24	laptop and when doing it off of a laptop
[1706] 1:29:27	you have to take what you get uh the the
[1707] 1:29:31	the camera on my Chromebook is actually
[1708] 1:29:33	better than this camera but on the other
[1709] 1:29:36	hand too it's not the ideal setup it's
[1710] 1:29:42	an older
[1711] 1:29:43	laptop but it's got better
[1712] 1:29:46	wi-fi so we we had to make the decision
[1713] 1:29:49	like just before the live stream started
[1714] 1:29:51	too to switch out the Chromebook with
[1715] 1:29:54	this just because there was some sort of
[1716] 1:29:57	incompatibility between the Chromebook
[1717] 1:29:59	and the uh hotels
[1718] 1:30:03	Network so you know we had to give up
[1719] 1:30:05	the the camera quality for that so
[1720] 1:30:08	anyway um you know David and John IP
[1721] 1:30:13	David and John they they got they
[1722] 1:30:14	brought a setup a you know a complete
[1723] 1:30:17	setup for doing that we don't our setup
[1724] 1:30:19	at home is a little more permanent so
[1725] 1:30:22	for us to have a mobile setup would take
[1726] 1:30:25	us um little more investment in doing
[1727] 1:30:28	that sort of thing so we might do that
[1728] 1:30:31	for next year I don't know but we'll
[1729] 1:30:34	consider it at as a closer time so
[1730] 1:30:37	anyway thank you much for the Super Chat
[1731] 1:30:38	really appreciate it and hope that
[1732] 1:30:40	explains
[1733] 1:30:47	it ason Weir for
[1734] 1:30:50	$4.99 any interest anding counters you
[1735] 1:30:53	had at ETS especially concerning members
[1736] 1:30:56	of
[1737] 1:30:59	AVR oh yes do I tell him the Petrovic
[1738] 1:31:02	story oh yes start with that all right
[1739] 1:31:05	all right we'll give you the Petrovic
[1740] 1:31:09	story uh I attended a
[1741] 1:31:12	session uh an archaeological session not
[1742] 1:31:15	from ADR but from um which mostly had
[1743] 1:31:19	student papers from lexone college
[1744] 1:31:22	and Petrovic was moderating the
[1745] 1:31:26	session
[1746] 1:31:29	and there pish just seems to put his
[1747] 1:31:33	foot in his mouth during all these
[1748] 1:31:35	things okay so these are student papers
[1749] 1:31:39	these are papers from students they're
[1750] 1:31:40	not phds they're students so they're
[1751] 1:31:45	Master students working on their phds so
[1752] 1:31:48	you gotta kind of gotta cut them a
[1753] 1:31:50	little bit of Slack
[1754] 1:31:54	well three of them are from uh the
[1755] 1:31:57	lineer archaeological Center at lipom
[1756] 1:32:00	college and petrovich gets up at the
[1757] 1:32:03	first of these papers and he goes well
[1758] 1:32:06	you know this student is from this this
[1759] 1:32:09	person giving the paper is from lipome
[1760] 1:32:12	sorry um the ler archaeological Center
[1761] 1:32:15	but the real lineer archaeological
[1762] 1:32:18	Center is in
[1763] 1:32:20	Houston and I'm looking at that and
[1764] 1:32:22	shaking my head go you didn't just do
[1765] 1:32:24	that really I mean you just degraded the
[1766] 1:32:28	person you just introduced did you
[1767] 1:32:31	really just do
[1768] 1:32:33	that
[1769] 1:32:36	so um the first student gave her paper
[1770] 1:32:40	and it was actually a really really good
[1771] 1:32:42	paper it was a paper on an
[1772] 1:32:45	artifact that was basically kind of a
[1773] 1:32:48	disc with seven little cups at attached
[1774] 1:32:52	to the disc in a honey
[1775] 1:32:58	shape yes it was the mysterious cup uh
[1776] 1:33:02	for poule uh yeah P asked if it was the
[1777] 1:33:05	mysterious seven b cup now they had no
[1778] 1:33:10	idea what this thing
[1779] 1:33:11	was it was uh someone had uh possibly it
[1780] 1:33:15	was a lamp but there's no Scorch marks
[1781] 1:33:17	so it's not
[1782] 1:33:18	lamp uh they were playing with a
[1783] 1:33:22	hypothesis that it was a
[1784] 1:33:25	liation
[1785] 1:33:28	offering now Petrovic tried to say he
[1786] 1:33:32	tried to say something that to try to
[1787] 1:33:33	make himself look smart about you know
[1788] 1:33:36	the middle Bronze Age and his relation
[1789] 1:33:38	to LeBron's age and it's just it was
[1790] 1:33:40	more of a Comon than a
[1791] 1:33:42	question so
[1792] 1:33:45	anyway he finally takes the questions
[1793] 1:33:47	and I raise my hand and I asked what
[1794] 1:33:51	size of the cups how much capacity they
[1795] 1:33:54	did they have and she said well we don't
[1796] 1:33:56	really know I mean they've got range I
[1797] 1:33:58	said Okay a roughly give me an estimate
[1798] 1:34:01	you know a mean sort of estimate of how
[1799] 1:34:04	much capacity and she goes well they're
[1800] 1:34:06	very small they're only about 50
[1801] 1:34:09	milliliters
[1802] 1:34:10	each I said and she said you know in
[1803] 1:34:13	each cup there's a different
[1804] 1:34:16	substance some but and but only one
[1805] 1:34:18	substance so some have say spice
[1806] 1:34:22	but it's the same spice another cup have
[1807] 1:34:25	animal fats cup have plant fats and I
[1808] 1:34:28	said have you ever considered a
[1809] 1:34:31	perfumery basically the ancient
[1810] 1:34:33	equivalent of a pomander you know
[1811] 1:34:35	something that you load with specific
[1812] 1:34:38	perfumes to make the temple smell
[1813] 1:34:41	nice temples are nasty smelling places
[1814] 1:34:44	because you have a lot
[1815] 1:34:46	of offerings of meat they can smell
[1816] 1:34:50	awfully bad
[1817] 1:34:52	this would take away the bad
[1818] 1:34:55	smell and she goes I never thought of
[1819] 1:35:01	that
[1820] 1:35:03	and that's a really really
[1821] 1:35:07	great a
[1822] 1:35:08	suggestion and you can see pet just
[1823] 1:35:11	turned green he's just turning green
[1824] 1:35:13	with just like oh yeah this is
[1825] 1:35:16	cool and afterwards one of the students
[1826] 1:35:19	came up and thanked me and said that was
[1827] 1:35:21	really help
[1828] 1:35:22	so hopefully this will this will
[1829] 1:35:25	contribute to a research and it will be
[1830] 1:35:28	um very uh helpful uh to going forward
[1831] 1:35:33	so that was my big encounter with uh ADR
[1832] 1:35:38	this uh this semester this this
[1833] 1:35:42	conference although I did hear some
[1834] 1:35:44	other things about um certain um ABR
[1835] 1:35:49	members too like uh for example um the
[1836] 1:35:55	NES has started to put the Bible
[1837] 1:35:57	Seminary booth in inside its own or
[1838] 1:35:59	seminary table inside its own booth so
[1839] 1:36:02	they're no longer even pretending
[1840] 1:36:03	anymore that there's any separation
[1841] 1:36:05	between the NES the Bible Seminary so I
[1842] 1:36:08	caught a photo of that and I thought
[1843] 1:36:09	that was very interesting too so anyway
[1844] 1:36:12	I hope that helped thank you much for
[1845] 1:36:14	the Super Chat we really appreciate
[1846] 1:36:20	it
[1847] 1:36:22	uh we probably will but let me get
[1848] 1:36:24	finished
[1849] 1:36:31	first okay ason we for
[1850] 1:36:36	199 how's etss overall well thank you
[1851] 1:36:40	very much for the Super Chat uh ETS was
[1852] 1:36:43	absolutely fantastic I loved it um I met
[1853] 1:36:47	up with
[1854] 1:36:48	IP uh some of the people from the
[1855] 1:36:50	channel were also there and some of them
[1856] 1:36:53	got selfies with Mr
[1857] 1:36:54	EC so that was a lot of fun yes I
[1858] 1:36:58	actually B Mr E to the conference so we
[1859] 1:37:01	ran around and you know people who you
[1860] 1:37:04	know were interested could get their
[1861] 1:37:06	selfies done with
[1862] 1:37:07	Mr and you know the being quite the
[1863] 1:37:11	narcissist really enjoyed it too little
[1864] 1:37:14	too much still too
[1865] 1:37:18	much so
[1866] 1:37:21	uh so yeah it was it was a really really
[1867] 1:37:24	good time I got to meet with IP I met
[1868] 1:37:28	David
[1869] 1:37:29	wood um I connected with a lot of
[1870] 1:37:32	oldtime
[1871] 1:37:34	uh
[1872] 1:37:36	um colleagues in the
[1873] 1:37:39	field so um yeah it was it was a great
[1874] 1:37:43	time um tired really doing this thing is
[1875] 1:37:49	exhausting so uh it's it's absolutely
[1876] 1:37:53	fantastic and the papers were okay but
[1877] 1:37:57	you never expect really great papers ATS
[1878] 1:38:00	the um networking however was fantastic
[1879] 1:38:03	one thing I am gonna do is I'm going to
[1880] 1:38:04	turn off the light the
[1881] 1:38:07	back that's causing some just excuse me
[1882] 1:38:20	moment
[1883] 1:38:32	uh
[1884] 1:38:35	okay sorry about
[1885] 1:38:37	that uh we did get a few things that
[1886] 1:38:40	we've gotten uh through this ets2 that I
[1887] 1:38:43	think are going to be helpful um I did
[1888] 1:38:46	have a chance to talk to gester Media
[1889] 1:38:49	who I'm now working with and they
[1890] 1:38:52	produce a really really
[1891] 1:38:54	great
[1892] 1:39:01	um really good Recreation of the Arc of
[1893] 1:39:05	the Covenant they're actually doing a
[1894] 1:39:07	video series on this that I think will
[1895] 1:39:09	be very very helpful for people in the
[1896] 1:39:11	future
[1897] 1:39:13	also I finally got my hands on a
[1898] 1:39:17	evaluation copy of The Net Bible I know
[1899] 1:39:20	people have been asking about this for a
[1900] 1:39:22	long time so I finally got my hands on a
[1901] 1:39:26	Net Bible and I will be reading through
[1902] 1:39:28	it and uh evaluating it for its Fidelity
[1903] 1:39:31	to the original languages it's
[1904] 1:39:34	translation so they gave they gave me
[1905] 1:39:36	Study Edition of this which includes
[1906] 1:39:39	translation notes a text critical notes
[1907] 1:39:43	and
[1908] 1:39:44	commentary so I'm going to be evaluating
[1909] 1:39:46	it and uh as people ask new questions
[1910] 1:39:50	about the fin I'll be able to get
[1911] 1:39:53	finally give them an informed answer to
[1912] 1:39:55	this so that's very exciting
[1913] 1:39:58	too I also had a a very very good
[1914] 1:40:04	um um meeting with a publisher about the
[1915] 1:40:11	um the plagues book the plagues of The
[1916] 1:40:14	Exodus book that we're working on and
[1917] 1:40:16	he's very excited and he wants me to
[1918] 1:40:18	submit a propos so that was a very very
[1919] 1:40:21	good step forward we're really happy
[1920] 1:40:23	about the results of that meeting and um
[1921] 1:40:27	again it was a very very successful show
[1922] 1:40:29	and um we couldn't have expected more
[1923] 1:40:32	out of it so thank you very much for
[1924] 1:40:34	Super Chat very much appreciate and I
[1925] 1:40:36	hope that
[1926] 1:40:40	helped
[1927] 1:40:46	okay so that's it for the super chats
[1928] 1:40:59	[Music]
[1929] 1:41:07	okay H Tu says get up get
[1930] 1:41:14	up come on show
[1931] 1:41:18	go okay uh net definitely makes choices
[1932] 1:41:21	in the main text but very
[1933] 1:41:23	helpful it makes very bold choices some
[1934] 1:41:27	agree with some I
[1935] 1:41:30	don't um at least of the cursory text
[1936] 1:41:32	I've looked at so far uh some of it is
[1937] 1:41:35	very conservative some of it
[1938] 1:41:39	is uh
[1939] 1:41:42	well would they make a translation that
[1940] 1:41:44	I I wouldn't make that doesn't to me
[1941] 1:41:47	seem to be supported by the underlying
[1942] 1:41:49	text so I mean I'm going to have to
[1943] 1:41:51	again carefully evaluate it and see what
[1944] 1:41:54	it looks like in comparison to the text
[1945] 1:41:56	critical stuff but um I got some issues
[1946] 1:42:00	with it honestly it's at first blush
[1947] 1:42:04	doesn't look like it's going to be one
[1948] 1:42:05	of my
[1949] 1:42:06	favorites so um especially not in the
[1950] 1:42:11	light of the Hebrew and Greek so uh
[1951] 1:42:15	immediately off the cuff I think some
[1952] 1:42:18	issues with it but we will defitely give
[1953] 1:42:21	it a fair shot you'll evaluate it fairly
[1954] 1:42:24	and you'll evaluate all its components
[1955] 1:42:28	so not just the translation itself say
[1956] 1:42:31	the T text critical notes in the as well
[1957] 1:42:34	so and thank you for the
[1958] 1:42:45	question as a we for $4.99 thank you the
[1959] 1:42:48	Super Chat did you get any new books
[1960] 1:42:50	besides that
[1961] 1:42:51	Bible uh a couple new
[1962] 1:42:55	books we didn't get a lot of books this
[1963] 1:42:58	time
[1964] 1:43:00	uh there wasn't a lot of really
[1965] 1:43:02	interesting offerings in my opinion this
[1966] 1:43:05	time I did see a really really weird
[1967] 1:43:08	translation of the Bible by uh golden
[1968] 1:43:11	gay I think it was I think it's called
[1969] 1:43:15	The Testament the first like that it was
[1970] 1:43:19	weird translation of the old T really
[1971] 1:43:21	really weird like they won't I mean they
[1972] 1:43:25	they don't translate Pharaoh is pharoh
[1973] 1:43:28	but
[1974] 1:43:29	par they didn't translate Egypt but kept
[1975] 1:43:32	the Hebrew mitz
[1976] 1:43:35	R put really really weird stuff in that
[1977] 1:43:39	thing so um I did see that I didn't buy
[1978] 1:43:42	that copy but I they saw was just going
[1979] 1:43:46	wow that's not great that one that one
[1980] 1:43:50	was pretty bad I'll have to ad that that
[1981] 1:43:52	translation was pretty weird
[1982] 1:43:56	so not a big fan of that not a big fan
[1983] 1:43:59	of that at
[1984] 1:44:01	all uh other books I saw I did get a
[1985] 1:44:04	copy of
[1986] 1:44:06	Ma's
[1987] 1:44:08	um
[1988] 1:44:10	uh biblical archaeology
[1989] 1:44:13	book um I think that one I needed to
[1990] 1:44:16	take a look at that to see if would be a
[1991] 1:44:18	good primer for
[1992] 1:44:19	archaeology it was published the same
[1993] 1:44:21	year as my book was so it's like okay
[1994] 1:44:25	sometimes people compare our two books
[1995] 1:44:27	even though they don't look anything
[1996] 1:44:28	similar just because of when they were
[1997] 1:44:30	published so I finally bought a copy of
[1998] 1:44:32	that it wasn't expensive so it's like
[1999] 1:44:35	okay um other than that no I didn't
[2000] 1:44:38	really buy a lot of books this year
[2001] 1:44:42	so yeah well the good news on books this
[2002] 1:44:45	year as my points out is my book sold
[2003] 1:44:47	out day two you couldn't get a copy of
[2004] 1:44:49	it
[2005] 1:44:51	so it was a good thing that I actually
[2006] 1:44:53	had a copy of my book on hand when I
[2007] 1:44:56	went to the publisher because you
[2008] 1:44:57	couldn't get one for a l of money
[2009] 1:45:00	people that thing flew off the shelves
[2010] 1:45:02	absolutely flew off the
[2011] 1:45:09	shelves oh that's right too um my
[2012] 1:45:12	producer reminds me
[2013] 1:45:14	that we learned from several people that
[2014] 1:45:18	they're
[2015] 1:45:19	using uh The Arc of the Covenant book in
[2016] 1:45:22	their classes so I mean that's that's
[2017] 1:45:24	pretty that's pretty cool right
[2018] 1:45:26	there so anyway thank you very much for
[2019] 1:45:29	the Super Chat very much appreciate and
[2020] 1:45:31	I hope that
[2021] 1:45:37	helped
[2022] 1:45:40	okay ason we for
[2023] 1:45:43	199 uh thank you for the Super Chat
[2024] 1:45:46	favorite session talk you
[2025] 1:45:49	attended okay
[2026] 1:45:51	uh the favorite talk that I attended was
[2027] 1:45:55	by David
[2028] 1:45:56	y who basically talked about the
[2029] 1:46:00	semantic and exegetical errors of
[2030] 1:46:04	annihilationism that one was
[2031] 1:46:07	fascinating really really
[2032] 1:46:09	interesting and um he spared no detail
[2033] 1:46:14	it was it was really a well done paper I
[2034] 1:46:17	thought it was both um he steel manned
[2035] 1:46:22	the annihilation arguments very well and
[2036] 1:46:26	then took them completely
[2037] 1:46:29	upart
[2038] 1:46:31	so uh I like that paper a lot I thought
[2039] 1:46:36	as I said I thought it
[2040] 1:46:37	was it had they had he had done his
[2041] 1:46:40	homework he had done his
[2042] 1:46:41	homework and
[2043] 1:46:44	um and I think and he really confined
[2044] 1:46:48	that to just
[2045] 1:46:51	semantic semantic fallacies as well as
[2046] 1:46:53	the exical
[2047] 1:46:56	fallacies
[2048] 1:46:57	so uh that would that would be my
[2049] 1:47:00	favorite paper that I
[2050] 1:47:05	attended the one with the with the
[2051] 1:47:07	little ritual cups was also really good
[2052] 1:47:10	that one was also really good even
[2053] 1:47:12	though it didn't leave with resolution
[2054] 1:47:15	the same way that say the one on
[2055] 1:47:17	Annihilation is that that was really
[2056] 1:47:21	good so any thank you much for Super
[2057] 1:47:24	Chat very much appreciate and I hope
[2058] 1:47:25	that
[2059] 1:47:31	helped
[2060] 1:47:44	okay now let's get back to the non super
[2061] 1:47:47	chats
[2062] 1:47:49	here
[2063] 1:47:52	we don't have the number of questions
[2064] 1:47:53	that we normally have because of the
[2065] 1:47:56	game but that's
[2066] 1:48:00	okay let's get back to
[2067] 1:48:03	the
[2068] 1:48:11	here
[2069] 1:48:12	P breaking news four Nuance out of town
[2070] 1:48:15	or seminaries get forcibly ejected from
[2071] 1:48:18	local fast f
[2072] 1:48:29	yep that's about
[2073] 1:48:37	it
[2074] 1:48:41	sorry
[2075] 1:48:44	okay and if we do not
[2076] 1:48:49	have
[2077] 1:49:01	I'll ask
[2078] 1:49:03	uh answer this question from let me
[2079] 1:49:07	exp you have said when it comes to Clan
[2080] 1:49:10	genealogy the person who is most
[2081] 1:49:12	significant of the clan
[2082] 1:49:14	isan are there ever disputes on who is
[2083] 1:49:17	the greatest member yeah can happen but
[2084] 1:49:20	those are disputes that result in
[2085] 1:49:23	challenges to
[2086] 1:49:24	leadership or when the succession isn't
[2087] 1:49:29	clear and that can
[2088] 1:49:31	happen like for example when you've got
[2089] 1:49:34	say an older brother but the second
[2090] 1:49:37	brother is actually the stronger more
[2091] 1:49:40	accomplished and greater of those and
[2092] 1:49:43	that's that point you get brother
[2093] 1:49:45	fighting brother so it can happen it
[2094] 1:49:49	didn't happen always but it did happen
[2095] 1:49:53	sometimes so yeah there are
[2096] 1:49:57	disputes there fights even
[2097] 1:50:00	feuds and sometimes when that happens
[2098] 1:50:04	you will also see the um
[2099] 1:50:09	the the Clans split two of the clades
[2100] 1:50:13	can just split off and formed new clans
[2101] 1:50:16	as a result of
[2102] 1:50:19	this so does happen it's um not very
[2103] 1:50:24	common but it occurs enough that we
[2104] 1:50:27	recognize that
[2105] 1:50:30	existed so anyway thank you much for the
[2106] 1:50:33	question and I hope that
[2107] 1:50:47	helped as some we for 199
[2108] 1:50:51	were there any talks you thought were
[2109] 1:50:53	just
[2110] 1:50:54	bad oh yes
[2111] 1:50:59	um yeah there were a
[2112] 1:51:02	few um I didn't attend any of abr's uh
[2113] 1:51:08	or the Nas's uh talks this year because
[2114] 1:51:11	they just seem like a huge waste of
[2115] 1:51:16	time but I did T one in the
[2116] 1:51:20	Bane
[2117] 1:51:23	section where the guy tried to make the
[2118] 1:51:26	case that
[2119] 1:51:28	[Music]
[2120] 1:51:29	the the entirety of the ex's account was
[2121] 1:51:33	nothing more than a poic against
[2122] 1:51:37	ball and he used the geography of the
[2123] 1:51:41	Exodus roof to try to prove
[2124] 1:51:45	this and I thought that was really
[2125] 1:51:48	dodgy and like he didn't even
[2126] 1:51:51	understand what was being said in the
[2127] 1:51:54	text um he confused the the idea I mean
[2128] 1:51:59	he had he had very little idea about say
[2129] 1:52:03	actual egyptology like he had no idea
[2130] 1:52:06	that the Egyptian conception of God were
[2131] 1:52:09	localist in their
[2132] 1:52:11	presence
[2133] 1:52:14	so
[2134] 1:52:16	um yeah it wasn't a good paper it was
[2135] 1:52:21	um it was not a good
[2136] 1:52:32	paper yeah well
[2137] 1:52:35	um my my point uh my producer points out
[2138] 1:52:38	that he had the good
[2139] 1:52:40	sense to come up with me now you we have
[2140] 1:52:43	to understand
[2141] 1:52:44	something um we got a mix of uh when I
[2142] 1:52:48	when I made my comments about his paper
[2143] 1:52:50	we kind of got a mixed response from the
