[0] 1:48	Heat. Hey, Heat.
[2423] 2:07:49	It'll Oh, yeah. It would be tedious.
[2424] 2:07:52	Absolutely tedious.
[2425] 2:07:54	Yeah.
[2426] 2:07:59	The password was also Lou. I know. Yeah.
[2427] 2:08:01	The
[2428] 2:08:02	>> That's really
[2429] 2:08:03	>> It was really Yeah. That's how those
[2430] 2:08:05	robbers got in. They turned off all the
[2431] 2:08:07	cameras cuz uh cuz the password was Lou.
[2432] 2:08:16	It is quite It's quite It's quite the
[2433] 2:08:20	thing. Yeah.
[2434] 2:08:23	>> Not a password. That's an
[2435] 2:08:25	>> That's not password. That's an
[2436] 2:08:26	invitation. Mrs. Producer just said,
[2437] 2:08:30	"Yeah, [laughter] that's not a
[2438] 2:08:31	password." Well, I mean, their their
[2439] 2:08:35	their new security chief was a uh was a
[2440] 2:08:39	DEI hire.
[2441] 2:08:43	Yeah. Yep. Um
[2442] 2:08:47	Yep. Yeah. That was quite that was
[2443] 2:08:50	that's quite a thing.
[2444] 2:08:53	Yep.
[2445] 2:08:54	The new director was a DEI hire and she
[2446] 2:08:57	hired a security chief as a DEI hire.
[2447] 2:09:07	>> Yep. It's like using password as a
[2448] 2:09:10	password.
[2449] 2:09:12	[laughter]
[2450] 2:09:15	I couldn't guess that one.
[2451] 2:09:21	>> [laughter]
[2452] 2:09:26	>> Oh boy. [laughter]
[2453] 2:09:32	Okay,
[2454] 2:09:34	so yeah, BC uh 4YT, you want to include
[2455] 2:09:37	all that stuff, knock yourself out. It's
[2456] 2:09:39	It's a good time. [laughter]
[2457] 2:09:43	Okay,
[2458] 2:09:44	next one. I think we'll go back to AT
[2459] 2:09:47	here for a moment.
[2460] 2:09:57	We're gonna do
[2461] 2:10:00	[laughter]
[2462] 2:10:01	PC4 YT. We're going to do a heist. We
[2463] 2:10:04	need your dumbest hacker. [laughter]
[2464] 2:10:14	[laughter]
[2465] 2:10:15	Yeah. Wow. Um,
[2466] 2:10:24	yeah. No, no, no. Two [laughter] factor
[2467] 2:10:26	authentication there. That's for sure.
[2468] 2:10:29	Woohoo.
[2469] 2:10:31	Woohoo.
[2470] 2:10:33	>> At least like a dog's name.
[2471] 2:10:36	>> Yeah, you would think you I mean a dog's
[2472] 2:10:38	name, a birthday, any of that would have
[2473] 2:10:40	been better than what they actually
[2474] 2:10:42	chose.
[2475] 2:10:50	Yeah.
[2476] 2:10:52	>> I mean that that's you think that's
[2477] 2:10:55	something
[2478] 2:10:56	>> stupid. Yeah.
[2479] 2:10:57	>> Yeah. It's it's something for the Onion
[2480] 2:10:59	would come up with.
[2481] 2:11:00	>> Yeah. Or or or the Babylon bee.
[2482] 2:11:03	>> Yeah.
[2483] 2:11:04	>> Security by Babylon B. [laughter]
[2484] 2:11:06	>> Yeah. You know,
[2485] 2:11:09	you'd think it was a Babylon beast store
[2486] 2:11:12	>> broken into using the password.
[2487] 2:11:15	>> Yeah.
[2488] 2:11:17	Okay. Next uh super chat here is from um
[2489] 2:11:23	uh at Ministries. He asks, "Could you
[2490] 2:11:26	use corn tortillas for communion or only
[2491] 2:11:29	flour?" Um
[2492] 2:11:32	you could use corn. Okay. Uh there's
[2493] 2:11:35	there's but it depends upon your
[2494] 2:11:36	denomination. Some denominations insist
[2495] 2:11:38	on flour and wheat like the Roman
[2496] 2:11:41	Catholics insist upon that that there
[2497] 2:11:43	has to be wheat in in the communion. Um
[2498] 2:11:50	but
[2499] 2:11:52	churches globally have often substituted
[2500] 2:11:56	the the bread with other other grains.
[2501] 2:11:59	they have like for example you do find
[2502] 2:12:01	in say East Asia rice crackers being
[2503] 2:12:04	used
[2504] 2:12:06	uh so if if rice crackers is is
[2505] 2:12:10	acceptable then so is corn so
[2506] 2:12:16	um I think if you're going to use if you
[2507] 2:12:18	want to represent say closer to the
[2508] 2:12:22	bread aspect then um go with a flour
[2509] 2:12:26	tortilla flour tortillas are perfectly
[2510] 2:12:28	fine
[2511] 2:12:29	um corn might be pushing it a little,
[2512] 2:12:33	but um but there have been there have
[2513] 2:12:35	been substitutes in the past
[2514] 2:12:39	uh particularly as an accommodation for
[2515] 2:12:41	those who have um celiacs disease
[2516] 2:12:46	uh where they have a gluten a legitimate
[2517] 2:12:49	gluten intolerance.
[2518] 2:12:52	So, um,
[2519] 2:12:55	so generally as long as it's a breadlike
[2520] 2:12:58	item, it's often okay.
[2521] 2:13:03	So,
[2522] 2:13:10	>> um, Dark Blade says, "Would Mochi or
[2523] 2:13:13	Tanguin be acceptable for I don't know
[2524] 2:13:16	what Tanguin is." Um, I know what Mochi
[2525] 2:13:18	is. Mochi probably not because mochi is
[2526] 2:13:22	actually a paste. It's not it's not a
[2527] 2:13:25	baked pro uh product.
[2528] 2:13:28	Uh BC4YT
[2529] 2:13:31	um in Jesus's day wouldn't it be barley?
[2530] 2:13:35	Okay. Unleaven bread was made from wheat
[2531] 2:13:37	flour.
[2532] 2:13:40	So
[2533] 2:13:42	um barley not so much. Barley was um
[2534] 2:13:45	leaven bread could be made out of barley
[2535] 2:13:47	and was used made out of barley all the
[2536] 2:13:49	time. Unleaven bread tended to be wheat
[2537] 2:13:52	flour. Okay. And uh this is going way
[2538] 2:13:57	back. So
[2539] 2:14:01	so um wheat flour was generally used for
[2540] 2:14:04	unleavened bread. The reason why is
[2541] 2:14:06	because it stuck together better.
[2542] 2:14:09	So even for example in in good barley
[2543] 2:14:12	breads uh you don't normally find whole
[2544] 2:14:15	barley in bread. Sometimes you do but
[2545] 2:14:19	it's not it's not very palatable. It
[2546] 2:14:23	doesn't tend to raise because you don't
[2547] 2:14:24	have the gluten there.
[2548] 2:14:27	So
[2549] 2:14:29	So even barley breads tend to be a
[2550] 2:14:31	mixture of of barley and wheat.
[2551] 2:14:36	So,
[2552] 2:14:39	so um definitely uh it wheat was the
[2553] 2:14:43	preferred uh for unleavened bread. Now,
[2554] 2:14:48	that said, there's more than one way to
[2555] 2:14:49	make unleavened bread. You can make a
[2556] 2:14:51	tortilla. Tortilla is a perfectly
[2557] 2:14:53	acceptable unleavened bread. Uh you can
[2558] 2:14:56	do in the matzah variety. I don't care
[2559] 2:14:59	for that, but hey, you know, it is still
[2560] 2:15:01	a thing. and it's used by say Passover
[2561] 2:15:05	um setters today.
[2562] 2:15:09	But there's nothing saying you can't do
[2563] 2:15:11	tortillas. Corn tortillas are just fine.
[2564] 2:15:13	Work just fine, especially if they don't
[2565] 2:15:16	have leavenning.
[2566] 2:15:26	Um GB says, "You have corrected me on
[2567] 2:15:28	this in the past. Can you explain how
[2568] 2:15:30	Islam is isn't the offspring of Ishmael?
[2569] 2:15:33	Again, I struggled to find things on
[2570] 2:15:35	this and trust your opinion. Any good
[2571] 2:15:36	sources on this? Um, I this is something
[2572] 2:15:39	I got from Barry Bites. Okay, that was
[2573] 2:15:42	my source for this. Okay. Um,
[2574] 2:15:47	he's he's a he's a he's a scholar on um
[2575] 2:15:52	the geography of of the ancient world.
[2576] 2:15:55	So that's that's his prim primary um
[2577] 2:15:58	field of expertise. Okay. Now the reason
[2578] 2:16:03	why Islam isn't the offspring of Ishmael
[2579] 2:16:07	is because Ishmael disappeared.
[2580] 2:16:12	They got driven out of of Arabia in the
[2581] 2:16:14	10th century BC
[2582] 2:16:17	by Arabic tribes
[2583] 2:16:19	and the Arabic tribes forced out the
[2584] 2:16:21	Ishelites. The Ishelites moved up into
[2585] 2:16:24	Jordan and assimilated and disappeared.
[2586] 2:16:26	Okay? So, there are no more Ishelites.
[2587] 2:16:31	The Islam comes out of Arabian tribes.
[2588] 2:16:36	These are tribes that originally began
[2589] 2:16:38	in
[2590] 2:16:41	in uh eastern
[2591] 2:16:44	Arabian Peninsula and southern
[2592] 2:16:46	Mesopotamia.
[2593] 2:16:48	Okay. So
[2594] 2:16:51	uh keeps learning. Uh please repeat the
[2595] 2:16:54	name of the expert on that geography.
[2596] 2:16:56	Barry Bites. B A R R Y. Uh B E I T Z L.
[2597] 2:17:07	Okay.
[2598] 2:17:10	Uh Camilar Arabian tribes like and
[2599] 2:17:13	Arabian clans. Yeah. Like like Arabian
[2600] 2:17:15	clans essentially.
[2601] 2:17:17	So
[2602] 2:17:19	um
[2603] 2:17:21	so Islam appears in the 6th century AD
[2604] 2:17:27	essentially
[2605] 2:17:29	uh 1,200 years after
[2606] 2:17:34	the IshRaelites go extinct.
[2607] 2:17:37	So they can't be part of I mean Islam
[2608] 2:17:41	cannot be an offshoot of the
[2609] 2:17:45	IshRaelites. it just it's it's not
[2610] 2:17:48	possible
[2611] 2:17:50	from a genealogical as I said a a a
[2612] 2:17:53	genetic standpoint.
[2613] 2:17:57	So
[2614] 2:18:00	So that's that's where that's that's I
[2615] 2:18:03	mean Ishelites
[2616] 2:18:05	are yeah they were despcendants of
[2617] 2:18:08	Abraham but they were driven out they
[2618] 2:18:11	were driven out of Midian. what we have
[2619] 2:18:14	from Islam today are basically Arabic
[2620] 2:18:17	tribes and they are a different kind
[2621] 2:18:21	branch of the Semitic family. So
[2622] 2:18:29	Mhm.
[2623] 2:18:32	>> Yeah.
[2624] 2:18:34	All right. So
[2625] 2:18:41	PC4YT, what if I want to quote that
[2626] 2:18:44	verse about Ishmamail fighting everyone?
[2627] 2:18:47	Well, they did in their time.
[2628] 2:18:50	They did in their time. I mean, I don't
[2629] 2:18:51	think they went peacefully. I mean, they
[2630] 2:18:54	didn't leave Midian because they wanted
[2631] 2:18:56	to. [laughter]
[2632] 2:19:01	Yeah. One doesn't pack up and leave home
[2633] 2:19:03	by choice.
[2634] 2:19:06	[laughter]
[2635] 2:19:09	Yeah. So, just
[2636] 2:19:12	Oh, boy. [laughter]
[2637] 2:19:16	All right. Next one here.
[2638] 2:19:21	All right. Moses wasn't placed in the
[2639] 2:19:23	Nile, right? He was placed beside he was
[2640] 2:19:25	placed in among the reeds. Okay. Uh, so
[2641] 2:19:30	we wouldn't actually he wouldn't have
[2642] 2:19:32	actually traveled anywhere. No, he
[2643] 2:19:33	didn't go. He didn't he wasn't he wasn't
[2644] 2:19:36	white water rafting down the Nile.
[2645] 2:19:42	[laughter]
[2646] 2:19:43	That came later probably. Could be.
[2647] 2:19:46	Could be.
[2648] 2:19:49	[laughter]
[2649] 2:19:52	>> Plus the fact is
[2650] 2:19:54	>> Oh, yeah. Yeah. So she's not running
[2651] 2:19:57	down the river bank. Watch.
[2652] 2:20:00	>> Oh yeah.
[2653] 2:20:03	[cough] Camel leopard. I don't know.
[2654] 2:20:05	Prince of Egypt says otherwise.
[2655] 2:20:08	Oh boy.
[2656] 2:20:11	Yeah. I mean, he was placed amongst the
[2657] 2:20:13	reeds. And that's at on the bank. That's
[2658] 2:20:15	that's just in the water on the bank uh
[2659] 2:20:19	next to the bank of the river. That's
[2660] 2:20:20	that's where he was placed. Okay.
[2661] 2:20:22	Amongst the reads. So, he's technically
[2662] 2:20:25	placed in the water, but he ain't going
[2663] 2:20:27	anywhere because those reads are holding
[2664] 2:20:29	him in place. So, no, he's not traveling
[2665] 2:20:32	downstream. He's He's not in a in a
[2666] 2:20:35	little speedboat going downstream.
[2667] 2:20:46	Uh, Dark says, "So, the reads barrier
[2668] 2:20:49	the basket from moving it with the
[2669] 2:20:50	water?" Yeah, they do. Uh, these these
[2670] 2:20:52	were papyrus reads. They're thick. You
[2671] 2:20:56	know, once you place something in
[2672] 2:20:57	papyrus reads, it's not going anywhere.
[2673] 2:21:02	You know, just,
[2674] 2:21:06	you know, some of those papyrus reads,
[2675] 2:21:08	you know, were like an inch thick, inch
[2676] 2:21:10	across.
[2677] 2:21:12	You know, they're not little pieces of
[2678] 2:21:14	grass sticking out of the water.
[2679] 2:21:16	You know, they're eight feet tall.
[2680] 2:21:19	You know, papyrus grows eight feet tall.
[2681] 2:21:23	it. It's an inch inch and a half around,
[2682] 2:21:26	you know. It's [laughter] not It's not
[2683] 2:21:30	You're not You're not going anywhere if
[2684] 2:21:34	you're stuck in those reads as a little
[2685] 2:21:36	child in a basket. Okay. Just saying.
[2686] 2:21:47	>> Candle the base. Wait, wait. Wasn't a
[2687] 2:21:50	That wasn't a documentary. Only the Gee,
[2688] 2:21:58	Kim, why was Pharaoh's daughter going to
[2689] 2:22:01	bathe in it? Um, she would have gone to
[2690] 2:22:03	a clearing. So, she's walking past the
[2691] 2:22:06	patch of reads to a clearing where that
[2692] 2:22:09	she would have had access to the water.
[2693] 2:22:10	Okay. So, why she's going there is
[2694] 2:22:14	probably to ritually bathe.
[2695] 2:22:17	So, this she probably had some temple
[2696] 2:22:20	ritual. She may have even had a job in
[2697] 2:22:23	in in one of the temples. Uh we do know
[2698] 2:22:25	around Avarus there was a temple to ball
[2699] 2:22:28	there. Uh Seth
[2700] 2:22:30	Seth and Ball. So she might have been
[2701] 2:22:33	there to do a temple ritual at that
[2702] 2:22:35	temple. So uh she might have been a
[2703] 2:22:39	priestess in a nearby temple or
[2704] 2:22:41	something and at that point she would
[2705] 2:22:44	have been ritually bathing to to do
[2706] 2:22:46	those rituals. Okay. So hope that helps.
[2707] 2:22:58	Uh
[2708] 2:23:00	Kimard, wasn't the gu water water gross?
[2709] 2:23:03	Yes.
[2710] 2:23:05	Everyone drank it though or at least
[2711] 2:23:07	bathed in it. Uh those who are of higher
[2712] 2:23:11	classes, they would have dranken from
[2713] 2:23:13	wells
[2714] 2:23:15	and the even higher classes, they would
[2715] 2:23:16	have drank beer.
[2716] 2:23:19	So, um, that did purify a lot of the
[2717] 2:23:22	water, but they still bathed in it. But
[2718] 2:23:25	yes, it was gross
[2719] 2:23:28	and people did still contract parasites
[2720] 2:23:31	from it. Although they had a natural
[2721] 2:23:34	immunity to it as well, but that didn't
[2722] 2:23:37	cover everything.
[2723] 2:23:40	Okay,
[2724] 2:23:44	that was fun.
[2725] 2:23:47	Uh, next one here.
[2726] 2:23:54	Ah, Dooa dude's here. Awesome.
[2727] 2:23:57	Hi, Dooa dude.
[2728] 2:24:00	Okay. Uh, at Ministries, thank you for
[2729] 2:24:02	the super chat. May you explain the role
[2730] 2:24:05	a kinsman redeemer? Okay. Uh, a kinsman
[2731] 2:24:10	redeemer
[2732] 2:24:12	is when somebody does not have
[2733] 2:24:18	a woman has
[2734] 2:24:20	a plot of land that she inherited
[2735] 2:24:24	through her husband
[2736] 2:24:26	but does not have the children
[2737] 2:24:29	and
[2738] 2:24:31	to work the inheritance.
[2739] 2:24:34	Okay. So, she has to find some way to
[2740] 2:24:37	feed herself.
[2741] 2:24:40	So what a kinsman redeemer does is from
[2742] 2:24:43	the local clan
[2743] 2:24:46	an eligible man
[2744] 2:24:48	marries the widow
[2745] 2:24:51	to redeem the inheritance.
[2746] 2:24:55	Okay.
[2747] 2:24:57	So
[2748] 2:24:59	he's basically the crimson redeemer is
[2749] 2:25:01	redeeming the inheritance on behalf of
[2750] 2:25:04	the dead man. Okay,
[2751] 2:25:09	so that's what a kinsman redeemer is. He
[2752] 2:25:13	is a guy that basically marries a widow
[2753] 2:25:16	to help the widow produce children to
[2754] 2:25:20	redeem the inheritance. Now the down
[2755] 2:25:24	being a kinsman redeemer is optional.
[2756] 2:25:28	you can decline it, especially if you
[2757] 2:25:30	have a reason. And one of the more one
[2758] 2:25:33	of the reasons is that your own children
[2759] 2:25:37	might be out of luck.
[2760] 2:25:40	Uh you could you could put your own
[2761] 2:25:41	inheritance and the inheritance of your
[2762] 2:25:44	children at stake with this. Okay?
[2763] 2:25:47	Especially if it's not the firstborn.
[2764] 2:25:50	If you have a firstborn already, his
[2765] 2:25:52	inheritance is already secured.
[2766] 2:25:55	But
[2767] 2:25:57	uh if you don't have a firstborn
[2768] 2:25:59	already, if you don't have a child
[2769] 2:26:00	already, a kinsman redeemer
[2770] 2:26:05	uh and you act as a kinsman redeemer and
[2771] 2:26:08	you do the give the f the firstborn gets
[2772] 2:26:12	basically
[2773] 2:26:14	the clan designation for the husband
[2774] 2:26:18	and takes could take away part of your
[2775] 2:26:21	children's inheritance for the dead
[2776] 2:26:24	husband's. child replacement. Okay. So,
[2777] 2:26:30	so that's a kinsman what a kinsman
[2778] 2:26:32	redeemer does.
[2779] 2:26:38	Uh dark blade. I thought kinsman
[2780] 2:26:40	redeemer was someone who bought their
[2781] 2:26:41	relatives freedom from debt uh
[2782] 2:26:43	indebtedness.
[2783] 2:26:45	Um that is that can be part of it. A lot
[2784] 2:26:49	of these these widows go into debt
[2785] 2:26:54	>> or their husbands went into debt
[2786] 2:26:57	>> died
[2787] 2:26:58	>> and then died. So um uh debt redemption
[2788] 2:27:02	can be part of this. It's not the core
[2789] 2:27:05	part. Okay.
[2790] 2:27:08	It's it's it's the redemption of of of
[2791] 2:27:14	property holdings
[2792] 2:27:17	uh that were inherited from the clan
[2793] 2:27:20	that's being actually redeemed here.
[2794] 2:27:23	Okay.
[2795] 2:27:30	So
[2796] 2:27:35	deduce a dude. But the firstborn was not
[2797] 2:27:37	automatically the blessed one. Correct.
[2798] 2:27:40	Um
[2799] 2:27:42	not automatically.
[2800] 2:27:44	Um especially not in the patriarchal
[2801] 2:27:47	period.
[2802] 2:27:49	That had changed by the time of say the
[2803] 2:27:52	kingdom period and say the the conquest.
[2804] 2:27:55	By the time of conquest,
[2805] 2:27:58	the firstborn became almost a facto the
[2806] 2:28:02	blessed one as well
[2807] 2:28:04	because you couldn't
[2808] 2:28:07	the Israelite law prevented you from
[2809] 2:28:10	taking the inheritance of the firstborn
[2810] 2:28:13	and giving it to another
[2811] 2:28:15	unless there was real warrant for it.
[2812] 2:28:19	And a real warrant would be for example
[2813] 2:28:21	if if the firstborn commits crimes
[2814] 2:28:26	you know disgraces the family in that
[2815] 2:28:28	way. So
[2816] 2:28:33	but uh it became more of an automatic at
[2817] 2:28:37	least a owed act as it were.
[2818] 2:28:43	So
[2819] 2:28:45	So hope that helps.
[2820] 2:28:49	Okay, we'll do one more here from uh 18
[2821] 2:28:51	Ministries.
[2822] 2:28:55	Uh what does conceive mean here in James
[2823] 2:28:57	1:15? Well, let's take a look.
[2824] 2:29:04	James 1 verse1 15
[2825] 2:29:08	too far.
[2826] 2:29:16	Okay. Uh we'll do verse 14. But each one
[2827] 2:29:20	is tempted when he is carried away and
[2828] 2:29:22	enticed by his own lust. Then when lust
[2829] 2:29:25	has conceived,
[2830] 2:29:27	okay
[2831] 2:29:30	um it gives birth to sin. Now and when
[2832] 2:29:34	sin is accomplished, it brings forth
[2833] 2:29:35	death. Now the words conceived
[2834] 2:29:40	um
[2835] 2:29:42	dilano
[2836] 2:29:45	to take to collect
[2837] 2:29:48	to
[2838] 2:29:51	um
[2839] 2:29:53	basically gain root essentially. Um,
[2840] 2:30:00	conceive is is kind of here a
[2841] 2:30:02	speculative
[2842] 2:30:03	translation.
[2843] 2:30:06	Um, but it it's it's more more along the
[2844] 2:30:08	lines of um taking hold.
[2845] 2:30:13	The the root of the the word here means
[2846] 2:30:15	to take. So, think of it this way. It's
[2847] 2:30:18	when lust has taken hold, it's gotten a
[2848] 2:30:21	grasp on you, okay? It gives birth to
[2849] 2:30:26	sin. Now because it gives birth is is um
[2850] 2:30:32	is a tic-toe which is to to beget. Uh
[2851] 2:30:35	translators do often translate that as
[2852] 2:30:37	conceived but that's this is a this is a
[2853] 2:30:43	this is a speculative
[2854] 2:30:45	um somewhat speculative translation.
[2855] 2:30:50	Okay. But again, they're they're trying
[2856] 2:30:53	uh the author in James here. The James
[2857] 2:30:55	here is trying to
[2858] 2:30:58	sort of use the um
[2859] 2:31:02	uh the metaphor of of the life cycle.
[2860] 2:31:08	So to conceive, to give birth, when sins
[2861] 2:31:11	accomplished, death. So that's he's
[2862] 2:31:14	using a life cycle metaphor here. So
[2863] 2:31:17	while the idea that this means conceived
[2864] 2:31:20	is somewhat speculative, it does sort of
[2865] 2:31:23	fit with the pattern of the verse. So
[2866] 2:31:29	but really it's it's to take hold. So
[2867] 2:31:32	when lust is taken hold, it gives birth
[2868] 2:31:34	to sin.
[2869] 2:31:36	Sounds parasitic. Yeah, it does, doesn't
[2870] 2:31:39	it?
[2871] 2:31:41	>> Sin is parasitic.
[2872] 2:31:43	So yeah, that's that's that would make
[2873] 2:31:45	total sense.
[2874] 2:31:49	Okay.
[2875] 2:31:55	All right. Well, now go on to
[2876] 2:31:59	next one here.
[2877] 2:32:02	Um,
[2878] 2:32:05	next super chat is
[2879] 2:32:11	okay. Uh BC4YT for
[2880] 2:32:15	um $5 Australian. Thank you very much.
[2881] 2:32:18	The super chat. I had a Christian try
[2882] 2:32:21	and tell me God has never killed a
[2883] 2:32:22	single person.
[2884] 2:32:26	Uh killed Onan. [laughter]
[2885] 2:32:33	Look, God's a judge. He can kill anyone
[2886] 2:32:36	he wants. You know, he's the creator and
[2887] 2:32:39	giver of life. and he can take it away
[2888] 2:32:41	too.
[2889] 2:32:43	You know,
[2890] 2:32:45	all men are are are mortal. You know, no
[2891] 2:32:48	one lives forever.
[2892] 2:32:51	So, uh
[2893] 2:32:53	I don't know what to say about that. Uh
[2894] 2:32:56	I mean there's there there has been
[2895] 2:32:58	times when God has just struck people
[2896] 2:33:00	dead.
[2897] 2:33:02	You know, that's just
[2898] 2:33:04	God is not like men. You know, if we
[2899] 2:33:08	struck another person dead, you know,
[2900] 2:33:11	unless it's self-defense
[2901] 2:33:13	or in in a war situation, that would be
[2902] 2:33:16	murder. Okay? But we don't create life
[2903] 2:33:19	either. Life comes from God. God creates
[2904] 2:33:23	it. God manages it. And he can reap it
[2905] 2:33:27	at any time.
[2906] 2:33:29	So,
[2907] 2:33:34	and there has been times when he has
[2908] 2:33:35	reaped it, you know,
[2909] 2:33:42	uh he kills Ananas and Safh
[2910] 2:33:47	dead. You want a pair of dead deads, you
[2911] 2:33:50	know, killed by the Holy Spirit of all
[2912] 2:33:52	people.
[2913] 2:33:57	Yeah. Literally the flood,
[2914] 2:34:02	you know.
[2915] 2:34:07	>> Yeah, the flood. Sodom and Gomorrah.
[2916] 2:34:11	I mean, Ananas and Safh, I mean, they
[2917] 2:34:15	drop dead right there and carry out the
[2918] 2:34:17	bodies.
[2919] 2:34:24	>> Yeah. Lying to the Holy Spirit is a
[2920] 2:34:26	serious thing.
[2921] 2:34:29	So I mean it's just
[2922] 2:34:32	Yeah. It's like
[2923] 2:34:37	So I mean Ananas and Safar are perfect
[2924] 2:34:39	example of God killing somebody right
[2925] 2:34:43	there.
[2926] 2:34:45	BC. Yeah. The Assyrians, the the army of
[2927] 2:34:48	Sinakaribb.
[2928] 2:34:49	[laughter]
[2929] 2:34:51	Dead.
[2930] 2:34:53	Dead.
[2931] 2:35:03	>> Yeah.
[2932] 2:35:05	>> These aren't just body.
[2933] 2:35:07	>> Yeah.
[2934] 2:35:08	>> On Earth.
[2935] 2:35:09	>> Yeah.
[2936] 2:35:09	>> He sees our whole
[2937] 2:35:12	different body.
[2938] 2:35:13	>> Yeah.
[2939] 2:35:14	>> Yeah. Well, I mean, our bodies are
[2940] 2:35:16	temporary. They are they're designed to
[2941] 2:35:20	be temporary
[2942] 2:35:22	without
[2943] 2:35:24	um you know we're not meant to live
[2944] 2:35:27	forever.
[2945] 2:35:31	So the whole idea of
[2946] 2:35:35	of you know God's going to kill a lot of
[2947] 2:35:38	people at his second coming
[2948] 2:35:40	that's going that's what the great uh
[2949] 2:35:43	marriage feast of the lamb is. All the
[2950] 2:35:46	followers of the Antichrist,
[2951] 2:35:49	they're going to they're going to be
[2952] 2:35:50	dead dead in the great squish, the great
[2953] 2:35:53	wine press of the Lord. You know, you
[2954] 2:35:56	don't think you don't think the great
[2955] 2:35:57	wine press of the Lord is about grapes,
[2956] 2:36:00	do you? [laughter]
[2957] 2:36:05	It's not about grapes. It's not about
[2958] 2:36:07	wine.
[2959] 2:36:17	Uh, come on part. I don't know. Doc's
[2960] 2:36:20	contradiction can hammies beyond him.
[2961] 2:36:23	[laughter] He says we were made
[2962] 2:36:25	immortal.
[2963] 2:36:28	Well, our spirits are immortal. Our
[2964] 2:36:30	bodies aren't.
[2965] 2:36:34	[laughter]
[2966] 2:36:41	uh BC4YT to the horse's bridles metal
[2967] 2:36:44	scree the bridles keep in mind with the
[2968] 2:36:47	bridles um these are the bridles draped
[2969] 2:36:51	okay so it's not coming up to the noses
[2970] 2:36:54	of the horse
[2971] 2:36:56	but the bridal when the bridal is put on
[2972] 2:36:57	the horse it drapes down
[2973] 2:37:02	so it's more to the horse's calf half or
[2974] 2:37:06	knee.
[2975] 2:37:10	Uh this description is actually used
[2976] 2:37:11	elsewhere. We hear it. It's this this
[2977] 2:37:14	idea of the blood coming up to the
[2978] 2:37:16	horse's bridles is not unique to this
[2979] 2:37:19	text. We do find it in extra biblical
[2980] 2:37:22	texts to and it and it almost always
[2981] 2:37:26	refers to to the draped bridal uh
[2982] 2:37:30	basically when the horse isn't being
[2983] 2:37:32	ridden.
[2984] 2:37:35	So,
[2985] 2:37:38	so it's not up to the mouth, even though
[2986] 2:37:40	you see all of those left behind posters
[2987] 2:37:43	with it up to the mouth. No, it's not up
[2988] 2:37:44	to the horse's mouth.
[2989] 2:37:47	[laughter] It's it's down to the knees
[2990] 2:37:49	of the horses.
[2991] 2:37:52	Okay.
[2992] 2:37:55	[laughter]
[2993] 2:37:56	DC4YT. So, basically a foot of blood.
[2994] 2:37:59	Holy cow. Yeah. Still a lot of blood,
[2995] 2:38:03	but yeah.
[2996] 2:38:09	Yeah. So, uh
[2997] 2:38:13	[laughter]
[2998] 2:38:16	so yeah, but we do find this this uh
[2999] 2:38:19	this expression extra biblically. Uh, in
[3000] 2:38:23	fact, it's even used in one of the um
[3001] 2:38:27	um
[3002] 2:38:29	letters during the Crusades
[3003] 2:38:32	uh at the siege of Jerusalem.
[3004] 2:38:34	>> That one was basic.
[3005] 2:38:36	>> Oh, well describe
[3006] 2:38:39	>> that was hyperbole. Yeah, that one was
[3007] 2:38:41	hyperbole.
[3008] 2:38:42	>> That was exagger.
[3009] 2:38:45	Yeah, that was that was essentially an
[3010] 2:38:48	exaggeration to
[3011] 2:38:50	um impress the pope
[3012] 2:38:55	but that same expression is used.
[3013] 2:38:58	Um
[3014] 2:39:01	the fact is that at the time of the
[3015] 2:39:03	crusades
[3016] 2:39:05	um Jerusalem had about 30,000 people.
[3017] 2:39:07	Just wasn't enough to not not enough
[3018] 2:39:09	people to bring the blood up to the
[3019] 2:39:11	bridles.
[3020] 2:39:13	>> Most of it killing Yeah. And there's a
[3021] 2:39:16	lot of hills in Jerusalem, too. Yeah,
[3022] 2:39:17	there's that, too.
[3023] 2:39:27	>> Yeah, there's very few places it would
[3024] 2:39:29	have pulled there. Yeah. So, it's just
[3025] 2:39:31	But it is used there. Okay, let's move
[3026] 2:39:34	on the next one here.
[3027] 2:39:36	Uh, thank you BC4YT for that super chat.
[3028] 2:39:39	We really appreciate it. Hope that in
[3029] 2:39:41	gave you some um insight.
[3030] 2:39:53	PC4T.
[3031] 2:39:56	So the blood flood was local, not global
[3032] 2:40:01	or global. I I don't know.
[3033] 2:40:05	Oh yeah, this is this this has been a
[3034] 2:40:06	gross episode. This has been a gross
[3035] 2:40:08	live stream.
[3036] 2:40:16	But hey, we talked about interesting
[3037] 2:40:18	things. No one can accuse us of not
[3038] 2:40:20	[laughter] not um
[3039] 2:40:23	talking about interesting stuff.
[3040] 2:40:26	Okay. Uhwamiadoo 007 for uh $2. Thank
[3041] 2:40:31	you for the super chat. How do you feel
[3042] 2:40:34	about the chosen? I'm not a fan.
[3043] 2:40:39	I
[3044] 2:40:41	am kind of impartial about it.
[3045] 2:40:45	I got mixed feelings about it, too.
[3046] 2:40:49	Um, yeah, I have I haven't watched
[3047] 2:40:50	season 3. I've only watched season two,
[3048] 2:40:52	one and two. Um,
[3049] 2:40:55	season one and two were okay. A lot of
[3050] 2:40:59	they take a lot of artistic liberties.
[3051] 2:41:02	Um, there are some theological problems
