[0] 0:10	so [Music]
[923] 1:42:36	that tells us that god gives people their land not some pagan
[924] 1:42:43	god and this is the exact verse which tells us how when god did it
[925] 1:42:50	so i really think here that that mark smith is taking say a source
[926] 1:42:57	critical um approach to the text and basically saying oh
[927] 1:43:02	you got elian you've got yahweh it's two gods obviously no he's wrong here
[928] 1:43:08	um i i i that's just a that's just a bad reading of the of the text
[929] 1:43:15	so um yeah i don't i don't place that that that
[930] 1:43:20	argument uh as credible just based upon the literary structure of
[931] 1:43:25	of the verses here and basically their sort of contextual
[932] 1:43:31	arrangement so anyway thank you for the question it's a good question
[933] 1:43:36	but i don't think his uh his um his argument here has merit
[934] 1:43:43	and wow uh we just got a very generous super chat
[935] 1:43:49	uh um fencing mitch well for a 100
[936] 1:43:54	australian well thank you so much for that extremely generous super chat
[937] 1:44:00	wow ah what a wonderful super chat what a great gift thank you so much
[938] 1:44:06	okay uh hi doc finally caught a stream live again well it's great to have you here
[939] 1:44:13	great to listen when painting historical figures awesome i love the fine arts
[940] 1:44:22	i grew a little bit of personal information since you were so generous here
[941] 1:44:27	i grew up in a family of artists art in my family goes back four
[942] 1:44:32	generations four generations and growing up um each of
[943] 1:44:38	uh of the children was uh was um taught how to do artwork whether it be
[944] 1:44:46	painting drawing making jewelry ceramics like for example my sister is a ceramic artist
[945] 1:44:52	i myself did jewelry and illustration and i still use those skills i mean
[946] 1:44:57	they're wonderful skills to have so you know i i would actually love to see some
[947] 1:45:02	of your work someday okay i digress i know there's some egyptian board games
[948] 1:45:09	but did the israelites have board games as well or were they too busy surviving
[949] 1:45:15	also the question is just an excuse to support your channel well you know what it is actually a great question
[950] 1:45:23	um but i do appreciate the super chat as well because it does really help us out
[951] 1:45:31	especially this time of year so um i very very much appreciate the super chat now let's get to your answer
[952] 1:45:39	did the israelites have games the um
[953] 1:45:44	uh and i'm gonna be specific here like board games the answer is probably yes
[954] 1:45:50	they probably did have board games now um one of the things that we say find
[955] 1:46:00	at the at the city of megiddo the megiddo this is called these are
[956] 1:46:05	called the megiddo ivories and it's a set of basically ivory
[957] 1:46:10	fragments that were found during the excavation at uh megiddo by the oriental
[958] 1:46:17	institute uh in the i believe it's the early 20th century when they were did the excavations at megiddo
[959] 1:46:24	and one of the things that was found in a in the megiddo ivories is this
[960] 1:46:30	little um little board about yea big it's semi-circular
[961] 1:46:36	so it looks like it was like half of a slice of an ivory tusk
[962] 1:46:42	and it has in it carved little holes and what went with these little ivory pegs
[963] 1:46:50	and it seems to have been a board game that was used with some sort of kind of
[964] 1:46:55	dice and more or less you know you race the pegs around the board
[965] 1:47:01	so this is found at megiddo so it does appear
[966] 1:47:07	that the israelites had games even though none of them say survive to the modern times
[967] 1:47:13	because board games do seem to be part of of say levantine culture
[968] 1:47:19	so we do have evidence for board games we have evidence for dice uh throwing sticks were often used as
[969] 1:47:25	dice uh we even have reference to them in in some of say the um
[970] 1:47:32	the literature of israel uh even second type of literature uh
[971] 1:47:37	references these so um we do have lots and actually a decent
[972] 1:47:43	amount of evidence to say that the israelites did have have board games and as i said we have an example of one from
[973] 1:47:50	uh from kanan so um that is actually really really it's a
[974] 1:47:56	beautiful little piece it's it's it's actually if you ever go to the oriental um institute and their museum there at
[975] 1:48:04	the university of chicago you can actually see that little board game on display in their megiddo ivory exhibit
[976] 1:48:11	it's it's a wonderful it's it's a little beautiful uh board game it's not that big but it is definitely a board game
[977] 1:48:20	so anyway uh i hope that answers your question um it's a it's a wonderful
[978] 1:48:25	question and it's a um wonderful little ivory piece
[979] 1:48:30	thank you very much for that very generous super chat uh it does really help and we really really appreciate it
[980] 1:48:38	thank you so very much okay um i'm gonna try to take
[981] 1:48:44	at least uh one or two more non-super chats here
[982] 1:48:51	and [Laughter]
[983] 1:48:58	um we have taken that taking that one
[984] 1:49:04	oh we just had one okay uh definite canada for ten dollars
[985] 1:49:11	thank you very much for the super chat you said you're in a popcorn video you are not a creationist i thought a
[986] 1:49:18	creationist was just someone who believed that yah created the world well it's a little more specific than that
[987] 1:49:24	we'll get into that what is the difference in your views from uh in views from yours and an old
[988] 1:49:30	earth creationist okay a creationist is is not just that that
[989] 1:49:37	yahweh created the world it's a very specific in how god created
[990] 1:49:43	the world and the idea is that god created the world ex nihilo out of nothing
[991] 1:49:51	so the old earth versus young earth creationist that's more of a matter of
[992] 1:49:56	at what point did god create the world ex nihilo
[993] 1:50:03	so that is the classical definition of what is a um creationist is is is that god created
[994] 1:50:11	ex nihilo now i have some reservations about that idea
[995] 1:50:19	that god created the world um at least as far as the
[996] 1:50:24	um the pattern of say genesis one um because god is
[997] 1:50:31	there's a there's a problem in that that you know a lot of creationists will
[998] 1:50:36	take say genesis 1 1 as both a
[999] 1:50:42	a summary statement as well as a specific act and one of the rules of say exegesis is
[1000] 1:50:49	you cannot take narrative prose in two different uh meanings at the same time
[1001] 1:50:57	that is an exegetical problem and it's not an exogen it's an
[1002] 1:51:02	exegetical problem i have um not seen a lot of creations whether older or
[1003] 1:51:09	young earth meaningfully engage so it can't be both a creative act and a
[1004] 1:51:17	summary at the same time unless it is a summary of a a creative act that happened
[1005] 1:51:23	before day one okay if it's a summary act before day one then it could be a summary and an
[1006] 1:51:30	act but then it's not an act in the same way
[1007] 1:51:35	so my problem here with say creationism is as much
[1008] 1:51:43	exegetical as it is anything else now with that said i'm not an evolutionist either
[1009] 1:51:50	so uh i've at this point um
[1010] 1:51:55	i do think that um i i'm i've basically been just about
[1011] 1:52:02	everything on across the map as far as origins go and at this point i'm right now
[1012] 1:52:08	none of the above that's probably the best way i can until i can really sort of parse the
[1013] 1:52:14	text and really sort of engage the text a full throttle
[1014] 1:52:21	and i i have made some attempts here i have done some work on this and i'm going to do more work on this
[1015] 1:52:27	but right now i don't have an opinion essentially that's what it comes down to
[1016] 1:52:32	is i don't have an opinion
[1017] 1:52:38	i'm not a young earth creationist i'm not an all-earth creationist i'm not an evolutionist i'm not a
[1018] 1:52:45	um theistic evolutionist i'm none of the above right now because i just don't know
[1019] 1:52:52	um and right now um i have um
[1020] 1:53:00	i've really come down to the the um
[1021] 1:53:06	come down to sort of the the state of mind where i'm saying okay genesis 1
[1022] 1:53:12	tells us who created the universe who created the world
[1023] 1:53:18	or how he formed the world and i have to go back to all the other verses too that also
[1024] 1:53:24	make reference to the creation narrative which is say the there's there's seven verses
[1025] 1:53:30	scattered throughout the prophets that state that when god created the
[1026] 1:53:35	world universe he stretched out the heavens like a tent
[1027] 1:53:41	that is probably the preeminent creation text in all of scripture and
[1028] 1:53:47	yet it almost always gets ignored it almost always gets ignored
[1029] 1:53:53	well if god is stretching out the heavens when he created the universe
[1030] 1:53:59	there's something more going on here than ex nihilo who fits there
[1031] 1:54:05	there's something more happening and is that something more
[1032] 1:54:10	happening that i think requires us to respect the text
[1033] 1:54:16	respect the fact that god doesn't tell us all the details respect the fact that we have to sit in
[1034] 1:54:22	awe of god and creation and i don't think we sit in awe
[1035] 1:54:28	of creation enough we've become so scientifically literate
[1036] 1:54:34	that we've become spiritually numb we no longer look at the universe and go
[1037] 1:54:42	oh my gosh the vastness of the heavens the vastness of the heavens speak to the
[1038] 1:54:49	glory of god and tell us that god is great he's a greater god than we can
[1039] 1:54:56	possibly comprehend so
[1040] 1:55:03	i just don't take a side on on the um matter of origins at this point because
[1041] 1:55:09	i don't have enough knowledge simply put i don't have enough information
[1042] 1:55:16	i know for example the theory of evolution when when i went to school and i was working on my uh undergrad
[1043] 1:55:22	um i um um
[1044] 1:55:28	evolution was already in change you know goulds and eldridge's um
[1045] 1:55:34	ethereum punctuated in equilibrium which answered nothing it answered absolutely nothing but was just coming into the
[1046] 1:55:40	fore so we were seeing say third generation evolution well evolution is changing every 50 years now we've got an
[1047] 1:55:48	epigenetic model of evolution coming on um you know on the scene so you know it changes every 50 years
[1048] 1:55:54	i'm not going to throw my lot in with something that changes every 50 years you know i'd be deaf to do that
[1049] 1:56:01	and likewise biblical studies has changed more in the last 50 years than in the previous 1500
[1050] 1:56:10	so expositorily when i look at say genesis you know i don't want to be committed to
[1051] 1:56:17	a view of reading genesis that's circa 1850
[1052] 1:56:23	when um a whole lot has changed on how we even read the bible
[1053] 1:56:29	so i think i think it's sort of it's sort of a a a fool's game right now to hitch my wagon to any particular view
[1054] 1:56:36	at this point so i'm going to remain humble before the text humble before god and uh
[1055] 1:56:43	you know god's provides the evidence at some point yeah i'll go with the evidence i'll always go with the evidence
[1056] 1:56:49	but right now i think uh my my view on the evidence is that the jury has to be out still
[1057] 1:56:56	so any thank you very much for the super chat i very much appreciate and i hope that answered your question
[1058] 1:57:03	okay we got one more super chat here uh five dollars canadian from david uh
[1059] 1:57:09	munoz
[1060] 1:57:14	oh okay um we'll get to that uh
[1061] 1:57:21	uh you have mentioned that a good course on uh biblical geography is
[1062] 1:57:26	needed uh is there a book you would recommend um
[1063] 1:57:32	uh i do recommend uh two books uh that are actually atlases um on biblical geography i
[1064] 1:57:39	recognize i like uh i really like barry beitzel's uh
[1065] 1:57:45	moody atlas on i think it's the bible lands i think it's was called it's by barry beitzel it's an excellent it's an
[1066] 1:57:52	excellent excellent um atlas um it's got a little bit of uh it could
[1067] 1:57:58	be used as a course textbook too in fact it was my course textbook not surprisingly
[1068] 1:58:04	when i uh took uh my uh biblical geography class from barry beitzel um
[1069] 1:58:12	so um but it was an excellent resource all on its own you know uh you know taking his class was
[1070] 1:58:18	phenomenal but his his his his book is also excellent
[1071] 1:58:24	um the other the other atlas i would recommend is there's another atlas that was written by alan millard and paul
[1072] 1:58:30	lawrence that's also very good i'd also recommend that one okay
[1073] 1:58:36	also would you sign my copy of your book yes i would um contact me on facebook we'll make some
[1074] 1:58:42	arrangement and we'll meet at some coffee shop somewhere and i'll sign your book it would be my my extreme pleasure to
[1075] 1:58:49	sign your book um so um absolutely i'd be more than happy to
[1076] 1:58:54	sign your book so um thank you very much for the super
[1077] 1:59:01	chat very much appreciated and and i'd i'd be absolutely honored to sign your book
[1078] 1:59:07	so uh thank you very much [Laughter]
[1079] 1:59:12	so um we are just about hitting 10 here and we'll take
[1080] 1:59:17	one more non super ch and then we're going to call it that'll be the last non-super chat of the night
[1081] 1:59:22	and then we're probably going to call it a night after that
[1082] 1:59:28	let's see here i'm gonna go real early in the stream
[1083] 1:59:34	and i will see
[1084] 1:59:39	hmm
[1085] 1:59:48	um
[1086] 1:59:58	let's see here anything interesting
[1087] 2:00:07	okay i'm going to take that one i think this was uh will be my
[1088] 2:00:13	my sort of my last one for the night okay
[1089] 2:00:19	uh dylan de salvo uh this and this will be the last ques uh non-super chat of the night
[1090] 2:00:27	and if there's no more super chats then we're going to just call it a night because we've hit 10 p.m and he asked the question what is your
[1091] 2:00:34	favorite archaeological find what do you hope gets found in your lifetime
[1092] 2:00:41	my favorite archaeological find still has to be the tomb of king tutankhamun
[1093] 2:00:47	the tomb of king tut just revolutionized egyptology it revolutionized biblical studies it
[1094] 2:00:54	revolutionized just about everything um the whole field of archaeology was
[1095] 2:00:59	turned upside down with the discovery of king tuts ii um
[1096] 2:01:04	it's not a big tomb it's not a beautiful tomb but the wealth of say texts and
[1097] 2:01:11	artifacts that we find in king's tuts 2 sort of changed everything
[1098] 2:01:18	um prior to the discovery of the tomb of king tut
[1099] 2:01:24	the tomb of tutankhamun was just a name on a manuscript
[1100] 2:01:30	it was found on just one manuscript prior to his discovery of this discovery of his tomb
[1101] 2:01:38	um it was briefly mentioned in manifold but nobody really knew what it what what manifold was referring to with with that
[1102] 2:01:47	um but it was found on uh one papyrus of um
[1103] 2:01:53	basically an inspection of the tombs uh during the late um ramachad period
[1104] 2:01:59	so up until that point nobody even knew if tooting common was a
[1105] 2:02:06	how big king he was they knew nothing about him
[1106] 2:02:11	he was just a name on a list and that was all he was
[1107] 2:02:17	with the discovery of the tomb of king tut
[1108] 2:02:22	we now have on text we have
[1109] 2:02:28	a a context of him being you know still a notable king a king that reigned
[1110] 2:02:35	10 years a king who um
[1111] 2:02:41	had a elaborate burial we have now new understanding of
[1112] 2:02:47	funerary customs we have understanding of um
[1113] 2:02:53	of what or how elaborate a royal burial could be
[1114] 2:02:58	because it was the first royal burial uh intact royal burial we found now we
[1115] 2:03:03	found later uh later royal barrels have also been found but none of them were nearly as as
[1116] 2:03:09	sumptuous and elaborate as the tomb of king tut
[1117] 2:03:14	now i mean i think this is absolutely fabulous absolutely fabulous and it is by far my favorite
[1118] 2:03:20	archaeological discovery to date it's just some of the stuff they found in in that tomb is just gorgeous i love some
[1119] 2:03:26	of the shrines some of the shrimps are just just make my heart melt
[1120] 2:03:31	and i've been very very lucky to to be able to contribute to to some of the
[1121] 2:03:36	interpretation of that work too in my own scholarship so for me it's just a personal favorite
[1122] 2:03:43	of mine now what do i hope gets found in my lifetime oh
[1123] 2:03:50	i've got some things i'd like to see discovered um
[1124] 2:03:57	i would love to see the tomb of imhotep be discovered
[1125] 2:04:02	um it has not been discovered yet no one had knows where the tomb of imhotep is
[1126] 2:04:07	i'd love to see where the tomb of ammo tip is it's supposed to be somewhere in saqqara
[1127] 2:04:12	but no one knows exactly where uh we all suspect it's around the pyramid of king zozer or what his
[1128] 2:04:20	successor but we don't know we don't know so i'd love to find
[1129] 2:04:27	uh i hope just discovered in my lifetime the tomb of imhotep
[1130] 2:04:32	um i would also love to see a um definitive
[1131] 2:04:39	um discovery of sukkot as well that would be really great as well or piha he wrote
[1132] 2:04:46	i'd love to see those towns get discovered uh what might be a little closer to sukkot
[1133] 2:04:53	than we are uh say to um he wrote
[1134] 2:04:58	but we know that both those towns existed and you can even throw it in through balsa fun would also be nice to
[1135] 2:05:03	discover as well i'd love to find see those towns discovered um
[1136] 2:05:08	i think those would be uh an incredibly informative as to
[1137] 2:05:13	um say the triangulation of say um the um
[1138] 2:05:21	the root of the exodus i think those would be fabulous to discover too and you can even
[1139] 2:05:26	throw in the tomb joseph as well uh i i don't believe uh david roll's uh
[1140] 2:05:32	12th dynasty early 13th dynasty tomb of joseph is the tomb of joseph um i don't
[1141] 2:05:37	believe that for a minute it's wrong in so many ways it's not even funny um not to mention it's it's it's under
[1142] 2:05:44	the water table and i don't think joseph was buried under the water table one of the reasons why i don't think
[1143] 2:05:50	joseph was buried under the water table is because
[1144] 2:05:58	the mummification process one of the problems with the mummification process is
[1145] 2:06:04	um if a mummy ever gets wet it goes to goo
[1146] 2:06:11	ew isn't mommy supposed to be gooey uh
[1147] 2:06:18	that's what happens when mummified flesh um is exposed to water is it just sort of disintegrates
[1148] 2:06:24	and we actually see we've actually seen this happen um at museums um say during um
[1149] 2:06:32	the um bombing of the berlin museum during world war ii there was broken
[1150] 2:06:37	pipes and water got into some of the um
[1151] 2:06:44	egyptian mummies and they just went to goo all that's left after that's bones
[1152] 2:06:50	and so um when they brought back the the body of
[1153] 2:06:59	joseph he was still in a mummified state which means his body had not been exposed to water so
[1154] 2:07:05	he he's he was definitely buried in a in a tomb probably a rock cup tomb up on
[1155] 2:07:12	high ground so it would be interesting if we could find
[1156] 2:07:18	say a rock cut tomb which might still preserve his egyptian name so
[1157] 2:07:24	that would be very interesting to find as well and we're discovering rock cut tombs all the time even today
[1158] 2:07:30	so i think that would be very very interesting to find as well so anyway uh
[1159] 2:07:37	let me see with the dogs swifty goes ew
[1160] 2:07:43	yeah ew [Laughter]
[1161] 2:07:50	so um anyway that's gonna be our final um our final question for the night
[1162] 2:07:58	i want to thank everyone who joined us tonight um i want to thank all our extremely generous
[1163] 2:08:05	uh super chatters there was a lot of questions tonight a lot of super chats
[1164] 2:08:10	tonight and we very much appreciate it uh your questions do go to help support
[1165] 2:08:15	our channel directly and help us to continue
[1166] 2:08:21	okay i got it i got a mummy soup yes
[1167] 2:08:26	mummy soup [Laughter] uh this is a merry christmas merry
[1168] 2:08:33	christmas to you all as well uh we're not quite i don't know if this is the last one before christmas or not
[1169] 2:08:40	uh the last one is actually gonna be looks like christmas eve so um i don't know if we'll do it
[1170] 2:08:48	on christmas eve or the day before but we'll we'll put up a notification when
[1171] 2:08:53	the next next live stream is okay we'll put up a survey we'll see if
[1172] 2:09:00	you want you guys want uh the next live stream to be on christmas eve or the
[1173] 2:09:05	night before but if you guys you don't tune in i will wish you all a merry christmas now
[1174] 2:09:11	so but we will be doing one more live stream before christmas one way or the
[1175] 2:09:16	other so with that said i want to thank everyone who joined us tonight
[1176] 2:09:22	and uh we really appreciate uh your questions uh we we love to see um the
[1177] 2:09:29	debate in the live chat and by the way after after the broadcast is done i always go back into
[1178] 2:09:35	the live uh live chat and i real your comments so even though i miss them might miss them during the live stream i'll go back and
[1179] 2:09:42	read them afterwards so be assured i read every one of your comments
[1180] 2:09:48	with that said i want to wish everyone a good night thank you very much for joining us and we'll see you next time
[1181] 2:09:54	on ancient egypt and the bible [Music]
[1182] 2:10:57	you
