[0] 0:24	Hey. Hey. Hey.
[1385] 1:13:03	And Graham asks a weird question here.
[1386] 1:13:05	Can demons make everything look good or
[1387] 1:13:07	bad?
[1388] 1:13:11	Um,
[1389] 1:13:13	to the people they infest. Yeah, sure.
[1390] 1:13:18	They can give experiences of euphoria. I
[1391] 1:13:20	don't know if that's what you're talking
[1392] 1:13:21	about here,
[1393] 1:13:23	but um to those they possess, they can
[1394] 1:13:26	definitely make people think that bad
[1395] 1:13:28	things look good.
[1396] 1:13:32	You got some thoughts, Mrs. Producer?
[1397] 1:13:35	Well, I don't know if it's demons or
[1398] 1:13:36	just
[1399] 1:13:38	humans do.
[1400] 1:13:41	>> No, they do, don't they?
[1401] 1:13:44	>> Yeah,
[1402] 1:13:45	>> they like
[1403] 1:13:49	>> true. It isn't necessarily demonic
[1404] 1:13:51	influence. Yeah.
[1405] 1:13:59	So anyway, that's that's probably the
[1406] 1:14:01	best we can answer this not knowing
[1407] 1:14:03	exactly what you're asking here, but
[1408] 1:14:07	okay, let's move
[1409] 1:14:31	Ending and Gunwell asks, "What position
[1410] 1:14:33	do you think Christianity will have in
[1411] 1:14:35	America within 10 years? Do you think it
[1412] 1:14:37	will decline or manage to increase in
[1413] 1:14:39	influence? I think it'll decline. Uh,
[1414] 1:14:42	it's been on a steady for the last 30
[1415] 1:14:44	years.
[1416] 1:14:45	Um, I think what we'll see is probably
[1417] 1:14:48	more seminaries fold, more churches
[1418] 1:14:51	close.
[1419] 1:14:53	Uh, a huge amount of the mainstream
[1420] 1:14:56	Protestant denominations will go under
[1421] 1:14:59	or sell their buildings for
[1422] 1:15:00	condominiums.
[1423] 1:15:02	That happens a lot.
[1424] 1:15:05	Um,
[1425] 1:15:07	around here in the Vancouver area, lot
[1426] 1:15:10	of churches sell their land to
[1427] 1:15:11	developers.
[1428] 1:15:14	Developers develop highrises on the land
[1429] 1:15:17	and give them one floor
[1430] 1:15:20	of the building
[1431] 1:15:23	to be a church so they can continue uh
[1432] 1:15:25	collecting on the trust funds.
[1433] 1:15:32	Yeah. Um yeah I I think um and I think
[1434] 1:15:37	it's been a I think it's been a
[1435] 1:15:40	mama says just look at the closing
[1436] 1:15:41	seminaries. Oh absolutely.
[1437] 1:15:44	Yeah you can gauge this just by the
[1438] 1:15:46	closing seminaries.
[1439] 1:15:49	Um
[1440] 1:15:51	it's crazy. It is crazy
[1441] 1:15:55	how many of those seminars are closing.
[1442] 1:16:00	I mean, in the Chicago area,
[1443] 1:16:03	uh, alone.
[1444] 1:16:05	>> Wow.
[1445] 1:16:08	I mean, you had St. Mary's clothes, you
[1446] 1:16:11	had Seabberry clothes, you have had
[1447] 1:16:13	Ted's clothes.
[1448] 1:16:15	>> Um,
[1449] 1:16:18	is
[1450] 1:16:18	>> Yeah. Weaton. Yeah. Weaton's facing
[1451] 1:16:21	issues.
[1452] 1:16:23	>> Yeah.
[1453] 1:16:25	>> Yeah. It's just It's It's not a good
[1454] 1:16:27	look. It is. It's a It's looking bad.
[1455] 1:16:34	So
[1456] 1:16:36	yeah. Um
[1457] 1:16:37	>> Tony G thankfully our Lord
[1458] 1:16:42	>> Yeah. Tony said Tony G says thankfully
[1459] 1:16:45	our Lord said feed my sheep not count my
[1460] 1:16:47	sheep. Yeah. The problem is we're not
[1461] 1:16:49	feeding them either.
[1462] 1:16:51	That's why we're losing the count is
[1463] 1:16:53	because we're not feeding.
[1464] 1:17:00	Um, mama says Weeden looks to deserve
[1465] 1:17:03	closing. It does really. Yeah.
[1466] 1:17:11	And it wouldn't surprise me either if um
[1467] 1:17:14	Moody was that far behind either.
[1468] 1:17:17	That would not surprise me if Moody was
[1469] 1:17:20	also on that brink, but just hasn't
[1470] 1:17:22	disclosed it yet. Uh Moody keeps a
[1471] 1:17:28	um pretty tight control
[1472] 1:17:32	over how its finances are doing.
[1473] 1:17:35	Doesn't let that information out.
[1474] 1:17:38	Um Moody,
[1475] 1:17:40	I want to say this about Moody. Moody
[1476] 1:17:43	will tell you how how many students well
[1477] 1:17:46	they won't even tell you this but I
[1478] 1:17:48	found out how many students decon
[1479] 1:17:51	convert from Christianity to atheism.
[1480] 1:17:55	It's about 50%.
[1481] 1:17:57	But try to find Moody's financial
[1482] 1:17:59	information. That's Oh my gosh.
[1483] 1:18:03	Yeah. That's that's national secrets
[1484] 1:18:05	kind of level.
[1485] 1:18:11	Uh, and go wild was I remember that
[1486] 1:18:13	Moody was a really strict seminary. It
[1487] 1:18:15	It is a very strict seminary on things
[1488] 1:18:18	that shouldn't matter.
[1489] 1:18:21	Uh, I couldn't teach at Moody. I
[1490] 1:18:23	wouldn't be allowed to teach at Moody.
[1491] 1:18:25	Uh, cuz cuz I have long hair and a
[1492] 1:18:28	beard.
[1493] 1:18:31	>> Couldn't make up their mind.
[1494] 1:18:33	>> Yeah. Yeah. They couldn't they couldn't
[1495] 1:18:35	make up their mind which was more
[1496] 1:18:37	offensive, my beard or my ponytail.
[1497] 1:18:43	If you're that focused on something
[1498] 1:18:45	cosmetic like that, you got deeper
[1499] 1:18:48	spiritual issues than than uh trying to
[1500] 1:18:52	make everyone look like they they walked
[1501] 1:18:54	out of a 1940s uh barbershot quartet,
[1502] 1:18:58	you know? It just
[1503] 1:19:08	So yeah. Uh yeah, I I I think they're
[1504] 1:19:11	probably doing a lot worse than they are
[1505] 1:19:14	pretending.
[1506] 1:19:19	>> Legalist.
[1507] 1:19:23	>> Mama says the legalists always create
[1508] 1:19:25	deconstructionists or cults. Yeah, they
[1509] 1:19:27	do. Yeah.
[1510] 1:19:32	All right. But yeah, that's sort of the
[1511] 1:19:34	state of Christianity right now. It's
[1512] 1:19:36	not looking good. Again, we forgot to
[1513] 1:19:38	feed the sheep. Somewhere along the way,
[1514] 1:19:41	we've dropped the ball and we keep
[1515] 1:19:43	dropping the ball and we keep dropping
[1516] 1:19:45	the ball. We keep forgetting to pick up
[1517] 1:19:48	the ball.
[1518] 1:19:51	So, yeah, it's not a good thing.
[1519] 1:19:57	Andrew Meisner uh asks uh since you have
[1520] 1:20:00	del have been delving into topics such
[1521] 1:20:02	as literacy, would you ever make a v
[1522] 1:20:05	video about the process of reading a
[1523] 1:20:08	book? Um probably not. It's not really
[1524] 1:20:12	my area of interest.
[1525] 1:20:15	Um
[1526] 1:20:17	there are other channels that do that
[1527] 1:20:19	already, so um I'm not really probably
[1528] 1:20:22	going to go there. Um but you never
[1529] 1:20:26	know. I mean we have done one video on
[1530] 1:20:28	literacy before.
[1531] 1:20:30	Um yeah that was pretty shocking
[1532] 1:20:34	but that's because of say it hit close
[1533] 1:20:37	to home. So
[1534] 1:20:41	uh when we discovered that one of the
[1535] 1:20:43	people I had debated was functionally
[1536] 1:20:46	illiterate
[1537] 1:20:48	uh a recent study sort of gave rise to
[1538] 1:20:50	why that might have been. So,
[1539] 1:20:58	but it's not something we really want to
[1540] 1:20:59	keep revisiting either.
[1541] 1:21:12	>> Yeah.
[1542] 1:21:22	Um,
[1543] 1:21:24	and he gone wild. What? Yeah. Yeah. One
[1544] 1:21:29	of the the people that I debated
[1545] 1:21:32	was functionally illiterate. He couldn't
[1546] 1:21:35	read.
[1547] 1:21:36	>> So, he was very good at
[1548] 1:21:41	like an actor.
[1549] 1:21:43	>> Yeah. He was he was like an actor. He
[1550] 1:21:45	could memorize the lines other people
[1551] 1:21:48	had fed him.
[1552] 1:21:48	>> Yeah, he he uh he could memorize the
[1553] 1:21:50	lines other people fed him. He was he
[1554] 1:21:53	had some arguments, but he couldn't
[1555] 1:21:55	articulate them. He couldn't he couldn't
[1556] 1:21:58	re
[1557] 1:22:01	>> um we won't mention the name. So, but I
[1558] 1:22:05	haven't done very many debates, so you
[1559] 1:22:07	could probably figure it out. And
[1560] 1:22:08	there's only one that's televised. So,
[1561] 1:22:14	I'm not going to delete it.
[1562] 1:22:19	So, you can figure it out on your own.
[1563] 1:22:28	All right. Next one here is from Anthony
[1564] 1:22:30	Gloria,
[1565] 1:22:31	and the person asks, "In ancient Egypt,
[1566] 1:22:34	what kind of afterlife would a person of
[1567] 1:22:36	the lower classes have?
[1568] 1:22:39	Uh if they did everything right
[1569] 1:22:43	and they had all their spells in order,
[1570] 1:22:47	they could look forward to never ending
[1571] 1:22:51	labor
[1572] 1:22:52	tilling and harvesting the fields of
[1573] 1:22:55	Osiris
[1574] 1:22:57	and never eating of that grain.
[1575] 1:23:00	Never ending farm labor.
[1576] 1:23:03	That's what the lower classes could
[1577] 1:23:07	expect
[1578] 1:23:08	out of the Egyptian afterlife.
[1579] 1:23:13	Fun.
[1580] 1:23:15	Yeah. Indy gun wild. Pretty much the
[1581] 1:23:17	same as their regular life. Yeah.
[1582] 1:23:20	Well, that's that's the Egyptian con uh
[1583] 1:23:24	concept of ideal cyclic eternity.
[1584] 1:23:28	Everything is exactly the same as it is
[1585] 1:23:31	now forever and ever and ever.
[1586] 1:23:35	So if you were a nobleman, you remained
[1587] 1:23:38	a nobleman forever and ever and ever. If
[1588] 1:23:41	you were a king, you remained a king
[1589] 1:23:43	forever and ever. If you were a farmer,
[1590] 1:23:46	well, get on that that that tiller and
[1591] 1:23:49	just mow that field.
[1592] 1:23:57	Yeah, there's no no unionization in the
[1593] 1:23:59	fields of Osiris.
[1594] 1:24:02	Any gun wealth? How mid? Yeah,
[1595] 1:24:06	you asked.
[1596] 1:24:09	But that is the Egyptian afterlife for
[1597] 1:24:11	you. Neverending labor. The same labor
[1598] 1:24:15	you're doing right now.
[1599] 1:24:18	So,
[1600] 1:24:20	yeah. Fun fun. Great. Great, great
[1601] 1:24:24	afterlife.
[1602] 1:24:28	All right, next one here.
[1603] 1:24:35	Uh, Luke Wayne
[1604] 1:24:38	asked the question, how many how are
[1605] 1:24:40	synchronisms tied to absolute dates?
[1606] 1:24:43	For example, you've mentioned the first
[1607] 1:24:45	year of Nebuchadnezzar's reign is in 605
[1608] 1:24:47	BC as a sync to tying to an absolute
[1609] 1:24:51	date. How do we know it was that date?
[1610] 1:24:55	Um,
[1611] 1:24:57	the first year, uh, the
[1612] 1:25:00	let me see here. The oldest absolute
[1613] 1:25:03	date we have.
[1614] 1:25:06	I can look this one up here. Just give
[1615] 1:25:08	me a moment.
[1616] 1:25:12	Um,
[1617] 1:25:15	is it now? Is it 25? the death of Taharo
[1618] 1:25:20	in 664.
[1619] 1:25:23	Okay, that is the absolute
[1620] 1:25:28	date we have.
[1621] 1:25:31	And the death of Tarco is one of those
[1622] 1:25:35	things where sort of every other date is
[1623] 1:25:39	kind of we have absolute dates that that
[1624] 1:25:42	that come after that. So, we've got
[1625] 1:25:45	absolute dates for say the first year of
[1626] 1:25:47	Nebuchadnezzar's reign. Uh,
[1627] 1:25:51	but that's because historians took
[1628] 1:25:53	really good care at that point to tie it
[1629] 1:25:56	to specific regal years.
[1630] 1:26:00	So,
[1631] 1:26:02	and plus we got a lot of synchronisms
[1632] 1:26:04	for that period of time.
[1633] 1:26:06	Now um in the case of um Nebuchadnezzar
[1634] 1:26:10	the first
[1635] 1:26:12	or Nebuchadnezzar II, he's
[1636] 1:26:14	Nebuchadnezzar II.
[1637] 1:26:16	Uh you got the battle of Carameish and
[1638] 1:26:18	the battle of Carameish
[1639] 1:26:21	is
[1640] 1:26:24	tied to the reign of Neco II and we also
[1641] 1:26:26	know his reign dates because again he
[1642] 1:26:29	comes after.
[1643] 1:26:30	So
[1644] 1:26:32	we also known that um Naba is
[1645] 1:26:38	um tied to the campaign of of with the
[1646] 1:26:43	mess.
[1647] 1:26:45	So there's a there's a lot of
[1648] 1:26:46	synchronisms that are happening at that
[1649] 1:26:49	period of time that really anchor those
[1650] 1:26:52	dates.
[1651] 1:26:54	So,
[1652] 1:27:00	so for for for Nebuchadnezzar's first
[1653] 1:27:02	year in 605,
[1654] 1:27:04	uh it's pretty easy to to sink that down
[1655] 1:27:07	to an absolute date. Uh
[1656] 1:27:11	prior after 6 or before 664, it kind of
[1657] 1:27:15	gets dicey. Okay. And then you you have
[1658] 1:27:18	to start doing other things like again
[1659] 1:27:21	um synchronisms and error bars and that
[1660] 1:27:23	sort of thing to to to narrow down the
[1661] 1:27:26	dates. But 605 you're still in that
[1662] 1:27:29	range of absolute dating.
[1663] 1:27:32	So I don't think there's anyone who
[1664] 1:27:34	really questions that uh the first year
[1665] 1:27:36	of Nebuchadnezzar was in 605.
[1666] 1:27:41	We got too many chronicles of the time
[1667] 1:27:43	that basically
[1668] 1:27:45	um confirm that date.
[1669] 1:27:48	All right, I hope that helps uh Luke
[1670] 1:27:50	Wayne and um great question.
[1671] 1:27:55	Okay, next one here
[1672] 1:27:59	is from
[1673] 1:28:04	uh
[1674] 1:28:06	I hope I buckled crane or buckled crane.
[1675] 1:28:10	I'm not sure which one it is. Uh this is
[1676] 1:28:12	not this is not the night for me to try
[1677] 1:28:14	to uh pronounce names, but the person
[1678] 1:28:18	asks or and uh God bless, have you ever
[1679] 1:28:21	talked to the Coptic Orthodox Church?
[1680] 1:28:24	Yes, I have. I'm guessing they would be
[1681] 1:28:26	very interested in your research. Not so
[1682] 1:28:29	much.
[1683] 1:28:30	Um,
[1684] 1:28:34	I have talked to them.
[1685] 1:28:36	Um, I have had dealings with the Coptic
[1686] 1:28:39	Orthodox Church. U,
[1687] 1:28:42	they're sort of they're not really all
[1688] 1:28:45	that interested in ancient Egypt.
[1689] 1:28:46	They've kind of moved on.
[1690] 1:28:51	Um,
[1691] 1:28:53	for the Coptic Orthodox Church, their
[1692] 1:28:56	attitude is kind of the past is the past
[1693] 1:28:59	and while interesting, not really
[1694] 1:29:01	relevant to what they're doing. So,
[1695] 1:29:05	um, it's it's not something that that
[1696] 1:29:07	interested in, but I have dealt with
[1697] 1:29:09	them. So, hope that helps. Thank you for
[1698] 1:29:12	the question.
[1699] 1:29:19	Uh Anthony Gloria asks, "Does Yahweh
[1700] 1:29:22	have a body according to the Bible?"
[1701] 1:29:24	This is what's called analogical
[1702] 1:29:25	language. Okay.
[1703] 1:29:28	Um,
[1704] 1:29:32	the Bible does not mention I mean it
[1705] 1:29:35	does describe God in terms of body parts
[1706] 1:29:41	like it'll it'll describe God having a
[1707] 1:29:43	mighty hand and outstretched arm. And a
[1708] 1:29:46	mighty hand and outstretched arm is a
[1709] 1:29:49	particular
[1710] 1:29:51	ancient neareastern midi uh um
[1711] 1:29:55	ancient neareastern
[1712] 1:29:57	um idiom
[1713] 1:30:00	for having might and power. The
[1714] 1:30:02	outstretch hand is what you hold the
[1715] 1:30:04	head of your opponents with and the um
[1716] 1:30:09	um the outstretch arm holds a mace to
[1717] 1:30:12	smash the head in.
[1718] 1:30:19	Yeah. The problem is there's also like
[1719] 1:30:22	Psalm I think it's Psalm 90 uh verse4
[1720] 1:30:25	that talks about God having uh wings and
[1721] 1:30:29	feathers like a chicken. So um
[1722] 1:30:33	you know you don't want to take those
[1723] 1:30:36	things that are meant to be metaphors as
[1724] 1:30:40	literal.
[1725] 1:30:42	It's anal it's analogies. It's meant to
[1726] 1:30:44	describe something that's of greater
[1727] 1:30:47	reality. It's not meant to describe
[1728] 1:30:50	something that's absolutely physical.
[1729] 1:30:53	So,
[1730] 1:30:55	um, so Yahweh doesn't have a body. He's
[1731] 1:31:00	a spirit.
[1732] 1:31:02	Um, and and Christ said, "A spirit does
[1733] 1:31:04	not have flesh and bone as you see me
[1734] 1:31:06	have."
[1735] 1:31:08	So,
[1736] 1:31:10	that sort of answers that question. But
[1737] 1:31:13	that doesn't prevent people from
[1738] 1:31:14	misinterpreting those chapters to say he
[1739] 1:31:16	does have a body.
[1740] 1:31:18	Uh I know, for example, Mormons often
[1741] 1:31:21	misinterpret those chapters to say God
[1742] 1:31:23	has a physical body like you and I. And
[1743] 1:31:26	that's just not the case. So again, it's
[1744] 1:31:28	it's it's analogical language. It's
[1745] 1:31:30	meant to convey a
[1746] 1:31:33	um a spiritual reality in terms we
[1747] 1:31:35	understand. So I hope that helps. Thank
[1748] 1:31:38	you for the question. Really appreciate
[1749] 1:31:39	it.
[1750] 1:31:49	Uh Francis Dodd asks uh what do you
[1751] 1:31:51	think of the 20th century Orthodox
[1752] 1:31:53	theologian Sergis uh
[1753] 1:31:56	uh Bulakov? U haven't read them. Uh so I
[1754] 1:32:00	don't know. I have not read a lot of
[1755] 1:32:02	those. I haven't read a lot of recent
[1756] 1:32:04	orthodox theologians.
[1757] 1:32:11	Uh, Buckle Crane asks, "Uh, do you know
[1758] 1:32:14	the Coptic language and are you familiar
[1759] 1:32:16	with Coptic legends about the Holy
[1760] 1:32:18	Family staying in Egypt?" Um, I I do
[1761] 1:32:22	know the Copic language, or at least I
[1762] 1:32:23	did know the Copic language. I probably
[1763] 1:32:25	need to brush up on it because it's been
[1764] 1:32:26	a long time since I've used it.
[1765] 1:32:29	Um
[1766] 1:32:32	uh I've also am familiar with some of
[1767] 1:32:35	the Coptic languages about the Holy
[1768] 1:32:37	Family staying in Egypt or more
[1769] 1:32:39	precisely
[1770] 1:32:41	how the Coptic family toured Egypt in a
[1771] 1:32:44	minivan. Um
[1772] 1:32:48	well, you know, you you you start seeing
[1773] 1:32:50	the Coptic uh legends and the Holy
[1774] 1:32:53	Family is moving from city to city in
[1775] 1:32:56	Egypt.
[1776] 1:32:58	and mopeds. Yeah. You know, they're
[1777] 1:33:00	they're moving. They're going from
[1778] 1:33:01	Palusium to
[1779] 1:33:04	um to um Helopoulos to
[1780] 1:33:10	um Alexandria and then they're they're
[1781] 1:33:12	they're scooting on down to Memphis and
[1782] 1:33:15	then going all the way down to
[1783] 1:33:17	Elephantini and then they're coming back
[1784] 1:33:18	and they're doing the grand grand tour
[1785] 1:33:21	of Egypt. So, um
[1786] 1:33:25	I don't think that's what happened. Just
[1787] 1:33:28	just saying.
[1788] 1:33:30	I've got some serious doubts as to
[1789] 1:33:32	that's what they were doing.
[1790] 1:33:34	>> Hey, they didn't have good carpenters.
[1791] 1:33:36	Joseph shows it up and he gets all these
[1792] 1:33:49	goes here. There.
[1793] 1:33:51	>> Yeah. doing doing the grand tour of
[1794] 1:33:53	seven cities in Egypt. It's something
[1795] 1:33:54	like seven cities. So, it's like I mean,
[1796] 1:33:57	it's not a small tour. I mean, if I done
[1797] 1:34:00	that tour of Egypt with with my tour
[1798] 1:34:02	group, I mean that it would it would
[1799] 1:34:04	have been quite exhausting.
[1800] 1:34:15	All right, next one here is from Chad
[1801] 1:34:16	Lennox for $9.99. Thank you very much
[1802] 1:34:18	for the super chat.
[1803] 1:34:24	Tony G.
[1804] 1:34:26	Most likely uh Joseph could only afford
[1805] 1:34:29	a tuk tuk.
[1806] 1:34:33	Oh, but a tuk tuk is Oh, those are wild
[1807] 1:34:37	rides, man. Wild rides on a tuk tuk.
[1808] 1:34:43	I've only I've only ridden in a tuk tuk
[1809] 1:34:45	once, and it will only be once I ever
[1810] 1:34:48	ride in a tuk tuk.
[1811] 1:34:50	Does it
[1812] 1:34:51	>> want to explain?
[1813] 1:34:52	>> Okay. A tuktuk
[1814] 1:34:54	is a three- wheeled vehicle. Three-
[1815] 1:34:57	wheeled motorized vehicle. It is covered
[1816] 1:35:00	sort of.
[1817] 1:35:02	There's there's no closed doors. So, you
[1818] 1:35:05	get into this open door on the side and
[1819] 1:35:07	you sit in a back seat
[1820] 1:35:09	and
[1821] 1:35:11	the guy riding driving the tuktuk
[1822] 1:35:15	is um
[1823] 1:35:18	he's driving something that looks kind
[1824] 1:35:20	of like a motorcycle
[1825] 1:35:23	with two back wheels and a carriage.
[1826] 1:35:27	Okay.
[1827] 1:35:30	Um,
[1828] 1:35:33	and you see some pretty strange stuff
[1829] 1:35:35	around tuk tucks when you're in Egypt.
[1830] 1:35:38	Um, I saw a guy uh changing a tire on a
[1831] 1:35:43	tuk tuk, one of the back tires, and this
[1832] 1:35:46	little girl is holding up the tuktuk
[1833] 1:35:48	with one arm.
[1834] 1:35:52	It's like, whoa, that must be one heck
[1835] 1:35:54	of a strong little girl.
[1836] 1:35:58	What are they feeding her?
[1837] 1:36:05	Okay, so let's get back to uh Chad's
[1838] 1:36:08	super chat here. So Chad Lennin 999.
[1839] 1:36:12	Thank you for the super chat.
[1840] 1:36:15	asks, "I've been reading unseen realm
[1841] 1:36:17	and it appears Heiser put his divine
[1842] 1:36:19	counsel goggles on on his divine counsel
[1843] 1:36:23	goggles and he sees the council where
[1844] 1:36:25	God is implying his multi-personal
[1845] 1:36:27	nature." What's your take on Genesis
[1846] 1:36:29	126?
[1847] 1:36:31	Okay, let's pull up Genesis 126.
[1848] 1:36:38	Genesis 1
[1849] 1:36:44	26
[1850] 1:36:48	the Bible here
[1851] 1:36:50	and it says then God said let us make uh
[1852] 1:36:54	man in our image according to our
[1853] 1:36:56	likeness and let them rule over the fish
[1854] 1:36:59	of of the sea and over the birds of the
[1855] 1:37:02	sky and over the cattle and over all the
[1856] 1:37:05	earth and over every creeping thing that
[1857] 1:37:07	creeps on on the earth. All right.
[1858] 1:37:10	And then verse 27, we'll add two. And
[1859] 1:37:13	God created man in his own image. In the
[1860] 1:37:17	likeness of God he created him. Male and
[1861] 1:37:20	female he created them.
[1862] 1:37:23	Okay. So here's the issue I have with
[1863] 1:37:26	Heiser.
[1864] 1:37:28	Okay. He is basically saying
[1865] 1:37:32	uh in in verse 26 that God is announcing
[1866] 1:37:36	is telling the divine council, let us
[1867] 1:37:38	make man in our image.
[1868] 1:37:43	Okay, if we were taking verse 26 out of
[1869] 1:37:47	context,
[1870] 1:37:49	that's not an unreasonable thing to say.
[1871] 1:37:52	But then you get to 27 and then 27 says
[1872] 1:37:56	God created man.
[1873] 1:37:59	Well then who's the us?
[1874] 1:38:03	God said let us make man.
[1875] 1:38:06	But in 27 you have God making man
[1876] 1:38:11	in his own image.
[1877] 1:38:14	So then who is the us?
[1878] 1:38:17	That can't be the divine counsel.
[1879] 1:38:20	It's got to be God.
[1880] 1:38:24	And the God, the divine council is not
[1881] 1:38:27	in the image of God.
[1882] 1:38:31	At least we're never told that they're
[1883] 1:38:33	they're in the image of God.
[1884] 1:38:35	Tony G hint of the trinity. That has
[1885] 1:38:38	been the traditional understanding of
[1886] 1:38:40	this passage is this is the trinity.
[1887] 1:38:43	Okay.
[1888] 1:38:45	So,
[1889] 1:38:47	so I think I think that they've um I
[1890] 1:38:51	think Heiser Look, Heiser's got a hammer
[1891] 1:38:54	and he sees every problem as a nail.
[1892] 1:38:57	He he's got a divine counsel hammer and
[1893] 1:39:01	every problem every
[1894] 1:39:03	every passage is going to be viewed
[1895] 1:39:05	through that lens of the divine counsel.
[1896] 1:39:07	It's a problem a lot of scholars have
[1897] 1:39:10	and you know I've even find my myself
[1898] 1:39:13	sometimes succumbing to that and I'm
[1899] 1:39:16	basically getting had to say to myself
[1900] 1:39:18	hey you know what maybe I should like
[1901] 1:39:20	look at this through another perspective
[1902] 1:39:21	before making that decision. So
[1903] 1:39:25	um that's one of the problems when you
[1904] 1:39:28	focus on a certain area of research you
[1905] 1:39:30	tend to see everything like that and
[1906] 1:39:34	Heiser was no exception to that. He he
[1907] 1:39:36	did that all the time with the divine
[1908] 1:39:37	counsel stuff. So even though his divine
[1909] 1:39:40	counsel has a point and there's places
[1910] 1:39:42	it's definitely applicable,
[1911] 1:39:46	it's not applicable everywhere and this
[1912] 1:39:48	is one of those places I don't think
[1913] 1:39:49	it's applicable. So uh chat I hope that
[1914] 1:39:53	helps. Uh thank you very much for that
[1915] 1:39:55	super chat. Really appreciate and I hope
[1916] 1:39:57	that brings insight to the passage.
[1917] 1:40:16	I want to thank Jack Ray for 20 uh
[1918] 1:40:18	gifting the the channel another 20
[1919] 1:40:20	ancient Egypt in the Bible memberships.
[1920] 1:40:22	Thank you so much, Jack, for supporting
[1921] 1:40:24	channel. We so very much appreciate it.
[1922] 1:40:36	Uh, Mama asks, "For $2, uh, thank you
[1923] 1:40:38	very much for the super chat. Did
[1924] 1:40:41	ancient Egypt have anything like
[1925] 1:40:43	theatrical productions?"
[1926] 1:40:45	Um, the closest thing they had were the
[1927] 1:40:49	um,
[1928] 1:40:51	uh, festivals,
[1929] 1:40:54	uh, the processions.
[1930] 1:40:56	Okay, that's the closest thing they had
[1931] 1:40:58	to theatrical productions. And at the at
[1932] 1:41:02	the the the um
[1933] 1:41:07	at the processions
[1934] 1:41:10	what they would do is um
[1935] 1:41:16	they would dress in masks. A lot of
[1936] 1:41:19	priests would dress in masks and as the
[1937] 1:41:22	sacred bark is being carried out, some
[1938] 1:41:24	of the priests would act like the gods
[1939] 1:41:28	in front of the the bark, around the
[1940] 1:41:30	bark. They'd interact with the crowd.
[1941] 1:41:35	And that was probably the closest thing
[1942] 1:41:36	they had to theatrical productions. Um,
[1943] 1:41:39	apart from that, they really didn't have
[1944] 1:41:41	theaters. Um they didn't have like they
[1945] 1:41:44	like they didn't have like amphitheaters
[1946] 1:41:46	like the Romans or the Greeks had. Um
[1947] 1:41:50	>> they did have like dance perform
[1948] 1:41:52	>> they did have dancers perform.
[1949] 1:41:55	Uh they did have music. Uh they did have
[1950] 1:42:00	uh theatrical displays
[1951] 1:42:03	but they didn't have theater.
[1952] 1:42:05	So that's probably as close as they had.
[1953] 1:42:08	So anyway, that's a great question and I
[1954] 1:42:10	hope that helps. Thank you very much for
[1955] 1:42:12	the super chat.
[1956] 1:42:22	Uh Jack Ray for $5. Thank you very much
[1957] 1:42:24	for the super chat. He says you're doing
[1958] 1:42:26	better with the lack of sleep than live
[1959] 1:42:28	stream 84. Yeah, I that was a that was a
[1960] 1:42:31	disaster. That was just Oh, yeah.
[1961] 1:42:36	Definitely needed to sleep then.
[1962] 1:42:40	Okay. Uh, common lurker asks,
[1963] 1:42:44	"How much do we know about Tutin
[1964] 1:42:45	Common's reign or the things he did?"
[1965] 1:42:48	Well, he didn't reign that long. Uh, he
[1966] 1:42:51	only reigned 10 years.
[1967] 1:42:54	Uh, we do have monuments by him. Uh,
[1968] 1:42:57	like for example, the the colonate hall
[1969] 1:43:00	at Luxer was built by him.
[1970] 1:43:03	Uh, we do have some documents from him.
[1971] 1:43:06	We got some some steely by him like we
[1972] 1:43:08	have the restoration steelely uh by
[1973] 1:43:10	Tutin Common. Uh so we do know that he
[1974] 1:43:14	did some stuff
[1975] 1:43:16	like we know for example that in the
[1976] 1:43:19	third his third regal year he moved the
[1977] 1:43:21	capital from Amarna back to thieves.
[1978] 1:43:26	Uh
[1979] 1:43:28	and um he did do some um his
[1980] 1:43:33	administrative city was in a place
[1981] 1:43:35	called the city of gold
[1982] 1:43:38	which was between the palace and dear
[1983] 1:43:42	medina.
[1984] 1:43:44	Yeah. that that whole there's a whole
[1985] 1:43:46	huge stretch of desert
[1986] 1:43:50	um between dear El Medina on the eastern
[1987] 1:43:54	side that looks like desert but there's
[1988] 1:43:56	actually a huge city underneath all that
[1989] 1:43:59	desert. It's crazy. It's crazy when you
[1990] 1:44:02	you you look at it because it's just
[1991] 1:44:05	huge amounts of one one of the biggest
[1992] 1:44:07	administrative cities in all of Egypt
[1993] 1:44:09	was there and we're just just scratching
[1994] 1:44:12	the surface of of excavating it.
[1995] 1:44:15	Um but uh Tutin Common that was was
[1996] 1:44:19	instrumental in uh maintaining that
[1997] 1:44:22	city. The city was actually started by
[1998] 1:44:24	Aenatan
[1999] 1:44:25	but uh it continued on through the reign
[2000] 1:44:28	of Tuden common and into the reigns of
[2001] 1:44:31	of at least Horm.
[2002] 1:44:35	Um
[2003] 1:44:37	also in that third year he restored the
[2004] 1:44:39	temples of Egypt to its old paganism.
[2005] 1:44:43	We do know there was an exchange of
[2006] 1:44:44	letters between him and um
[2007] 1:44:49	uh the kings of um Babylon and Assyria.
[2008] 1:44:55	So yeah, he did some stuff in his reign.
[2009] 1:44:57	He did some stuff in his reign. Uh we
[2010] 1:45:00	don't know, as I say, that much about
