[0] 0:00	all right [Music]
[1156] 2:15:34	America thinks okay I want to do a mission in North America I'll let's go to let's go to Mexico or
[1157] 2:15:41	Central America yeah because because they don't have the gospel
[1158] 2:15:47	they're actually better off than a lot of places in Canada
[1159] 2:15:53	the the place in North America that's in most desperate need of missionaries right now is Quebec
[1160] 2:16:03	it's Quebec they're the evangelization
[1161] 2:16:11	um rate in Quebec is something like
[1162] 2:16:17	.07 percent Okay so
[1163] 2:16:23	think about that think about that as a as a statistic you know it's like one one thousand you
[1164] 2:16:31	know like a thousand one out of a thousand people in Quebec have heard the gospel
[1165] 2:16:40	it's the lowest evangelization rate in North America
[1166] 2:16:48	it's the lowest evangelization right churches are closing left right and Center in Quebec
[1167] 2:16:55	you know we see this in uh you know permeate the culture of Quebec
[1168] 2:17:04	I mean chances are if you're born in Quebec neither of your parents are married
[1169] 2:17:12	that's the odds and Quebec almost the majority the majority of
[1170] 2:17:17	people born in Quebec are born to families out of that are not in wedlock
[1171] 2:17:25	the um the largest churches in the largest church in
[1172] 2:17:33	Quebec is the Roman Catholic Church and the attendance there is about one
[1173] 2:17:39	percent so while this cultural woman Catholicism
[1174] 2:17:44	in Quebec it's not practical there's there's nobody actually going to
[1175] 2:17:50	church so
[1176] 2:17:55	while people are going to these Resort missions like Denver
[1177] 2:18:03	or Puerto Vallarta those aren't real missions those aren't
[1178] 2:18:09	real missions they're vacations their vacations for privileged
[1179] 2:18:16	uh classes okay
[1180] 2:18:21	you know you want to do missions there's a lot of opportunity in Canada
[1181] 2:18:27	you can go to Quebec you can try to do some reconciliation Ministries with Native Americans
[1182] 2:18:35	lots of opportunity there the native the Native American population is almost as badly
[1183] 2:18:41	evangelized as the quebecois
[1184] 2:18:47	you gotta respect their traditions you've got to respect them
[1185] 2:18:55	yeah yeah no one wants no one and as my producer points out no one wants an outsider coming in and saying everything
[1186] 2:19:01	you do is wrong everything you do is from demons that sort of thing no nobody wants that
[1187] 2:19:08	so you gotta be respectful but there's a lot of opportunity
[1188] 2:19:13	fields are white ready for Harvest but again
[1189] 2:19:19	it does require a good theological understanding it requires good
[1190] 2:19:25	scriptural familiarity requires good behavior and empathy
[1191] 2:19:33	yeah you have to you have to have cultural understanding like my producer just said you have to be able to culturally understand who you're talking
[1192] 2:19:40	to listen
[1193] 2:19:49	yeah my producer points out that the number one ability of a good missionary is the
[1194] 2:19:55	ability to listen so you know not just a minute listen but
[1195] 2:20:01	also uh be able to meet them at their level
[1196] 2:20:07	so there is there is a call for Missions there's a lot of call for Missions at the moment
[1197] 2:20:14	um I will say the other thing too is you also and this is not talked about very much you gotta be good at fundraising
[1198] 2:20:23	some Christians will not do well on the mission field because they suck at
[1199] 2:20:29	fundraising it's why I never became a missionary okay
[1200] 2:20:35	it's not that I didn't feel called um there was there was a lot I had a lot of opportunity to to go out onto a
[1201] 2:20:42	mission field I'm just not good at fundraising terrible at it
[1202] 2:20:52	so anyway I hope that answers your question there was a lot there I know to to take in but
[1203] 2:20:58	it was a really great question and I think one that more people need to ask so anyway thank you very much for the Super Chat very much appreciated and I
[1204] 2:21:04	hope that helped
[1205] 2:21:10	okay uh Jesse Stone for 19.99 thank you very much for the Super Chat
[1206] 2:21:16	please award these superlatives to your teachers one most likely to write a half
[1207] 2:21:22	page footnotes two most likely the Challenger interpretive assumptions
[1208] 2:21:29	three most likely to come alive during conversations on geography
[1209] 2:21:36	[Laughter] you know I've had I've had instructors
[1210] 2:21:42	that had fill all those categories
[1211] 2:21:50	I mean I've basically had I have had teachers that do half-page footnotes
[1212] 2:21:55	I've also had ones that did challenge my interpretive assumptions and they were some of the best teachers
[1213] 2:22:01	I've had and then I had one that was did come alive during the conversations on
[1214] 2:22:08	geography um it's one of the reasons why I did cultivate an interest in biblical
[1215] 2:22:14	geography one of the best Seminary courses I had was by Barry beitzel
[1216] 2:22:20	um incredible uh incredible class on the geography of the Holy Land
[1217] 2:22:26	um he just made it come alive and he showed how important it is to know geography
[1218] 2:22:32	so you know that was always a lot of fun talking with him on geography
[1219] 2:22:39	so yeah absolutely these are these are great things that Mark a very good
[1220] 2:22:45	teacher now the first one most likely to write a half page footnote
[1221] 2:22:50	probably a better researcher than necessarily a teacher but I've had some teachers that that did do this
[1222] 2:22:57	so anyway thank you very much for the Super
[1223] 2:23:03	Chat very much appreciated and uh I I treasure my good teachers you know
[1224] 2:23:09	I would not be the researcher or scholar I am today if it wasn't for good
[1225] 2:23:14	teachers good teachers basically inspire you they challenge you
[1226] 2:23:21	they give you new ways to think they open your mind and you get excited about that so
[1227] 2:23:27	um so I've had I've had as I said I've had teachers in all three of these categories so thank you very much for
[1228] 2:23:32	the Super Chat very much appreciate it
[1229] 2:23:45	okay Michael Smith uh says do you know if this is appropriate for
[1230] 2:23:51	YouTube but ancient Egyptian curse words slang uh terms yo mama jokes
[1231] 2:23:59	uh they did do curses uh
[1232] 2:24:05	such as like stuff like you know may you be infested with the fleas from a thousand camels that sort of thing
[1233] 2:24:12	um that's an Arabic that's an Arabic curse by the way but they had stuff like that
[1234] 2:24:24	oh they had slang terms too like they would call people I'm gonna
[1235] 2:24:30	say it idiots the alerts
[1236] 2:24:36	uh slow of fingers I like that one that one I like
[1237] 2:24:43	um one of the things one of the greatest compliments you could get uh if you were a scribe was excellent of
[1238] 2:24:51	fingers into a real talented slot uh scribe you're excellent of fingers
[1239] 2:24:58	well the opposite of this is being slow of fingers
[1240] 2:25:05	[Laughter] so
[1241] 2:25:11	um bad scribes would be slow of fingers
[1242] 2:25:17	so you did have that uh you there was a note uh on an Oscar austral Medina
[1243] 2:25:24	that basically um honey it's a funny note
[1244] 2:25:31	it was a message sent out to one of the Tomb workers and on the message it says
[1245] 2:25:38	write your reply down because the boy carrying the message is an idiot
[1246] 2:25:51	I love that ostraca I think that ostrich is great
[1247] 2:26:02	laughs yeah write the message that write your
[1248] 2:26:09	reply down because the boy carrying the message is an idiot [Laughter]
[1249] 2:26:18	clearly clearly the messenger boy couldn't read [Laughter]
[1250] 2:26:28	uh I don't think we're flagging here we gotta actually have no skip frames today
[1251] 2:26:36	so nope didn't freeze sorry uh but yeah so we do find that we do
[1252] 2:26:42	find some things like that we don't have a lot of records of of
[1253] 2:26:47	Egyptians curses or or slang terms like that but there are some and we do find you know find some of
[1254] 2:26:55	them so again Lower fingers and an idiot we do
[1255] 2:27:03	find those extant in Egyptian texts so anyway uh thank you very much for the Super
[1256] 2:27:09	Chat very much appreciate it and I hope that helped
[1257] 2:27:16	Paul Thompson for 199. thank you for the Super Chat what was the ancient near Eastern View on animal cells the souls for example
[1258] 2:27:24	Ecclesiastes 3 19-21 okay go to Ecclesiastes here
[1259] 2:27:32	these three
[1260] 2:27:37	19. okay Bible here and we'll just read it
[1261] 2:27:43	quickly for the fate of the sons of man and the fate of beasts is the same
[1262] 2:27:49	as one dies so dies the other indeed they all have the same breath and there
[1263] 2:27:55	is no Advantage for man over Beast for all his vanity all go to the same place all came from
[1264] 2:28:01	dust and all returned to dust who knows that the breaths of man ascends upward and the breath of Beast
[1265] 2:28:08	descends downward in the Earth to the Earth and I have seen that nothing is better
[1266] 2:28:13	than that man should be happy in his activities for that is his lot for who
[1267] 2:28:20	will bring him to see what will occur after him all right so that's the passage now
[1268] 2:28:30	um this has been used to try to infer that animals have
[1269] 2:28:37	Spirits or souls okay and most commentators on this passage
[1270] 2:28:44	will basically say that this passage is not implying
[1271] 2:28:49	that animals have souls in the same way of people have
[1272] 2:28:57	but that it's unknown
[1273] 2:29:02	so you know basically it's making first of all making the comparison that both men and animals die
[1274] 2:29:10	okay so as we see in verse 19. so one dies so
[1275] 2:29:15	the other dies indeed they all have the same breath Spirit can be used here as a
[1276] 2:29:21	comparison and there's no ma advantage and uh for man over Beast for alls
[1277] 2:29:28	vanity now here the term is ruach uh the ruach is the the breath the
[1278] 2:29:36	spirit the living essence okay
[1279] 2:29:41	the so it's it's more or less the passengers more or less asking the question what
[1280] 2:29:49	advantage has man he's mortal animals are moral both have living essence
[1281] 2:29:55	okay so
[1282] 2:30:01	the the view of the ancient erased on animals
[1283] 2:30:06	and their sort of pneumatology their their spirit
[1284] 2:30:13	tends to be it doesn't really They Don't Really examine the question most places are not concerned about this
[1285] 2:30:25	now there are hints of this in say the Bible
[1286] 2:30:30	you don't find those same hits in other ancient near Eastern Traditions you don't see it in
[1287] 2:30:35	in Egyptian you would think that say for example Egyptian religion would have ideas of say animals in the afterlife
[1288] 2:30:45	it doesn't seem to be the case at least the Egyptians never talk about
[1289] 2:30:51	this like they'll do mummifications of
[1290] 2:30:56	animals like they'll mummify ibises and Hawks and Falcons and um
[1291] 2:31:03	crocodiles and all that too for a particular worship of Gods but
[1292] 2:31:08	it's not seen to be that these are
[1293] 2:31:14	going to the afterlife as essentially living beings but that they're presented
[1294] 2:31:21	as sacrifices to the Gods so
[1295] 2:31:29	uh take this one below here
[1296] 2:31:34	mackinique one of my pastors is pretty confident that animals have no souls and I think he gets it from misreading
[1297] 2:31:42	this um I don't know what what tradition you're
[1298] 2:31:51	um your pastor comes from the Roman Catholic Church made this statement at
[1299] 2:31:56	the fourth ladder in Council that animals don't have souls and they don't have spirits okay
[1300] 2:32:04	I would disagree with that uh I think
[1301] 2:32:10	I I think that there's the whole the whole process of of what is a soul is
[1302] 2:32:15	very complicated anyway this is one of those things that
[1303] 2:32:23	I think that needs to be considered when we have this conversation of you know do
[1304] 2:32:29	animals have souls is well what's a soul what's his properties
[1305] 2:32:35	does it does it is it still in development
[1306] 2:32:44	um pretty sure there's still an open question Catholicism well depends if you take fourth ladder and Council as authoritative
[1307] 2:32:51	I know there's many many Catholics that that do view this as an open question um I don't think
[1308] 2:32:58	um Catholicism anymore takes a hard and fast look at this but it is true that
[1309] 2:33:04	the fourth lateran council did basically state it Okay so
[1310] 2:33:12	but anyway that's sort of neither here nor there to the question which is you know do
[1311] 2:33:19	animals have a soul and what is a soul one of the things Eric for example
[1312] 2:33:26	um if you've had pets you'll notice one of the interesting
[1313] 2:33:32	things you'll notice is that the development of a pet is very very
[1314] 2:33:39	different than say the development of a wild animal
[1315] 2:33:46	you know pets some pets are are capable of showing affection
[1316] 2:33:52	anyone who's had a bunny knows that they can show you a wide range of emotion
[1317] 2:33:57	anger yeah bunny can be angry at you they can show affection
[1318] 2:34:03	you know they can they can show affection towards you I mean and really some very interesting ways
[1319] 2:34:09	uh they have a form of language which If you're sort of sensitive to you can pick
[1320] 2:34:16	up on so there is the idea that
[1321] 2:34:24	um sort of just by being around human beings that animals develop their spirit
[1322] 2:34:31	in really a fullness uh a fullness that they
[1323] 2:34:38	wouldn't have as wild animals so
[1324] 2:34:44	there's a lot of of say complexity to the whole idea of the Soul
[1325] 2:34:51	like for example the whole example of for example the idea of the spirits of the Dead
[1326] 2:34:58	you know they're they're sort of given the
[1327] 2:35:05	um idea that say the longer you live the older your soul the more developed the
[1328] 2:35:10	human the more more um
[1329] 2:35:17	the more robust that's probably a better way robust the soul becomes
[1330] 2:35:23	so and I think the same it works the same in animals is say the more interaction that
[1331] 2:35:30	you know an animal has in a loving caring home of humans the more robust their Spirits become
[1332] 2:35:40	in which case you have to ask at that point what's the difference between a robust
[1333] 2:35:47	spirit and a soul practically very little
[1334] 2:35:53	in fact there's there's essentially no difference between a robust spirit and a
[1335] 2:35:59	soul so I would not be so quick to dismiss
[1336] 2:36:05	this outright especially given what we know about animal behavior these days
[1337] 2:36:15	so I don't think Ecclesiastes answers this question well
[1338] 2:36:22	it's more putting out the question out there it's not making a dogmatic statement one
[1339] 2:36:28	way or the other so I would I would sort of refrain from using Ecclesiastes in this way to say
[1340] 2:36:35	that it does have animals that animals hassles but it leaves the question open
[1341] 2:36:42	you know there is other things that they do
[1342] 2:36:49	um find in say like for example um
[1343] 2:36:54	when Christ says of the father you know he knows um you know when the sparrow has fallen
[1344] 2:37:00	you know how much more does he care for you well this means that God has some
[1345] 2:37:06	concern over the welfare of animals and their Eternal their Eternal fate
[1346] 2:37:15	so again it's not something I would quickly outrightly dismiss but
[1347] 2:37:20	anyway uh that's about as far as I'm gonna address this question thank you very much for the question and the follow-up
[1348] 2:37:27	here and I hope that sort of helped
[1349] 2:37:53	okay the next Super Chat
[1350] 2:38:04	still at 8 40 here
[1351] 2:38:15	uh there we go okay next Super Chat here is from uh constantinos uh Karam a caucus for
[1352] 2:38:24	ten dollars thank you for the Super Chat and he asks is there any textual or
[1353] 2:38:30	archaeological evidence that the Tabernacle was pitched on the top of mounts or among Groves therefore
[1354] 2:38:35	symbolizing Cosmic mountain or the Garden of Eden uh no evidence of this unfortunately it would be interesting if
[1355] 2:38:42	there was
[1356] 2:38:48	um it was the tabernacle was meant to wander between the tribes it never actually did that
[1357] 2:38:54	at least not for any extended period of time it was eventually located in in the uh
[1358] 2:39:03	in the town of Shiloh where Shiloh was a cult Center
[1359] 2:39:08	and essentially a little sort of Temple grew up around the Tabernacles pretty interesting actually
[1360] 2:39:17	but that's about as close as we get to anything like this um but we don't have any evidence of the
[1361] 2:39:24	of the Tabernacle being pitched on mountains in fact it was it was prohibited to be posted on mountains
[1362] 2:39:30	because that'd be a high place we don't have uh evidence of it being
[1363] 2:39:37	having anything related to a garden Motif either
[1364] 2:39:48	[Laughter]
[1365] 2:39:56	oh that's funny okay I'll wrap up the Super Chat by saying no we don't have any evidence of
[1366] 2:40:03	this but thank you very much for the Super Chat oh I'm gonna get this though
[1367] 2:40:08	[Laughter]
[1368] 2:40:13	uh Thomas Slade so I assume my friends evil unrepented poodle is headed to hell
[1369] 2:40:18	oh yeah totally some poodles are mean
[1370] 2:40:25	[Laughter] totally they're going to hell
[1371] 2:40:32	I remember having to bike home from school uh as a as a teen and there'd be this
[1372] 2:40:38	poodle that would chase me down the street I'd even grab my it even bit my the leg
[1373] 2:40:44	of my pants at one point I'm on the bike and this thing's hanging on you know being dragged by my bike you know it's
[1374] 2:40:51	just like oh my gosh how how did this how does dog
[1375] 2:40:56	get out it's just like wow
[1376] 2:41:02	hahaha Lego David poodles are mean and pretentious
[1377] 2:41:09	foreign okay now I will say there are some nice
[1378] 2:41:15	poodles okay you need to get a nice owner you can have a nice poodle
[1379] 2:41:21	yeah yeah my producer growing up had a nice poodle okay
[1380] 2:41:26	you know they can be good all right all right but um
[1381] 2:41:34	you know full-size BC full sizes full-size poodle seem more relaxed and Majestic was yours a full-size poodle
[1382] 2:41:41	okay so my producer's poodle was a full-size poodle
[1383] 2:41:47	um I would agree with this um the one that attacked me was not a full size it was one of the small ones
[1384] 2:41:55	oh my gosh vicious animal hmm
[1385] 2:42:02	okay so anyway that was Slade yeah I think you're
[1386] 2:42:08	you're your neighbor's poodle is has an uncertain um um destiny I'll just say that
[1387] 2:42:16	but that was very funny okay let's get back to the super chats here
[1388] 2:42:23	I think we're actually falling behind here I've gone down too many rabbit trails
[1389] 2:42:30	I think we're back at 8 40 here
[1390] 2:42:58	okay um next Super Chat here is from BC for ten dollars Australian thank you very
[1391] 2:43:04	much for the Super Chat many have heard of Christ but are misinformed and reject him should we try
[1392] 2:43:11	to reach these people or is it better to focus on those who have never heard for example atheists Muslims versus
[1393] 2:43:16	untouched tribes well that's a great question and a lot of evangelists and missionaries do ask
[1394] 2:43:24	this question um and
[1395] 2:43:29	it's going to it's going to come down to sort of uh what is your sort of uh how to say it
[1396] 2:43:36	method of missions and vandalism what's your philosophy here what's your philosophy of
[1397] 2:43:41	evangelism now I have heard evangelists say
[1398] 2:43:48	that and I hate this I hate this saying but I've heard them say this
[1399] 2:43:56	that never preached the gospel twice to someone until everyone has heard it
[1400] 2:44:01	first that's a bad philosophy
[1401] 2:44:09	but I have heard evangelists say this
[1402] 2:44:14	I have heard of angels say don't preach the gospel to anyone a second time until I heard her first
[1403] 2:44:21	the average person who comes to Jesus Christ as an adult has to hear the gospel many times
[1404] 2:44:30	and I think the average is something like seven times before they'll either reject or accept
[1405] 2:44:38	so I think it's important to repeat the preaching of the Gospel
[1406] 2:44:45	it's not you just can't do it once and say I'm done no because that's not informative that's
[1407] 2:44:52	not helpful
[1408] 2:44:58	so and frankly the gospel can resonate in some presentations but not in others
[1409] 2:45:05	okay so just because you've heard the gospel doesn't mean it clicks
[1410] 2:45:12	you know maybe it hasn't resident resonated because they there wasn't an illustration that
[1411] 2:45:19	really drove it home Maybe
[1412] 2:45:25	uh maybe it's because of you know they were distracted that day you don't know
[1413] 2:45:33	now the whole idea of say focusing on groups that haven't heard atheists Muslims and untouched tribes
[1414] 2:45:39	okay first of all that is a much much more difficult standard to try to reach
[1415] 2:45:45	we got we gotta get we do that too I understand that too is that
[1416] 2:45:51	untouched tribes there are not very many of those anymore almost any tribe that's been untouched
[1417] 2:45:58	is also protected uh there's a couple untouched tribes in
[1418] 2:46:05	in the Amazon and there's one on an island off the Indian coast
[1419] 2:46:11	and that's about it
[1420] 2:46:16	um in the case of the Amazon it's a crime to even contact them
[1421] 2:46:22	you contact them you go to jail in the case of the one off the Indian coast that's for your protection
[1422] 2:46:29	because they're cannibals okay they'll they'll kill people who
[1423] 2:46:35	come onto their Island and eat them yeah uh North centineli Island yeah
[1424] 2:46:44	yes they are a problem
[1425] 2:46:50	it's a scourgeous tourism
[1426] 2:46:58	so uh so okay the the whole idea of going to
[1427] 2:47:05	an untouched tribe is not even feasible anymore uh as far as
[1428] 2:47:13	um doing evangelism to Islam that's difficult in its own respect
[1429] 2:47:21	um it's it's very very difficult for
[1430] 2:47:26	cultural reasons to evangelize to Muslims that has its own set of particular
[1431] 2:47:32	problems like for example you might not even have
[1432] 2:47:39	a good Bible translation that you can give to a Muslim because that translation has been watered down to
[1433] 2:47:49	be unoffensive to Muslims well if you're not being offensive in
[1434] 2:47:57	some way you're not preaching the gospel atheists of the round is a little more
[1435] 2:48:04	fertile with atheists but again it depends on the type of atheist are you dealing with somebody who grew
[1436] 2:48:10	up in an atheist home never heard the gospel at all your chances of reaching them is a lot
[1437] 2:48:17	greater than say someone who deconverted from Christianity if someone who to
[1438] 2:48:24	deconverted from Christianity is virtually impossible to reach
[1439] 2:48:29	so even then you've got some difficulties so given all that
[1440] 2:48:37	I think it's almost a it's better philosophy to
[1441] 2:48:45	you know keep going over the ground where the Lord has placed you okay don't look for greener grass
[1442] 2:48:53	okay don't look for greener pastures wherever the Lord has has led you
[1443] 2:49:01	to to do the work of of the of the kingdom
[1444] 2:49:06	do it there do it there because God's guided you there for some
[1445] 2:49:12	reason so
[1446] 2:49:21	so yes um so I don't think it's better to focus on those who've never heard
[1447] 2:49:26	because we're living in in a culture where everyone hears everything I mean we're we're in an information
[1448] 2:49:31	culture so you're not going to find just people that just haven't
[1449] 2:49:38	heard because they had the potential for Access but at the same time too there's
[1450] 2:49:44	going to be cultural barriers that prevent that access okay
[1451] 2:49:50	so with that said that's what I would say say is the the philosophy that says
[1452] 2:49:57	Don't preach the gospel twice till everyone hurts once told garbage that that philosophy toll garbage should
[1453] 2:50:04	be tossed out preach the gospel in season and now the season whether
[1454] 2:50:10	it's convenient or inconvenient and do it wherever the Lord leads you
[1455] 2:50:15	now if the Lord leads you to do um uh to reach an untouched group
[1456] 2:50:22	and or atheists or Muslims fine then the Lord has led you there but I wouldn't go seek it out per se
[1457] 2:50:31	there's a lot of work that can be done right where you are standing right now
[1458] 2:50:37	so that's it thank you very much for the Super Chat very much appreciate and I hope it helps I see you're on sort of a
[1459] 2:50:43	missions theme tonight so I'm glad you're asking these questions
[1460] 2:50:49	these are great questions to ask so um if there's anything that's
[1461] 2:50:54	um that's driving these particular questions please let us know because we believe in praying for our community as
[1462] 2:51:00	well thank you very much for the Super Chat very much appreciated
[1463] 2:51:13	okay um we have a question here from Dr Omar Muslim theist for ten dollars thank you
[1464] 2:51:20	for the Super Chat hi Dr folk perhaps charioteers were buried I don't know what you mean by
[1465] 2:51:27	that could archaeologists consider looking for graveyards of a lot of military age
[1466] 2:51:33	men buried next to each other at the end of Ramses the second or the starter manepta uh
[1467] 2:51:41	well who's gonna be doing the burying
[1468] 2:51:47	we we don't have a large number I mean finding a large Cemetery might be
[1469] 2:51:54	possible but there's also the practic there's also the Practical matter of
[1470] 2:52:01	who's gonna go in the water to fish out the bodies
[1471] 2:52:07	uh I think what you're doing here is you're trying to to look at say the
[1472] 2:52:13	potential for a mass grave of say the charioteers that were killed by the Sea
[1473] 2:52:18	Breeze now one of the things about the Sea of reeds
[1474] 2:52:25	is it was crocodile infested waters okay this was good this would be feeding
[1475] 2:52:32	frenzy time okay nobody is going to go in that water to fish our bodies
[1476] 2:52:38	not gonna happen and again these were not armored
[1477] 2:52:44	Charities were not armored it would have been easy fodder for for the Crocs
[1478] 2:52:50	so I wouldn't expect there would be a a burial site for the charioteers
[1479] 2:52:57	because No One's Gonna risk that I wouldn't go in the water to fish out a body
[1480] 2:53:05	I don't think anyone else would either just
[1481] 2:53:11	hmm maybe yeah U.S marine would the U.S marine would go in into the into the
[1482] 2:53:17	into a Croc infested water to fish out a you know a comrade but not in ancient
[1483] 2:53:22	Egypt ancient Egypt wouldn't do this U.S Marine Wood no uh
[1484] 2:53:32	BC says Crocs are terrifying oh yeah um
[1485] 2:53:37	wow there was there's a a story from World War II and I think this happened in Thailand
[1486] 2:53:44	during the Japanese Occupation and the British crowd
[1487] 2:53:52	the Japanese against the swamp a whole say Battalion of Japanese
[1488] 2:54:00	like a thousand Japanese and
[1489] 2:54:05	they they knew this swamp was was Infamous for its crocodiles
[1490] 2:54:12	and they they they pinned them they pinned them against the water
[1491] 2:54:20	and of course Japanese don't surrender so you have a thousand of these Japanese
[1492] 2:54:26	tried to Cross the Swamp no two made it
[1493] 2:54:33	who made it to the other side and of course they were chat they were the the British and the Indian soldiers were waiting for them on the other side of
[1494] 2:54:39	the swamp so they just plucked out the two survivors
[1495] 2:54:44	but yeah they made those Croc crocodiles made short work of that uh Japanese
[1496] 2:54:50	battalion door work of them so yeah once the Crocs get the taste for
[1497] 2:54:57	humans yeah there's and there was a lot of big Crocs in Egypt
[1498] 2:55:02	big Crocs uh I mean they were really big
[1499] 2:55:09	I don't know how like how long how big they get naturally and then take a quick fact check here but um
[1500] 2:55:30	yeah 23 feet is the maximum size I I recalled that there were Crocs in
[1501] 2:55:38	Egypt that got up to 20 feet um so you know there's
[1502] 2:55:46	definitely um we do find some mummies that are that's uh crocodile mummies that are
[1503] 2:55:52	that size so you know that's that's fairly
[1504] 2:55:57	yeah there were some big ones especially the ones in the feyu big these are big animals
[1505] 2:56:04	so and the plesiak Estuary was Croc
[1506] 2:56:10	infested oh we know this because the
[1507] 2:56:17	yeah along the most cars exactly oh yeah
[1508] 2:56:24	yeah I I work in a furniture store on um as my day job and I I load half the load
[1509] 2:56:31	10 foot carpets into people's cars as like yeah most a lot of cars are having difficulty with a 10-foot carpets so
[1510] 2:56:38	yeah they these Crocs were bigger than most cars in some cases heavier too
[1511] 2:56:46	so um I'm getting run faster than you think oh yeah
[1512] 2:56:52	yeah uh you actually on the um the relief of seti the first at Karnak
[1513] 2:56:58	Temple where it shows the map it shows the map of fortresses on the
[1514] 2:57:05	um on the way of Horus and uh The Fortress at charu which is
[1515] 2:57:12	basically a first Fortress you hit when you leave Egypt and it has a two components there's a
[1516] 2:57:20	and we call archaeologists call this charu and charu B
[1517] 2:57:26	and it's basically a fortress that straddles a river stradulus a canal
[1518] 2:57:32	and one was on one side one was on the other side and a bridge crossed it
[1519] 2:57:37	okay in the relief you see in the canal crocodiles
[1520] 2:57:44	they drew the crocodiles in the canal
[1521] 2:57:51	so they were there the crocodiles were definitely their sea of reeds
[1522] 2:57:57	okay so yeah yeah there wouldn't been there wouldn't
[1523] 2:58:03	have been anything much of anything left for the Egyptians to bury so anyway Dr Omar thank you very much
[1524] 2:58:11	for the Super Chat very much appreciate and I hope that helped sort of explain the historical situation here
[1525] 2:58:19	all right let's take the next Super Chat
[1526] 2:58:25	ass and we're for 4.99 would you say ABR considers you to be
[1527] 2:58:31	their number one enemy um
[1528] 2:58:38	let me put to you this way
[1529] 2:58:43	I'm not a popular figure of the NES which is basically their sort of little
[1530] 2:58:50	group at ETS um
[1531] 2:58:55	so I'm not sure if I'm their number one enemy but I'm I'm up there I'm up there
[1532] 2:59:01	I'm known they all know about me at at ABR
[1533] 2:59:06	so um I have taken on quite the reputation there
[1534] 2:59:14	so while I don't glory in that uh it's they've they've taken notice of my
[1535] 2:59:22	work and they don't approve so anyway thank you very much the Super Chat very much
[1536] 2:59:28	appreciate it
[1537] 2:59:38	hey yeah that I did
[1538] 2:59:47	okay
[1539] 2:59:54	okay here dark blade asks does Isaiah 64 11 support the due to
[1540] 3:00:03	Isaiah Theory also will Bonbon tax or fund me for mentioning the tutor Isaiah
[1541] 3:00:10	Theory yeah he probably will
[1542] 3:00:16	all right let's pull up our Bible here
[1543] 3:00:22	and Isaiah
[1544] 3:00:33	Isaiah 64.
[1545] 3:00:45	okay uh it says our holy and beautiful house
[1546] 3:00:51	where our fathers praise thee has been burned with fire and all our precious things have become ruined
[1547] 3:00:58	get a little more context here
[1548] 3:01:03	um see what does
[1549] 3:01:15	okay Isaiah 40 64 1. oh that thou would run the heavens and come down that the
[1550] 3:01:20	mountains might Quake a thy presence as fire Kindles the bush would as far causes the water to boil to make thy
[1551] 3:01:27	name known to thy adversaries that the nations may tremble at thy presence
[1552] 3:01:34	endowed its awesome things which we did not expect that it's come down and the
[1553] 3:01:39	mountains quaked at thy presence or from old they would have not heard nor perceived thy by ear neither have
[1554] 3:01:46	they seen God besides thee who acts in behalf of those who wait
[1555] 3:01:51	okay
[1556] 3:02:01	verse eight but now oh Lord Thou Art father we are clay and thou art our Potter all of us are the work of thy
[1557] 3:02:09	hand do not be angry beyond measure oh Lord neither remember iniquity forever behold look now all of us thy people
[1558] 3:02:17	thy holy cities have become Wilderness Zion has become a Wilderness Zoo Jerusalem a desolation
[1559] 3:02:24	our holy and beautiful house where our fathers praise thee has been burned by fire and all our precious things have
[1560] 3:02:31	become ruined wilt thou restrain thyself at these things O Lord will thou keep
[1561] 3:02:36	silent and afflict us beyond measure okay
[1562] 3:02:46	now I'm going to say this about Isaiah 64. it is possible that there is a second
[1563] 3:02:52	writer here that's added to that supplemented Isaiah possible
[1564] 3:02:59	I wouldn't say it's out of the bounds of possibility I would like to look at this issue more
[1565] 3:03:05	before I come down on it I do not like the deutero Isaiah Theory now
[1566] 3:03:14	one of the things about the deutero Isaiah theory is it's a little more than supplementing here
[1567] 3:03:19	now it's possible that that Isaiah 64 is a supplement basically a piece of scripture that's
[1568] 3:03:25	been added after the original prophet Isaiah wrote totally possible
[1569] 3:03:30	I wouldn't discount it but I also think too that a lot that's
[1570] 3:03:36	been ascribed to the deutero Isaiah Theory and for the for those who are not familiar with the due to Isaiah Theory
[1571] 3:03:41	it's the idea that Isaiah was written by two or three
[1572] 3:03:47	authors essentially basically the second Isaiah so you got first Isaiah and second
[1573] 3:03:55	Isaiah now there was a commentary
[1574] 3:04:02	commentary written was well I think it was one of the word commentaries and
[1575] 3:04:09	the author of that commentary got panned critically panned
[1576] 3:04:15	because one of the things he had said was and it wasn't a good commentary
[1577] 3:04:21	overall but he he had the idea that there was no deutero Isaiah
[1578] 3:04:26	Theory but that there was a break a natural break in the text
[1579] 3:04:33	that sort of had a the idea of a reflective
[1580] 3:04:38	text so you have a you have a first Isaiah which was
[1581] 3:04:45	written by Isaiah and then you had the second part of Isaiah which sort of mirrored
[1582] 3:04:51	that first part this idea was scoffed you know the the
[1583] 3:04:59	the literary Intelligentsia of biblical stay scoffed at the idea holy
[1584] 3:05:06	pandas commentary because the the whole idea of Deuter Isaiah was so entrenched
[1585] 3:05:14	and
[1586] 3:05:19	but one of the things he did was he predicted something he made a fascinating prediction
[1587] 3:05:27	and he predicted that on Ancient Scrolls that there might have been a
