[0] 0:08	well there you
[1475] 1:17:27	the spirits we could
[1476] 1:17:29	test
[1477] 1:17:31	cross it's not
[1478] 1:17:34	impressed in fact it starts lunging
[1479] 1:17:38	towards you roing stick attack at its
[1480] 1:17:41	head here we go again all right we got
[1481] 1:17:44	here we
[1482] 1:17:46	go I fist fight the track time to uh to
[1483] 1:17:51	roll an
[1484] 1:17:52	attack all right so this would be a club
[1485] 1:17:56	of some sort and DM I was not sure what
[1486] 1:17:59	kind of uh dice uh sorry what kind of um
[1487] 1:18:04	attack roll to use for it since there
[1488] 1:18:06	was no exact thing so you tell me what
[1489] 1:18:08	you think I should roll oh wa roll a 20
[1490] 1:18:11	roll a 20 okay roll a
[1491] 1:18:13	20 almost grabbed a 10 okay that's a
[1492] 1:18:19	20 uh
[1493] 1:18:22	five okay it's
[1494] 1:18:26	turn oh
[1495] 1:18:28	no 18 did you hear
[1496] 1:18:34	that
[1497] 1:18:36	all Mar's only got 10 hit points
[1498] 1:18:39	although although I am wearing my Bonnet
[1499] 1:18:43	of
[1500] 1:18:46	Salvation right here
[1501] 1:18:49	first damage is
[1502] 1:18:51	two okay can I use my shield my C Isis
[1503] 1:18:55	sermons the big thick well it would it
[1504] 1:18:58	would have been good it would have been
[1505] 1:18:59	good to know that
[1506] 1:19:01	before okay so you're down to
[1507] 1:19:04	eight okay down to now with this
[1508] 1:19:07	particular uh Critter you feel something
[1509] 1:19:11	coursing through your
[1510] 1:19:13	veins poison H poison well I have high
[1511] 1:19:18	Constitution but that is a
[1512] 1:19:22	problem allegedly
[1513] 1:19:27	you take another one point of poison
[1514] 1:19:31	damage so down to seven down to seven
[1515] 1:19:37	okay all right uh I have a Healer kit so
[1516] 1:19:43	I'll back off can I Retreat without uh
[1517] 1:19:45	getting another strike no it's now it's
[1518] 1:19:48	now uh Leroy's turn okay what does what
[1519] 1:19:52	does Leroy do he's still in the
[1520] 1:19:55	well I know that my brother Leroy all he
[1521] 1:19:59	had to do was give a carrot to a bunny
[1522] 1:20:02	and he would have
[1523] 1:20:04	lived but I'm gonna keep up the Leroy
[1524] 1:20:07	tradition and I'm gonna jump down in
[1525] 1:20:09	there and I'm gonna bear hug him and
[1526] 1:20:12	with his mouth shut jump on
[1527] 1:20:15	him a
[1528] 1:20:18	crocodile um so just remember that
[1529] 1:20:21	because of our bless everyone gets plus
[1530] 1:20:23	one to their dice back
[1531] 1:20:26	rolls I said you're going to listen to
[1532] 1:20:28	my
[1533] 1:20:31	message you you roll a 13 so you strain
[1534] 1:20:34	him for a moment so that would be a 14
[1535] 1:20:37	but now you've got a 10 foot
[1536] 1:20:41	winged very very angry snake in your
[1537] 1:20:46	arms yes I'm going out your
[1538] 1:20:49	[Laughter]
[1539] 1:20:52	turn the heart your turn did use all of
[1540] 1:20:55	the
[1541] 1:20:56	beer yes the beer's all
[1542] 1:21:01	gone oh smiling
[1543] 1:21:06	hurts I just had a fantastic
[1544] 1:21:09	idea I'll save it ah
[1545] 1:21:14	Tara yeah um indecision will cause a
[1546] 1:21:18	pass that indecision won't cause a pass
[1547] 1:21:22	um I'm GNA try and plead with it and
[1548] 1:21:27	actually wait they told us
[1549] 1:21:30	that please we don't want to have to
[1550] 1:21:33	fight
[1551] 1:21:37	you I'm just giving him Aug yeah it's
[1552] 1:21:40	not smart enough to know this can I
[1553] 1:21:44	swing can I swing your turn darn
[1554] 1:21:48	it mama don't die mama takes her cross
[1555] 1:21:51	and goes say Jesus Christ is Lord say
[1556] 1:21:54	Jesus Christ Just sh buff works every
[1557] 1:21:58	time it attacks it's let's see isn't it
[1558] 1:22:04	restrained it is still restrained for
[1559] 1:22:07	let's go Leroy so should have
[1560] 1:22:12	disadvantage okay Tara oh I gotta do
[1561] 1:22:16	this
[1562] 1:22:17	now all right let's
[1563] 1:22:19	go restrained I tried I tried my best
[1564] 1:22:25	now we choose violence I'm sorry Critter
[1565] 1:22:29	I didn't I tried to have dominion over
[1566] 1:22:32	the world and it didn't
[1567] 1:22:35	work uh 14 plus one because of bless so
[1568] 1:22:39	15 okay and your it's a short sword
[1569] 1:22:44	short sword so that would be this I
[1570] 1:22:47	don't understand how to e okay you do
[1571] 1:22:49	four points of damage let's
[1572] 1:22:52	go that's halfway right
[1573] 1:22:55	right
[1574] 1:23:01	no that's my
[1575] 1:23:09	turn
[1576] 1:23:11	okay Mama your turn I'mma hit it oh am I
[1577] 1:23:16	dead Mary uh Mary will grab her huge
[1578] 1:23:19	chunky for IIs sermans and since it is
[1579] 1:23:23	currently grappled by Leroy she's going
[1580] 1:23:26	to get up close to that snake head and
[1581] 1:23:27	just try to shove that book in its
[1582] 1:23:31	mouth break its tee and when you roll
[1583] 1:23:34	your D20 what do you get all right one
[1584] 1:23:38	try a different one I'm gonna get my
[1585] 1:23:41	radiant
[1586] 1:23:43	die okay with a plus
[1587] 1:23:47	one a two yeah it's a two no well with
[1588] 1:23:52	it's a two but Plus one so
[1589] 1:23:57	three now there is such a thing as a
[1590] 1:24:01	negative critical roll that's a one
[1591] 1:24:05	that's a one no I I I rolled a two plus
[1592] 1:24:09	okay we'll let it go yeah so it's
[1593] 1:24:12	three okay so three so you don't hit him
[1594] 1:24:16	yeah he's lashing around too much but
[1595] 1:24:19	now it's gets its turn it's like it's
[1596] 1:24:22	like I was trying to bathe cat you
[1597] 1:24:26	[Laughter]
[1598] 1:24:27	know squirms free oh no Leroy you had
[1599] 1:24:33	one job you had one job
[1600] 1:24:36	Leroy this guy at least he has his
[1601] 1:24:43	chicken this guy I had to make I had to
[1602] 1:24:46	make the image of
[1603] 1:24:48	it I wanted I I need to
[1604] 1:24:51	visualize all right now that it ISM free
[1605] 1:24:56	what it's going to
[1606] 1:24:57	do is it's going
[1607] 1:25:01	to it's gonna blow electric Sparks at
[1608] 1:25:04	you darn it okay but it misses
[1609] 1:25:08	electric oh that good for
[1610] 1:25:12	that say that last part it
[1611] 1:25:16	missed
[1612] 1:25:19	yes disoriented for me hugging him who
[1613] 1:25:22	turn is it now my love I think it's
[1614] 1:25:23	Leroy
[1615] 1:25:25	okay Leroy your
[1616] 1:25:27	turn because it goes on the or the snake
[1617] 1:25:31	in this case it's about 15 feet up in
[1618] 1:25:35	the air oh okay well you
[1619] 1:25:39	know well that's that's GNA be quite a
[1620] 1:25:41	tall
[1621] 1:25:43	horse
[1622] 1:25:46	uh I sling mud at it in its
[1623] 1:25:52	mouth do you have a sling
[1624] 1:25:55	my
[1625] 1:25:57	hand throw you have an un you have no
[1626] 1:26:00	weapons except an unarmed
[1627] 1:26:02	strike so he wants to throw it I
[1628] 1:26:05	think yeah I I I think I think you
[1629] 1:26:08	there's not much you can
[1630] 1:26:10	do yeah I think so too can you help
[1631] 1:26:17	Mama you're assist her is it out of my
[1632] 1:26:21	range for a short story yes
[1633] 1:26:25	even if I
[1634] 1:26:28	jump yes even if you jump all right can
[1635] 1:26:31	I hop on Leroy and try and hit
[1636] 1:26:35	it you could try all right
[1637] 1:26:39	Leroy we're we're we're tandeming our
[1638] 1:26:41	teams do I roll AC or something
[1639] 1:26:45	yep that's us right now do I roll
[1640] 1:26:48	acrobatics or something to try I don't
[1641] 1:26:52	know how 2E works
[1642] 1:26:59	all right roll a D20 let's see what you
[1643] 1:27:00	get all right let's do
[1644] 1:27:04	this uh does this count as an
[1645] 1:27:07	attack yes uh
[1646] 1:27:12	14 okay you managed to jump on Leroy and
[1647] 1:27:18	Leroy goes tumbling into the into the B
[1648] 1:27:22	Leroy your feet
[1649] 1:27:27	it's it's kind of slippery I'm standing
[1650] 1:27:29	on a lot of
[1651] 1:27:31	pee Leroy loses Four Points as a result
[1652] 1:27:34	of your attack
[1653] 1:27:37	dude thanks buddy anything for you Leroy
[1654] 1:27:41	how much health you have
[1655] 1:27:43	left five ah you'll be fine that's a
[1656] 1:27:47	strong five I I can't believe I lasted
[1657] 1:27:50	this long
[1658] 1:27:56	okay
[1659] 1:27:58	uh uh Mary your turn Okay um I'll see
[1660] 1:28:04	that okay have they fallen into leog
[1661] 1:28:07	like is he is in danger of like being
[1662] 1:28:09	drowned by the thing no no he's he's
[1663] 1:28:12	it's it's it's a um it's a dome box so
[1664] 1:28:16	he's not in any danger of a drowning
[1665] 1:28:18	just being
[1666] 1:28:20	humiliated
[1667] 1:28:22	uh hey been there
[1668] 1:28:26	uh I think Mary would go ahead and uh
[1669] 1:28:31	just try to hit it with her walking
[1670] 1:28:33	stick again uh try to whack it on its on
[1671] 1:28:37	its head
[1672] 1:28:38	while uh while um because she's she's
[1673] 1:28:43	thinking in her head that this is some
[1674] 1:28:46	kind of evil spiritual being and she
[1675] 1:28:49	will remember the scripture that we it
[1676] 1:28:51	we don't fight against flesh and blood
[1677] 1:28:52	but against powers princip ities and and
[1678] 1:28:55	you know all that and and so
[1679] 1:28:59	like while walking to
[1680] 1:29:05	like you can throw your walking stick at
[1681] 1:29:08	it no no oh because it's 15 feet up
[1682] 1:29:11	isn't it yeah right the head is 15 feet
[1683] 1:29:13	up yeah I can't reach that high uh okay
[1684] 1:29:20	so yeah I wouldn't do that what is it
[1685] 1:29:23	why why did you go did why a s didn't a
[1686] 1:29:25	single one of you get a ranged
[1687] 1:29:28	weapon no one told no slings
[1688] 1:29:32	nothing Well usually we stop by like a
[1689] 1:29:35	merchant and grab
[1690] 1:29:38	stuff I was thinking with the theme no
[1691] 1:29:41	one said it could
[1692] 1:29:45	fly is it even Arrow dynamically
[1693] 1:29:49	possible I don't know maybe we maybe we
[1694] 1:29:51	could lure it out to the Sea
[1695] 1:29:56	okay well well I can't well hold on I
[1696] 1:29:59	can throw something if it was that far
[1697] 1:30:01	away I'd know that I couldn't hit it
[1698] 1:30:02	with my walking stick so what I will do
[1699] 1:30:05	instead is I'll just throw something
[1700] 1:30:07	else that I
[1701] 1:30:11	have
[1702] 1:30:12	so I'll take take I'm trying to think if
[1703] 1:30:17	I can throw the for is of serm that far
[1704] 1:30:21	it's a super heavy book and she's a
[1705] 1:30:23	little woman um but I think she's G to
[1706] 1:30:27	she's going to go for it she's worried
[1707] 1:30:28	about her so she's she's aiming aiming
[1708] 1:30:31	for the head with the with the book to
[1709] 1:30:34	chunk it at
[1710] 1:30:36	it okay and you roll your D20 what do
[1711] 1:30:40	you
[1712] 1:30:42	get this is hilarious five plus one
[1713] 1:30:50	oh yeah you're your for size but whizzes
[1714] 1:30:54	past the snake and into the
[1715] 1:30:58	bog all right now the snake's
[1716] 1:31:03	turn four okay it flies by it doesn't
[1717] 1:31:07	hit you any of you can I can I swing in
[1718] 1:31:10	it as it flies
[1719] 1:31:12	by too probably too high but you can
[1720] 1:31:14	give it a go at least it's as an as we
[1721] 1:31:17	are on my turn I'll try it is it's Le
[1722] 1:31:20	it's um Leroy's turn yeah I in my turn I
[1723] 1:31:23	will
[1724] 1:31:25	I said come down here and fight me like
[1725] 1:31:27	a snake
[1726] 1:31:33	yeah not
[1727] 1:31:35	impressed all right
[1728] 1:31:38	toara okay um hey Leroy how how how you
[1729] 1:31:43	feeling how's your
[1730] 1:31:46	HP we're
[1731] 1:31:49	good uh can I cast uh cure light wounds
[1732] 1:31:52	on Leroy
[1733] 1:31:54	sure all right that's a it's a one
[1734] 1:31:58	d8 oh I so I got you eight points of
[1735] 1:32:03	HP okay but you got is was the spell
[1736] 1:32:07	successful do you have to roll in two e
[1737] 1:32:10	to cast a
[1738] 1:32:12	spell how's that work you do actually
[1739] 1:32:16	you do all right well in theory you'd
[1740] 1:32:19	get
[1741] 1:32:20	eight all right so like do I add the
[1742] 1:32:22	plus one
[1743] 1:32:25	why not we'll be generous all right
[1744] 1:32:29	nine it's a
[1745] 1:32:34	spell spell
[1746] 1:32:36	[Applause]
[1747] 1:32:39	failed uh how about s snake be a snake
[1748] 1:32:43	charmer okay my last spell slot I don't
[1749] 1:32:46	know if my teammates are aware of this
[1750] 1:32:48	but I chose no spells for my
[1751] 1:32:52	character why poisoned by the way yeah
[1752] 1:32:56	well oh steing it's consistent okay so
[1753] 1:33:01	you're going to take some damage from
[1754] 1:33:02	from Poison this round I did wonder
[1755] 1:33:05	about that uh you're taking three points
[1756] 1:33:09	of damage okay so Mary's down to
[1757] 1:33:14	four
[1758] 1:33:18	um she's feeling the effect she's very
[1759] 1:33:22	practical and and she's toward the end
[1760] 1:33:24	of her life so she's probably going to
[1761] 1:33:28	take her walking stick and she's going
[1762] 1:33:30	to get as close to the uh the spirit
[1763] 1:33:34	Critter and see if she can
[1764] 1:33:38	like grapple around it with the walking
[1765] 1:33:40	stick and like choke it
[1766] 1:33:43	out from 15 feet in the air no she's
[1767] 1:33:47	gonna she's going to like run up to it
[1768] 1:33:49	and like try to like like she's going to
[1769] 1:33:51	like literally just throw a whole butt
[1770] 1:33:53	this this is a Hail Mary move oh hail
[1771] 1:33:59	Mar and so I'm not
[1772] 1:34:03	Catholic well no this
[1773] 1:34:07	Mary
[1774] 1:34:08	ah she's gonna take so so she's gonna
[1775] 1:34:12	you know jump on the thing use her body
[1776] 1:34:16	weight to try and force NE down and get
[1777] 1:34:20	the the cane around it and try to like
[1778] 1:34:23	you
[1779] 1:34:24	know like that okay do the roll okay
[1780] 1:34:28	this is a suicide F yeah
[1781] 1:34:32	well so what was her strength I'm trying
[1782] 1:34:35	to remember if she has a bonus on her
[1783] 1:34:38	strength bonus no
[1784] 1:34:40	bonus hey a little better nine plus
[1785] 1:34:44	anything I don't know nine it's an
[1786] 1:34:48	attack it's not good enough all right
[1787] 1:34:52	snake's turn
[1788] 1:34:55	[Applause]
[1789] 1:34:57	all right
[1790] 1:34:58	17 goes after
[1791] 1:35:00	Leroy nooy
[1792] 1:35:05	t uh two
[1793] 1:35:08	damage
[1794] 1:35:10	plus what two for poison
[1795] 1:35:12	four oh yeah yeah yeah that's
[1796] 1:35:16	true so you're down to
[1797] 1:35:21	one still kicking huh jeez
[1798] 1:35:24	still kicking it's your turn
[1799] 1:35:30	now so I can only use one move
[1800] 1:35:35	right I guess that would be heal it's
[1801] 1:35:39	three of you against one snake come
[1802] 1:35:42	on it's so
[1803] 1:35:45	high I do have one spell that's low
[1804] 1:35:47	object but as you repeatedly stated
[1805] 1:35:50	we're in a
[1806] 1:35:52	bog yeah
[1807] 1:35:54	so are there objects that we could
[1808] 1:35:57	locate you can't heal yourself oh okay
[1809] 1:36:00	I'll heal
[1810] 1:36:02	myself uh heal
[1811] 1:36:05	myself all
[1812] 1:36:07	[Applause]
[1813] 1:36:08	right
[1814] 1:36:11	two wait he didn't have to roll the
[1815] 1:36:13	heel okay matter he rolled the heel he
[1816] 1:36:17	got
[1817] 1:36:18	two like Health points or for the spell
[1818] 1:36:22	for the spell
[1819] 1:36:24	so it's up to three fail it failed okay
[1820] 1:36:28	you tried
[1821] 1:36:29	hyack all right to
[1822] 1:36:32	Hera can I reach
[1823] 1:36:35	it yeah you can reach it it's come it's
[1824] 1:36:38	it's at this point it's brave enough
[1825] 1:36:39	it's coming back down I'm
[1826] 1:36:41	swinging it's real Brave at this point
[1827] 1:36:44	because you guys are not
[1828] 1:36:46	competent I'm I'm swinging oh it's it's
[1829] 1:36:50	it's confident it's going to win this
[1830] 1:36:52	fight and
[1831] 1:36:55	miss you
[1832] 1:36:57	missed I know I
[1833] 1:37:00	missed but was it how was it four two oh
[1834] 1:37:05	my go four with the plus one that's a
[1835] 1:37:08	Miss rolling so comically bad this has
[1836] 1:37:12	been horrible listen at least I did
[1837] 1:37:14	damage in the
[1838] 1:37:17	past your
[1839] 1:37:19	turn oh my gosh this
[1840] 1:37:21	hurts I know my cheek are hurting too
[1841] 1:37:24	okay mama's gonna keep running that play
[1842] 1:37:27	oh wait no okay oh sewing kit so she's
[1843] 1:37:31	gonna get her scissors out of her sewing
[1844] 1:37:33	kit she's technically not allowed
[1845] 1:37:35	weapons but she has scissors in her
[1846] 1:37:37	sewing kit she's gonna try and stab the
[1847] 1:37:38	snake with her sewing scissors right
[1848] 1:37:40	that's a bladed weapon equivalent to a
[1849] 1:37:42	dagger that's a that's a
[1850] 1:37:45	D4
[1851] 1:37:47	pack hey
[1852] 1:37:49	10 I made it into the double digits
[1853] 1:37:54	yeah you need 12 okay
[1854] 1:38:00	so so that would only be it still only
[1855] 1:38:02	be 11 but do I get Advantage considering
[1856] 1:38:05	there's three of
[1857] 1:38:07	us you have you're getting three attacks
[1858] 1:38:11	against
[1859] 1:38:12	one I know but you know you don't yeah
[1860] 1:38:16	you do not have we just graduated do not
[1861] 1:38:18	ask just gradu we we we just got
[1862] 1:38:22	Shipwrecked so wet and
[1863] 1:38:27	weaponless
[1864] 1:38:29	[Laughter]
[1865] 1:38:34	P okay he
[1866] 1:38:37	missed Leroy your
[1867] 1:38:40	turn say for Frodo and I
[1868] 1:38:44	charge so try to punch him okay I I try
[1869] 1:38:48	to jump on him again and hold his mouth
[1870] 1:38:51	shut you hit
[1871] 1:38:54	woohoo you hit and
[1872] 1:38:56	do two
[1873] 1:38:58	damage wait he said
[1874] 1:39:03	okay Leroy is the MVP and he's
[1875] 1:39:06	dying he's MVP and he's
[1876] 1:39:12	dying okay your
[1877] 1:39:17	turn swing in a
[1878] 1:39:19	Miss swing how bad a Miss uh
[1879] 1:39:24	three that's a Miss
[1880] 1:39:27	yeah oh yeah the rich Mary sees that
[1881] 1:39:31	lioy is the only one Headway so she gets
[1882] 1:39:34	her hand I did four damage in the
[1883] 1:39:38	beginning Mary Mary gets her healing kit
[1884] 1:39:41	and and she will uh do her best to bind
[1885] 1:39:44	up his wounds real quick so that he's
[1886] 1:39:46	not bleeding out or anything and uh you
[1887] 1:39:49	know like give him a whiff of smelling
[1888] 1:39:51	salts or whatever
[1889] 1:39:53	like whatever it can help all right he
[1890] 1:39:56	will
[1891] 1:39:57	gain three hit points let's
[1892] 1:40:01	go let's go
[1893] 1:40:03	Mary that was my turn now that's a
[1894] 1:40:06	priest all right now it's the snake's
[1895] 1:40:10	turn please
[1896] 1:40:12	miss oh roll like you're rolling for tar
[1897] 1:40:15	uh for uh this is not good natural 20
[1898] 1:40:20	it's a natural 20 so damage it's double
[1899] 1:40:25	damage roller one and it was against and
[1900] 1:40:28	it was against Tara let's go I eat those
[1901] 1:40:32	all right
[1902] 1:40:35	well
[1903] 1:40:38	three plus F two is five 10
[1904] 1:40:43	points I'm still good I got three HP
[1905] 1:40:46	left still good you had three
[1906] 1:40:48	left e
[1907] 1:40:51	those okay this is not looking good
[1908] 1:40:58	guys oh
[1909] 1:41:00	two no you have you have four HP because
[1910] 1:41:03	you had one and she gave you three right
[1911] 1:41:06	yeah you got
[1912] 1:41:08	four I eat those all right and Mary is
[1913] 1:41:12	still currently at four
[1914] 1:41:16	herself Leroy your turn we're doing
[1915] 1:41:18	great guys all right
[1916] 1:41:21	I heal
[1917] 1:41:23	myself I guess or who has less damage or
[1918] 1:41:27	who has the least amount of damage uh
[1919] 1:41:29	how many he have you got left he's only
[1920] 1:41:32	cast it
[1921] 1:41:33	once and it
[1922] 1:41:35	failed
[1923] 1:41:37	fa all right we'll cast it again tahara
[1924] 1:41:41	is currently the
[1925] 1:41:42	lowest you got
[1926] 1:41:45	six cast on tahara does that fail that
[1927] 1:41:49	fails oh oh cuzz my 13 fails I forget we
[1928] 1:41:53	have to roll to
[1929] 1:41:56	heal yeah spell requires a roll to
[1930] 1:41:59	succeed gotcha okay tahara your turn we
[1931] 1:42:04	swinging I I I want I want I want snakes
[1932] 1:42:07	skin boots so I could give it a
[1933] 1:42:09	Patrick let him know let him know I love
[1934] 1:42:13	[Laughter]
[1935] 1:42:15	him guys uh it's not looking good all
[1936] 1:42:20	right swing in the Mist
[1937] 1:42:24	how Miss six that's a miss all right
[1938] 1:42:29	Mary your turn I'm Gonna Roll first and
[1939] 1:42:32	see if I well okay
[1940] 1:42:37	so Leroy he I healed up a little bit I'm
[1941] 1:42:41	at four I'm trying to decide if I should
[1942] 1:42:43	heal or attack and I think I'm going to
[1943] 1:42:45	try to attack again because I think
[1944] 1:42:47	everyone's
[1945] 1:42:49	stable um uh I'm hurt I'm
[1946] 1:42:54	hey I roll the
[1947] 1:42:56	12 plus one okay plus 113 with the so 13
[1948] 1:43:01	I'm going in with the scissors let's
[1949] 1:43:03	goab you're going in with the scissors
[1950] 1:43:06	What should I roll for damage for that
[1951] 1:43:09	uh that would be like a small knife so a
[1952] 1:43:11	D4 D4 okay where is you gotta say
[1953] 1:43:15	something really cool when you stab it's
[1954] 1:43:16	the pyramid which is used as a power
[1955] 1:43:19	generator in ancient times
[1956] 1:43:25	Ben Carson told me on Joe Rogan two two
[1957] 1:43:28	damage two damage yes all right he's
[1958] 1:43:31	down to 22
[1959] 1:43:34	[Music]
[1960] 1:43:34	[Laughter]
[1961] 1:43:36	points guys guys I don't think it's
[1962] 1:43:40	looking good they start I know he's
[1963] 1:43:43	gonna take damage from laughing he's
[1964] 1:43:45	gonna take Dam all right we we go do
[1965] 1:43:47	that bonus he's laughing his ass off at
[1966] 1:43:50	you guys so he has like two HP left
[1967] 1:43:54	right and he loses three points for for
[1968] 1:43:58	laughter he bres a r ventilates he he
[1969] 1:44:02	should lose three points for each time
[1970] 1:44:05	tahara has missed so it should be like
[1971] 1:44:08	[Laughter]
[1972] 1:44:12	nine trust me I just
[1973] 1:44:15	graduated onoy come on
[1974] 1:44:18	Leroy
[1975] 1:44:20	I say Leroy
[1976] 1:44:23	[Music]
[1977] 1:44:25	jump and grapple
[1978] 1:44:33	him all
[1979] 1:44:34	[Laughter]
[1980] 1:44:37	right
[1981] 1:44:40	eight plus one this is a nine n which
[1982] 1:44:44	misses which misses all right terrible
[1983] 1:44:49	at this
[1984] 1:44:56	again it loses two more points from
[1985] 1:44:59	laughing at you guys dude I'm with it
[1986] 1:45:04	restrained restrain him and still can't
[1987] 1:45:06	get
[1988] 1:45:08	him it should have lower AC to be
[1989] 1:45:12	fair we not even it has it has an armor
[1990] 1:45:16	class of
[1991] 1:45:18	five I don't know what that means in
[1992] 1:45:20	second edition I'm rolling to hit
[1993] 1:45:24	all
[1994] 1:45:25	right
[1995] 1:45:28	miss
[1996] 1:45:30	four can any of you roll a dice
[1997] 1:45:35	no when I'm the DM I roll
[1998] 1:45:39	[Laughter]
[1999] 1:45:43	20 all right your turn all right so does
[2000] 1:45:48	but does it take damage from laughter
[2001] 1:45:54	Mary's gonna stab again because it
[2002] 1:45:56	actually
[2003] 1:45:57	worked 13 so 14 13 okay let's go Mary
[2004] 1:46:04	she's starting to get in her
[2005] 1:46:06	St D4 all right channel that Mama anger
[2006] 1:46:11	it's uh oh that is a weird die it's okay
[2007] 1:46:15	the numbers on the bottom on this one
[2008] 1:46:17	I've never seen that before so it's a
[2009] 1:46:19	three oh those are the old ones yeah I
[2010] 1:46:22	hate it old old Dragon dice had the
[2011] 1:46:24	numbers on the
[2012] 1:46:25	bottom the newer ones have it on the top
[2013] 1:46:29	yeah this one's on the bottom and it's a
[2014] 1:46:31	three three I've never noticed that
[2015] 1:46:34	before yeah the very first set of dragon
[2016] 1:46:37	dice I had had him on the
[2017] 1:46:38	bottom um but
[2018] 1:46:42	uh is than
[2019] 1:46:46	two I'm thinking Lethal Weapon but not
[2020] 1:46:49	lethal
[2021] 1:46:54	[Laughter]
[2022] 1:46:58	I feel
[2023] 1:47:00	attack all
[2024] 1:47:02	right uh it's it's the snake's
[2025] 1:47:06	turn
[2026] 1:47:08	11 misses let's go it's laughing way too
[2027] 1:47:12	hard it's rolling on the floor
[2028] 1:47:15	laughing so we get advantage on the turn
[2029] 1:47:17	on the attacks right yeah is it prone we
[2030] 1:47:19	should be getting advantage
[2031] 1:47:21	[Laughter]
[2032] 1:47:26	please
[2033] 1:47:29	please come on
[2034] 1:47:31	Leroy I jump and I tickled the
[2035] 1:47:39	snake let's
[2036] 1:47:41	go 10 you can't even tickle him right
[2037] 1:47:45	it's an
[2038] 1:47:47	11 how do you tickle a this is just
[2039] 1:47:51	squirming
[2040] 1:47:54	just can't believe any of
[2041] 1:47:58	this wait but doesn't he get Advantage
[2042] 1:48:01	cuz
[2043] 1:48:02	it's
[2044] 1:48:05	PR we can only kill him when he's
[2045] 1:48:09	laughing the best he doesn't get
[2046] 1:48:12	Advantage because it's
[2047] 1:48:16	prone he trips on it twig as he tries
[2048] 1:48:20	to hey makes him laugh natural 20 for
[2049] 1:48:25	the
[2050] 1:48:27	swing natural
[2051] 1:48:29	20o all right my D so what is it a d8 or
[2052] 1:48:34	D6
[2053] 1:48:36	D6 Milo gu you're so bad
[2054] 1:48:43	hey that would be one of my children
[2055] 1:48:46	judging
[2056] 1:48:50	us oh my gosh I rolled this 6 *
[2057] 1:48:55	2 12 points of
[2058] 1:48:59	damage while it's being tickled tahara
[2059] 1:49:03	takes the chance and punes it
[2060] 1:49:06	down while it's
[2061] 1:49:08	laughing all right now it get serious
[2062] 1:49:12	wait no keep let's keep it
[2063] 1:49:16	silly it slies up into the air no but it
[2064] 1:49:20	was being tickled
[2065] 1:49:24	16 wait but it's Mama's
[2066] 1:49:28	turn
[2067] 1:49:29	okay Mary right Mary had been grappling
[2068] 1:49:34	with one arm and just like stabbing
[2069] 1:49:36	repeatedly so I'm assuming she's getting
[2070] 1:49:39	lifted up she's a tough old broad so
[2071] 1:49:42	well it's not his turn yet so he hasn't
[2072] 1:49:43	moved right all right he's not his turn
[2073] 1:49:46	okay oh that's true oh good fair enough
[2074] 1:49:50	all right so she's gonna try and stab
[2075] 1:49:56	again it's a nine plus one so that's 10
[2076] 1:50:00	so not this time no so twice up in the
[2077] 1:50:04	air
[2078] 1:50:07	now and it does a
[2079] 1:50:09	10
[2080] 1:50:12	Miss and it's still laughing but it's
[2081] 1:50:14	it's Airborne
[2082] 1:50:16	now
[2083] 1:50:18	to Leroy
[2084] 1:50:21	[Music]
[2085] 1:50:23	no no no you're on the you're sprawled
[2086] 1:50:24	on the
[2087] 1:50:25	ground all right I guess I'm making bog
[2088] 1:50:30	Angels bog Angels okay well he makes B
[2089] 1:50:37	Angels
[2090] 1:50:40	Tara what you do
[2091] 1:50:53	can I take can I take Mary's walking
[2092] 1:50:56	stick and throw it at
[2093] 1:50:58	it what can I take Mary's walking stick
[2094] 1:51:02	and throw it at it you could sorry Mary
[2095] 1:51:07	and I throw her walking stick at
[2096] 1:51:10	it all
[2097] 1:51:13	right
[2098] 1:51:16	14 okay
[2099] 1:51:18	D4 let's sorry Mary I'll carry you home
[2100] 1:51:22	Ah that's okay I'm going with the
[2101] 1:51:26	scissors a
[2102] 1:51:28	two a two all right you
[2103] 1:51:32	hit the the snake straight in the
[2104] 1:51:37	forehead and knock it to the ground dead
[2105] 1:51:41	let's
[2106] 1:51:46	go you come at me tears but I come at
[2107] 1:51:50	you in the name of the Mighty God
[2108] 1:51:53	the
[2109] 1:51:56	post and now you
[2110] 1:52:00	notice while it's
[2111] 1:52:02	down the villagers come
[2112] 1:52:06	out thanks for the help
[2113] 1:52:09	guys my god did
[2114] 1:52:12	[Music]
[2115] 1:52:15	that you ever heard of David and
[2116] 1:52:19	Goliath well
[2117] 1:52:21	it's it's Leroy and the
[2118] 1:52:27	Sarah and the villagers come out all 10
[2119] 1:52:31	of
[2120] 1:52:32	them all 10 of them and you notice one
[2121] 1:52:36	that's not that hasn't gone through your
[2122] 1:52:39	evangelism just like the others but he's
[2123] 1:52:43	wearing a robe fancy
[2124] 1:52:46	robe and the and the staff are you St
[2125] 1:52:50	Patrick
[2126] 1:52:52	I am sa Patrick thank you I killed your
[2127] 1:52:57	snake I'm going just go what you didn't
[2128] 1:53:01	kill the snake we brought St Patrick
[2129] 1:53:04	that was the last snake the snakes are
[2130] 1:53:07	gone I
[2131] 1:53:11	did what are you talking about St
[2132] 1:53:14	Patrick showed up and now there's no
[2133] 1:53:15	more snakes he's obviously responsible
