[0] 0:19	Oh,
[2673] 2:23:01	can advise you, Francis, on this. So I
[2674] 2:23:04	hope that helps. Thank you for super
[2675] 2:23:06	chat. Very much appreciated.
[2676] 2:23:15	Okay. BC4YT $5 Australian. Uh, Exodus
[2677] 2:23:19	122. How successful do you think this
[2678] 2:23:21	decree was? Was the Passover plague a
[2679] 2:23:24	direct retaliation for this? All right,
[2680] 2:23:26	let's Yeah, this is the murder of the
[2681] 2:23:28	innocents
[2682] 2:23:30	here,
[2683] 2:23:32	the original one. Anyway,
[2684] 2:23:35	uh then Pharaoh commanded all his people
[2685] 2:23:37	saying, "Every son who is born, you are
[2686] 2:23:39	to cast in the Nile, and every daughter
[2687] 2:23:41	you to keep alive."
[2688] 2:23:43	Right? That's the decree.
[2689] 2:23:46	Uh how successful do I think this decree
[2690] 2:23:48	was? I think it was incredibly
[2691] 2:23:49	successful.
[2692] 2:23:51	Um
[2693] 2:23:53	he had the ability to pull this off.
[2694] 2:23:55	Now, we think this is probably King I.
[2695] 2:23:59	He King I was paranoid.
[2696] 2:24:02	He was um miserable old man. Miserable
[2697] 2:24:06	old man. He was already in his 70s when
[2698] 2:24:11	he took the throne.
[2699] 2:24:13	He had two adult sons that did that
[2700] 2:24:16	predesceased him.
[2701] 2:24:18	Um one was still alive when he took the
[2702] 2:24:21	throne but didn't didn't make it.
[2703] 2:24:26	Yeah. Old king young king Tut. Yeah.
[2704] 2:24:28	Exactly.
[2705] 2:24:29	Um
[2706] 2:24:32	yeah, he was a miserable goat.
[2707] 2:24:35	Um
[2708] 2:24:38	so the he was and he really feared I he
[2709] 2:24:42	started a war. I started a war here and
[2710] 2:24:44	he was really uh he was really afraid of
[2711] 2:24:47	the backlash that was going to come of
[2712] 2:24:48	that. So he starts the war with the
[2713] 2:24:50	Hittites
[2714] 2:24:52	and
[2715] 2:24:54	the opening rounds of the of the uh
[2716] 2:24:57	Egyptian Hittite war was not not very
[2717] 2:25:00	successful for the Egyptians.
[2718] 2:25:04	So
[2719] 2:25:06	um
[2720] 2:25:07	so when he orders the death of the
[2721] 2:25:10	firstborn, he's thinning the herd. He's
[2722] 2:25:13	thinning of the herd of potential
[2723] 2:25:15	leadership and men who could fight. So I
[2724] 2:25:18	hear is thinking down the road, you
[2725] 2:25:20	know, he can't kill he can't kill the
[2726] 2:25:22	adults and get away with it. He can't
[2727] 2:25:23	even kill like the the the
[2728] 2:25:26	um say the children that are already
[2729] 2:25:29	older than two or so so that that
[2730] 2:25:31	2-year-old is kind of your cut off
[2731] 2:25:33	limit.
[2732] 2:25:35	So So
[2733] 2:25:38	um
[2734] 2:25:41	so so how how successful was for the
[2735] 2:25:44	four years he reigned? Probably very
[2736] 2:25:45	successful.
[2737] 2:25:47	He probably did a lot of killing of
[2738] 2:25:49	young young men. Now once I died,
[2739] 2:25:54	um that that decree ended.
[2740] 2:25:57	So
[2741] 2:26:01	um was the Passover plague a direct
[2742] 2:26:04	retaliation for this? Uh it was the
[2743] 2:26:07	justice that was sort of leveled
[2744] 2:26:10	essentially.
[2745] 2:26:12	Uh cuz you know
[2746] 2:26:15	yeah it it was it was it was it was
[2747] 2:26:18	justice for
[2748] 2:26:20	uh for
[2749] 2:26:22	and if you if you call justice
[2750] 2:26:24	retaliation that's that's fine. Some
[2751] 2:26:27	legal uh uh moral scholars do and that's
[2752] 2:26:30	again that's okay. Um, but the Passover
[2753] 2:26:33	plague was a retaliation
[2754] 2:26:35	because that's that's that's essentially
[2755] 2:26:37	what the Egyptian modus operendo was to
[2756] 2:26:40	thin the herd of its leadership. Then
[2757] 2:26:43	the herd of its leadership, then the
[2758] 2:26:45	herd of its its fighting men, the people
[2759] 2:26:47	who would basically grow up and become
[2760] 2:26:51	say rulers over the Israelites.
[2761] 2:26:55	So
[2762] 2:26:57	and as such the Passover plague was also
[2763] 2:27:02	say a destruction of the leadership. It
[2764] 2:27:06	was a destructive destruction of all the
[2765] 2:27:10	um the firstborn which we when when we
[2766] 2:27:13	talk about firstborn we mean here
[2767] 2:27:15	designated inheritors.
[2768] 2:27:17	These are the guys who are going to rule
[2769] 2:27:20	everything someday in Egypt.
[2770] 2:27:23	you know, from the first son of
[2771] 2:27:26	uh the king of Egypt and his son because
[2772] 2:27:29	there were two firstborns there that
[2773] 2:27:32	kicked off in that line
[2774] 2:27:35	as well as say every firstborn that
[2775] 2:27:38	would eventually come to inherit their
[2776] 2:27:40	their father's position and this led to
[2777] 2:27:44	widespread instability within Egypt at
[2778] 2:27:46	that time. So, so it was it was the same
[2779] 2:27:51	purpose. It was the direct um
[2780] 2:27:54	consequence of their previous actions
[2781] 2:27:57	and you know that's that's seems to be
[2782] 2:28:00	what is going on here with the Passover.
[2783] 2:28:02	So, I hope that helps. Thank you very
[2784] 2:28:04	much for the super chat. Very much
[2785] 2:28:05	appreciate it.
[2786] 2:28:08	All right, let's move on to um
[2787] 2:28:12	at ministries uh questions again.
[2788] 2:28:16	Okay.
[2789] 2:28:17	Did Abraham know the three were angelic
[2790] 2:28:20	in Genesis 18? Okay, let's look at
[2791] 2:28:23	Genesis 18.
[2792] 2:28:26	Genesis
[2793] 2:28:29	18.
[2794] 2:28:33	Okay, we'll start verse one. Now the
[2795] 2:28:35	Lord appeared to him by the oaks of
[2796] 2:28:37	Mamay while he was sitting at the tent
[2797] 2:28:39	door in the heat of the day. And he
[2798] 2:28:41	lifted his eyes up and looked. Behold,
[2799] 2:28:43	three men were standing opposite him.
[2800] 2:28:46	When he saw them, he ran from the tent
[2801] 2:28:48	door to meet them and bowed bowed
[2802] 2:28:51	himself to the earth. So, did he know
[2803] 2:28:54	the three were angelic? Probably.
[2804] 2:28:57	And said, "My lord, if I have found
[2805] 2:29:00	favor in your sight, please do not pass
[2806] 2:29:02	your servant by." Okay, he's not doing
[2807] 2:29:05	this to just some some dude random dude
[2808] 2:29:07	that's walking by his tent. Okay, this
[2809] 2:29:10	is not some random dude. Okay,
[2810] 2:29:15	this is the these these are three three
[2811] 2:29:17	guys that Abram recognizes aren't like
[2812] 2:29:21	ordinary people. He's bowing towards
[2813] 2:29:24	them.
[2814] 2:29:25	And he's saying, "Yeah, please don't
[2815] 2:29:28	pass your servant by."
[2816] 2:29:31	Verse four, please let a little water be
[2817] 2:29:33	brought and wash your feet and rest
[2818] 2:29:35	yourselves under the tree. And I will
[2819] 2:29:38	bring a piece of bread and you may
[2820] 2:29:39	refresh yourselves. after that you may
[2821] 2:29:41	go on since you have visited your
[2822] 2:29:43	servant. And they said, "So do as you
[2823] 2:29:46	have said."
[2824] 2:29:48	Okay. So yeah, in all likelihoods they
[2825] 2:29:52	recognized that these were not ordinary
[2826] 2:29:54	men. These were men that were somehow
[2827] 2:29:56	touched with the divine whether as
[2828] 2:29:59	angels or as theophanes. So
[2829] 2:30:04	and one of them is recognized as the
[2830] 2:30:06	Lord.
[2831] 2:30:08	in for example in verse 17 here
[2832] 2:30:12	and verse 14 and verse 13. So yeah, it's
[2833] 2:30:16	it's recognized that this this is a
[2834] 2:30:18	theophony probably maybe with angelic
[2835] 2:30:20	retainers. Okay, so I hope that helps.
[2836] 2:30:25	Thank you much. Super chat very much
[2837] 2:30:26	appreciated.
[2838] 2:30:35	Okay, next one here is uh also from AT
[2839] 2:30:38	ministries. Uh thoughts on Ammerfell
[2840] 2:30:41	equating to Amarabi, which Hammurabi was
[2841] 2:30:44	later known as Amarabi. Okay.
[2842] 2:30:48	Um
[2843] 2:30:51	Hammurabi is say the Aadian translation
[2844] 2:30:57	of Amarapi. Okay. that um that guttural
[2845] 2:31:02	to to hate conversion is fairly common.
[2846] 2:31:07	Um as pointed out by Hunagard
[2847] 2:31:11	uh Ammerfell
[2848] 2:31:13	has that guttural at the beginning has
[2849] 2:31:16	the mim has the ra it has the pay and
[2850] 2:31:21	um that is that would usually be enough
[2851] 2:31:26	to distinguish that as amorapi. Okay.
[2852] 2:31:30	So,
[2853] 2:31:32	uh, Amarapi
[2854] 2:31:34	is would be perfectly a fine equation
[2855] 2:31:39	there equating. Um,
[2856] 2:31:44	so that's I have no problems with that.
[2857] 2:31:46	I think that's a perfectly reasonable
[2858] 2:31:48	ending. We don't we're not exactly clear
[2859] 2:31:50	on who what the ending was because
[2860] 2:31:53	Amarabi could take a a variety of
[2861] 2:31:56	endings. um you know there's some
[2862] 2:31:59	possibility that there's just um it's
[2863] 2:32:01	just a consonant added at the end
[2864] 2:32:03	because Hebrew um uh reviles uh [snorts]
[2865] 2:32:09	vowel endings on names. So So absolutely
[2866] 2:32:14	um there's no problem with this as far
[2867] 2:32:16	as I can see. Okay, thank you for the
[2868] 2:32:18	super chat. Very much appreciated.
[2869] 2:32:24	Next one uh from AT ministries asks so
[2870] 2:32:28	when we say ark of the covenant it
[2871] 2:32:31	really means arc of the conspiracy. No
[2872] 2:32:35	actually means ark of the treaty. Okay.
[2873] 2:32:39	By then when the covenant have been
[2874] 2:32:41	made. Okay. There's there's
[2875] 2:32:44	two um when we talk about the ark
[2876] 2:32:49	it goes under goes a name change.
[2877] 2:32:51	There's an arc of the testimony
[2878] 2:32:54	and that's later renamed to ark of the
[2879] 2:32:57	covenant.
[2880] 2:32:59	Um, let's see if I can pull it up here.
[2881] 2:33:02	An example of this.
[2882] 2:33:14	Here's an example in Exodus 25:16.
[2883] 2:33:17	And you shall pull into the ark the
[2884] 2:33:19	testimony.
[2885] 2:33:21	And down here here at verse 22, uh two
[2886] 2:33:24	cherapmen which are upon the ark of the
[2887] 2:33:27	testimony. Okay, now that word
[2888] 2:33:30	testimony,
[2889] 2:33:32	this word right here is a doot. Okay,
[2890] 2:33:35	that's the word for conspiracy. And a
[2891] 2:33:38	duth is a conspiracy.
[2892] 2:33:41	A covenant is a contract,
[2893] 2:33:45	okay? or treaty.
[2894] 2:33:48	So when we say ark of the covenant, we
[2895] 2:33:52	say we mean ark of the of the treaty or
[2896] 2:33:56	arc of the contract.
[2897] 2:33:59	But when we say arc of the testimony,
[2898] 2:34:02	then we mean arc of the conspiracy or
[2899] 2:34:04	arc of the negotiation as it were. Okay?
[2900] 2:34:08	So that's what we mean in those two
[2901] 2:34:10	cases. Okay? So I hope that helps. Thank
[2902] 2:34:13	you very much for the super chat. very
[2903] 2:34:14	much appreciated.
[2904] 2:34:19	Okay, next one here
[2905] 2:34:22	is from BC uh for YT for $5 Australian.
[2906] 2:34:26	Thank you very much, super chat.
[2907] 2:34:28	How many kids did Egyptians have on
[2908] 2:34:31	average? Statistically, would most of
[2909] 2:34:33	the casualties of the Passover plague
[2910] 2:34:35	have been adult men? Yes, most of them
[2911] 2:34:39	would have been. Now, how many kids
[2912] 2:34:41	Egyptians had on average
[2913] 2:34:44	uh depended it depended a lot upon
[2914] 2:34:49	um if you're talking about those that
[2915] 2:34:51	lived in cities versus those who lived
[2916] 2:34:53	in say in farmingsteads etc.
[2917] 2:34:57	But you you could typically think it
[2918] 2:34:59	wouldn't be uncommon for a Egyptian
[2919] 2:35:03	family to produce
[2920] 2:35:06	six offspring and have half of those die
[2921] 2:35:10	in childhood. That wouldn't be uncommon.
[2922] 2:35:14	So,
[2923] 2:35:20	so statistically they'd probably produce
[2924] 2:35:22	three three or four children.
[2925] 2:35:24	Okay. So,
[2926] 2:35:27	so then statistically he goes on,
[2927] 2:35:28	wouldn't most of the casualties of the
[2928] 2:35:30	Passover plague have been adult men?
[2929] 2:35:32	Yes. Absolutely. Yeah. By and large,
[2930] 2:35:35	most of the the casualties of the
[2931] 2:35:37	Passover plague would have been adult
[2932] 2:35:38	men cuz they're the they're the
[2933] 2:35:41	designated inheritors for the most part.
[2934] 2:35:43	A few would have been children, but they
[2935] 2:35:46	are in would have been in the minority,
[2936] 2:35:49	but most of them by and far most of them
[2937] 2:35:52	would have been adult males. Okay, so
[2938] 2:35:56	hope that helped. Thank you for the
[2939] 2:35:57	super chat. Very much appreciated.
[2940] 2:36:03	Uh BC for uh YT for 5 Australian. Thank
[2941] 2:36:07	you for the super chat. Spicy question
[2942] 2:36:10	time. Ooh, I don't know about spicy
[2943] 2:36:12	questions.
[2944] 2:36:14	If there was no death before the fall,
[2945] 2:36:16	what was the point of the tree of life?
[2946] 2:36:19	Great question.
[2947] 2:36:22	Here's the thing. I think there was
[2948] 2:36:24	death before the fall.
[2949] 2:36:26	Uh, it wouldn't make any sense to tell
[2950] 2:36:30	tell Adam and Eve if they ate of the
[2951] 2:36:33	tree of the knowledge of good and evil
[2952] 2:36:36	that they would die if they didn't know
[2953] 2:36:37	what death was.
[2954] 2:36:39	Okay.
[2955] 2:36:41	So
[2956] 2:36:42	you like me marinated questions.
[2957] 2:36:47	[laughter]
[2958] 2:36:48	Here's here's the what we
[2959] 2:36:51	and frankly if they take a leaf off of a
[2960] 2:36:53	tree it would have died disconnected
[2961] 2:36:56	from the tree. So they would have had
[2962] 2:36:58	known about that kind of death because
[2963] 2:37:01	you can't have an ecosystem without that
[2964] 2:37:03	kind of death.
[2965] 2:37:06	And there is the idea that the angelic
[2966] 2:37:08	fall took place long before
[2967] 2:37:12	at least one rebellion took place long
[2968] 2:37:14	before the fall. And that rebellion
[2969] 2:37:18	basically caused sort of initiated
[2970] 2:37:21	physical death.
[2971] 2:37:23	But what we have during say the fall in
[2972] 2:37:25	the garden is a proliferation of death
[2973] 2:37:28	and various kinds of death.
[2974] 2:37:31	So you had of course the the death of
[2975] 2:37:34	the body but also um a severation
[2976] 2:37:39	severing of be of your relationship,
[2977] 2:37:41	separation as it were between you and
[2978] 2:37:43	God, separation between husband and
[2979] 2:37:45	wife, separation between man and nature,
[2980] 2:37:48	separation of his own identity,
[2981] 2:37:51	separation of of mankind and angelic
[2982] 2:37:55	beings. There was all sorts of death
[2983] 2:37:58	that absolutely proliferated because of
[2984] 2:38:01	that. Okay. So then what was the point
[2985] 2:38:04	of the tree of life is to give you
[2986] 2:38:08	unending
[2987] 2:38:10	physical life. So that the point of the
[2988] 2:38:12	tree of life was to give you say that
[2989] 2:38:16	physical
[2990] 2:38:17	say rejuvenation and eternal say
[2991] 2:38:22	that that eternal existence without
[2992] 2:38:26	physical death. So that's the point of
[2993] 2:38:29	the tree of life.
[2994] 2:38:31	But if you didn't have death before the
[2995] 2:38:33	fall Yeah. Well, what happens there? the
[2996] 2:38:38	the tree of life wouldn't have had a a
[2997] 2:38:41	large point to it as it were.
[2998] 2:38:45	So
[2999] 2:38:48	to high in antioxidants
[3000] 2:38:54	a lemon and her herb question
[3001] 2:38:58	[laughter]
[3002] 2:39:00	[clears throat]
[3003] 2:39:02	promotes stem cell activation.
[3004] 2:39:05	Well, there are some people trying to
[3005] 2:39:06	achieve immortality through that.
[3006] 2:39:09	So,
[3007] 2:39:13	yeah, it's not as funny as it sounds.
[3008] 2:39:18	Yeah. Uh,
[3009] 2:39:22	so, um, yeah, there's going to be some
[3010] 2:39:25	pretty ugly um,
[3011] 2:39:28	uh, longevity experiences experiments
[3012] 2:39:31	that are going to happen in the over the
[3013] 2:39:32	next couple years. So,
[3014] 2:39:38	some more promising than others.
[3015] 2:39:42	Yeah. And God help us if we ever do find
[3016] 2:39:47	whatever it was that made the the tree
[3017] 2:39:49	of life effective. Yeah. We don't we are
[3018] 2:39:52	not going to want to be here for that.
[3019] 2:39:54	That's going to get ugly fast.
[3020] 2:40:01	Oh, yeah. longevity experience. Oh yeah,
[3021] 2:40:03	they're um the transhumanists
[3022] 2:40:06	uh are working on that like you wouldn't
[3023] 2:40:08	believe.
[3024] 2:40:10	>> So heavily funded
[3025] 2:40:11	>> they're working on.
[3026] 2:40:15	>> Yeah, there's a lot of funding going
[3027] 2:40:16	into uh Eternal Life essentially. Um
[3028] 2:40:22	you know
[3029] 2:40:27	Oh, Degra. Yeah, Degrade Gray is a
[3030] 2:40:31	really into that. get his
[3031] 2:40:37	>> Shakra asks, "What if someone someone's
[3032] 2:40:40	body couldn't die? What would happen to
[3033] 2:40:42	the mind?" Uh,
[3034] 2:40:45	the mind boy uh would probably pursue
[3035] 2:40:49	all sorts of evil.
[3036] 2:40:51	I mean, frankly, our evil is limited by
[3037] 2:40:54	our lifespans.
[3038] 2:40:56	It would it would be an accumulation of
[3039] 2:40:59	of of
[3040] 2:41:01	sin debt that could never be paid for.
[3041] 2:41:06	Because here's the thing, the acceptance
[3042] 2:41:08	of eternal physical life
[3043] 2:41:11	is is more than just say
[3044] 2:41:17	refusing to die. It's more than just
[3045] 2:41:19	that.
[3046] 2:41:21	It's basically rejecting
[3047] 2:41:25	Christ's answer to sin
[3048] 2:41:29	because to accept Christ's answers to
[3049] 2:41:32	sin, you've got to go through physical
[3050] 2:41:35	death or be um
[3051] 2:41:40	or Christ's return. Okay?
[3052] 2:41:43	So,
[3053] 2:41:47	so death is the limitation of our evil.
[3054] 2:41:50	That's the hard limiter. No death, no
[3055] 2:41:53	limitation on our evil.
[3056] 2:41:58	>> And when you're
[3057] 2:42:00	>> Yeah. But
[3058] 2:42:01	>> any
[3059] 2:42:07	>> But there's another thing you got to
[3060] 2:42:08	keep in mind too with death. We are half
[3061] 2:42:12	dead beings already.
[3062] 2:42:15	You know, our skin is dead.
[3063] 2:42:19	Our hair is dead. What happens when your
[3064] 2:42:24	skin doesn't die?
[3065] 2:42:28	Yeah, we get Katie's son. Yeah, we know
[3066] 2:42:31	a particular person
[3067] 2:42:34	who
[3068] 2:42:36	his skin doesn't die.
[3069] 2:42:39	You know his epidermis is alive
[3070] 2:42:43	and he under goes extreme pain
[3071] 2:42:48	under goes extreme pain because his skin
[3072] 2:42:51	doesn't slough off.
[3073] 2:42:57	So what would the effect of say of a of
[3074] 2:43:00	a anti-agic
[3075] 2:43:03	do to to somebody you know if if your
[3076] 2:43:07	skin never dies it it's a terribly
[3077] 2:43:11	painful experience
[3078] 2:43:13	you know um you know he has to he has to
[3079] 2:43:17	use an ointment
[3080] 2:43:19	um that has capsain in it and just burns
[3081] 2:43:24	the skin off to get some belief.
[3082] 2:43:31	Yeah. To
[3083] 2:43:33	warrior of the most high.
[3084] 2:43:36	I knew it. It'd be painful to have
[3085] 2:43:37	living skin. Really painful. It's really
[3086] 2:43:40	painful.
[3087] 2:43:41	Yeah. It's it's it's agony. It's agony.
[3088] 2:43:47	Now imagine an entire population
[3089] 2:43:50	undergoing agony like this
[3090] 2:43:54	while still
[3091] 2:43:56	committing every possible sin
[3092] 2:43:58	imaginable.
[3093] 2:44:01	Uh Gust uh Gas Octavius says, "So it'd
[3094] 2:44:04	be like the days of of of Noah, but
[3095] 2:44:07	super worse." Oh, yeah. Oh, yeah.
[3096] 2:44:10	>> Days of Noah, they at least died.
[3097] 2:44:12	>> Yeah. At least in the days of Noah, even
[3098] 2:44:14	though they lived a supposedly a long
[3099] 2:44:16	time, though I think that's more clan
[3100] 2:44:18	deaths, they were limited by natural
[3101] 2:44:22	lifespan. In this case, there'd be no
[3102] 2:44:25	limit to natural lifespan
[3103] 2:44:29	>> and therefore they there is
[3104] 2:44:32	>> Yeah.
[3105] 2:44:33	>> Yeah. It's it it becomes a way of
[3106] 2:44:35	avoiding consequences.
[3107] 2:44:37	no consequences to their actions
[3108] 2:44:41	because they'll never make their maker.
[3109] 2:44:42	At least they think that way. I think
[3110] 2:44:44	this is one of the reasons why for
[3111] 2:44:47	example in the book of revelation
[3112] 2:44:50	uh yeah John Smith points this out. Uh
[3113] 2:44:54	well the book of revelations does say
[3114] 2:44:55	people will wish for death but they
[3115] 2:44:57	won't die. I made this the point of an
[3116] 2:45:00	academic of a paper for a bio ethics
[3117] 2:45:03	class
[3118] 2:45:04	and the do the class was won by a
[3119] 2:45:07	physician and and the physician just
[3120] 2:45:10	sort of mocked at this this idea that
[3121] 2:45:13	people could not die.
[3122] 2:45:17	Uh but it also explains why those who
[3123] 2:45:21	took the mark were killed.
[3124] 2:45:25	The great squish, the wine press of the
[3125] 2:45:28	Lord, the great wedding feast of the
[3126] 2:45:30	lamb
[3127] 2:45:32	is basically taking those who took the
[3128] 2:45:35	mark, gathering them all into the basin
[3129] 2:45:38	at Megiddo and killing them.
[3130] 2:45:43	And why would that be necessary?
[3131] 2:45:46	Because if they have eternal life
[3132] 2:45:50	without redemption,
[3133] 2:45:53	without sanctification,
[3134] 2:45:56	they would just draw upon themselves
[3135] 2:46:00	the worst kind of action as it were.
[3136] 2:46:05	Okay? So
[3137] 2:46:08	it becomes necessary then for the divine
[3138] 2:46:10	to take over and and and actually
[3139] 2:46:15	implement summary judgment to limit the
[3140] 2:46:19	evil
[3141] 2:46:25	uh CPM versus DOS. So my AK would not
[3142] 2:46:28	help me in this scenario. Probably not.
[3143] 2:46:30	what they're like like for example uh
[3144] 2:46:33	they are using they are taking uh
[3145] 2:46:37	genetics from flatworms
[3146] 2:46:40	to
[3147] 2:46:42	to develop some of these serums. Now I
[3148] 2:46:46	don't know if you understand how a
[3149] 2:46:47	flatworm works
[3150] 2:46:50	but a flatworm you can cut it off you
[3151] 2:46:54	can cut the tail off. You can cut the
[3152] 2:46:56	head off
[3153] 2:46:58	and you'll go grow three new flatworms.
[3154] 2:47:03	Okay. So,
[3155] 2:47:06	if you decide to
[3156] 2:47:09	um
[3157] 2:47:11	to try to limit your lifespan by a
[3158] 2:47:16	um selfdeletion,
[3159] 2:47:20	it grows back.
[3160] 2:47:23	It grows back.
[3161] 2:47:26	And you know in the case of a flatworm
[3162] 2:47:29	it grows its whole head back brain and
[3163] 2:47:31	everything.
[3164] 2:47:33	>> So that's also the
[3165] 2:47:38	>> Yeah.
[3166] 2:47:38	>> But they will not allow.
[3167] 2:47:42	>> Yeah. That's the evil here is unless
[3168] 2:47:46	unless you go through like full
[3169] 2:47:48	disintegration.
[3170] 2:47:51	You will live forever.
[3171] 2:47:57	Is it the same flatworm? That's the
[3172] 2:47:59	question, isn't it? Now, that's that's
[3173] 2:48:02	the question. Is it the same flatworm?
[3174] 2:48:04	Would it be the same you if you lost
[3175] 2:48:06	half your brain and it grew back?
[3176] 2:48:09	Is it the same you?
[3177] 2:48:13	Maybe, maybe not.
[3178] 2:48:15	>> Oh, yeah. Uh, Phineas Gage. Yeah. He
[3179] 2:48:17	wasn't the same after his brain injury,
[3180] 2:48:21	you know. So, selfdeleting where you try
[3181] 2:48:25	to destroy the brain would still result
[3182] 2:48:28	in it growing back.
[3183] 2:48:40	Um, how are flatworms handled then? Do
[3184] 2:48:43	we starve, drown, burn, freeze, poison?
[3185] 2:48:45	Oh, um, usually they're they're they're
[3186] 2:48:47	killed off by poison essentially.
[3187] 2:48:50	So, um, they can be frozen, too.
[3188] 2:48:54	Freezing, freezing them not, but um,
[3189] 2:48:57	>> same thing with freezing.
[3190] 2:49:01	>> Yeah, they unfreeze very well. It
[3191] 2:49:03	doesn't
[3192] 2:49:03	>> um
[3193] 2:49:05	they live in water so they need water.
[3194] 2:49:07	They need water and they need food
[3195] 2:49:11	and you know they can be poisoned. They
[3196] 2:49:13	can be dehydrated and dive through
[3197] 2:49:15	dehydration.
[3198] 2:49:17	There's ways that flatworms can be
[3199] 2:49:18	killed. But the question though is if
[3200] 2:49:22	you take that that that sort of gift of
[3201] 2:49:26	say eternal regeneration
[3202] 2:49:29	from a flatworm and you put that into a
[3203] 2:49:31	human being, what would be the
[3204] 2:49:33	consequences? And the the the
[3205] 2:49:35	consequences would be absolutely
[3206] 2:49:38	terrifying.
[3207] 2:49:40	Absolutely terrifying.
[3208] 2:49:49	Oh, Lewis Sandival says, "People in hell
[3209] 2:49:51	have the condemnation bodies for the
[3210] 2:49:52	resurrection, but since they are
[3211] 2:49:54	eternal, why can't they repent?" Because
[3212] 2:49:56	they've already made the decision.
[3213] 2:49:59	Here's the thing. The more they decide
[3214] 2:50:02	the I mean, could they repent?
[3215] 2:50:06	Probably not. They probably wouldn't.
[3216] 2:50:07	It's not a matter that they couldn't.
[3217] 2:50:10	It's that they wouldn't. people who go
[3218] 2:50:13	to to hell aren't there against their
[3219] 2:50:17	will. That's probably the one that's
[3220] 2:50:19	that's one of the huge um misconceptions
[3221] 2:50:22	we have about say um eternal punishment
[3222] 2:50:26	is it's not that it isn't that
[3223] 2:50:30	they don't want to be there. It's that
[3224] 2:50:33	they would rather be there than in
[3225] 2:50:36	heaven.
[3226] 2:50:38	They don't want glory. They don't want
[3227] 2:50:40	holiness.
[3228] 2:50:42	They don't want to be without sin.
[3229] 2:50:45	They just want to continue doing what
[3230] 2:50:48	they doing and they'll pay the they want
[3231] 2:50:49	to pay the price for that.
[3232] 2:50:52	So,
[3233] 2:50:55	so yeah, it's it's it's not that they
[3234] 2:50:58	can't repent, it's that they won't
[3235] 2:51:02	repent.
[3236] 2:51:03	It's a very different category here.
[3237] 2:51:07	They're fully able to. They they could
[3238] 2:51:09	have repented before.
[3239] 2:51:11	They didn't want to repent.
[3240] 2:51:29	So, so yeah, I hope that uh I hope that
[3241] 2:51:32	uh you know, we we've gone down a rabbit
[3242] 2:51:35	trail here, but um that's that's
[3243] 2:51:40	basically what's uh what would why the
[3244] 2:51:44	significance of the trio life here.
[3245] 2:51:47	Okay, let's move on here.
[3246] 2:51:50	Uh DC4YT. I think we already took this
[3247] 2:51:52	one which was what's my cut from the
[3248] 2:51:54	audio book which is better than my
[3249] 2:51:57	physical books. Next one here uh from
[3250] 2:52:00	BC4YT for $5 Australian. Thank you for
[3251] 2:52:03	the super chat.
[3252] 2:52:06	Um
[3253] 2:52:09	BC4YT just commented
[3254] 2:52:12	uh I've encountered some atheists who
[3255] 2:52:14	will never repent. So much hatred for
[3256] 2:52:17	Christ. Yeah. Yeah. That's exactly it.
[3257] 2:52:21	Yeah, they have that kind of hate
[3258] 2:52:23	hatred.
[3259] 2:52:25	Uh Louisis Sandival says, "Thank you for
[3260] 2:52:27	the answer, Dr. Faulk. My pleasure. My
[3261] 2:52:29	absolute pleasure."
[3262] 2:52:31	Uh Slamarin, uh you got an audio book.
[3263] 2:52:35	Yeah. And sold two copies. [laughter]
[3264] 2:52:43	Yep. Um
[3265] 2:52:46	uh it it's it's available on many
[3266] 2:52:49	platforms. I think it's on Spotify. Um
[3267] 2:52:52	you can get it through Amazon or not
[3268] 2:52:54	Amazon, Google. Google sells it. Amazon
[3269] 2:52:57	I think sells it too, although I don't
[3270] 2:52:59	recommend buying that through Amazon.
[3271] 2:53:01	Buy through another provider. It will
[3272] 2:53:03	probably cost less and you'll probably
[3273] 2:53:06	um I'll probably get more from it. But
[3274] 2:53:08	um yeah, it's available, as I said, on
[3275] 2:53:10	Google's uh Spotify.
[3276] 2:53:13	um through their inauudio service. So
[3277] 2:53:15	yeah.
[3278] 2:53:16	>> Yeah.
[3279] 2:53:18	Cia.
[3280] 2:53:23	[laughter]
[3281] 2:53:24	>> Yeah.
[3282] 2:53:25	>> Couldn't afford cream or sugar, but
[3283] 2:53:27	yeah.
[3284] 2:53:29	>> See versus dust. Now you get can get one
[3285] 2:53:32	small black coffee. Yeah. [laughter]
[3286] 2:53:36	>> Yeah. And on a lot of the audio books,
[3287] 2:53:40	that whole subscription thing, you
[3288] 2:53:44	>> Oh, yeah.
[3289] 2:53:48	>> Oh, yeah.
[3290] 2:53:49	>> Yeah. The whole um
[3291] 2:53:53	uh what's it called now? Audacity.
[3292] 2:53:56	uh uh Amazon's audio service is ripping
[3293] 2:54:00	off uh author's hand over fist
[3294] 2:54:03	because of that whole
[3295] 2:54:07	um
[3296] 2:54:09	profit sharing scheme they got going on.
[3297] 2:54:11	You know, people will get pennies
[3298] 2:54:14	for their bucks on on uh Audacity.
[3299] 2:54:18	So, or not, it's not it's ACX. I forget
[3300] 2:54:22	what the um name of the Amazon services,
[3301] 2:54:26	but it's a it's Audible. Sorry, it's
[3302] 2:54:27	Audible. Yeah, Audible is a ripoff.
[3303] 2:54:31	Absolutely a ripoff to to to authors.
[3304] 2:54:37	Um because of the because of the credit
