[0] 0:00	a [Music]
[1257] 2:26:59	change the criteria like for example uh let's say like for
[1258] 2:27:05	example Genesis people will often say well that's not a good scientific account well it was never meant to be a
[1259] 2:27:10	scientific account myth a historical account yeah but it's not a scientific
[1260] 2:27:16	account so you know oral criteria culture there would not change that in
[1261] 2:27:21	any
[1262] 2:27:29	way well Vault says like how the writers believed in the in a flat Earth well
[1263] 2:27:35	people believed all sorts of strange things but that didn't make it into the text the WR the the here's the thing though if
[1264] 2:27:42	there is a if they believed in a flat Earth they didn't affirm it in the text they might have believed
[1265] 2:27:48	it but but you know so what if they're not affirming it in the
[1266] 2:27:55	text the text is not affirming it so that doesn't affect inherency in
[1267] 2:28:01	any way like like somebody saying okay um
[1268] 2:28:08	yeah I believe the moon is made of cheese okay no no no moon has a bunny in
[1269] 2:28:14	it the moon has a bunny making Mochi in it yeah but if I don't write that down
[1270] 2:28:20	I'm not affirming it even if I might believe
[1271] 2:28:31	it John Walker book The Bible describes a flatter but doesn't teach a flat Earth
[1272] 2:28:37	it's not actually using it in that way like even for example the whole idea of
[1273] 2:28:43	the of the of the Earth being suspended on the pillars of of the earth is analogical
[1274] 2:28:48	language and this is one of the things we have to kind of understand about analogical language is it's used like
[1275] 2:28:53	for example uh there's a passage uh in the flood narrative where it says the windows of Heaven opened up and the
[1276] 2:29:00	rains came down nobody believed there was actual
[1277] 2:29:06	windows up in the sky okay nobody actually believed
[1278] 2:29:14	that ever okay
[1279] 2:29:20	nobody believed there was an actual window up
[1280] 2:29:26	there it's analogical language it's taking something in your everyday life
[1281] 2:29:32	and just using that to describe something you don't understand
[1282] 2:29:37	completely so when we talk about say cosmology of the ancient world a lot of that is just analogical
[1283] 2:29:44	language okay you've got a earth sitting on the pillars of of the deep
[1284] 2:29:51	well just like say a temple roof is being supported by the pillars of the temple Earth is being supported by the
[1285] 2:29:57	pillars of the deep it's analogical
[1286] 2:30:06	language now even stuffs like like the so-called circle of the earth well the the problem with that
[1287] 2:30:14	language too is it's ambiguous in in Hebrew the word for Circle can also mean
[1288] 2:30:23	sphere so you know even that's not affirming a flat
[1289] 2:30:29	circle so so yeah I I think I think that there's
[1290] 2:30:36	um I think we have to be very very careful here
[1291] 2:30:42	over what what the Bible affirms and what it's it's analogizing
[1292] 2:30:51	so I would be very very reticent to say that the Bible even describes a flat
[1293] 2:30:57	Earth be very reticent about
[1294] 2:31:02	that so I know the flat earthers love love to to to try to to to say that but
[1295] 2:31:10	no no just yeah this is this this is
[1296] 2:31:15	getting into sort of sterile empty conjectures and crazy talk okay okay so
[1297] 2:31:20	we don't want to go there okay so is any sense of inherency
[1298] 2:31:29	necessary it is if you want to be a good exoit it is if you want to be a good Bible teacher it's not necessary for
[1299] 2:31:36	salvation but it is necessary for for getting the Bible
[1300] 2:31:43	right okay so let's take the next Super Chat
[1301] 2:31:49	here I want to thank Jack Ray for another 10
[1302] 2:31:55	Egypt in the Bible memberships thank you so much for the uh support of the channel we really appreciate
[1303] 2:32:04	it okay Jonathan Walker for $2 thank you for the super chat um why are the verbs in Genesis 2
[1304] 2:32:12	5-6 imperfect and not perfect okay well let's take a look at it and let's find
[1305] 2:32:18	out
[1306] 2:32:26	well there could be many reasons why but we'll see see what what it is five to
[1307] 2:32:43	six let's take a quick look at the text here Hebrew
[1308] 2:33:04	perfect
[1309] 2:33:12	okay perfect
[1310] 2:33:21	okay aspect theory that's probably what's going on here it's the best way to describe this I
[1311] 2:33:30	think now sometimes um the whole thing with with
[1312] 2:33:36	perfect and imperfect verbs can sometimes be
[1313] 2:33:42	obscure have a here is that
[1314] 2:33:55	okay X here I will read it all right uh verses 5-6 says now no shrub of the
[1315] 2:34:03	field was yet in the earth and no plant of the field had yet
[1316] 2:34:08	sprouted for the Lord God had not sent rain upon the Earth and there was no man
[1317] 2:34:14	to cultivate the ground but a Mist use to rise from the Earth and
[1318] 2:34:22	um water the whole surface of the ground
[1319] 2:34:28	okay um now what we're talking about here is something called aspect
[1320] 2:34:33	theory now what this means is that now in English we don't typically use aspect
[1321] 2:34:40	theory aspect theory is something that verbs did in ancient languages not
[1322] 2:34:45	something that you find so much in in modern languages
[1323] 2:34:50	especially not modern Germanic languages uh like English uh but uh it's common in in
[1324] 2:34:59	ancient Greek it's common it's more common in Hebrew uh it's even found
[1325] 2:35:04	somewhat in Egyptian and it's essentially the idea of of verb scope
[1326] 2:35:11	okay so what we're talking about here is finished aspect completed aspect versus
[1327] 2:35:18	incomplete aspect so a imperfect verb is going to have an
[1328] 2:35:25	incomplete aspect so when we talk here about verses
[1329] 2:35:31	5- six you sort of have to read this as now no shrub of the field was yet to be
[1330] 2:35:43	in the earth and no plan of the field had yet to sprout okay so it's more it's
[1331] 2:35:50	more that that that there's is was sprouting okay so no plant has was yet
[1332] 2:35:57	to to be sprouting okay so there's an incomplete action going on
[1333] 2:36:03	here and the Lord God had not yet sent rain it had not yet been
[1334] 2:36:10	raining and there was no man cultivating the ground now this would sound very strange
[1335] 2:36:17	in English so when when they translate this
[1336] 2:36:24	imperfective incomplete aspect this open-ended aspect they tend
[1337] 2:36:30	to do so in past tense in the in English but the verb here is is to
[1338] 2:36:39	trying to convey that it's something to come
[1339] 2:36:46	so because it's not a completed action yet so basically what what versus five
[1340] 2:36:52	and six is doing is it's sort of taking a step back from the present day and
[1341] 2:36:59	going a bit before where the narrative is picking up
[1342] 2:37:04	and saying well this is before all of that happened so in a sense five and six
[1343] 2:37:09	is giving you prologue here but it's giving you prologue through that
[1344] 2:37:14	incomplete verbal aspect Okay so I hope
[1345] 2:37:20	that helps thank you very much for the Super Chat very much appreciate it's a great question but that's what's going
[1346] 2:37:25	on here is you've got an incomplete verbal aspect here with the imperfect
[1347] 2:37:30	verb so it's giving you the sense of not yet which in in English we put in the
[1348] 2:37:38	past tense even though it's technically the future okay so it's it's a very it's
[1349] 2:37:45	a very sort of strange uh way of translating this when you think about the Hebrew but it sort of makes sense
[1350] 2:37:52	when you kind of put together that whole verbal aspect theory
[1351] 2:38:01	okay
[1352] 2:38:09	okay next Super Chat here is from
[1353] 2:38:14	uh I don't know how to even pronounce this upsies I guess for 699 Canadian
[1354] 2:38:21	thank you for the Super Chat uh he says struggling with all the
[1355] 2:38:26	Christian theological contradictions that's the main issue for me and it's
[1356] 2:38:31	actually making me learn theism well theim is not going to help
[1357] 2:38:37	you here um we would have to be very more spec we
[1358] 2:38:44	can probably help you to some extent with those contradictions CU a lot of them aren't
[1359] 2:38:50	uh here's here's what I think um a lot of when I hear people talk about Christian theological contradictions or
[1360] 2:38:57	sometimes they'll they'll Broach this as historical contradictions or something like that is that they're not
[1361] 2:39:03	contradictions they're inconsistencies and they're perceived
[1362] 2:39:09	inconsistencies often times I mean this is not something that's new to Christianity people have been talking
[1363] 2:39:15	about this stuff for 2,000 years and most of this stuff has answers and it's
[1364] 2:39:21	had answers for a long time
[1365] 2:39:26	so when we talk about contradictions and perceive
[1366] 2:39:32	contradictions there's usually an answer and that's something that I found over the years is that I've never seen a
[1367] 2:39:38	contradiction that could not be resolved and once you have a potential resolution it's no longer a
[1368] 2:39:45	contradiction it's an inconsistency an inconsistency have resolutions and
[1369] 2:39:52	that's that sort of amends most of it a lot
[1370] 2:39:57	of they didn't understand
[1371] 2:40:04	BC but but but did Judas buy the field or
[1372] 2:40:10	not was there 4,000 or 5,000 people at the
[1373] 2:40:15	um Sermon on the Mount
[1374] 2:40:21	well if you have 5,000 you also have 4,000
[1375] 2:40:27	yeah yeah oh well I mean I I saw when I when I saw sort of the uh The Atheist go
[1376] 2:40:35	after Wes Huff for saying that was 400 Witnesses of Christ ascending to the heaven when the text says 500 like
[1377] 2:40:43	well technically there is 400 there if you've got 500 you have 400 I
[1378] 2:40:53	like he was completely correct he just didn't get the fullness of the
[1379] 2:40:59	tech was incom he was incompletely correct you could say yeah yeah but yeah
[1380] 2:41:07	he wasn't wrong he wasn't wrong there were 400 there just a 100 more than 400
[1381] 2:41:13	but if you've got 500 you also have 400
[1382] 2:41:20	remember Jonathan Walker he unell the account yeah
[1383] 2:41:28	exactly yeah
[1384] 2:41:36	just yeah well in the case of say Judas did he buy a field or not yeah he bought
[1385] 2:41:41	a field the other gospels won't mention it but just because he they're not it's it
[1386] 2:41:48	doesn't mention it doesn't mean mean he didn't do it it's not like we say it's not like we have in the gospels jws
[1387] 2:41:54	bought a field and then another gospel saying Judas did not buy a field that would be a contradiction what we have is
[1388] 2:42:00	one gospel saying Jews bought a field and the other gospel making no mention of it at
[1389] 2:42:06	all so that becomes an absence of evidence argument so it's just like
[1390] 2:42:15	yeah Jack Ray Wes was just being conservative in his accounting yeah I
[1391] 2:42:22	suppose you know if you got $200 you also have $100 funny that funny how that
[1392] 2:42:36	works dark blade remember silence is not denial
[1393] 2:42:41	exactly yeah silence is not the denial
[1394] 2:42:56	so
[1395] 2:43:03	yeah uh Jonathan warker says I heard the Pharisees bought the field when he died with the money so he gave back so the
[1396] 2:43:09	documents say the Judas did it when it was the Pharisees well in a sense it's
[1397] 2:43:15	still Judas who bought it because he threw the money back at them and they
[1398] 2:43:20	couldn't do anything with it the only thing they could do with it is buy land so by throwing it back at him he did buy
[1399] 2:43:27	it so yeah BC says exactly H yeah but they
[1400] 2:43:36	didn't receive the money so it was still his money and therefore his field exactly it yeah the other gospel the
[1401] 2:43:44	other the gospel is just abbreviating that account what it's doing
[1402] 2:43:49	yeah they couldn't receive the money it was blood money so they could
[1403] 2:43:56	yeah what you're supposed to focus on yeah not did he buy the field or
[1404] 2:44:04	notes are okay with blood but
[1405] 2:44:09	yeah the point that's the point of the narrative exactly the hypocrisy of the Pharisees here who will pay the blood
[1406] 2:44:16	money but won't take it and then use that money to uh uh to buy the field on
[1407] 2:44:23	behalf of of of Judas yeah because they can't accept
[1408] 2:44:28	it because it's blood money that they paid yeah there the
[1409] 2:44:42	problemm Jonathan Walker adds Pharisees signed his name even though he was probably already dead yeah probably yeah
[1410] 2:44:56	so funny how that works all right let's go on next Super
[1411] 2:45:02	Chat here which
[1412] 2:45:17	is from Jonathan Walker here for $10 thank you for the super chat if Jesus can empty himself to touch
[1413] 2:45:24	people and be around others but still Divine without killing them purging their sin why is Mary considered sinless
[1414] 2:45:32	by using God can't be in the presence of
[1415] 2:45:38	sin um Jesus can't end
[1416] 2:45:51	oh yeah no um here's the thing Jesus in emptying
[1417] 2:45:59	himself of his Divine attributes can forgo the um Divine
[1418] 2:46:08	wrath part of his judgment because one of the portions of emptying yourself is
[1419] 2:46:13	not just emptying yourself of let's say all knowledge all power say the big
[1420] 2:46:18	Divine attributes but it's also a function you know Jesus is by nature a
[1421] 2:46:24	king but he emptied himself of his Royal prerogative he also emptied himself of
[1422] 2:46:31	being judge okay um so you can't use the the God
[1423] 2:46:41	can't be in the presence of sin in the case of Jesus here because he's emptied himself of that
[1424] 2:46:47	prerogative so God Christ will not execute Divine judgment
[1425] 2:46:53	to his own mother who might have sinned just like he wouldn't execute Divine
[1426] 2:47:00	judgment upon every sinner he meets on the street and touches
[1427] 2:47:06	him because if that were the case you know any any the woman with the issue of
[1428] 2:47:13	bleeding who touches His Garment would get fried you know it's just you let's
[1429] 2:47:19	execute a little let's let's execute a little Common
[1430] 2:47:24	Sense here people you know there's a reason why kosis exists
[1431] 2:47:32	theologically do that every human being in Israel at the time would be dead oh
[1432] 2:47:39	yeah would have given a sermon on the M yeah you know there's
[1433] 2:47:51	people take this craziness way too
[1434] 2:47:56	far how could in the temple all I think this is a really poor
[1435] 2:48:03	argument for um sinlessness of Mary I think it's a really poor argument for
[1436] 2:48:09	this um because it doesn't take into full account the whole notion of
[1437] 2:48:16	kenosis Jonathan Walker we wouldn't even have the Holy Spirit as Christians yeah no if that that was the case it would
[1438] 2:48:23	just we oh yeah we're we're we're horrible Sinners yeah it's just no I'd say we're
[1439] 2:48:31	very good at sin we're very good at sinning horrible we're
[1440] 2:48:38	pretty we're we're but what I was saying is we're wretched Sinners that's a better yeah so yeah I I
[1441] 2:48:46	don't buy this argument I I don't think this is a good argument for the sinless nature of Mary um and I don't think you
[1442] 2:48:53	can even make that that claim um theologically either I think it's it's
[1443] 2:48:58	it's very Troublesome in a lot of ways yeah it's reading into the text
[1444] 2:49:05	it's it's pure ISO Jesus all right so I hope that helped thank you very much for the Super Chat very much appreciate
[1445] 2:49:15	it cable apologetics hey Rob how's it going for $10 Australian thank you very
[1446] 2:49:20	much for the Super Chat blessings Heiser says the Egyptian context for Isaiah is well known has a k
[1447] 2:49:27	seals use the Winged keer Beetle it's actually technically a wet not a keer as
[1448] 2:49:34	Royal iconography the names in Isaiah 96 are fonic fivefold titular um I'm not
[1449] 2:49:41	sure about that let's take a look at that 96 is
[1450] 2:49:56	the 96 and his name will be called wonderful
[1451] 2:50:02	counselor Mighty God Eternal Father Prince of
[1452] 2:50:08	Peace on count four did I miss one
[1453] 2:50:16	here I count four I don't count five um so I'm not sure how where he
[1454] 2:50:22	gets the fivefold uh titular uh titulary um child will be born to us a son will
[1455] 2:50:30	be given us and the government will rest on his shoulders and his name will be called wonderful
[1456] 2:50:35	counselor or maybe he's he maybe he's counting that as two wonderful counselor no wonderful counselor Mighty God
[1457] 2:50:42	Eternal Father Prince of Peace yeah I don't count five there I count
[1458] 2:50:47	four I count four my producer counts 42 um I think that's probably a stretch
[1459] 2:50:54	that this relates to the fivefold tiary
[1460] 2:50:59	um I'm not sure how that would be related but um the Hezekiah C uses a wet
[1461] 2:51:06	disc not actually a keer beetle but there's a
[1462] 2:51:12	difference the wet disc has is a solar disc with wings the keer beetle actually
[1463] 2:51:18	has a Scarab like on our logo okay it says a
[1464] 2:51:23	Scarab with wings okay so that's the keer beetle so there is a difference there
[1465] 2:51:29	and I so I don't think Heiser gets that right then again I wouldn't expect him to either so I hope that helps thank you
[1466] 2:51:36	for the Super Chat very much
[1467] 2:51:46	appreciated uh dark blade also if it was a five name titular where are the prefixes where's the nuui and the sare
[1468] 2:51:54	yeah yeah that's yeah there's um there's a bunch of the prefixes
[1469] 2:51:59	involved with those titular nesid which is king of upper low or
[1470] 2:52:05	Egypt um which is the um which is the promen you saw s which is the the nen
[1471] 2:52:13	you got the golden Horus name you've got the two ladies name the um the nepti name um and you also got the Horus name
[1472] 2:52:20	so there there's five prefixes that are involved there
[1473] 2:52:26	so so I think I think that that that's that's a problem with that theory
[1474] 2:52:36	too oh by the way dark blade um uh two is a common transliteration of the AIC I
[1475] 2:52:43	yeah for if you want to do ray um this is this one is kind of you're better off
[1476] 2:52:48	using say um um a um apostrophe for
[1477] 2:52:54	Egyptian okay um unfortunately the the Egyptian ion is is uh is not something
[1478] 2:53:01	that's common in our English character set use the three for the ALF and use
[1479] 2:53:06	the um use the um uh a single quote for the iron it
[1480] 2:53:12	it's it's more common it's more common even though that transliteration
[1481] 2:53:19	system is based roughly on um Arabic it doesn't quite use exactly the
[1482] 2:53:26	same characters as
[1483] 2:53:31	Arabic okay next one
[1484] 2:53:40	here is from Sentinel apologetics here for $10 Australian thank you for the Super
[1485] 2:53:46	Chat he cites a 20 10 paper by Mary burn the influence of Egyptian Throne names
[1486] 2:53:53	on Isaiah 95 concluding yahweh's defeat of the new King's enemies in conjunction
[1487] 2:54:00	with the establishment of his there's probably more here kingship is a motif in Jerusalem
[1488] 2:54:07	Royal ideology as in Egyptian Politics the concluding statement is
[1489] 2:54:13	Yahweh guaranteeing support to the new realer just as the Egyptian AR and had
[1490] 2:54:20	Divine protection and he says Mary burn says in
[1491] 2:54:28	terms of the rather obvious question are there not only four names in the text the fifth name had been lost whether
[1492] 2:54:35	this was a deliberate Omission or scribal error yeah but that's that's sort of that's sort of empty
[1493] 2:54:42	conjecture how do you know it's lost I I I think that's I think that's
[1494] 2:54:48	kind of troublesome it's like okay and look I'm I'm all for I am all
[1495] 2:54:55	for finding looking at parallels because that does add to our knowledge of the
[1496] 2:55:00	context I think that's I think when that's uh obvious
[1497] 2:55:07	and intuitive yeah sure go with it and I'm not against I'm not against
[1498] 2:55:12	the theory in general I just think yeah too many Marys says is right
[1499] 2:55:21	it doesn't fit my theory so it's lost laugh out loud yeah that's that seems to be the view here but that seems to be
[1500] 2:55:27	the view of a lot of biblical Scholars a lot of biblical Scholars do this it doesn't fit my theory so it's lost or
[1501] 2:55:35	redacted yeah and I and I think that's really it's really terrible exog Jesus
[1502] 2:55:42	really terrible EX aesus [Laughter]
[1503] 2:55:49	so I mean I mean yeah if if it would work out I'd be all for this I don't think this I
[1504] 2:55:55	don't see it I OB I don't see it and I think I think the whole idea that it's
[1505] 2:56:02	lost is special pleading it's ad hoc it's ad hoc special
[1506] 2:56:08	pleading so uh i' I've got my doubts about that uh Jonathan Walker says could be
[1507] 2:56:17	lost but was it ever there to begin with yeah and I think that's the critical question
[1508] 2:56:23	if it never was there to begin with is it lost or is the theory just
[1509] 2:56:31	wrong so that's the problem I have with with
[1510] 2:56:37	stuff like this as I said I'm all for seeing I mean I'm very much believe that
[1511] 2:56:45	there's a lot of Egyptian influence in these texts there clearly is but let's not see it where it's not
[1512] 2:56:55	there and I think that's an issue senel says here David I like John
[1513] 2:57:01	oswalt's view that the titles are polemics against ball L
[1514] 2:57:07	Etc yeah that's that I can see yeah I I don't have any problem with that per se
[1515] 2:57:19	Jonathan walker uh the Bible is only is the only text that isn't allowed its due
[1516] 2:57:24	it seems to be that's the case um and
[1517] 2:57:29	frankly it doesn't seem to be allowed its view more because of the resonation
[1518] 2:57:35	it's had with our culture and the history it's had within our culture if
[1519] 2:57:40	this had been just some ancient text that was just dug up one day you know if you could if if we never had the Bible
[1520] 2:57:48	Western Christianity let's say Western Christianity got wiped out by the Mongols the Mongols came
[1521] 2:57:54	in managed to sweep past Vienna and
[1522] 2:58:00	Moscow invaded all of Western Europe killed all the uh all professing
[1523] 2:58:06	Christians and replac it with um say the
[1524] 2:58:11	da or iching or some other Eastern philosophy so that Western Christianity
[1525] 2:58:17	would be snuffed out let's say that was the case and some archaeologist pulled up the uh a book of
[1526] 2:58:26	the Bible let's say they went to St Catherine's and found CODIS sinicus
[1527] 2:58:33	there nobody would be doubting it today in the same
[1528] 2:58:38	capacity that modern scholarship does it would just be it would be seen
[1529] 2:58:45	as a miraculous text on on its own not not miraculous in the sense
[1530] 2:58:53	that that uh it would be God doing Miracles but miraculous in how accurate
[1531] 2:59:00	it was to the description of the ancient world that's how Scholars would treat it
[1532] 2:59:07	today if Christianity had not been the
[1533] 2:59:12	dominant religion in Western Europe for to Millennia
[1534] 2:59:21	that's why the text isn't allowed its due it's not the content of the of the
[1535] 2:59:28	text it's not the content of the de text as much as its place in our culture
[1536] 2:59:34	that's caused this so it's really disingenuously
[1537] 2:59:41	attacking the text in a way we wouldn't ever ever
[1538] 2:59:49	ever happen to say with other texts we don't treat other texts like
[1539] 2:59:54	this yeah we doubt the theological claims of other texts that's fine you
[1540] 3:00:00	know people doubt the can doubt the theological claims without attacking the
[1541] 3:00:05	historical claims so you know we do give the
[1542] 3:00:11	benefit more benefits of the doubt to other texts that have not had the same
[1543] 3:00:16	religious history that the Bible has had and it's it's a kind of double
[1544] 3:00:22	standard it really is a kind of double standard
[1545] 3:00:27	so uh so anyway Sentinel um I hope that
[1546] 3:00:33	that helps um yeah I do I do take the position here that you know yeah when we
[1547] 3:00:40	can find an Egyptian parallel like fantastic that'll add to our understanding but I don't think in this
[1548] 3:00:46	particular case she's found one I don't think in this particular case Isaiah 96 shows us a parallel
[1549] 3:00:54	with um ancient Egypt now I think one of the things you could do
[1550] 3:01:00	is take some of those titles and extrapolate an Egyptian parallel that's
[1551] 3:01:08	possible I mean the Mighty God yeah you can extrapolate a parallel from that all
[1552] 3:01:15	over the ancient near East you know there's you know you have in ancient
[1553] 3:01:20	Egypt you got the strong God the Mighty God the good
[1554] 3:01:26	God you know you got the nephure you got the um um the um the god of the user God the
[1555] 3:01:37	the the natur user the strong and mighty God yeah exactly dark blade
[1556] 3:01:42	yeah um so you know there are there are examples of this where you could draw a
[1557] 3:01:50	parallel to Mighty God to an Egyptian tile but I don't think you can do that
[1558] 3:01:57	of say uh that this is a t all of this is an Egyptian tiary I think that's I
[1559] 3:02:03	think that's that's sort of um going a step too
[1560] 3:02:14	far um too many Marys here said
[1561] 3:02:19	say Isaiah is too late to be really interfacing with Egyptian culture though 800 BC is more likely the latest
[1562] 3:02:26	actually we find um the kings of Egypt interfacing with Egypt all the way up to
[1563] 3:02:34	the fall of Babylon or sorry the um the fall of Jerusalem to Babylon okay even up up
[1564] 3:02:42	until that point there's still there's still there's still a relationship
[1565] 3:02:48	with Egyptian culture and um and
[1566] 3:02:54	[Music] um and the Israelite Kings going up at
[1567] 3:03:00	least till hafra um in in the Egyptian this is opies or
[1568] 3:03:06	oper okay um too many Mary says yeah but they're
[1569] 3:03:13	still campaigning they are still campaigning but they don't have an in uh it's a different relationship when you
[1570] 3:03:19	get to say the um divided monarchy um it's not a campaign
[1571] 3:03:25	relationship after you do get a couple campaigns by uh shosen but uh towards
[1572] 3:03:31	the end of The Divided monarchy what you get instead is trade
[1573] 3:03:36	relation there's actually trade relations between the later divided
[1574] 3:03:43	monarchy and Egypt this is how we get the Hezekiah seal the Hezekiah seal is
[1575] 3:03:49	not a native production it's an import a lot of those those seals that
[1576] 3:03:55	we find in the divided monarchy period like the so-called even Jezebel seal
[1577] 3:04:02	it's it's an import it's an import from Egypt so there's actually a lot of trade
[1578] 3:04:08	relations that are happening between Egypt and say the divided monarchy and
[1579] 3:04:15	this is one of the problems with the divid monarchy is it's going
[1580] 3:04:20	to um it's still doing trade relations and Israel is going to try to fall back
[1581] 3:04:27	on that so yeah dark blade said Neco outright
[1582] 3:04:35	this is Neco II outright installed his own Pua King in Judah yeah because
[1583] 3:04:40	Josiah attacked Neco Josiah attacked Neco Neco went up to help their buddies
[1584] 3:04:47	the ass Ians lost that war and then try to come back and recover some of its
[1585] 3:04:53	lost assets by blaming blaming Judah for it and then they throw out the successor
[1586] 3:05:01	to Josiah and put it in his own puppet uh
[1587] 3:05:08	King too many marries they're also trying to get the divided kingdoms to be clients but I don't see the cultural
[1588] 3:05:13	domination in the same way as previously it's it's a different kind of of of relationship um it's definitely a
[1589] 3:05:21	different kind of relationship than you had say during the Imperial periods but then
[1590] 3:05:28	again too Israel was really never um affected by the uh culturally by the
[1591] 3:05:34	Imperial periods like for example in the case of um in the case of say the New Kingdom
[1592] 3:05:43	Period that's pre- Israelite they they would have that had
[1593] 3:05:49	more to do with um the amorites the
[1594] 3:05:54	Philistines and what remained of the Canaanites then it did have to do with
[1595] 3:05:59	the the Israelites the Israelites did not have the same sort of um cultural
[1596] 3:06:06	domination over them by the Egyptians even say during the the uh um campaigns
[1597] 3:06:12	by shank uh that was just more or less a money grab Shank didn't wasn't
[1598] 3:06:19	campaigning for cultural dominance he was trying to shore up his economy Neco was just trying to recover
[1599] 3:06:26	his losses from um the battle uh with uh
[1600] 3:06:33	uh with the Babylonians so so a lot of this is going to end up
[1601] 3:06:40	being um much more the the the relationship here is going to be much more of trade than it is anything
[1602] 3:06:51	else and too many Mary ads um the fact that Solomon God Egyptian princess would
[1603] 3:06:57	support the upper level uh cross-pollination I think yeah it does um and frankly c 2 was um trying to
[1604] 3:07:06	shore up his support um the fact is that Egyptians
[1605] 3:07:13	normally didn't give their uh Egyptian kings didn't give their daughters treaty wives normally this was very unusual but
[1606] 3:07:21	the fact is too that um CA was at the end of Dynasty 22 and his dynasty was
[1607] 3:07:28	failing it was in his last G Dynasty 22 was in his last gas it was in a lot of
[1608] 3:07:34	trouble it was losing big time to the libyans so um caman could not afford to
[1609] 3:07:43	have a two-front war couldn't have um afford to have a two-front war so stean
[1610] 3:07:54	basically cut a treaty with Solomon so that Solomon would um guard the Eastern
[1611] 3:08:02	Frontier so Solomon had a treaty with with with camon so that Solomon would
[1612] 3:08:08	guard the Eastern Frontier to prevent any possible possibility of an invasion from the East that way caman could focus
[1613] 3:08:16	on the libyans in the West so it was it was a totally political
[1614] 3:08:22	move to keep sh up a failing
[1615] 3:08:44	Dynasty then she adds the Egyptian pharaoh totally refused the treaty wife to the Hittites oh
[1616] 3:08:51	absolutely yeah that's a hysterical letter yeah it is oh yeah they they um they also um
[1617] 3:08:58	they also refused it to the I think the Assyrians as well so yeah they yeah they
[1618] 3:09:04	were they they didn't give out those wives uh those um those treaty wives it
[1619] 3:09:10	was a one-way situation it was a oneway street with them
[1620] 3:09:18	okay so with that said let's move on here uh but it's a great it's a um it's
[1621] 3:09:25	a great question and uh but yeah the the the relationship with Egypt tends to be
[1622] 3:09:31	much more trade related in the divided monarchy not so much it's not so much Imperial do domination it's more say
[1623] 3:09:39	trade relations because egyp still wanted the wine and the olive oil from
[1624] 3:09:45	the Levant you because uh Egypt made really
[1625] 3:09:50	terrible wine to put it likely um the land's too
[1626] 3:09:57	fertile the land was too fertile in Egypt to produce good wine they didn't understand that to produce good wine you
[1627] 3:10:04	needed depleted soil yeah if California makes great wine
[1628] 3:10:09	depleted soil our um Australia does great wine depleted soil Israel did
[1629] 3:10:17	great wine depleted soil so Egypt wanted that wine and they
[1630] 3:10:24	wanted the um they wanted the olive oil so they would trade goods for those
[1631] 3:10:29	those Commodities okay next one here's from
[1632] 3:10:36	Jonathan Walker for $2 thank you for the Super Chat any sources of Egyptian and
[1633] 3:10:43	or ancient near Eastern reliefs um there's a lot of lot of sources out there
[1634] 3:10:50	um you can for example you can look this up uh the University of
[1635] 3:10:56	Chicago I forget what they call they used to call it the Oriental Institute
[1636] 3:11:02	um they publish a lot of reliefs um Chicago House publishes a lot
[1637] 3:11:09	of reliefs from vast variety of temples and a lot of their Publications
[1638] 3:11:15	are for are free on their uh website um and I forget what they they they renamed
[1639] 3:11:23	it they renamed it something obscure and stupid um and they did that because or
[1640] 3:11:32	the term Oriental has taken on a unsavory connotation in modern woke
[1641] 3:11:39	America
[1642] 3:11:45	um yeah they now call themselves The Institute for the study of ancient
[1643] 3:11:51	cultures stupid name it's a stupid name except it's not that because there's a
[1644] 3:11:58	lot of anent that weren't in that yeah of geography it's it's it's no more PR
[1645] 3:12:03	it's it's less precise than Oriental was but they did it for PC term for for
[1646] 3:12:09	being politically correct that's the reason why they renamed it however the institute for the study of ancient cultures does provide a lot of of um
[1647] 3:12:17	free Publications that that publish the reliefs from temples like carac Temple Medina
[1648] 3:12:23	Habu um luxer Temple so it's going to be your your major source here for a lot of
[1649] 3:12:30	ancient Eastern reliefs particularly those in ancient Egypt okay so hope that helps thank you
[1650] 3:12:39	for the Super Chat very much appreciated
[1651] 3:12:47	senal apologetics for $5 Australian thank you for the Super Chat Rob there were only ever two Christian
[1652] 3:12:55	Medias that I die on a hill with okay H bener that was good
[1653] 3:13:03	y uh and the 1969 Jesus film Jesus portrayed by Brian Deacon and I never
[1654] 3:13:09	saw that one um didn't see the ladder I used to
[1655] 3:13:15	like the Gospel of John
[1656] 3:13:20	I think so I don't
[1657] 3:13:28	know oh that that's the 1969 one yeah yeah I never saw that
[1658] 3:13:35	one did I see it don't remember
[1659] 3:13:43	it yeah that's yeah yeah but benur was good too I will
[1660] 3:13:51	admit but benhur is actually an interesting uh case study in this it's
[1661] 3:13:57	it's told to the eyes of benur for those of you who haven't seen it um a a slave
[1662] 3:14:03	who becomes a Roman citizen so
[1663] 3:14:09	um it's it's a very it's sort of a third person look at the Christ narrative
[1664] 3:14:16	through the eyes of a Jewish slave that became a Roman citizen um and it's well written I mean
[1665] 3:14:25	the the book is Well written get who wrote the book but um it's a big I remember it's a big thick book
[1666] 3:14:31	too but um but yeah it's uh it's it's I would
[1667] 3:14:38	put that in the category of of art that is Christian more than Christian art but
[1668] 3:14:45	uh but that's also a historical retelling from a third person perspective
[1669] 3:14:51	too so but most Christian Media is kind of crap sorry but it is
