[0] 0:17	Hey
[1403] 1:16:36	I don't think so, but uh it's possible.
[1404] 1:16:42	It's possible, but I don't really think
[1405] 1:16:44	that the two are related.
[1406] 1:16:53	more.
[1407] 1:16:56	Oh, wait. That makes Terry, doesn't it?
[1408] 1:16:59	Arrogant and stupid. Yeah.
[1409] 1:17:02	Brian Young plus Peter Chim would get
[1410] 1:17:04	you a Terry.
[1411] 1:17:09	Arrogant and stupid.
[1412] 1:17:15	And yes, those are based upon real
[1413] 1:17:17	people.
[1414] 1:17:33	Raging Smurf asks a interesting question
[1415] 1:17:35	here. If you were to wake up as one of
[1416] 1:17:37	your characters, which would be the most
[1417] 1:17:39	fun and which would be the most hellish?
[1418] 1:17:51	Which one would be the most fun and
[1419] 1:17:52	which would be the most hellish?
[1420] 1:17:56	That's a really interesting question.
[1421] 1:17:59	Uh, sloppy would be fun. I mean,
[1422] 1:18:01	admittedly, sloppy is Sloppy's a riot.
[1423] 1:18:06	Uh, Sloppy would definitely be a riot.
[1424] 1:18:09	Um,
[1425] 1:18:12	the most interesting character to wake
[1426] 1:18:14	up as would probably be Alicia.
[1427] 1:18:18	She has the most interesting arc.
[1428] 1:18:24	>> Not fun, but interesting.
[1429] 1:18:29	Um,
[1430] 1:18:32	yeah, she has the most interesting arc.
[1431] 1:18:37	CVM versus DOSS. Laugh out loud. Sloppy
[1432] 1:18:39	as the goat.
[1433] 1:18:43	Yeah,
[1434] 1:18:46	hellish.
[1435] 1:18:50	We have not yet seen the worst of it.
[1436] 1:18:54	Okay.
[1437] 1:18:56	Um,
[1438] 1:18:59	hellish. We might actually go
[1439] 1:19:04	to
[1440] 1:19:06	either Thomas Pole
[1441] 1:19:10	or Peter Chin
[1442] 1:19:16	because there's
[1443] 1:19:18	there's really some Yeah, we got some
[1444] 1:19:21	some some stuff planned for them.
[1445] 1:19:42	AJ Higgins sources have that have sloppy
[1446] 1:19:46	are the only extent attested fulcan
[1447] 1:19:49	sources.
[1448] 1:19:52	Whoa.
[1449] 1:19:57	Ed Wilson's We have not even begun yet.
[1450] 1:20:03	CPM versus DOS. Oh man. Dang. Not even
[1451] 1:20:05	the worst yet? Not even close.
[1452] 1:20:11	Um,
[1453] 1:20:14	the series is building up to a nightmare
[1454] 1:20:17	scenario.
[1455] 1:20:19	It's building up to a nightmare
[1456] 1:20:20	scenario.
[1457] 1:20:29	Uh, Smiley goes, "Have you ever thought
[1458] 1:20:30	about publishing a book in the form of a
[1459] 1:20:32	web novel where it's published chapter
[1460] 1:20:34	by chapter instead of volumes?" Um, yes,
[1461] 1:20:38	I have thought about it. Uh, the problem
[1462] 1:20:42	is it will really open things up to
[1463] 1:20:44	piracy.
[1464] 1:20:47	So, um, if I do that, it's going to it's
[1465] 1:20:51	not it's not good for book sales.
[1466] 1:20:54	It's terrible for book sales.
[1467] 1:20:57	Uh this is why one of the reasons why we
[1468] 1:20:59	when we do extracts
[1469] 1:21:01	um excerpts, we will do like the first
[1470] 1:21:03	three chapters, sometimes the first
[1471] 1:21:05	four. Um
[1472] 1:21:08	but but web publishing is terrible for
[1473] 1:21:12	piracy. There's no controls. Once you
[1474] 1:21:16	put throw something in a web novel,
[1475] 1:21:18	that's it. It's out there.
[1476] 1:21:22	And and piracy is already as bad as it
[1477] 1:21:25	is, but just it just throws gasoline on
[1478] 1:21:27	the fire.
[1479] 1:21:37	Mama goes Peter Chen. No shock shock
[1480] 1:21:39	there. But Thomas pull. Oh yeah.
[1481] 1:21:44	Oh yeah.
[1482] 1:21:50	Oh yeah.
[1483] 1:21:56	Yeah. Thomas Bull is
[1484] 1:22:01	>> Oh, yes.
[1485] 1:22:05	>> All right, let's move on.
[1486] 1:22:12	on here.
[1487] 1:22:19	Andrew uh Graham, how free is the will?
[1488] 1:22:22	Is it free as the grace? Um
[1489] 1:22:27	that's a bit of a um equivalent uh
[1490] 1:22:29	equivocation fallacy. You're using free
[1491] 1:22:31	in two different ways here. So it's an
[1492] 1:22:34	impossible question to answer because uh
[1493] 1:22:37	you can't say um like free grace is free
[1494] 1:22:41	as in the cost.
[1495] 1:22:44	Free will is in free as in without
[1496] 1:22:47	restriction. So it's two different
[1497] 1:22:49	senses of the word. So you can't compare
[1498] 1:22:52	the one to the other because the senses
[1499] 1:22:53	aren't the same. So thank you very much
[1500] 1:22:56	for the question.
[1501] 1:23:00	His
[1502] 1:23:18	will
[1503] 1:23:20	is Will's will free? I don't know.
[1504] 1:23:25	Is that free Willie?
[1505] 1:23:30	Well, he's free now. I don't even know
[1506] 1:23:33	if it's still if he's still alive.
[1507] 1:23:38	They uh they they they set Willie free
[1508] 1:23:40	off of like uh off of Fiord in Norway.
[1509] 1:23:44	So, who knows if he's still alive, but
[1510] 1:23:57	Harry Stark goes, "In which century and
[1511] 1:23:59	by whom did the notion that suicide
[1512] 1:24:00	leads to hell come from?" I'm not
[1513] 1:24:02	suicidal. I'm reading Hamlet.
[1514] 1:24:06	Uh
[1515] 1:24:10	um that actually comes out of um
[1516] 1:24:13	medieval western um Christianity.
[1517] 1:24:17	That's that's not something found in the
[1518] 1:24:20	Bible itself. It's more of a theological
[1519] 1:24:22	conclusion
[1520] 1:24:24	that self uh self harm
[1521] 1:24:28	uh is the ultimate um
[1522] 1:24:32	a selfdeion is the ultimate um
[1523] 1:24:36	rejection of God.
[1524] 1:24:40	So
[1525] 1:24:42	that comes out of medieval western
[1526] 1:24:44	theology.
[1527] 1:24:46	So um we don't know the exact century
[1528] 1:24:48	for that. At least I'm not aware of one.
[1529] 1:24:52	So, um, hope that helped.
[1530] 1:24:55	I just think it's stupid that we have to
[1531] 1:24:57	talk in baby terms on on YouTube.
[1532] 1:25:01	Just so dumb.
[1533] 1:25:09	>> Somebody said Willie died near
[1534] 1:25:13	ago.
[1535] 1:25:13	>> John says, "No, Willie died near Iceland
[1536] 1:25:16	many, I believe, many years ago." Yeah,
[1537] 1:25:18	I I I saw a documentary on it, but I I
[1538] 1:25:20	never didn't know what happened to him
[1539] 1:25:22	ultimately. I know he was released.
[1540] 1:25:24	That's about all I knew.
[1541] 1:25:46	>> Yeah. Milo says the average lifespan or
[1542] 1:25:49	lifespan is 15 to 49 years. Yeah. Yeah.
[1543] 1:25:51	So he would have that's so long ago he
[1544] 1:25:53	probably would have been ceased at this
[1545] 1:25:55	point.
[1546] 1:25:56	So that is not surprising.
[1547] 1:26:05	Uh Doc Hogan asks, "What is exactly does
[1548] 1:26:08	the author of 1 John 5:16 mean by a sin
[1549] 1:26:11	leading to death versus a sin that does
[1550] 1:26:14	not cause does not lead to death?
[1551] 1:26:17	Truly, John has a dizzying intellect. He
[1552] 1:26:20	does, which is why I really appreciate
[1553] 1:26:21	John. But let's look at the passage
[1554] 1:26:23	here.
[1555] 1:26:26	First John
[1556] 1:26:29	5:1 16.
[1557] 1:26:32	If anyone sees his brother committing
[1558] 1:26:34	sin not leading to death, he shall ask
[1559] 1:26:36	God, and God will give him life to those
[1560] 1:26:39	who commit sin not leading to death.
[1561] 1:26:41	There is a sin leading to death. I do
[1562] 1:26:44	not say that he should make a request
[1563] 1:26:46	for this. Okay. What's meant by a sin
[1564] 1:26:49	leading to death?
[1565] 1:26:52	A sin leading to death is repetitive
[1566] 1:26:56	unrepentant sin
[1567] 1:27:00	that will ultimately cause the downfall
[1568] 1:27:02	of the the believer. Okay, that's what
[1569] 1:27:05	it is. It's basically someone who loves
[1570] 1:27:09	the sin more than the savior.
[1571] 1:27:13	That's what this is about. Uh let me
[1572] 1:27:16	give you an example. Someone who likes
[1573] 1:27:18	to steal just because they like
[1574] 1:27:21	stealing.
[1575] 1:27:23	Okay. And let's say someone loves Lego
[1576] 1:27:25	Bob. Lego blocks. Okay. I know Lego
[1577] 1:27:29	means block, but um let's say they like
[1578] 1:27:31	Legos. They like Legos so much that they
[1579] 1:27:33	just can't help stealing Legos
[1580] 1:27:36	over and over and over again.
[1581] 1:27:41	and they'll just keep going on stealing
[1582] 1:27:43	Legos because they love stealing Legos.
[1583] 1:27:50	That would be a sin leading to death.
[1584] 1:27:53	Okay.
[1585] 1:27:56	So, they're not going to repent of
[1586] 1:27:58	stealing a Legos. They're just going to
[1587] 1:28:00	keep doing it. So,
[1588] 1:28:10	Milo asks, "Are we getting a bricks and
[1589] 1:28:12	minifix reference?" Could be.
[1590] 1:28:17	That has gotten so weird. So weird.
[1591] 1:28:24	Bubble trouble. I feel like I've heard
[1592] 1:28:26	this story. Maybe you have.
[1593] 1:28:30	Mama goes, "Hm, I wonder how Doc chose
[1594] 1:28:33	that example."
[1595] 1:28:36	AJ Higgins brick by brick.
[1596] 1:28:40	Yep.
[1597] 1:28:43	It's such a good example, though. It's
[1598] 1:28:45	such a good example.
[1599] 1:28:51	Bomb papa just can't let go of sin. No,
[1600] 1:28:55	but that's a sin leading to leading to
[1601] 1:28:57	death. If you if you're a thief
[1602] 1:29:01	and you keep stealing because you love
[1603] 1:29:03	stealing more than you love the Savior,
[1604] 1:29:08	then that's a sin leading to death. And
[1605] 1:29:10	this could be any sin. It could be
[1606] 1:29:12	compulsive lying. It could be um um you
[1607] 1:29:16	know, cheating on your taxes. It could
[1608] 1:29:19	be uh a sexual sin. There is no no end
[1609] 1:29:24	to to how
[1610] 1:29:28	to to what sort of sins lead to death.
[1611] 1:29:30	But this is the sort of death um sin
[1612] 1:29:32	leading to death that's being mentioned
[1613] 1:29:33	here. It's the one where you just won't
[1614] 1:29:36	give it up and you love that sin more
[1615] 1:29:40	than the savior.
[1616] 1:29:42	So, uh Doc Hogan, um I hope you found
[1617] 1:29:45	that interesting. Thank you for the
[1618] 1:29:46	question. Really appreciate it.
[1619] 1:30:00	Uh, sing a bright song says, "Good
[1620] 1:30:02	evening, folks. Looking forward to the
[1621] 1:30:04	release of Lord of Steel and Sky and
[1622] 1:30:06	wanted to quote a particular song."
[1623] 1:30:09	Okay. Um,
[1624] 1:30:12	Milo Mar goes, "It really is. I mean, it
[1625] 1:30:15	has led to their downfall." Oh, it's
[1626] 1:30:17	gotten messy. That's that the bricks and
[1627] 1:30:19	minifig thing has gotten so messy.
[1628] 1:30:24	>> But again, what's scary is so many
[1629] 1:30:26	people coming out and just saying that's
[1630] 1:30:29	what it's like in small towns.
[1631] 1:30:31	>> Now, we should say, by the way, on the
[1632] 1:30:33	um Lord of Steel and Sky, um
[1633] 1:30:38	some of you will have already received
[1634] 1:30:39	it. Okay? Uh like for example, Amazon
[1635] 1:30:42	tends to ship a week in advance of the
[1636] 1:30:45	release date. The official release date
[1637] 1:30:47	is the 15th. Some of you will already
[1638] 1:30:51	have gotten it by this point. If you
[1639] 1:30:54	have, please let me know in the in the
[1640] 1:30:56	in the chat. Or if you're on Discord,
[1641] 1:30:59	let me know on Discord. I'd love to hear
[1642] 1:31:01	who gets it first. That'd be so
[1643] 1:31:03	interesting to find out.
[1644] 1:31:09	But generally, it's they they ship it
[1645] 1:31:11	one week in advance.
[1646] 1:31:14	So,
[1647] 1:31:15	CPM versus DOSS. Not sure mine has ship
[1648] 1:31:18	been shipped yet. If it's from Amazon,
[1649] 1:31:20	they've probably already got it uh going
[1650] 1:31:23	there.
[1651] 1:31:32	Harry Stark goes, "Did any of the
[1652] 1:31:34	pharaohs become Christian?"
[1653] 1:31:36	No.
[1654] 1:31:38	Uh, there might have been a Roman
[1655] 1:31:40	emperor who did. like Constantine is is
[1656] 1:31:43	officially a pharaoh.
[1657] 1:31:46	So, he's probably the only one I know of
[1658] 1:31:48	off the top of my head because I don't
[1659] 1:31:50	keep track of Roman emperors, but um
[1660] 1:31:54	none of say the native Egyptian uh
[1661] 1:31:58	pharaohs ever became Christian. Too
[1662] 1:32:00	early. Too early.
[1663] 1:32:12	Uh, CPM versus DOSS. It is, but I have
[1664] 1:32:14	the hard cover. Wonder if that changes
[1665] 1:32:16	anything. Um,
[1666] 1:32:19	it shouldn't. It shouldn't. The you I
[1667] 1:32:23	mean, we had this submitted like six
[1668] 1:32:25	months ago, so it shouldn't change
[1669] 1:32:27	anything.
[1670] 1:32:31	Milo says, "Sorry y'all. I got to get in
[1671] 1:32:34	my sleep. I have fossil beds to visit
[1672] 1:32:36	tomorrow. I We've got a book launch
[1673] 1:32:38	tomorrow. So, we're doing a local book
[1674] 1:32:41	launch tomorrow. So, we are not going to
[1675] 1:32:43	be going terribly late tonight either.
[1676] 1:32:46	So,
[1677] 1:32:49	>> tell
[1678] 1:32:52	um Alpha Reader says uh to to Milo, have
[1679] 1:32:56	fun on your trip.
[1680] 1:32:58	So, she's wishing you well.
[1681] 1:33:02	All
[1682] 1:33:06	right, next one here.
[1683] 1:33:14	Harry Start asked, "Does the reference
[1684] 1:33:16	to Moses by Galen of Peraman count as an
[1685] 1:33:18	extra biblical evidence?"
[1686] 1:33:20	Um, I don't think so. I think um because
[1687] 1:33:25	I think it's he got it from the biblical
[1688] 1:33:28	source. So, I don't wouldn't count that
[1689] 1:33:30	as an extra biblical reference, more a
[1690] 1:33:33	reference to the biblical source. That's
[1691] 1:33:35	how I would kind of categorize that.
[1692] 1:33:46	Uh, Milo to Alpha, quote, I'm very
[1693] 1:33:48	touched. End quote.
[1694] 1:33:51	Uh, by the way, uh,
[1695] 1:33:55	um,
[1696] 1:33:56	book four is back in Alpha's hands and
[1697] 1:34:00	she's, uh, she's reviewing it at this
[1698] 1:34:03	moment. So, uh, we will let you know how
[1699] 1:34:06	the st we'll do we'll be doing a call
[1700] 1:34:08	for beta readers soon. So, if you want
[1701] 1:34:11	to, uh, get involved as a beta reader,
[1702] 1:34:14	you'd have to one thing you'd have to do
[1703] 1:34:16	is become part of our writers corner on
[1704] 1:34:18	Discord. But we will be doing um uh call
[1705] 1:34:22	for beta readers very very soon for book
[1706] 1:34:25	four.
[1707] 1:34:37	Uh Milo asks are there any extra
[1708] 1:34:40	biblical ancient reference mentions of
[1709] 1:34:44	the s sea of reeds? Yes there are. Um
[1710] 1:34:50	the anamastica of Amamop mentions it
[1711] 1:34:54	um and that's an Egyptian source and
[1712] 1:34:56	they talk about um um the sea of reeds
[1713] 1:35:00	as such and they also mention its
[1714] 1:35:02	location which is between um Paramsis
[1715] 1:35:07	and and Charu.
[1716] 1:35:09	So we've got a very very uh good extra
[1717] 1:35:13	biblical reference to it. It's also
[1718] 1:35:16	mention it's also called uh the the
[1719] 1:35:19	reads in many Egyptian sources. It's
[1720] 1:35:21	just called the pufi or the reads. Uh
[1721] 1:35:25	papyrus Anastasi 3 uh refers to it as
[1722] 1:35:28	the reads. So absolutely we have uh a
[1723] 1:35:32	couple of good extra biblical sources,
[1724] 1:35:35	ancient sources, Egyptian sources for
[1725] 1:35:38	the sea of reeds. So hope that helps.
[1726] 1:35:40	Thank you for the question.
[1727] 1:35:49	Okay, next one here.
[1728] 1:35:54	Thomas Hall asks, "What was the
[1729] 1:35:56	religious belief like by the time of the
[1730] 1:35:58	tom? Was there synratism of of Egyptian
[1731] 1:36:02	and Greek worship?" Uh, there was
[1732] 1:36:04	synratism
[1733] 1:36:06	uh between Greek and Egyptian worship.
[1734] 1:36:09	Egyptian worship becomes starts to get
[1735] 1:36:11	very philosophical during the time of
[1736] 1:36:13	the tom.
[1737] 1:36:17	Um it doesn't it doesn't completely like
[1738] 1:36:22	philosophy does become its own distinct
[1739] 1:36:25	thing.
[1740] 1:36:27	um
[1741] 1:36:29	and in some ways very secularized
[1742] 1:36:33	but Egyptian religion itself becomes a
[1743] 1:36:35	lot more philosophical
[1744] 1:36:38	um a lot more universalist as well. So
[1745] 1:36:46	um
[1746] 1:36:49	so uh it varies. One of the things I
[1747] 1:36:52	will say about um worship religious
[1748] 1:36:55	belief at the time of tomaze 2 is it
[1749] 1:36:58	tends to also be very segregated.
[1750] 1:37:02	You do get
[1751] 1:37:04	both um
[1752] 1:37:08	um the Greek worshiing is is segregated
[1753] 1:37:12	from the Egyptian worshiing.
[1754] 1:37:15	So, so while there is synratism between
[1755] 1:37:19	the two,
[1756] 1:37:21	the religious communities tended to try
[1757] 1:37:24	to keep to their own.
[1758] 1:37:28	Uh to some extent, this was a language
[1759] 1:37:30	thing. To others, it was
[1760] 1:37:33	um
[1761] 1:37:34	Egyptian priests trying to maintain
[1762] 1:37:36	hedge protection
[1763] 1:37:38	from um Greek contamination.
[1764] 1:37:42	So,
[1765] 1:37:46	so uh I hope that helps. Uh thank you
[1766] 1:37:49	very much for the question. I really
[1767] 1:37:51	appreciate it.
[1768] 1:37:53	Jack Ray goes, "Just before crossing the
[1769] 1:37:56	sea, a person yells, "Are you all ready
[1770] 1:37:59	to cross?" Ooh,
[1771] 1:38:02	bad pun. Bad pun.
[1772] 1:38:08	Uh, mama goes, "Doc, this was my
[1773] 1:38:10	question, but she put it in for me.
[1774] 1:38:12	Thanks for the answer." Yeah, you're
[1775] 1:38:13	welcome. My pleasure.
[1776] 1:38:23	All right, let's move on here.
[1777] 1:38:47	Uh AJ Higgins, Dr. Faulk's attested
[1778] 1:38:50	writings were his arc book and the first
[1779] 1:38:53	fiction book. The rest must be pseudo
[1780] 1:38:55	[ __ ] books.
[1781] 1:38:59	Ghost writers, the ghosts are writing
[1782] 1:39:02	again.
[1783] 1:39:10	That's because I can't write.
[1784] 1:39:14	So the all must be I mean if if if if
[1785] 1:39:19	somebody writes many books, well that
[1786] 1:39:22	just proves he doesn't write.
[1787] 1:39:25	Why not just go go why do why why why
[1788] 1:39:28	say there's a a a true falian source at
[1789] 1:39:30	all? Let's just go for broke here and
[1790] 1:39:34	claim that uh that folk is functionally
[1791] 1:39:38	illiterate like Mohammed
[1792] 1:39:44	protoolk.
[1793] 1:39:46	Yeah.
[1794] 1:39:51	Oh boy.
[1795] 1:40:04	That's fun.
[1796] 1:40:06	All right, next on. See what we got.
[1797] 1:40:24	Um,
[1798] 1:40:28	Ryan Conamp, do you any views that
[1799] 1:40:30	almost nobody else supports?
[1800] 1:40:33	I probably do.
[1801] 1:40:36	I can't think of what what those might
[1802] 1:40:38	be at the um off the top of my head.
[1803] 1:40:43	Um, I think I think if there's any view
[1804] 1:40:45	that I have that almost nobody else
[1805] 1:40:47	supports, it's that pineapple pizza is
[1806] 1:40:50	the best pizza ever.
[1807] 1:40:57	That's that's the view that nobody else
[1808] 1:40:59	supports. Pineapple pizza is the best
[1809] 1:41:02	pizza.
[1810] 1:41:12	Man, her
[1811] 1:41:22	place.
[1812] 1:41:29	>> Pineapple pizza is the best and it's
[1813] 1:41:31	Canadian.
[1814] 1:41:38	Okay. AJ Higgins asks, "What is your
[1815] 1:41:40	most used uh Hoffmire source in your
[1816] 1:41:43	studies?" Uh, the most used Hoffmire
[1817] 1:41:46	source, well, at least the one I've used
[1818] 1:41:47	the most
[1819] 1:41:49	is actually his peer-reviewed article on
[1820] 1:41:52	Rashef and Aarte. That's the one I've
[1821] 1:41:54	used the most.
[1822] 1:41:56	I forget what journal it's in, but I've
[1823] 1:41:58	used it several times. Um it's a very
[1824] 1:42:02	good article on um Canaanite deities
[1825] 1:42:06	that were found in the say the Nile
[1826] 1:42:08	Delta and Atelborg.
[1827] 1:42:10	It's a technical article though it's not
[1828] 1:42:12	one I would recommend as say something
[1829] 1:42:15	for um
[1830] 1:42:18	um those who are just looking for
[1831] 1:42:20	information on the Exodus.
[1832] 1:42:35	Mama goes, "I don't like pineapple at
[1833] 1:42:38	all. Itchy fruit me no likey." Okay,
[1834] 1:42:43	John. I don't like pineapple at all.
[1835] 1:42:45	Yuck.
[1836] 1:42:48	Uh, plushies dx. Pineapples are good.
[1837] 1:42:51	Okay,
[1838] 1:42:53	coap. Pineapple and pizza is trash is
[1839] 1:42:56	okay though.
[1840] 1:42:58	>> Do you see a bright song or
[1841] 1:43:03	a charge of shelfing
[1842] 1:43:06	supermarket
[1843] 1:43:09	slices
[1844] 1:43:11	frozen?
[1845] 1:43:13	Sing a bright song says, "In the
[1846] 1:43:14	unlikely event that I'm ever in charge
[1847] 1:43:16	of shelf ordering at a supermarket, I
[1848] 1:43:19	intend to have frozen pineapple slices
[1849] 1:43:22	placed directly above frozen pizzas."
[1850] 1:43:25	Okay.
[1851] 1:43:31	Brian Coat bananas on pizza.
[1852] 1:43:35	No, no, that one that one I think is a
[1853] 1:43:38	miss.
[1854] 1:43:42	I've had strawberries on pizza, though.
[1855] 1:43:46	Strawberries on pizza are nice.
[1856] 1:43:52	Yeah, strawberries on pizza is very
[1857] 1:43:54	nice. Uh, but you have to make it kind
[1858] 1:43:56	of like a dessert pizza, not a um
[1859] 1:44:00	um
[1860] 1:44:02	Jack, I'm starting to crave pineapple
[1861] 1:44:03	now.
[1862] 1:44:10	Well, basically if you do a dessert
[1863] 1:44:11	pizza, um I'm we're not talking uh we're
[1864] 1:44:14	not talking about pineapple and ham
[1865] 1:44:15	anymore. Talking dessert pizzas. You
[1866] 1:44:18	basically use a crumble um uh and a lot
[1867] 1:44:23	of butter on the top. And then you place
[1868] 1:44:26	like fruit on frozen fruit on top like
[1869] 1:44:28	like like frozen sliced strawberries
[1870] 1:44:32	um or um or plums or apricots or
[1871] 1:44:36	something like that. And it's it it
[1872] 1:44:38	becomes at that point more like a fruit
[1873] 1:44:39	plots. And that's that can be very very
[1874] 1:44:42	yummy.
[1875] 1:44:52	Mama, I don't even want the short end of
[1876] 1:44:54	a banana. Don't want any banana at all
[1877] 1:44:57	ever.
[1878] 1:44:59	Yeah, this is kind of the foodie
[1879] 1:45:00	section.
[1880] 1:45:03	And Graham ice cream on pizza. I don't
[1881] 1:45:05	think that would work very well. But
[1882] 1:45:10	but dessert pizzas can be good. I'll
[1883] 1:45:12	give it that. Not something I'd eat
[1884] 1:45:14	every day, though. But
[1885] 1:45:24	Jack Ray, bananas are one step above me.
[1886] 1:45:27	Delicious B brand apple fruits. Meie
[1887] 1:45:31	apples are the worst.
[1888] 1:45:33	Yeah, they are kind of Ameilia apples
[1889] 1:45:35	aren't aren't great. Um, bananas are for
[1890] 1:45:38	banana splits though. Really, if you
[1891] 1:45:40	want to eat bananas, the way to have
[1892] 1:45:41	them is in a banana split.
[1893] 1:46:00	Um, we got a 1999 uh super chat here
[1894] 1:46:04	from uh PA888
[1895] 1:46:07	um who says, "I would like to sponsor a
[1896] 1:46:09	question. Your choice." Well, thank you
[1897] 1:46:10	very much. And we will take the next
[1898] 1:46:13	nons super chat here as the sponsored
[1899] 1:46:15	question. Um, Tao Chong asks, "Uh, hello
[1900] 1:46:19	Doc. What are your thoughts on ancient
[1901] 1:46:21	Chinese oracle bones? It is said that
[1902] 1:46:24	characters are based upon the Genesis
[1903] 1:46:26	story. I can't answer whether
[1904] 1:46:30	um
[1905] 1:46:32	uh Chinese oracle bones are based upon
[1906] 1:46:35	the Genesis story.
[1907] 1:46:38	Um
[1908] 1:46:40	there could be some relation. There are
[1909] 1:46:44	um
[1910] 1:46:46	there are say remnants of the creation
[1911] 1:46:49	story that sort of weaves through many
[1912] 1:46:51	cultures. So, it's really hard to say
[1913] 1:46:54	exactly what that is. But as as a non I
[1914] 1:46:58	mean I'm this is like really outside of
[1915] 1:47:00	my wheelhouse. So I can't really answer
[1916] 1:47:03	the question of is it based upon the
[1917] 1:47:06	Genesis story. On the other hand,
[1918] 1:47:11	many cultures have oracle bones.
[1919] 1:47:14	Many of them.
[1920] 1:47:18	In fact, we even make a reference to
[1921] 1:47:20	oracle bones in book four. don't we?
[1922] 1:47:25	We make a we make a reference to oracle
[1923] 1:47:27	bones in book four.
[1924] 1:47:30	So
[1925] 1:47:32	many cultures have oracle bones.
[1926] 1:47:35	And there's a couple ways of doing this.
[1927] 1:47:37	Uh you can put the oracle bones in a
[1928] 1:47:39	rattle.
[1929] 1:47:41	You can throw the bones and see what the
[1930] 1:47:44	oracle bones show.
[1931] 1:47:47	Many, many cultures had oracle bones.
[1932] 1:47:50	Canaanites had oracle bones.
[1933] 1:47:53	In fact, some have uh speculated that um
[1934] 1:47:58	>> oracle
[1935] 1:47:59	>> oracle bananas.
[1936] 1:48:02	>> Oracle bananas.
[1937] 1:48:07	>> Mama says, "Well, well, well, look for a
[1938] 1:48:09	teaser." Yep.
[1939] 1:48:12	Um the dice are based upon oracle bones.
[1940] 1:48:17	That's the origin of dice.
[1941] 1:48:20	So
[1942] 1:48:21	the gambling device. Yeah, exactly. The
[1943] 1:48:23	um like dragon dice
[1944] 1:48:26	uh oracle bones and a yatsi dice popper.
[1945] 1:48:35	Yeah. So
[1946] 1:48:39	because they used to carve dice out of
[1947] 1:48:41	bones. Okay. So
[1948] 1:48:44	So that was the origin of dice. Um, you
[1949] 1:48:48	can actually steal in some um I saw some
[1950] 1:48:53	um dice uh made out of ivory once in a
[1951] 1:48:57	um
[1952] 1:48:59	uh what's it called now? A um museum,
[1953] 1:49:02	not a museum. Um an antique store in
[1954] 1:49:04	Paris.
[1955] 1:49:07	And I wanted to buy them.
[1956] 1:49:10	And the guy shued me out of the uh the
[1957] 1:49:13	guy shued me out of the store because I
[1958] 1:49:15	was carrying a backpack. didn't let me
[1959] 1:49:16	get a word in edgewise.
[1960] 1:49:19	I saw the dice in the window and I
[1961] 1:49:20	wanted to purchase them and he he just
[1962] 1:49:23	shooted me out without ask without a
[1963] 1:49:25	single word. So it's like okay um I I
[1964] 1:49:30	would have bought from you but dang. Um
[1965] 1:49:33	>> you also would have left your bag at the
[1966] 1:49:36	counter.
[1967] 1:49:37	>> Yeah.
[1968] 1:49:38	>> And you already knew what she wanted.
[1969] 1:49:40	>> Yeah.
[1970] 1:49:40	>> So he could have just stayed with you,
[1971] 1:49:42	walked you to
[1972] 1:49:44	>> Yeah. I almost I almost bought those
[1973] 1:49:46	dice and
[1974] 1:49:49	get out you bum.
[1975] 1:49:52	Well, I mean I was just I had just exit
[1976] 1:49:54	I had just gotten out of my hotel. I had
[1977] 1:49:57	just I was between my hotel and taking
[1978] 1:49:59	the train um to Amsterdam
[1979] 1:50:03	and you know I got in I I saw the saw
[1980] 1:50:06	them and it was just like man uh I got I
[1981] 1:50:09	got to have these and it's like you know
[1982] 1:50:12	guy wouldn't let me get a word in
[1983] 1:50:13	edgewise. It's like, okay.
[1984] 1:50:17	Um,
[1985] 1:50:21	uh, Mama Go's theft. Is that bad?
[1986] 1:50:23	Apparently in Paris it is.
[1987] 1:50:26	So,
[1988] 1:50:30	yeah, he didn't want business. Probably
[1989] 1:50:32	not.
[1990] 1:50:34	Not from a shady person like me,
[1991] 1:50:35	apparently.
[1992] 1:50:38	So,
[1993] 1:50:41	All
[1994] 1:50:48	right, let's move on here.
[1995] 1:50:52	Uh, super chat from Mama for $5. Thank
[1996] 1:50:55	you very much for the super chat.
[1997] 1:50:57	We've started a rating system for
[1998] 1:51:00	sources of ancient neareastern info.
[1999] 1:51:02	Wrong. Wyatt, zero, evil. Joel Kramer,
[2000] 1:51:07	one criminally bad. Kenneth Kitchen 10
[2001] 1:51:11	the goat thoughts.
[2002] 1:51:16	I'm not sure about these rating systems.
[2003] 1:51:19	Does everything have to have a rating
[2004] 1:51:20	system anymore? Can't we just call wrong
[2005] 1:51:23	evil and be done with it?
[2006] 1:51:27	Just
[2007] 1:51:29	I I leave rating systems to others.
[2008] 1:51:32	Okay.
[2009] 1:51:40	Ryan Con. It's not a paradise there.
[2010] 1:51:46	Well, I mean, the guy had like uh a
[2011] 1:51:48	dozen of them. He had a lot of these. So
[2012] 1:51:50	it's like, okay, this would have been
[2013] 1:51:53	really really cool to have bought and
[2014] 1:51:55	taken home, but you know,
[2015] 1:52:08	could have simply stayed at your side.
[2016] 1:52:11	>> Yeah, there was no one else in the
[2017] 1:52:12	store,
[2018] 1:52:14	you know. There was nobody there.
[2019] 1:52:19	encourage people.
[2020] 1:52:22	>> Yeah, it doesn't exactly encourage
[2021] 1:52:23	people to shop there. Yeah, that's
[2022] 1:52:26	probably true.
[2023] 1:52:33	Common lurker, are white fans still
