[0] 0:07	do [Music]
[920] 1:38:52	at the beginning because moses has married a midianite woman they are traveling and sharing the land
[921] 1:39:00	they're cooperating with each other and then there's a betrayal then there's a betrayal
[922] 1:39:05	and close to the point where the israelites have to enter egypt they are start to go to war against the midianites
[923] 1:39:13	so this is this is very very much part and parcel to the politics of the
[924] 1:39:19	ancient near east where you could be related to somebody you can you know have have um you know
[925] 1:39:27	trade wives and treaties and all that and then just a generation later you're you're you're killing each other
[926] 1:39:35	this is really really normal in ancient near eastern uh international affairs
[927] 1:39:40	so it's not a theological issue at all it's absolutely not a theological issue
[928] 1:39:47	you know it's it's just the way things work in the engineering east
[929] 1:39:52	and um it's not once peace it's not once peace always at peace
[930] 1:39:58	so anyway i hope that answers your question thank you very much for the question
[931] 1:40:06	okay uh he also added also received your book
[932] 1:40:13	and i am amazed as i begin reading it well thank you very much um again for people who have don't know
[933] 1:40:20	what the book is the book is the ark of the oops the ark
[934] 1:40:26	of the covenant in its egyptian context and illustrated journey
[935] 1:40:35	we got some we've we've gotten some really really amazing feedback for the book from the book uh
[936] 1:40:41	we we love hearing people how how people love the book uh we got us we got a story a comment
[937] 1:40:47	just recently about how somebody um took the book
[938] 1:40:53	and you know shared it with her like seven-year-old daughter and
[939] 1:40:59	and the the daughter says oh i love everything about egypt i want to become an egyptologist
[940] 1:41:08	it was asking about an accident and um it was just it was really
[941] 1:41:14	heartwarming to see that you know people of all ages all educations are really loving the book
[942] 1:41:21	we really went the extra mile to um
[943] 1:41:26	to do the photographs for the book too i basically took my entire advance for the book
[944] 1:41:33	and spent it on a trip to egypt to do the photographs for the book because there
[945] 1:41:39	were just some photographs that i really really wanted in the book that i didn't have for my previous
[946] 1:41:44	trips so for me this was just this was the one sort of the the great
[947] 1:41:50	opportunity to go get those photographs and produce a book that
[948] 1:41:55	we wanted this to be a book that would be last on the shelf for 50 years
[949] 1:42:02	even if people didn't like say you know the conclusions they would
[950] 1:42:08	still prize the pictures they would prize say the beauty of the book we wanted to create a book that was
[951] 1:42:14	not just great scholarship but it was an object of beauty that's what we really really
[952] 1:42:21	strove to do create a just an awesome jaw-dropping book
[953] 1:42:27	so anyway i'm very very grateful that you purchased the book um it's sort of unfortunate that it came
[954] 1:42:33	out during the year of covid um it probably would have done a lot better if it hadn't but we are now
[955] 1:42:40	starting to see sort of sales pick up on it a bit and um and and we love hearing all the feedback
[956] 1:42:47	of of those who have have actually bought it and read it so thank you very much for the comment
[957] 1:42:54	okay
[958] 1:43:00	i'm going to take rufus john's here um question did ancient egypt ever trade with asia
[959] 1:43:07	under solomon now that is a very interesting question
[960] 1:43:14	uh because we there there is evidence of trade
[961] 1:43:20	between egypt and asia and
[962] 1:43:25	it goes back to roughly the late bronze age at least uh one of the things we find in sa tombs
[963] 1:43:33	in the late bronze age is cloves and cloves are a spice that we only find
[964] 1:43:40	uh growing in india and say uh east so there does seem to be some trade
[965] 1:43:47	going on between at least egypt and say uh india
[966] 1:43:53	uh from the late bronze age onward uh there's even some evidence of silk
[967] 1:43:59	uh coming to egypt say a little later during say the the
[968] 1:44:04	early iron age during the 10th century as this is the 10th century
[969] 1:44:11	uh solomon would be right in the middle of that trade
[970] 1:44:16	so solomon would be taxing the trade that that's happening between egypt and asia
[971] 1:44:24	so there is evidence that trade was going on between egypt
[972] 1:44:30	and and say india and asia
[973] 1:44:35	and solomon would have been invariably there to collect the spoils of that trade because solomon had a chokehold on
[974] 1:44:43	that trade that's how solomon got rich was he taxed all the caravans
[975] 1:44:51	passing through the fertile crescent if you wanted to go to egypt
[976] 1:44:56	or go to asia from egypt you had to pass through solomon's land
[977] 1:45:03	and he is going to tax everything that goes through it it's unavoidable you can't there's no
[978] 1:45:09	other way around that that's safe and afford and easy to do
[979] 1:45:15	so caravans paid the tax and solomon grew rich on it
[980] 1:45:22	so anyway that's a very interesting question and and it's it's really interesting because we're seeing more
[981] 1:45:28	and more and more of this trade going on
[982] 1:45:33	as as as you know um archaeology progress we even um interestingly enough uh there
[983] 1:45:41	was actually a um an article that just came out today
[984] 1:45:46	that um [Music] neo-assyrian armor was found in northern
[985] 1:45:53	china this just came out this is absolutely i mean the the ink is barely dry on this
[986] 1:45:58	article they found assyrian style leather scale armor in northwestern china
[987] 1:46:08	and it dates to that period to the to the neo-syrian period so
[988] 1:46:14	um that's a link that nobody had ever considered before that that that they are actually trading
[989] 1:46:21	military technology between say northern china northwestern china
[990] 1:46:26	and assyria so the links between asia and
[991] 1:46:33	the uh near east are getting stronger and stronger as the archaeology progresses here
[992] 1:46:39	so it's a fascinating question absolutely a fascinating question and again more is being learned as we as
[993] 1:46:46	the shovel turns anyway thank you very much rufus for the question it's really an excellent
[994] 1:46:52	question it's an excellent question okay
[995] 1:46:57	we got a super chat for 20 from vic m
[996] 1:47:05	based upon a glance of the table of contents of doug petrovich's upcoming book
[997] 1:47:11	origins of the hebrews has he made any new arguments for his
[998] 1:47:17	early exodus interpretation that you have not seen before and haven't addressed
[999] 1:47:28	you guys today are just killing me with these groaning questions i mean just
[1000] 1:47:38	um there is not a single argument that doug
[1001] 1:47:45	has done um that has not been adequately addressed
[1002] 1:47:50	um wow this this book is a shambles this book is this this book is looking to is
[1003] 1:47:56	is going to be a train wreck it's it's going to be a train wreck
[1004] 1:48:02	um uh he's he's done the strange strange move
[1005] 1:48:08	of using a creationist publisher to to publish it so
[1006] 1:48:14	you know you know last time he published a book he spent um over 30 grand
[1007] 1:48:21	to publish it uh with um forget where the publisher the last one
[1008] 1:48:27	what carter carter it was he published it with carter which carter was is a respectable um publisher
[1009] 1:48:34	but he spent a huge amount of money on it because he didn't want to take a risk on it well they didn't want to take a risk on a second book
[1010] 1:48:41	he tried to publish it with carda and they said no nope not gonna happen
[1011] 1:48:47	so he instead has published it with a creationist publishing press with no no peer review at all
[1012] 1:48:55	or basically other creationists as peer reviewers i mean it's this is looking to be this is
[1013] 1:49:01	looking in like it's going to become a real train wreck um i know he keeps saying that he sees
[1014] 1:49:07	he's he's alerted other scholars who um
[1015] 1:49:12	to look at his book to consider his arguments you know if you really want to address my arguments buy my book
[1016] 1:49:21	um you know if your argument if your arguments have
[1017] 1:49:26	no potential to begin with who's going to buy your book
[1018] 1:49:33	it's just um it's just crazy
[1019] 1:49:38	you know the press by the way he's using if anyone wants to know is new creation
[1020] 1:49:44	press in nashville okay uh
[1021] 1:49:49	when i tried to look up this press i couldn't find a website i couldn't find a business address i couldn't find anything for this press
[1022] 1:49:57	um it's not a press i have ever heard of um it's
[1023] 1:50:02	i mean perhaps i missed something i mean that's that's always possible i mean who knows maybe new creation is an
[1024] 1:50:08	extension of random house um you know publishing is so volatile that that can happen
[1025] 1:50:14	but i couldn't find this publisher to to save my life you know uh and and it looks like it's uh given
[1026] 1:50:21	their press titles that they are a creationist press so
[1027] 1:50:26	um wow um just it's it's just very this book is just turning out to be very very
[1028] 1:50:32	strange um i i don't i haven't like like for example one argument i i notice he's
[1029] 1:50:39	he's he's sort of leaked ahead of time was um that um
[1030] 1:50:46	the pharaoh of the exodus had to be couldn't be a firstborn because um
[1031] 1:50:53	um of the tenth plague well it's a very strange argument
[1032] 1:51:01	because the the biblical text of the tenth plague specifically excludes
[1033] 1:51:09	pharaoh from being affected by the 10th plague
[1034] 1:51:15	so you know it's just like stuff like this just doesn't make any sense so he might have some new arguments
[1035] 1:51:22	but if there's if they're the same quality arguments he's had in the past
[1036] 1:51:27	you know it doesn't much matter if they're new if
[1037] 1:51:35	uh he's really sort of become um very strange and very second rate in
[1038] 1:51:42	his scholarship i i've really am surprised on how quickly
[1039] 1:51:48	his scholarship sort of degenerated from just sort of fringe to almost sort of
[1040] 1:51:56	um david roll kind of lunatic fringe um
[1041] 1:52:03	yeah uh i i i'm not gonna i mean i bought his first book i'm not gonna buy the second
[1042] 1:52:08	book this is because i'm expecting this to be just really sort of cuckoo for coco puffs is what i'm
[1043] 1:52:14	expecting so anyway thank you very much for the super chat you got my opinion on it
[1044] 1:52:20	there you there take it for the proverbial grain of salt it is all right
[1045] 1:52:26	and i think we have one more super chat there another one from louis sandoval for i
[1046] 1:52:33	think it's dominican republic um pesos 250 thank you very much for the super
[1047] 1:52:39	chat uh do you think that adam and eve perceives sumerian culture like
[1048] 1:52:45	goldbecky tepe or geroft culture or are they sumerian oh i
[1049] 1:52:50	think they long precede that long proceeded um i think it's even there's even some
[1050] 1:52:55	potential that they even proceeded to go becky tepe um but then again too what we're talking
[1051] 1:53:01	about here is um are we talking here as the what is the historical adam and eve
[1052] 1:53:08	and i do affirm a historical adam and eve but i also affirm that adam and eve are also
[1053] 1:53:15	literary archetypes as well so um
[1054] 1:53:21	uh if we talk about say the historical adam and eve here i think what we're talking about is someone someone who
[1055] 1:53:26	long long predates um human civilization or culture
[1056] 1:53:33	so um long before samaria long before say the ancient cultures
[1057] 1:53:39	you had adam and eve and when we start going back that foreign time things get really really murky you
[1058] 1:53:46	know even if we go back just to go becky tepi you know there's no written texts
[1059] 1:53:52	we've got a temple with pictographs on the wall not language just
[1060] 1:53:58	pictographs of animals we don't
[1061] 1:54:07	so we don't have anything to tell us what actually happened at goldbecky teppy
[1062] 1:54:13	other than what is archaeologically in the dirt so we got no texts
[1063] 1:54:19	no human writing at that point human writing had not been invented yet at least as far as we can tell
[1064] 1:54:25	you know human writing only goes back to about 33100 bc
[1065] 1:54:32	anytime before then we're in many ways guessing
[1066] 1:54:38	uh or at least trying to piece it together from archaeological remains now with something like gobeki tepi that
[1067] 1:54:45	dates to 10 12 000 bc yeah we have we we have no idea
[1068] 1:54:51	we have no idea how they live the culture all that apart from the
[1069] 1:54:56	archaeology of the site you go back further to adam and eve
[1070] 1:55:03	well yeah how to even put that together how do you even put that together you
[1071] 1:55:09	know two people are not going to leave much in way of archaeological remains so
[1072] 1:55:14	um yeah so uh
[1073] 1:55:22	um it may not be the most satisfying answer but you know again sometimes i don't
[1074] 1:55:28	know is the best answer so anyway i do appreciate the super chat and at least we had the opportunity here
[1075] 1:55:33	to discuss some of the issues involved but anyway i want to thank you for that super chat i very much appreciate it and
[1076] 1:55:39	it is still a good question uh and it did give us the opportunity to talk about samaria and aguel
[1077] 1:55:44	aguabekitepi as well so that's always a fun too so anyway thank you very much for the super chat
[1078] 1:55:51	okay anyway uh let's see here
[1079] 1:55:57	i am going to see about one more non-super chat
[1080] 1:56:03	and then we're going to call it a night
[1081] 1:56:15	oh dear saggy y'all don't give dr falk a headache too late
[1082] 1:56:22	[Laughter]
[1083] 1:56:28	okay let's see here um
[1084] 1:56:35	oh oh bing put one of my favorite questions at
[1085] 1:56:41	the end here okay we're gonna make this the last
[1086] 1:56:47	non-super chat for the night if someone slips in the super chat oh yeah we'll take the super chat but this is gonna be the last non-super chat of the night
[1087] 1:56:54	okay what were the ancient egyptian punishments for adultery
[1088] 1:57:00	now the whole um the whole question of adultery in
[1089] 1:57:05	ancient egypt revolves around
[1090] 1:57:11	it's all it all revolves around the social strata of egypt your typical it was always expected that
[1091] 1:57:19	a married woman would only have relations with her
[1092] 1:57:24	husband but that did not prevent a marriage from being a revolving door
[1093] 1:57:32	uh both men and women have
[1094] 1:57:38	um have um oh it's called now um the
[1095] 1:57:44	right to marry and divorce at will a woman could call
[1096] 1:57:52	um um just a second here
[1097] 1:58:00	oops uh mouthwash here wait i have a super chat okay yup we'll
[1098] 1:58:06	wait for your super chat it's not too late but let's get back to bing's question
[1099] 1:58:13	here okay um so uh both men and women had the right
[1100] 1:58:18	to marry and divorce on their own prerogative so normally what happened in the case of
[1101] 1:58:25	adultery was there would just be a messy divorce
[1102] 1:58:30	messi usually meant that that there might be a law court involved
[1103] 1:58:36	with division of property although most of the time um property division in divorce cases in
[1104] 1:58:43	egypt was so well established that the courts didn't usually need to get involved but there were some times like
[1105] 1:58:50	for example um where a worker at daryl medina got a
[1106] 1:58:56	ration of food that um that a divorce spouse could claim part
[1107] 1:59:02	of that ration and because that ration wasn't didn't fall under the normal say
[1108] 1:59:09	um two-thirds one-third split of property that there would be a court case over it so in those cases sometimes
[1109] 1:59:18	divorces went to court but most that most of the time uh the the punishment for adultery was
[1110] 1:59:26	simply um divorce now there were exceptions to this
[1111] 1:59:33	and exceptions happened when there was an an egregious transgression of class
[1112] 1:59:42	like for example if a high-ranking woman committed adultery with a slave
[1113] 1:59:49	that was an egregious um violation of class
[1114] 1:59:54	and that could end up with her having either her nose or ears cut off
[1115] 2:00:00	and in the case of the slave be turned over for a capital punishment
[1116] 2:00:07	hence this is where we get the story of joseph from is we have in the case of joseph is not just adultery
[1117] 2:00:15	the punishment there why the death penalty loomed over joseph's head
[1118] 2:00:20	wasn't because he was accused of committing adultery it was because he was accused of
[1119] 2:00:27	committing adultery and rape essentially with a high ranking woman
[1120] 2:00:33	and potiphar's wife threw him under the bus because the potential punishment for her
[1121] 2:00:40	was having her nose cut off and having your nose cut off
[1122] 2:00:46	is really really a serious punishment um it's it's it's a disfiguring
[1123] 2:00:53	punishment that turns you into a social pariah um
[1124] 2:00:59	my wife my wife and i did a little side trip uh to tombstone arizona one year
[1125] 2:01:06	uh when we were doing on a business trip to tucson and there was a photograph of a native
[1126] 2:01:12	american woman who had had her nose cut off as a punishment for adultery
[1127] 2:01:19	and um it is utterly disfiguring it is utterly disfiguring
[1128] 2:01:26	um and it's it's really hard to see
[1129] 2:01:31	it's really hard to see um it's it's a punishment that one should never ever
[1130] 2:01:36	um underplay or or understate
[1131] 2:01:41	it's a serious thing so um that was normally say the maximum
[1132] 2:01:47	punishment for adultery um in the case of the higher class woman it would have been
[1133] 2:01:52	um say disfigurement in the case of a lower class person
[1134] 2:01:59	it would would be um say up to execution normally though an execution in egypt
[1135] 2:02:06	usually was the result of one or two methods which was either um
[1136] 2:02:11	they either sliced your throat or they strangled you to death with rope
[1137] 2:02:17	so that's how how executions were typically done in ancient egypt um
[1138] 2:02:22	so um but normally like like 99 of the time
[1139] 2:02:30	most um most adultery in ancient egypt ended in divorce
[1140] 2:02:35	and that's because you get out of divorce so easily you know the fact is that you know if there was
[1141] 2:02:42	even sort of the the hint that your husband was going to accuse you of adultery
[1142] 2:02:48	you could just claim matt divorce you right now that's it you're divorced
[1143] 2:02:54	so you know why go through the whole penal process when you can just get out of it with a word
[1144] 2:03:01	and that's all you had to do to to divorce an ancient egypt was just say hey i'm divorcing you
[1145] 2:03:06	that's done that's it so you know
[1146] 2:03:12	no one hangs around dude for for a criminal trial when you can just get out of it with a word
[1147] 2:03:18	so um serious punishment for adultery was really really rare in egypt it's really
[1148] 2:03:24	really rare just because people he exercise common sense in these matters
[1149] 2:03:30	so anyway thank you very much for the question i see we've got two more super chats here let's take them
[1150] 2:03:37	so uh louis sandoval again for dop 250 thank you very much for the
[1151] 2:03:43	super chat uh what makes theophanies in the old testament or any ancient near east or
[1152] 2:03:50	whichever ancient culture as valid and real and how did they make contact well
[1153] 2:03:58	that's a good question
[1154] 2:04:03	now theophanies in almost any religion are rare
[1155] 2:04:09	um there is nothing common at all about theophanies um
[1156] 2:04:17	as far as i can recall i don't think there was ever i think that maybe one or two recorded
[1157] 2:04:25	theophanies in egyptian texts they're exceptionally rare
[1158] 2:04:30	you don't find them in egypt uh pretty much i mean you really only find
[1159] 2:04:36	them mentioned uh you might find one or two mesopotamian literature i'm not quite
[1160] 2:04:41	sure in the literature here you don't seem to find them in eucharic literature
[1161] 2:04:48	you do find them though in israelite literature and
[1162] 2:04:55	how did they make contact often they made contact um
[1163] 2:05:00	through say there's several ways that um theophanies often make contact but
[1164] 2:05:06	usually it was through direct visitation the
[1165] 2:05:11	god would take on say a human-like form and it's kind of sort of understood that
[1166] 2:05:17	these are not real flesh they're not incarnations
[1167] 2:05:22	and we have to sort of keep that in mind is this what's being shown here is not an incarnation but a visage
[1168] 2:05:30	uh essentially these theophanies and manifestations of spiritual beings are
[1169] 2:05:37	taking on the visage of human form which means they are like human
[1170] 2:05:43	but they are not human so what does that mean that means that
[1171] 2:05:49	they are they they look human-ish they don't have blood they don't have
[1172] 2:05:55	flesh they don't have dna they cannot reproduce okay
[1173] 2:06:01	so that is what we're sort of talking about here is a spirit taking on a visage that
[1174] 2:06:07	looks human and that's how the theophany often manifests
[1175] 2:06:14	now in some cases theophanies do show up in different ways sometimes it's shining light as in the case of paul
[1176] 2:06:21	on the road to um on the road to damascus it can be um um
[1177] 2:06:28	uh you know the cloud opening up and a dove coming down as in the um
[1178] 2:06:33	as in the transfiguration uh there's there's there's several ways
[1179] 2:06:39	that theophanies can take take form you have say the theophany of of yahweh
[1180] 2:06:46	visiting um abraham and sarah as like a man as the son like as like the son of
[1181] 2:06:52	man where where you know abraham you know says prepare food
[1182] 2:07:00	for this this this this this blessed guest so
[1183] 2:07:06	we have to understand that when god does do theophanies or we can even say e when
[1184] 2:07:12	angels even manifest they're doing so in such a way
[1185] 2:07:18	that they have parody with us okay and by parody i mean that there's a
[1186] 2:07:25	commonality of the way we communicate you know angels are not speaking in
[1187] 2:07:30	angelic tongues when they want to communicate a message to us and neither does god
[1188] 2:07:37	because we wouldn't understand it i mean if god came down to me and
[1189] 2:07:42	started talking in swahili i couldn't understand it i would not i mean we've already seen my
[1190] 2:07:49	my aptitude with with with german tonight and
[1191] 2:07:56	and it was none too good so if god wanted to come down and talk to me directly he wouldn't be talking to
[1192] 2:08:02	me in in german or swahili he'd be talking to me in english because that's where we would have parity
[1193] 2:08:10	god has to sort of condescend to our level to be able to communicate with us
[1194] 2:08:16	so theophanies are a form of condescension they're a way of god
[1195] 2:08:22	um showing solidarity with mankind by taking on mankind's attributes
[1196] 2:08:29	temporarily and speaking in mankind's language temporarily
[1197] 2:08:35	to have that solidarity to be able to have some sort of exchange in
[1198] 2:08:40	communication because if you do not have an exchange in communication
[1199] 2:08:47	it's nothing but a light show it's nothing but a light show
[1200] 2:08:53	and god wants more than a light show here he wants people to understand who he is
[1201] 2:09:02	so i think that is generally how the theophany's manifested
[1202] 2:09:07	um i think this is very consistent with even say later christological language
[1203] 2:09:15	that we find in the new testament where god became flesh and dwelt with us
[1204] 2:09:21	basically tabernacled with us he tabernacles with us he sits in the
[1205] 2:09:28	tents with us as fully god
[1206] 2:09:33	fully man so that he has solidarity with man
[1207] 2:09:38	so that he could communicate and act as a savior as that that intercessor
[1208] 2:09:45	between god and man so
[1209] 2:09:50	that's how i believe theophanies worked in the old testament
[1210] 2:09:56	the other ancient near eastern religions just don't have enough information about theophanies to really sort of pull
[1211] 2:10:03	together anything coherent here so um anyway that is my take on theophanies
[1212] 2:10:10	thank you very much for the super chat very much appreciated
[1213] 2:10:16	okay and mouthwash for uh 15 israeli shekels thank you very much for the super chat i'm glad you
[1214] 2:10:22	could make it tonight uh we do miss you when you're not here so i'm glad you're here
[1215] 2:10:28	okay uh the egyptian flood myth involves blood caused by sekhmet
[1216] 2:10:33	when and where does it originate and is it in any way related to the plague of blood okay no it is not related to the
[1217] 2:10:40	plague of blood um although it could be there's there is um some possibility
[1218] 2:10:47	that um and again remember what we're talking about here in blood is ooey gooey black oozy slime crude oil
[1219] 2:10:56	type of of look of blood here and sekhmet is a very vicious deity i
[1220] 2:11:02	mean she is she is just a nasty piece of work um
[1221] 2:11:08	and from what i recall of the uh myth
[1222] 2:11:13	and it's been a while since i've looked at the second flood myth is that they have to actually get her
[1223] 2:11:18	drunk to put her to sleep so that they can sort of wash out the
[1224] 2:11:25	nile and uh uh make it new again it's not a it's not a a flood in the truest sense it's more
[1225] 2:11:33	of a the sort of the annual inundation of the flood um that she sort of participates in
[1226] 2:11:42	but it's also sort of the case too that um the egyptians didn't always see the nile
[1227] 2:11:49	um at the this is this is uh the river turning to blood
[1228] 2:11:56	only ever happened at the very initial stage of the nile inundation
[1229] 2:12:01	um and it was considered to be a very rare event it's happened a couple times in egyptian
[1230] 2:12:07	history we find it happening uh recorded once in the prophecy of nefertiti
[1231] 2:12:13	and that's believed to have been around 2100 bc
[1232] 2:12:19	so it doesn't happen very often it's a very rare event um and it does seem to happen with a
[1233] 2:12:25	particularly high um [Music]
[1234] 2:12:31	inundation cycle so um but the second myth is very old too
[1235] 2:12:39	um do we know where it originated no not really um i might be able to research it and find
[1236] 2:12:45	out a little more about it but um i i haven't looked into it uh all that much because it's um
[1237] 2:12:52	um frankly i haven't started my research on that book yet um because we're still sort of trying to
[1238] 2:12:58	secure funding to do that book but um it is interesting i mean
[1239] 2:13:04	uh i don't think i don't think i don't think it is related to the plague of blood in in
[1240] 2:13:09	except for it might be um um a similar event that happened in the
[1241] 2:13:16	past because we do find that event you know recurring in ancient egypt a couple times
[1242] 2:13:22	so but it is rare it is rare so um anyway uh thank you very much for
[1243] 2:13:27	the super chat very much it i hope that answered your question
[1244] 2:13:34	rachel ends saying hey from the okanagan well hello
[1245] 2:13:39	uh wow
[1246] 2:13:44	uh cool uh well you're not exactly local for us uh
[1247] 2:13:50	for people who are uh who who know um the geography of british columbia it's a
[1248] 2:13:56	huge province um so she is actually a long ways away from vancouver um but
[1249] 2:14:02	it's it's good to see a fellow british columbian uh on this on on the live stream it's it's cool that's really cool
[1250] 2:14:12	okay and she leaves a super chat wow thank you very much
[1251] 2:14:18	are the hieroglyphs in this background made with stamps pressed in soft clay
[1252] 2:14:23	they seem so uniform and repeatable archaeological evidence um
[1253] 2:14:28	no this was the the the hieroglyphs in my background picture here are actually from a tomb at on the giza
[1254] 2:14:36	plateau so they're actually carved in stone
[1255] 2:14:42	um the whole sort of giza plateau is made
[1256] 2:14:47	of limestone so um most the tombs on the giza plateau do
[1257] 2:14:54	have some hieroglyphs that are actually carved into the stone itself so
[1258] 2:15:00	that is um really what we are
[1259] 2:15:06	um looking at here is this i mean i mean i get where you could say i think that was clay i mean it did have a reddish
[1260] 2:15:13	color it does have a reddish color but um the reddish color actually comes
[1261] 2:15:18	from something called desert varnish and we do find in sort of desert climates
[1262] 2:15:25	where um stone over time even if it's soft granular will often develop a
[1263] 2:15:31	darker varnish over it because sand gets blown on to it and
[1264] 2:15:37	starts to discolor by abrasion so what we have here is a beautiful set
[1265] 2:15:43	of hieroglyphs that were where were were um carved into the native stone
[1266] 2:15:49	and this is a subterranean um tomb on the giza plateau it's very close to
[1267] 2:15:57	the um the um the pyramid of khufu so this is roughly contemporary with the
[1268] 2:16:04	time of khufu uh that's he's the builder of the great pyramid and it's it's it's subterranean but this
[1269] 2:16:11	is sort of the area that's that's exposed to the door and the corridor so
[1270] 2:16:18	in ancient times um it had a lot of exposure to say the elements
[1271] 2:16:24	so so that's why it's kind of got that look of of of baked clay
[1272] 2:16:30	even though it is stone so anyway uh thank you very much for the
[1273] 2:16:35	question um it's a wonderful tomb it's so it's one of the wonder i mean there's actually
[1274] 2:16:41	several wonderful tombs at giza um and uh
[1275] 2:16:46	my my i i actually prefer master buzz over pyramids i hate pyramids um i hate
[1276] 2:16:52	parents so much oh i hate pyramids uh i know i've said that repeatedly but i
[1277] 2:16:58	just so hate pyramids but what i love is the mastabas and
[1278] 2:17:04	tombs that often surround pyramids uh some of the best tombs in all of
[1279] 2:17:11	egypt are actually mastabas because they're beautifully decorated they've got great hieroglyphs they've
[1280] 2:17:17	got interesting inscriptions mastables are wonderful pyramids suck
[1281] 2:17:24	so this was in one of the tombs that were uh one of the satellite
[1282] 2:17:29	master buzz that was around say that um the pyramid of king khufu
[1283] 2:17:35	so anyway that's the information regarding the background there anyway uh thank you very much for that
[1284] 2:17:41	super chat and it's so great to to see you here and great to find out that you're from the okanagan uh fantastic
[1285] 2:17:48	okay so uh i think we're gonna call it a night here we've been actually going off
[1286] 2:17:54	for two hours and 20 minutes um i want to thank everyone who has
[1287] 2:18:00	participated tonight um thanks again to everyone who donated a super chat
[1288] 2:18:06	i want to thank our patreon supporters um you guys actually really really help
[1289] 2:18:12	us to buy new equipment and to upgrade our stuff um without it uh i mean i've i've we've
[1290] 2:18:18	now been going as a channel now for about 18 months yeah i know it it seems like we just
[1291] 2:18:24	started this but it's been 18 months and you know going back to say our very
[1292] 2:18:30	first videos that we ever did where it was some um webcam from the 1980s
[1293] 2:18:36	and a uh clip-on speaker uh microphone and uh you
[1294] 2:18:42	know looking at the quality of those videos and it's just like wow it was that bad we've been slowly making instrumental um
[1295] 2:18:49	improvements to equipment as we go along here but i again want to thank all the
[1296] 2:18:55	patreon supporters because you guys have really really helped us to upgrade our equipment and we so appreciate it
[1297] 2:19:02	um i want to thank you to the people who are trying to help us get our next book written through gofundme
[1298] 2:19:10	and i want to also thank all our subscribers uh you guys watch the channel
[1299] 2:19:16	every for every person who watches the video on the channel that feeds the youtube algorithm
[1300] 2:19:24	when the youtube algorithm gets fed they promote the videos more and that ultimately helps us so even
[1301] 2:19:31	just by watching you're helping us so anyway with that said thank you very much for watching and i
[1302] 2:19:38	will see you next time on ancient egypt and the night and the bible goodnight everyone
[1303] 2:19:43	[Music]
[1304] 2:20:41	you
