[0] 0:00	e [Music]
[1086] 2:08:25	the great of Persia is also Darius the me okay so we have the historical
[1087] 2:08:34	context here that the same night belar king of celan was slain so Darius the me
[1088] 2:08:41	we know this also that Cyrus the Great was the was conquer here receive the Kingdom at age 62 so in Daniel 5 I would
[1089] 2:08:50	I would say that Darius the me is Cyrus the Great okay now Daniel
[1090] 2:08:59	991 Daniel 91 now this is a different
[1091] 2:09:06	Darius okay this is a different Darius in the first year of Darius son
[1092] 2:09:14	of hush Ros okay now who is aasher RO a
[1093] 2:09:21	ausher Ro is Artis zores uh the son of the Darius here
[1094] 2:09:29	refers to Darius II this is not Darius the me okay but he is of me in Ascent
[1095] 2:09:37	okay who is King over the kingdom of calans okay so we have a different we
[1096] 2:09:44	have a different sort of line here now um the whole sort of line here is
[1097] 2:09:50	complicated between que husher Ro and Darius um because he's
[1098] 2:09:56	the brother of or the son of the brother
[1099] 2:10:01	of the successor of hashar Ro who was
[1100] 2:10:08	assassinated and he renames himself to Darius okay so it's more likely that
[1101] 2:10:14	Darius is a grandson of a hashar ro but that's okay in Egyptian or sorry in
[1102] 2:10:19	Hebrew terms cuz a grandson is also a son okay so that's that's fine as well
[1103] 2:10:26	but it looks like that this is Darius II not Darius the me so that's how we would sort of um
[1104] 2:10:35	sort of tease this out Darius the me is Cyrus the Great and Darius son of hos Ro
[1105] 2:10:42	is Darius II okay so I hope that helps thank you very much for the Super Chat
[1106] 2:10:48	very much appreciated
[1107] 2:10:54	okay uh en jaon RAF for $5 thank you very much for the Super Chat Luke 11:1
[1108] 2:11:00	what would John or what would Jesus teach his disciples about prayer that would be different from how a Jew would
[1109] 2:11:07	normally pray let's pull up the Bible
[1110] 2:11:12	and go to Luke
[1111] 2:11:18	Luke 11 and verse one here and it came about
[1112] 2:11:24	that while he was praying in a certain place after he had finished one of his disciples said to him Lord teach us to
[1113] 2:11:31	pray just as John taught his disciples all right what was
[1114] 2:11:38	different the difference was Jews didn't pray Le not many of them
[1115] 2:11:44	did it was not a normal practice now we do see some scenes in the New Testament
[1116] 2:11:49	of people praying in the temple Temple but it wasn't usual it wasn't a
[1117] 2:11:55	normal thing to do it was considered at the time an ancient obsolete
[1118] 2:12:02	practice so what happened was in the history of of Israelite religion was you
[1119] 2:12:07	had the first temple and people essentially communicated to God through sacrifices
[1120] 2:12:15	okay so if you had a request to God you did a sacrifice you did a grain offering
[1121] 2:12:24	you did a meat offering you did some sort of offering that you would tie to a
[1122] 2:12:31	request and I didn't have to spell out the request because God knew the request already so God knew the request he knew
[1123] 2:12:39	you were giving an offering for that request and then God would honor or say no to that
[1124] 2:12:46	request so in Temple ritual
[1125] 2:12:51	the the whole idea of communication of God was done through offerings and sacrifices
[1126] 2:12:57	okay so what ended up happening though is when Nebuchadnezzar destroyed the
[1127] 2:13:05	temple they didn't have a temple anymore to do sacrifices so what happened was when
[1128] 2:13:11	people were exiled to Babylon they started doing these little
[1129] 2:13:16	places called synagogues okay uh basically meeting places where they
[1130] 2:13:21	could learn about the scriptures learn about their culture and pray read the Torah read the
[1131] 2:13:30	prophets and pray to God so prayer developed in the early
[1132] 2:13:35	synagogue movement in Babylon but when the Exiles returned
[1133] 2:13:42	from Babylon and rebuilt the temple most of them reverted to the old
[1134] 2:13:48	method of request which was through offerings and sacrifices so it was sort of in the
[1135] 2:13:55	first century prayer was seen as a antiquarian
[1136] 2:14:00	practice it was a practice that wasn't formally taught it wasn't formally taught some
[1137] 2:14:07	people still practiced it because people tended to practice these things in their
[1138] 2:14:12	homes but it wasn't something that had say sanctioned by the religious
[1139] 2:14:18	establishment the religious establishment the the Sadducees still preferred that the
[1140] 2:14:24	method of communicate communicating with God was still through through
[1141] 2:14:29	sacrifices so your typical Israelite didn't know how to
[1142] 2:14:35	pray it wasn't taught that way so when they were taught they were taught
[1143] 2:14:43	that um they were taught to say bring their offerings you know bring their bring
[1144] 2:14:51	bring their sacrifices God knows the
[1145] 2:14:56	rest but it's only then in that first century millu that with the Holiness
[1146] 2:15:02	Revival of the Pharisees you started getting
[1147] 2:15:07	people interested in prayer again so it it's it's during the New
[1148] 2:15:14	Testament that prayer has a Renaissance a Renaissance that it hadn't seen since
[1149] 2:15:21	since the Babylonian exile and it's at that point in
[1150] 2:15:27	time that that the disciples come in and they
[1151] 2:15:34	say hey there's people around here praying we don't know how to pray you know John's disciples know how to pray
[1152] 2:15:41	teach us too teach us too that's a good that's a good request
[1153] 2:15:47	that's a very good request so Christ teaches them how to
[1154] 2:15:55	pray and um you know Christ was in a great position to do this because this
[1155] 2:16:00	would be have been a practice that had been done um at Nazareth you know
[1156] 2:16:06	Nazareth was a good post exilic town that was established uh when the Israelites
[1157] 2:16:11	returned from Babylon so this was a practice that they did do in Nazareth as well so
[1158] 2:16:22	so anyway I hope that explained the practice and how it would have differed from say uh how Jews would normally pray
[1159] 2:16:30	which was not at all and you know pray prayer practice is kind of all over the map too you know
[1160] 2:16:37	there were people who were doing it in various positions some did it prone face first on the ground stretched out you
[1161] 2:16:43	know you had some people who stood in prey you know he had a variety of practice there was no consistency to the
[1162] 2:16:48	practice at all so I hope that helps thank you very much for the Super Chat very much appreciate
[1163] 2:16:55	uh it's an interesting topic it's a really interesting subject because it's it's one of those subjects that you know you kind of assume that they always did
[1164] 2:17:01	pray but you know it's not true very it's very specific to certain times and
[1165] 2:17:07	places in Israelite history I want to thank Jack Ray for
[1166] 2:17:12	gifting five Egypt and the Bible memberships really appreciate that thank you very much for the sort support of
[1167] 2:17:18	the channel Jack CU frankly your p and helping pay for those burnt out
[1168] 2:17:24	capacitors that would
[1169] 2:17:30	bang made for a very exciting night ah the smell of burning epoxy in
[1170] 2:17:37	the morning okay Addison Weir asked the
[1171] 2:17:44	question for $499 thank you for the Super Chat does Eve being created within the
[1172] 2:17:50	the garden suggest a special relationship to the inner world of the garden as Kevin D young
[1173] 2:17:56	argues um potentially possibly
[1174] 2:18:02	maybe it's hard to say though it's hard to say
[1175] 2:18:07	um is it is clear that she's being created for service within the temple
[1176] 2:18:14	the Temple of of Eden that God is setting up okay so so there is some potential
[1177] 2:18:21	there for that and I don't see that there's any anything that say says rules that out there's nothing that's
[1178] 2:18:28	basically says Adam comes from the outside we know he comes from the
[1179] 2:18:35	outside Adam is basically brought into the garden after
[1180] 2:18:41	creation Eve seems to be created with inside that Sacred Space
[1181] 2:18:52	so there could be a special relationship there uh particularly one of
[1182] 2:18:59	service given that both Adam and Eve are supposed to be high priest and Priestess
[1183] 2:19:05	of humanity so it's possible it's possible it's hard
[1184] 2:19:12	to say what the what that relationship would be uh I would have to read him a bit
[1185] 2:19:19	more to figure out what he means by special relationship so but I wouldn't I
[1186] 2:19:25	wouldn't automatically exclude it either wouldn't automatically exclude it so anyway I hope that helps thank you very
[1187] 2:19:31	much for the Super Chat very much
[1188] 2:19:40	appreciate uh Billy ningin for $5 thank you for the Super Chat uh good evening
[1189] 2:19:47	Dr F well good evening Billy what are you thoughts about the news about the evidence of Assyrian camp that supports
[1190] 2:19:54	the Bible I need to look into this more I did hear a little bit about this but I haven't had the chance to
[1191] 2:20:01	read on it but it's very provocative if true if it is true it's very
[1192] 2:20:09	interesting I again I need to I need to hear more about
[1193] 2:20:15	this but I did her he just a little bit I heard that there was some evidence
[1194] 2:20:21	that they had found in Assyrian Camp outside of Jerusalem but I need more info but it wouldn't it wouldn't change
[1195] 2:20:28	I don't think it would change anything really materially except if we find like the size of the
[1196] 2:20:35	camp um interestingly enough that is one of the most well documented events in the
[1197] 2:20:43	biblical World some of argue that it's the most well documented event it
[1198] 2:20:48	appears on three cylinders historical cylinders and the biblical text you know
[1199] 2:20:55	to have four accounts of an single event in the ancient world that's that's remarkable that's
[1200] 2:21:02	that's huge okay so we know that the siege of sakb uh of Jerusalem is very
[1201] 2:21:12	very well documented and it's very mysterious too
[1202] 2:21:19	and Myst serous in some strange ways like for
[1203] 2:21:26	example um no that doesn't include Herodotus Justin no no Herodotus account
[1204] 2:21:33	is is much later and and different but but these are contemporary accounts these are contemporary accounts which is
[1205] 2:21:40	again very interesting uh in the case of say you
[1206] 2:21:46	know even say the Assyrian point of view here
[1207] 2:21:53	where you know there's this you know he
[1208] 2:21:58	sakb says of uh of Hezekiah that he's got him
[1209] 2:22:04	trapped in Jerusalem like a bird in a cage okay like a bird in a cage and then
[1210] 2:22:12	they go
[1211] 2:22:17	home no mention of tribute no mention of a victory it just picks up back at home
[1212] 2:22:26	it's really odd it's one it's it's one of the strangest things you find in an Assyrian
[1213] 2:22:31	cylinder account because they love bragging about the tribute Oh Oh They'll they'll go on for
[1214] 2:22:38	for for pages and pages about all the lovely stuff that they
[1215] 2:22:43	pillaged nope not this time got trapped like a bird in the cave
[1216] 2:22:50	Ag and we went home
[1217] 2:22:56	what yeah it's it's so abrupt it's such an Abrupt account that you kind of
[1218] 2:23:04	go what the heck is going on here no no no um Christ ma says I
[1219] 2:23:12	thought the inscription says Hezekiah had to pay heavy tribute no it doesn't doesn't say that there's no mention of
[1220] 2:23:18	tribute there's nothing no it's just like it's just it's
[1221] 2:23:26	just silence it's really weird I mean
[1222] 2:23:31	it's really weird even for an uh an ancient new eastern account and anent
[1223] 2:23:37	Eastern accounts are sometimes kind of strange anyway but I mean it's
[1224] 2:23:43	just it's just weird to to see an account like that where it's just like
[1225] 2:23:49	yep I'm trapped like a bird in the cage oh time to go tea
[1226] 2:23:59	time oh I mean yeah I mean you would you would sus I mean you would think that
[1227] 2:24:05	they would they would put at least face on this a brave face you know a you know
[1228] 2:24:12	you would expect them to say oh yeah we we made Hezekiah pay a huge
[1229] 2:24:17	tribute and then they would go on and describe the tri
[1230] 2:24:23	but that's not what you see it's it's as I said it's one of the weirdest accounts I've ever
[1231] 2:24:29	read Danny DeMent never speak of this
[1232] 2:24:39	again pretty
[1233] 2:24:45	much gab Bri we went there moving swiftly to another T
[1234] 2:24:55	topc yeah as I said it's it's it's weird for Syrian documents it's weird for any
[1235] 2:25:01	ancient near Eastern document any ancient near Eastern Conquest you
[1236] 2:25:08	know it's weird oh yeah there's always some some I
[1237] 2:25:15	mean I mean even even with a loss and and Assyrians did record their losses
[1238] 2:25:21	sometimes um an example of this is the Battle of Kish or not Kish car car
[1239] 2:25:30	okay the Battle of car car was a loss for the
[1240] 2:25:36	Assyrians okay it was a full out loss for the Assyrians that Coalition
[1241] 2:25:44	that was put up against the Assyrians um was very successful and it's very interesting uh
[1242] 2:25:51	too because that that particular account because it mentions all the kings in the
[1243] 2:25:57	Coalition you know and basically the way the Assyrians spun that one is you know
[1244] 2:26:02	we were up against overwhelming odds but we Afflicted heavy heavy damage on the
[1245] 2:26:10	Coalition okay we didn't win but there's no way we could have okay cuz Gods weren't on our side
[1246] 2:26:17	on this one they had too many gods against
[1247] 2:26:22	us okay so you know the Assyrians did did sometimes mention
[1248] 2:26:30	losses and then the king gets ultimately assassinated and it's like you see he didn't do well at carker now he gets to
[1249] 2:26:37	pay the price by being assassinated
[1250] 2:26:43	okay but you so they do have ways of kind of
[1251] 2:26:49	trying to to to spin it to spin these
[1252] 2:26:54	things but with the with the cylinders at um of sakb it's it's it's it's
[1253] 2:27:00	nothing it's like I'm trapped like a bird in a cage moving on to the next
[1254] 2:27:07	topic really weird really weird and really uncharacteristic of
[1255] 2:27:13	them so um yeah it was it was it was kind of crazy really crazy crazy read
[1256] 2:27:22	okay
[1257] 2:27:28	so Gabe says so it makes you wonder how bad things went when they wouldn't write
[1258] 2:27:33	anything down yeah yeah the losses must have been staggering if they wouldn't write
[1259] 2:27:39	anything down that's all I can think of is you know it does make me lean towards
[1260] 2:27:47	towards say the biblical account where they just open the window is of of the walls and see 100,000 dead Assyrians on
[1261] 2:27:54	the deck probably from
[1262] 2:27:59	dentry pneumonic plague yeah pneumonic
[1263] 2:28:04	plague you know wipe everyone out in a few days yeah so it's that
[1264] 2:28:12	would be my guess is and frankly to be honest pneumonic plague in a camp like
[1265] 2:28:18	that wouldn't surprise me I mean
[1266] 2:28:23	frankly those those military camps were not hygienic know the hygiene in those
[1267] 2:28:29	places were terrible they were terrible it was disgusting um just
[1268] 2:28:36	H yeah so you know it wouldn't surprise me if plague Boke broke out and wiped out tens of thousands of
[1269] 2:28:45	people because you know pneumatic plagues did that
[1270] 2:28:55	I still remember um the discussion over say the Vietnam War when pneumonic
[1271] 2:29:01	plague broke out during that time it was one of the times when they stopped the war the Vietnam conflict I think it was
[1272] 2:29:08	for like seven days to get everyone vaccinated because pneumonic plague had
[1273] 2:29:13	broke out yeah just ugly
[1274] 2:29:25	okay so let's get back here to the super
[1275] 2:29:33	chats all right so that was Billy ningens all right next one here from
[1276] 2:29:38	Juan for $2 thank you very much for the Super Chat where do evil spirits demons originate in the Bible uh it's part of
[1277] 2:29:46	the world view it's it's just it's part of The View view of the ancient eies it's
[1278] 2:29:53	everywhere so you know it's not something that needs to really originate in the Bible because it's just part of
[1279] 2:30:00	the culture um now are you ask if you're
[1280] 2:30:07	asking where they came from ontologically like where do they originate in
[1281] 2:30:13	creation that's a slightly different question um the ear
[1282] 2:30:20	uh the earliest we do have mentions of angels and Spirits in
[1283] 2:30:26	tah particularly the angels we do have I believe in some some mentions of Angels
[1284] 2:30:32	in Torah do a quick check here what's the earliest one uh in Genesis we do
[1285] 2:30:38	find Angels mentioned
[1286] 2:30:47	um uh onean asks deeper than that uh is there lore reason for it did God
[1287] 2:30:53	create them oh okay yeah
[1288] 2:30:59	okay um it is part of
[1289] 2:31:04	creation um Spirit beings are a part of
[1290] 2:31:09	creation there's there's a few things there's a few things we have to kind of understand the sort of because because
[1291] 2:31:17	we're dealing here with high context culture here in high context texts
[1292] 2:31:22	there's some things that they don't mention in the Bible that are sort of a
[1293] 2:31:28	given in these texts um and one of those things that's that's
[1294] 2:31:36	understood by the authors of the biblical text that they don't
[1295] 2:31:42	communicate is that creation can't manage itself
[1296] 2:31:50	okay so he's there there's there's no deistic view in ancient in the ancient world the sort of the god is the Divine
[1297] 2:31:59	clock maker that just starts the winds up the clock and lets it go that's that's not something you find in the ancient
[1298] 2:32:05	world there's in the ancient world it is
[1299] 2:32:10	believed that creation needs to be
[1300] 2:32:16	sustained and when you create something it doesn't it's not created on its
[1301] 2:32:24	own it rapidly falls apart so there are creatures Spirit
[1302] 2:32:32	Critters that are created to support or are say
[1303] 2:32:40	um a side effect of creation okay because the idea here is
[1304] 2:32:48	that creation is such such a a cataclysmic and terrible
[1305] 2:32:55	thing that creation also creates with it Spirit entities that are equally
[1306] 2:33:03	powerful cataclysmic and and um work
[1307] 2:33:11	to either support or demolish
[1308] 2:33:16	creation this is the origin of the chaos monsters
[1309] 2:33:21	okay like Behemoth uh Leviathan Rahab okay
[1310] 2:33:28	so when God created he did so in such a
[1311] 2:33:35	cataclysmic way that these these creatures these chaos monsters
[1312] 2:33:42	resulted now as God vanquished chaos
[1313] 2:33:48	Monsters of other Spiritual Beings had to fill in the place to hold up maintain
[1314] 2:33:56	support creation that's where say the Council of
[1315] 2:34:02	gods comes in the prim what's sometimes called the primordial Gods these are minor spirits that
[1316] 2:34:09	are um uh Cody mck I know she was a harlot
[1317] 2:34:16	but calling herab a monster K monster seems a bit
[1318] 2:34:21	harsh not the same ra okay R okay just
[1319] 2:34:27	not the same [Laughter] one that was funny though but no not the
[1320] 2:34:34	same one okay so as God sort of Retreats from creation
[1321] 2:34:42	as creation falls under the curse and
[1322] 2:34:48	sin see Spirit sort of fill in the gaps they fill in where God Retreats from to
[1323] 2:34:55	maintain and hold up creation and that's what they're supposed to that that's that's their job right that's their
[1324] 2:35:00	tended function some of them will do that Faithfully some of them
[1325] 2:35:08	won't and it's the ones that won't that becom spirits and rebellion and this is why uh like for
[1326] 2:35:15	example um certain theologians will say that there was fall that happened before
[1327] 2:35:21	the fall in Eden that this this is where physical evil originates
[1328] 2:35:28	from uh that that there was a physical fall a physical evil that happened as a
[1329] 2:35:35	result of these these primordial Gods abandoning their first
[1330] 2:35:40	purpose even before the Garden of Eden which explains why there was say
[1331] 2:35:46	physical evil in the garden before there was moral evil
[1332] 2:35:52	so that's sort of the whole cosmology in a nutshell that that took
[1333] 2:35:58	place prior to say even the Garden of
[1334] 2:36:09	Eden is that related to Psalm 82 it's a Psalm 82 is a reference to it okay so
[1335] 2:36:16	let's actually take a look at Psalm 82 because um it is Psalm 82 specifically isn't talking
[1336] 2:36:24	about it but it refers to it we will bring up Psalm 82 here okay
[1337] 2:36:33	God takes his stand I'll read it here uh probably just a it's not that long God takes a stand in his own congregation he
[1338] 2:36:41	judges in the midst of the rulers this is Elohim okay so these are these are
[1339] 2:36:48	the minor deities so there is that there is that reference here to the Council of gods the primordial Gods however you
[1340] 2:36:54	want to put it but he he the psalm quickly shifts
[1341] 2:36:59	here how long will you judge unjustly and show partiality to the wicked say
[1342] 2:37:08	la now this is no longer talking about the Elohim this is talking
[1343] 2:37:17	about this is talking about Earthly judgment okay vindicate the weak weak and the
[1344] 2:37:24	fatherless do justice to The Afflicted and destitute rescue the weak and the needy deliver them out of the hands of
[1345] 2:37:31	the wicked they do not know nor do
[1346] 2:37:36	understand they walk about in darkness all the foundations of the Earth are shaken again this is again their
[1347] 2:37:42	reference the psalmist is referencing back to that unspoken that unspoken
[1348] 2:37:50	say um mythology behind the Bible verse six and I said you are gods
[1349] 2:37:59	and all are you are sons of the most high okay so in verse seven nevertheless
[1350] 2:38:07	you will die like men conversely there's a that a positive there that opposition
[1351] 2:38:14	that contrast I said you are gods and you are sons of the most gu so he's the Somas
[1352] 2:38:20	here is comparing the human judges to being like those that counil
[1353] 2:38:27	of gods but contrast you will die like
[1354] 2:38:34	men and fall like one of the princes now the nevertheless here that's
[1355] 2:38:39	not a nevertheless that's surely surely you certainly you will die like
[1356] 2:38:47	men and fall like any one of the princes arise oh God judge the Earth or it is
[1357] 2:38:54	you who does possess all the nations okay so we do have reference to
[1358] 2:39:03	this to this background uh this this um mythological
[1359] 2:39:10	background that's part and parcel to the whole creation
[1360] 2:39:16	narrative okay and it's assumed it's assumed by the biblical
[1361] 2:39:23	writers but they don't spell it out for you because again it's a high context
[1362] 2:39:29	culture it's high context texts expects you to know
[1363] 2:39:35	this it's kind of hard for us in the west who are low context readers to
[1364] 2:39:40	really grasp that but here in Psalm 82 it's talking about
[1365] 2:39:49	that context but it's applying it to humans
[1366] 2:39:55	and to human judges so I hope that helps and I hope
[1367] 2:40:00	that sort of straightens out what John 8 uh what Psalm 82 is saying here as
[1368] 2:40:06	well okay so we answered that one that was a
[1369] 2:40:14	exciting
[1370] 2:40:19	all right get back here to Super
[1371] 2:40:32	chats we leave
[1372] 2:40:45	off okay so we left off here with one Super Chat
[1373] 2:40:52	here this one here is from Robert L for $9.99 thank you for the Super Chat no
[1374] 2:40:59	question I just wanted to sponsor a few ounces of refrigerant whoa thank
[1375] 2:41:04	you oh it is stiflingly hot in here um
[1376] 2:41:11	yeah uh it wasn't so bad last week um it wasn't so bad last week
[1377] 2:41:17	because it was actually relatively cold yeah it was still winter here but this week it's just the heat is on and we had
[1378] 2:41:25	bought a um air conditioner last year but the parts broke
[1379] 2:41:33	so as and just happens to be just out of warranty too which is not helpful but
[1380] 2:41:40	um yeah so it's not it was not great timing
[1381] 2:41:45	for it to break on us H so I thank you very much for the Super
[1382] 2:41:53	Chat uh definitely that will go into the repairs of the air conditioner we really
[1383] 2:41:58	appreciate thank you so very
[1384] 2:42:06	much okay uh Addison we're from 199 thank you for the Super Chat he says see the nons Super Chat
[1385] 2:42:14	okay he goes I have a friend who' like to discuss Preston spring arguments with
[1386] 2:42:20	me sprinkle is my go-to source on LGBT issues not
[1387] 2:42:26	surprised uh she's a Christian with an mdiv but is affirming and heavily influenced by people like Matthew
[1388] 2:42:34	Vines James Bronson any advice uh be careful how you do it basically my
[1389] 2:42:41	advice on any of this stuff um
[1390] 2:42:54	lgbtq topics and I'm going to dance around this issue because YouTube hates this
[1391] 2:42:59	okay um YouTube is does not like when we talk about this
[1392] 2:43:07	so just talking about this can get you demonetized and and uh kicked off of
[1393] 2:43:13	YouTube so we're going to be very careful here okay um
[1394] 2:43:22	I I I think that we have to approach any of these issues in love I think we have
[1395] 2:43:27	to care for The Sinner as well as as
[1396] 2:43:33	um as um care for
[1397] 2:43:39	their say Eternal Destiny okay now
[1398] 2:43:49	the problem here is that any anytime somebody takes a
[1399] 2:43:56	position that is affirming
[1400] 2:44:01	of a lifestyle that goes against God you are at enity with
[1401] 2:44:08	God and I think that's that I mean that's there really there's no other way to cut it than that you know it's just
[1402] 2:44:15	it's just a you you you can't get past that
[1403] 2:44:22	issue okay you know as much as there have been say um apologists out there that are pro
[1404] 2:44:33	LGBT um it's always going to be at the
[1405] 2:44:41	basically against God's position about this
[1406] 2:44:52	Alexis says it goes yeah it goes with the any lifestyle built around sin yeah
[1407] 2:44:58	pretty much so basically you know speak the truth speak the truth in love and then
[1408] 2:45:06	just let it play out as it is okay that's the best advice I can get give you here without getting us into huge
[1409] 2:45:13	amounts of trouble all right yeah this is this is not a good
[1410] 2:45:19	question to ask on this on a channel like on on a YouTube channel
[1411] 2:45:40	okay all right next one
[1412] 2:45:55	uh Tony G for $499 thank you very much for the Super Chat UFOs aliens Fallen Angels sons of
[1413] 2:46:03	Cade or ordinary Giants just who were the Nephilim none of the
[1414] 2:46:09	above okay nice nice range but none of the above
[1415] 2:46:19	okay who were the Nephilim uh they're basically The Offspring of the sons of of God and the
[1416] 2:46:27	daughters of men okay that's who they
[1417] 2:46:34	are okay now the here's the what was sort of sort
[1418] 2:46:41	of tipped me off here as to what they were now the sons of God you know that
[1419] 2:46:46	could be that can be a reference to to say Divine counsel and that sort of
[1420] 2:46:53	thing and that's how Michael Heiser will interpret it but the daughters of Adam that's
[1421] 2:46:59	different that's very different you know when you see that
[1422] 2:47:05	term Daughters of Adam and it's not it's not Daughters of men as an ish it's
[1423] 2:47:13	Adam that's that's cultic
[1424] 2:47:20	that's a cultic identification of ancestor
[1425] 2:47:26	worship um and we do see sometimes these um
[1426] 2:47:32	these these sort of cultic groups say
[1427] 2:47:38	um uh a famous example from history is the
[1428] 2:47:45	bakan from mythology is the bakan these women that that were associated
[1429] 2:47:53	around the god bakas god of wine and the Bak were these women that
[1430] 2:48:02	were you know celebrated the god of wine Indulgence and that sort of
[1431] 2:48:09	thing so when I saw that Daughters of Adam that's sort of keed off and and
[1432] 2:48:16	what we're talking about here is Genesis 6 let's bring up the text
[1433] 2:48:23	here Genesis
[1434] 2:48:28	6 once you point this out you can't unsee it now it came about when men began to
[1435] 2:48:34	multiply on the face of the land so it's men verse one men multiplying on the face of the
[1436] 2:48:40	land daughters were born to them that the sons of God saw that the
[1437] 2:48:46	daughters of men were beautiful and they took wives for themselves
[1438] 2:48:51	whomever they chose then the Lord said my spirit shall not strive with man
[1439] 2:48:57	forever okay he's not saying that he's not going to strive with with with these
[1440] 2:49:03	Gods forever it's man because he who is also flesh
[1441] 2:49:09	nevertheless his day shall be 120 years the Nephilim were on the earth in those
[1442] 2:49:15	days and also after okay so they're on before and after so this is not something that's
[1443] 2:49:21	just a spirit being that's wiped out they
[1444] 2:49:27	survive when the sons of men came in to the daughters of
[1445] 2:49:33	Adam and they bore children to them these were the Mighty Men of old they're
[1446] 2:49:39	not demigods they're not Elohim in their own right they're men of old men of
[1447] 2:49:49	Renown these are men they're all men there were men who were multiplying
[1448] 2:49:57	on the face of the Earth there were human women that were seem to have been part of this cult
[1449] 2:50:06	this Cult of Adam
[1450] 2:50:12	okay but I there when you get these Cults one of the things you find with these cults
[1451] 2:50:18	is there's usually some sexual vow like the
[1452] 2:50:24	N okay one of the things for example in Mesopotamia that people really
[1453] 2:50:32	feared you know if you they really feared this which was if a
[1454] 2:50:38	nom got pregnant and had a child while she was still under her Nom
[1455] 2:50:45	vow and her nadum vow was basically she was servant Priestess to a god like
[1456] 2:50:52	Marduk and she was not to have conjugal relations while she was in her period of
[1457] 2:51:00	service
[1458] 2:51:05	so oh yeah but it's um the Bible exes asks isn't Daughters
[1459] 2:51:11	of Adam a contrast to the sons of God it is in a way yeah but here's the thing you know a Son of God is somebody who's
[1460] 2:51:18	part of the priesthood of God that's also a cult but it's a cult of priests to
[1461] 2:51:26	God likewise Daughters of Adam is contrasted because instead of these
[1462] 2:51:32	women say worshiping God they're worshiping an
[1463] 2:51:38	ancestor so you have this sort of Unholy um Union this Unholy
[1464] 2:51:47	Union be between a priesthood that's legitimate and a priestess's hood that
[1465] 2:51:55	isn't
[1466] 2:52:03	legitimate so you know that's that's one of the
[1467] 2:52:08	that's that's it's it's a it's one of those things where you've
[1468] 2:52:14	got a how do you say this um unequally yolked
[1469] 2:52:19	situation okay but it's an unequally yolked situation that's tearing this
[1470] 2:52:25	culture apart and the result of this is you've
[1471] 2:52:32	got these men that are the offsprings the word in the field you
[1472] 2:52:37	look that up and say the Acadian and it means Fallen oh Alexis
[1473] 2:52:46	where can I read more on this it's an interesting perspective if you can't I haven't published
[1474] 2:52:52	it no no I got I look here's here's the thing I've got so many things I need to
[1475] 2:52:58	publish and so little time to do it I mean the only reason I'm getting a
[1476] 2:53:05	peer-reviewed public publication out this month is because I'm being
[1477] 2:53:13	forced ju wait they survived oh yeah because there's still people breaking vows breaking the Dum vows After the
[1478] 2:53:21	flood oh yeah yeah they well there's nobody uh
[1479] 2:53:27	where are they now they don't exist anymore because nobody's taking those vows anymore there's nobody taking those
[1480] 2:53:33	vows because there's nobody taking those vows you know
[1481] 2:53:41	yeah yeah so you know so it's just the the the religious
[1482] 2:53:47	situation isn't there anymore for this to happen the last one that that was really
[1483] 2:53:53	sort of famous of these um basically um Offspring what we would
[1484] 2:53:59	call an Nephilim is probably Sargon of aod he's probably the last major
[1485] 2:54:05	one um he was The Offspring of a nadum priestess that had broken her vow and he
[1486] 2:54:11	ends up destroying two kingdoms okay yeah Charming
[1487] 2:54:22	yeah so uh yeah so they don't exist anymore
[1488] 2:54:28	because uh that the those religious practices don't exist
[1489] 2:54:36	anymore okay so I think that covers the T of the Nephilim
[1490] 2:54:52	so yeah I wouldn't I wouldn't they're not UFOs they're not sons of C they're not they're nothing like as fabulous as
[1491] 2:55:01	all
[1492] 2:55:10	that oh yeah yeah we love the stories the Fallen Angel sounds really good yeah
[1493] 2:55:17	uh but even for example like when they talk about this I mean where you see uh
[1494] 2:55:23	Nephilim sometimes mentioned is uh for example in um I think it's
[1495] 2:55:31	Deuteronomy you know let me see if I can find that
[1496] 2:55:37	reference numbers sorry numbers numbers
[1497] 2:55:43	13113 you know this is one of those is this is this is very interesting because I know heer re refers to this as as
[1498] 2:55:50	Nephilim uh still living in the land and um what's really interesting about this
[1499] 2:55:56	is this is a this is a what's it called now um a fictitious
[1500] 2:56:04	report okay it's a bad report and a text even says
[1501] 2:56:10	it all right so it's like it's an unreliable report so the scale the this
[1502] 2:56:18	the the the spies go into the land and they come back and they give
[1503] 2:56:23	the Israelites a bad report in numbers 1332 to
[1504] 2:56:28	33 and it says here in the text so they gave out to the sons of Israel a bad
[1505] 2:56:35	report now the term here bad is not just evil
[1506] 2:56:41	it's defamatory it's
[1507] 2:56:46	defamation okay it's a defamatory report it's a report that isn't
[1508] 2:56:54	true that's what defamation is defamation is saying something that
[1509] 2:57:00	isn't true it's a it's an unfavorable report that isn't
[1510] 2:57:09	true so the text even tells you it's a defamatory report
[1511] 2:57:18	but for some reason Heiser just skips over that I don't understand why so they give a defamatory report of
[1512] 2:57:25	the land which they had spied out saying quote so so so the author is telling you
[1513] 2:57:31	that this is a defamatory report and
[1514] 2:57:36	somehow just okay um you didn't read that bit okay so it goes the land is
[1515] 2:57:45	full is oh sorry the land through which we have gone in spying it out is a land
[1516] 2:57:51	that that devours its inhabitants ooh it eats you the land just Rises up and
