[0] 0:47	Heat. Heat. N.
[2168] 1:54:27	antichrist running around the landscape.
[2169] 1:54:36	Yeah. Yeah. A lot of people fit the
[2170] 1:54:39	type. So So absolutely that's that's the
[2171] 1:54:42	that's what the book of Revelation is
[2172] 1:54:44	trying to tell you. It's not trying to
[2173] 1:54:45	tell you that this is Nero.
[2174] 1:54:48	It's not trying to tell you this is
[2175] 1:54:49	Nero.
[2176] 1:54:51	And and I really hate when people use
[2177] 1:54:53	that interpretation of say the 666 in
[2178] 1:54:56	Revelation because that's not what it's
[2179] 1:54:57	driving at. It's not trying to tell you
[2180] 1:55:00	this is Nero. This is not this is not
[2181] 1:55:02	encoding for Nero.
[2182] 1:55:05	It's encoding for Solomon and someone
[2183] 1:55:08	like Solomon.
[2184] 1:55:11	So
[2185] 1:55:13	So that's why that's why that message is
[2186] 1:55:17	there. It's to let you know that this is
[2187] 1:55:19	a prince who rises from nothing to
[2188] 1:55:23	extreme wealth.
[2189] 1:55:25	So,
[2190] 1:55:28	yeah. Dark Blade, Nero, the already dead
[2191] 1:55:31	for 26 years. Yeah.
[2192] 1:55:34	Yeah. Exactly.
[2193] 1:55:36	No, I just I just think that people
[2194] 1:55:38	don't know their Old Testament. They
[2195] 1:55:40	don't know their Old Testament, so they
[2196] 1:55:42	can't really they can't really
[2197] 1:55:44	understand the book of Revelation.
[2198] 1:55:47	But uh
[2199] 1:55:53	>> no it doesn't necessarily apply high
[2200] 1:55:55	taxation. Um uh Lewis Sandaval asks but
[2201] 1:55:58	does that does it it that he had will
[2202] 1:56:00	impose high taxation since there are
[2203] 1:56:02	indications that Solomon's tax amounts
[2204] 1:56:04	during the spring? No. Um this this
[2205] 1:56:07	collection of gold is through trade.
[2206] 1:56:10	Okay. And we we've discussed this that
[2207] 1:56:12	it was through say tariffs tariffs and
[2208] 1:56:15	trade through the land of Israel that he
[2209] 1:56:18	got this. So,
[2210] 1:56:22	uh, Richard Luciano, what do you think
[2211] 1:56:23	of the 616 manuscript? Um,
[2212] 1:56:28	here's what I think of it. It is the
[2213] 1:56:29	oldest manuscript. There's no question
[2214] 1:56:31	about that. But we also know that the
[2215] 1:56:33	oldest manuscript is not always the
[2216] 1:56:35	correct one. And I think when you have
[2217] 1:56:37	when you take the plurality of the
[2218] 1:56:39	manuscripts,
[2219] 1:56:45	it's the fire panel.
[2220] 1:56:50	No, it means someone's been playing with
[2221] 1:56:52	a smoke alarm detector again.
[2222] 1:56:57	It could be our neighbor again. Yes,
[2223] 1:57:01	we have a neighbor that uh that messes
[2224] 1:57:04	around with the smoke detectors
[2225] 1:57:07	and it sets off a beacon that everyone
[2226] 1:57:09	can hear.
[2227] 1:57:15	Fantastic.
[2228] 1:57:18	All right,
[2229] 1:57:22	so that's my thought on the 616
[2230] 1:57:24	manuscript. It's the oldest manuscript,
[2231] 1:57:25	but the plurality of sources would say
[2232] 1:57:29	that this is not the the the correct
[2233] 1:57:32	reading. So, hope that helps. Thank you
[2234] 1:57:35	for the question.
[2235] 1:57:37	All right,
[2236] 1:57:40	next one here. First Kings 10 19 to 20.
[2237] 1:57:45	How big would the lions be for $2? Thank
[2238] 1:57:47	you for the super chat at Ministries.
[2239] 1:57:50	Let's take First Kings 101 19 to20.
[2240] 1:57:54	Uh verse 18. Moreover, the king made a
[2241] 1:57:56	great throne of ivory and overlaid it
[2242] 1:57:59	with refined gold. There were six steps
[2243] 1:58:02	to the throne and on a round top to the
[2244] 1:58:04	throne at its rear and its arms on each
[2245] 1:58:07	side of the seat and two great l two
[2246] 1:58:09	lions standing beside the arms
[2247] 1:58:12	and 12 lions were standing there on the
[2248] 1:58:14	steps and on each side of the other.
[2249] 1:58:16	Okay. Now, nothing was uh was it made
[2250] 1:58:20	for any other kingdom. All right.
[2251] 1:58:24	Now
[2252] 1:58:26	the the lions on the steps could have
[2253] 1:58:27	been statuary.
[2254] 1:58:30	So those could have been pretty big on
[2255] 1:58:32	the throne itself. Probably not. You
[2256] 1:58:34	know, we we kind of have been spoiled by
[2257] 1:58:37	uh fantasy
[2258] 1:58:39	uh TV. You know, the the the throne from
[2259] 1:58:42	the games of Game of Thrones, which is
[2260] 1:58:44	made from a thousand sources, it's a
[2261] 1:58:45	huge massive ugly throne.
[2262] 1:58:49	Most thrones weren't like that.
[2263] 1:58:52	neither ancient nor modern. Um, we do
[2264] 1:58:55	know from the thrones of King Tutt that
[2265] 1:58:57	there were lions on both sides of the
[2266] 1:58:59	throne,
[2267] 1:59:00	but they were worked into the arms.
[2268] 1:59:04	These are still humansized chairs.
[2269] 1:59:07	So, the ones on the sides of each throne
[2270] 1:59:10	were probably not that big. They were
[2271] 1:59:12	probably, I'd say, about yay big. We
[2272] 1:59:15	have some images of royal throne, some
[2273] 1:59:17	tombs, too. And again, they all look
[2274] 1:59:18	human size.
[2275] 1:59:21	But um the statuary going down the steps
[2276] 1:59:25	could be a different matter. The
[2277] 1:59:26	statuary going down the steps uh the six
[2278] 1:59:29	steps which had a lion on each side,
[2279] 1:59:32	those could have been conceivably larger
[2280] 1:59:33	because those would have been carved
[2281] 1:59:34	statuary. Okay.
[2282] 1:59:38	Um so hope that helps. Thank you for the
[2283] 1:59:41	super chat. Very much appreciate it.
[2284] 1:59:48	First Kings 10:28. Where is coup? I
[2285] 1:59:51	don't know. Let's see. First Kings
[2286] 1:59:53	10:28.
[2287] 2:00:04	Um, coo. Okay. It's not coup. It's not
[2288] 2:00:07	coup.
[2289] 2:00:13	It's co. Okay. Um
[2290] 2:00:17	the text says also Solomon imported
[2291] 2:00:20	horses from Egypt and Kuet
[2292] 2:00:24	and kings merchants procured them from
[2293] 2:00:26	Kuet for a price. Okay. Um
[2294] 2:00:31	uh this would probably be from say um
[2295] 2:00:36	um the Greek states. Okay. So, so he's
[2296] 2:00:40	he's importing uh uh Sicily maybe might
[2297] 2:00:43	be possibly um Sirene.
[2298] 2:00:48	Um or not Sirene. Um what's it called
[2299] 2:00:50	now? Um
[2300] 2:00:52	oh uh Cypress. Cypress. It could be
[2301] 2:00:56	Cyprus. Um so but um but he's importing
[2302] 2:01:00	horses here from all over the place.
[2303] 2:01:03	Oh, it's funny that he that Solomon
[2304] 2:01:05	imports horses from Egypt because those
[2305] 2:01:08	horses were originally
[2306] 2:01:10	uh interbred between the Syrian horse
[2307] 2:01:13	and the Egyptian horse um to create
[2308] 2:01:15	horses for chariots. Okay. So, um it's
[2309] 2:01:19	possible he got them from from from a
[2310] 2:01:22	variety of places. Uh Solomon liked his
[2311] 2:01:26	horses, so he tended to to import them
[2312] 2:01:29	from all over. So,
[2313] 2:01:32	Um,
[2314] 2:01:37	but my guess is he's getting these from
[2315] 2:01:38	Cypress. I think Coo is probably
[2316] 2:01:40	Cypress, but I'm not sure.
[2317] 2:01:43	So, hope that helps. Thank you for the
[2318] 2:01:45	super chat. Really appreciate it.
[2319] 2:01:50	Okay. Uh, next one here is for $5 from
[2320] 2:01:54	AT Ministries. Thank you for the super
[2321] 2:01:55	chat. He says this may be a coincidence
[2322] 2:01:59	but early church doctrines
[2323] 2:02:02	uh part 14. I don't know what P14 means.
[2324] 2:02:05	Uh it seems manakianism has a theology
[2325] 2:02:09	anthropology similar to Hinduism and
[2326] 2:02:12	Brahmanism. That's one of two. And the
[2327] 2:02:14	second part of this question is we're
[2328] 2:02:16	also $5. Hinduism took many inspiration
[2329] 2:02:19	for other religions. Do you think this
[2330] 2:02:21	could be a connection? Uh, manachianism
[2331] 2:02:24	comes from primarily from um anostic uh
[2332] 2:02:28	gnosticism
[2333] 2:02:30	um in particular from um as it as it as
[2334] 2:02:35	it sort of infiltrated zorastrianism. So
[2335] 2:02:38	manachianism is I believe I believe
[2336] 2:02:41	um a zorastrianism that has been sort of
[2337] 2:02:45	tainted bynosticism.
[2338] 2:02:47	So that's that's where I best remember
[2339] 2:02:50	this from. I might be wrong because my
[2340] 2:02:51	memory's gotten a little hazy on that,
[2341] 2:02:53	but that's what I best remember. So, I'm
[2342] 2:02:56	not I don't think it's from Hinduism or
[2343] 2:02:58	Hinduism is related to Manachianism per
[2344] 2:03:00	se, but Manakianism does seem to be a at
[2345] 2:03:04	least an extension of of Gnostic thought
[2346] 2:03:06	as it relates to some other religion.
[2347] 2:03:08	And I believe that was Zorastrianism
[2348] 2:03:10	that it was related to. So, I hope that
[2349] 2:03:13	helps. Thank you for those questions.
[2350] 2:03:15	Really appreciate it.
[2351] 2:03:21	Okay, just Okay, we'll take a couple
[2352] 2:03:24	more nons super chats here. Um, L
[2353] 2:03:28	Sandival asks, "How come Nimrod wasn't
[2354] 2:03:30	against God?"
[2355] 2:03:32	Because he was doing what he was told.
[2356] 2:03:35	Here's the thing.
[2357] 2:03:37	One of the things that that we were told
[2358] 2:03:39	to do was to subjugate the land. You
[2359] 2:03:43	know, one of the things we are we are we
[2360] 2:03:47	are told um you know when Adam and Eve
[2361] 2:03:50	were given um authority, you know, to
[2362] 2:03:54	make the the earth a garden
[2363] 2:03:58	to to mechallet to rule, subjugate the
[2364] 2:04:02	land, make it less wild, make it a
[2365] 2:04:05	garden, make it make it a place where
[2366] 2:04:07	things can thrive and go grow. And
[2367] 2:04:11	Nimrod was doing that. Okay, Nimrod was
[2368] 2:04:16	a mighty hunter. He killed the wild
[2369] 2:04:18	beasts in Mesopotamia.
[2370] 2:04:21	That's what he did. That is actually
[2371] 2:04:24	part of subduing the land is to make it
[2372] 2:04:28	a place where they could be fruitful and
[2373] 2:04:31	multiply.
[2374] 2:04:33	So,
[2375] 2:04:35	so he kills the beasts in Mesopotamia
[2376] 2:04:39	making it
[2377] 2:04:40	appropriate for agriculture for human
[2378] 2:04:44	thriving and uh flourishing for peace to
[2379] 2:04:49	come on the to the land. We're told that
[2380] 2:04:52	uh that's one of the reasons for example
[2381] 2:04:54	why the Israelites weren't given the
[2382] 2:04:56	land uh during the conquest all at once.
[2383] 2:05:00	They incrementally
[2384] 2:05:02	conquer the land and they incrementally
[2385] 2:05:06	conquer the land and they're told that
[2386] 2:05:07	they will incrementally conquer the land
[2387] 2:05:10	otherwise the land will succumb to
[2388] 2:05:13	thorns and wild beasts.
[2389] 2:05:16	So without human occupation the land
[2390] 2:05:19	reverts back to thorns, thistles, wild
[2391] 2:05:23	beasts and becomes unmanageable and
[2392] 2:05:25	dangerous.
[2393] 2:05:28	So this is why Nimrod was not against
[2394] 2:05:31	God because he was doing exactly what he
[2395] 2:05:34	had been called to do which was to
[2396] 2:05:37	subdue the land and make it as a garden
[2397] 2:05:39	unto God. So
[2398] 2:05:43	so whether so he's not do against God
[2399] 2:05:46	he's just doing what he's told.
[2400] 2:05:49	So hope that helps. Thank you for the
[2401] 2:05:51	question.
[2402] 2:05:59	All right, next one here.
[2403] 2:06:01	And we are down to two super chats here
[2404] 2:06:09	um from 18 at Ministries
[2405] 2:06:12	uh
[2406] 2:06:16	for $5. asks, "Was aversion to the
[2407] 2:06:19	material a staple part of Greco Roman
[2408] 2:06:21	culture or unique to later gnostic sex
[2409] 2:06:24	like manacheism?" Uh,
[2410] 2:06:29	the aversion to
[2411] 2:06:33	uh material um existence comes out of
[2412] 2:06:37	neoplatonism.
[2413] 2:06:38	Okay,
[2414] 2:06:40	it's really what come where it comes out
[2415] 2:06:42	of it comes out of neoplatonism. But
[2416] 2:06:44	what the difference is is that um
[2417] 2:06:47	Gnostic sects religiousize this. Okay.
[2418] 2:06:52	Um there is always been say a
[2419] 2:06:54	neoplatanism a um this idea that you can
[2420] 2:06:59	um that spirit is higher than than
[2421] 2:07:02	material. But whatnostic sex do is they
[2422] 2:07:04	take that one step further and they
[2423] 2:07:08	basically say, "Okay, you got the demi
[2424] 2:07:10	urge. He's making evil stuff. He's he's
[2425] 2:07:14	the lowest god on the hierarchy. He's
[2426] 2:07:18	got so little light in him
[2427] 2:07:21	because remember the ions, the the gods
[2428] 2:07:23	of ofnosticism, they're a hierarchy.
[2429] 2:07:26	You've got the highest god. He is all
[2430] 2:07:28	light. He makes some gods. They have
[2431] 2:07:32	less light. Those gods make more gods.
[2432] 2:07:34	They've got even less light. And so on
[2433] 2:07:36	and so on and so on until you get to one
[2434] 2:07:39	god that's created that has almost no
[2435] 2:07:41	light in him. He's the demi urge. He
[2436] 2:07:45	makes the world. He makes the universe.
[2437] 2:07:50	And the universe is almost completely
[2438] 2:07:53	corrupt
[2439] 2:07:55	because the demiurge is almost
[2440] 2:07:58	completely corrupt.
[2441] 2:08:02	So if you are an embodied being, you are
[2442] 2:08:05	embodied in corruption.
[2443] 2:08:10	So you almost find that extreme
[2444] 2:08:14	um that extreme idea in Grecoman culture
[2445] 2:08:20	as a whole, but you do find it
[2446] 2:08:23	innosticism. And that's because they're
[2447] 2:08:25	taking neoplatonic philosophy and and
[2448] 2:08:28	driving it to a religious final extreme.
[2449] 2:08:32	So,
[2450] 2:08:34	so yeah, it's something you find
[2451] 2:08:36	primarily in in innosticism.
[2452] 2:08:39	Um, but it gets its foundations in uh
[2453] 2:08:43	Greco Roman cultures through philosophy
[2454] 2:08:46	such as that of Plato and Aristotle. But
[2455] 2:08:49	even that is sort of driven to its
[2456] 2:08:52	philosophical conclusion by the
[2457] 2:08:54	neoplatonists.
[2458] 2:08:55	Now, here's the one thing that the
[2459] 2:08:56	neoplatinists will say though. The
[2460] 2:08:59	neoplatinists will say that although we
[2461] 2:09:01	the neoplatans hold to the idea of a
[2462] 2:09:04	demiurge and it's it's its idea of a
[2463] 2:09:09	form leading to a form leading to a form
[2464] 2:09:11	the hierarchy of forms.
[2465] 2:09:13	They will say that's something that
[2466] 2:09:15	happens on say a philosophical
[2467] 2:09:18	or a metaphysical level but it isn't
[2468] 2:09:21	something you live by.
[2469] 2:09:24	The gnostics will say, well, you've got
[2470] 2:09:26	this philosophy here of hierarchy of
[2471] 2:09:28	forms, but you have to live by that.
[2472] 2:09:33	So,
[2473] 2:09:35	so it wasn't a version you generally
[2474] 2:09:37	found in Greor Roman culture except in
[2475] 2:09:41	certain philosophical circles and even
[2476] 2:09:44	then it's not something that most say
[2477] 2:09:46	schools of philosophy would have told
[2478] 2:09:48	you to live by. Whereas nnarosticism
[2479] 2:09:51	isn't philosophy, it's religion based on
[2480] 2:09:54	a philosophy. And that's where they're
[2481] 2:09:56	sort of driving that that aversion to
[2482] 2:09:58	the material from. So I hope that helps.
[2483] 2:10:01	Thank you for that super chat. Really
[2484] 2:10:03	appreciate it.
[2485] 2:10:06	And the last super chat here we have
[2486] 2:10:10	is also from AT ministries.
[2487] 2:10:14	And we have does Exodus 3 uh 14 of the
[2488] 2:10:18	Septuagent Ho on have a connection with
[2489] 2:10:22	Plato's concept of the one. Uh I don't
[2490] 2:10:24	think so, but let's just talk about that
[2491] 2:10:26	anyway. We'll have to go to the
[2492] 2:10:28	Septuagent here.
[2493] 2:10:32	Okay. So, we go to the Septuagent. See
[2494] 2:10:35	the KJV uh Septuent. Find my Septuagent
[2495] 2:10:39	here. All right. All right. So,
[2496] 2:10:41	Septuagent
[2497] 2:10:46	Exodus
[2498] 2:10:50	3 verse 14.
[2499] 2:10:56	Hear those bats out there.
[2500] 2:11:08	ago ami
[2501] 2:11:11	okay
[2502] 2:11:13	and the translation of this is
[2503] 2:11:18	god spoke to Moses saying I am the being
[2504] 2:11:20	so it's what here's using han as is um
[2505] 2:11:26	uh I am
[2506] 2:11:28	okay so it's it's basically this is the
[2507] 2:11:30	septuagent's translation of of of that
[2508] 2:11:34	um
[2509] 2:11:37	that a you know go Moses spoke to uh
[2510] 2:11:41	Moses saying I am it's using in in the
[2511] 2:11:44	Hebrew this would be that um second
[2512] 2:11:47	tense uh popular uh verb to be but in
[2513] 2:11:53	that in that sense of I am in as in the
[2514] 2:11:56	great I am and again I think this is a
[2515] 2:12:00	this is an example of the of a second
[2516] 2:12:02	tense in Hebrew but
[2517] 2:12:04	uh the the Greek Septuagent is going to
[2518] 2:12:09	um um translate this as Han meaning the
[2519] 2:12:14	the being or the one. Okay. Now
[2520] 2:12:20	I don't think this has any connection to
[2521] 2:12:22	to uh Plato's concept of the one. Um now
[2522] 2:12:27	the Septuagent translators might have
[2523] 2:12:29	been um
[2524] 2:12:31	might have been
[2525] 2:12:33	um
[2526] 2:12:36	familiar with Plato's ideal form and
[2527] 2:12:40	which is what Plato meant by the one the
[2528] 2:12:42	the highest ideal form but
[2529] 2:12:47	I don't think that's what he was driving
[2530] 2:12:48	uh that's I don't think that's what the
[2531] 2:12:50	Septuagent translator here was driving
[2532] 2:12:53	at here basically the Septuagent
[2533] 2:12:55	translator is trying to find a way of of
[2534] 2:12:59	saying this
[2535] 2:13:01	without resorting to ego um ego amii
[2536] 2:13:05	okay which is how it's going to be
[2537] 2:13:06	translated by the time of the first
[2538] 2:13:08	century um by the time of the first
[2539] 2:13:11	century the Greek is going to change
[2540] 2:13:13	here subtly from han to ego emi I am
[2541] 2:13:18	okay
[2542] 2:13:19	so
[2543] 2:13:21	so there is going to be a sort of a
[2544] 2:13:22	shift in how the Greek is translated
[2545] 2:13:24	here from say the time of the septuagent
[2546] 2:13:26	in the 3rd century BC to the time of the
[2547] 2:13:29	1st century AD
[2548] 2:13:33	but I don't think it has a necessary
[2549] 2:13:35	connection to the to uh to Plato here
[2550] 2:13:38	but it is it is it is a hard to
[2551] 2:13:41	translate thing because of the
[2552] 2:13:43	implications behind it. So um
[2553] 2:13:49	I hope that helps. Thank you very much
[2554] 2:13:50	for that super chat. Very much
[2555] 2:13:52	appreciated.
[2556] 2:13:53	Okay, so that is the last super chat
[2557] 2:13:56	here of the night.
[2558] 2:14:00	All right, we have a lot of nons super
[2559] 2:14:01	chats. Start firing uh super chats at me
[2560] 2:14:07	>> towards the top. Okay,
[2561] 2:14:15	8:32. Okay, loose sandal 832.
[2562] 2:14:29	Okay, let's talk about that. 8:32.
[2563] 2:14:37	8:32.
[2564] 2:14:44	Find it first.
[2565] 2:14:46	All right, here it is. uh from Louis
[2566] 2:14:49	Sandville here. Are Christians called to
[2567] 2:14:52	be nice or is there an uh or there is an
[2568] 2:14:56	is there an appropriate way to handle
[2569] 2:14:58	certain
[2570] 2:14:59	people handle certain pe way to handle
[2571] 2:15:02	certain people who abuse Christian
[2572] 2:15:04	kindness?
[2573] 2:15:05	Um no. No. We're not called to be nice.
[2574] 2:15:10	I don't think there's anything in the
[2575] 2:15:11	Bible that says we're to be nice. We're
[2576] 2:15:14	to be holy.
[2577] 2:15:17	Okay. Holy isn't always nice. You know,
[2578] 2:15:21	we're called to be be holy like the
[2579] 2:15:23	father is holy. That's what we're called
[2580] 2:15:25	to be. Holy means goodness. It means set
[2581] 2:15:29	apart. It means just.
[2582] 2:15:33	But it doesn't mean nice.
[2583] 2:15:35	We do not have to be incipit Christians.
[2584] 2:15:40	In fact, I think sometimes we confuse
[2585] 2:15:43	that that niceness has entered the
[2586] 2:15:45	culture of of Christianity through
[2587] 2:15:48	church.
[2588] 2:15:50	You know, the whole the whole church
[2589] 2:15:52	lady thing.
[2590] 2:15:54	Oops. We got that.
[2591] 2:15:57	Come on. Okay.
[2592] 2:15:59	Where's my Where's my mouse? My mouse
[2593] 2:16:03	has come back here.
[2594] 2:16:08	Okay.
[2595] 2:16:10	So, the the whole idea that that we're
[2596] 2:16:12	called to be nice, I don't think is
[2597] 2:16:15	something that's necessarily biblical.
[2598] 2:16:18	We're to be truthful.
[2599] 2:16:21	Okay. We're to be truthful. We're to be
[2600] 2:16:23	honest. We're to be good. We're supposed
[2601] 2:16:26	to behave like the father behaves. Okay.
[2602] 2:16:30	Yeah. Um Bon Papa says, "Nicness is not
[2603] 2:16:33	always synonymous with goodness." No, it
[2604] 2:16:36	isn't.
[2605] 2:16:38	you know, and frankly, I've taken a lot
[2606] 2:16:40	of flack for
[2607] 2:16:43	telling people the truth. Okay? And
[2608] 2:16:47	sometimes you have to tell them in not a
[2609] 2:16:49	nice way.
[2610] 2:16:52	Mama quotes here the Psalms, "An enemy,
[2611] 2:16:55	an enemy multiplies kisses, but the
[2612] 2:16:57	wounds of a friend are faithful."
[2613] 2:16:58	Exactly. Yeah. Exactly. It's niceness is
[2614] 2:17:02	not a virtue. At least it's not a
[2615] 2:17:05	biblical virtue.
[2616] 2:17:07	You know,
[2617] 2:17:09	goodness is a virtue.
[2618] 2:17:12	Being moral is a virtue.
[2619] 2:17:16	Moral rectitude is a virtue.
[2620] 2:17:19	Being holy is a virtue. Niceness isn't a
[2621] 2:17:22	virtue.
[2622] 2:17:25	And the fact is that this is why we have
[2623] 2:17:27	a lot of incipid Christianity that lets
[2624] 2:17:29	evil flourish
[2625] 2:17:32	because we won't stand the ground
[2626] 2:17:34	against against evil.
[2627] 2:17:37	So
[2628] 2:17:41	bomb papa says
[2629] 2:17:43	nice people can do terrible things. Oh
[2630] 2:17:45	yeah. Oh yeah. Nice people can do
[2631] 2:17:48	amazingly terrible things because what
[2632] 2:17:51	you're presenting is a facade of of of
[2633] 2:17:54	passivity. Nice nice people present a
[2634] 2:17:58	facade of passivity
[2635] 2:18:01	and that's not good. That's not
[2636] 2:18:04	goodness.
[2637] 2:18:06	Okay.
[2638] 2:18:08	So, yeah, I I think I think I think nice
[2639] 2:18:11	people can do terrible things and I
[2640] 2:18:14	think I think niceness is not a virtue.
[2641] 2:18:17	It's never been a virtue and it's never
[2642] 2:18:20	been a Christian virtue,
[2643] 2:18:23	but it does pass for one. And I think
[2644] 2:18:26	it's often often does more damage than
[2645] 2:18:28	good.
[2646] 2:18:33	>> Yeah. It's it's a substitute. It's it's
[2647] 2:18:36	a it's a counterfeit for a shoe. It's a
[2648] 2:18:39	counterfeit for being honest and
[2649] 2:18:42	forthright and and standing up for what
[2650] 2:18:45	is good. It's a counterfeit virtue.
[2651] 2:18:50	It's a counterfeit for being holy. You
[2652] 2:18:52	know, a lot of a lot of Christians can't
[2653] 2:18:54	be holy, so they be nice.
[2654] 2:18:59	This is why you get a lot of pious crud
[2655] 2:19:01	in churches. A lot of pious crud,
[2656] 2:19:04	you know. I mean, there was a there was
[2657] 2:19:06	a woman prophet last time. I mean, not
[2658] 2:19:09	this time I um went after uh Frank Turk,
[2659] 2:19:13	but the previous time when I did the
[2660] 2:19:14	popcorn for my first popcorn review of
[2661] 2:19:18	of of
[2662] 2:19:21	Frank Turk, you know, I had some woman
[2663] 2:19:23	prophetus come on online who prophesied
[2664] 2:19:25	against me. She basically said that I
[2665] 2:19:28	was going to be judged because I wasn't
[2666] 2:19:31	being nice
[2667] 2:19:33	to a good man like Frank Turk.
[2668] 2:19:42	Is this is this how truth works?
[2669] 2:19:46	Is this how telling the truth works? Is
[2670] 2:19:49	that you have to give somebody who's
[2671] 2:19:52	telling lies a complete pass
[2672] 2:19:55	because they're telling lies just to be
[2673] 2:19:57	nice? That's Christian virtue. That's
[2674] 2:19:59	truth.
[2675] 2:20:04	Yeah. I I kind of placed her in the
[2676] 2:20:06	false prophet category, not the true
[2677] 2:20:08	prophet one cuz true prophets respect
[2678] 2:20:12	truth.
[2679] 2:20:13	False prophets respect nice.
[2680] 2:20:23	>> Yeah.
[2681] 2:20:25	Bomb papa says we're supposed to to be
[2682] 2:20:27	peacemakers, not peacekeepers. Yeah,
[2683] 2:20:30	exactly. Yeah.
[2684] 2:20:33	me deliberately going.
[2685] 2:20:36	>> Mama says, "Wait, but he's not going to
[2686] 2:20:38	be judged for teaching scripture
[2687] 2:20:40	wrongly, misquing it." Oh, no. No. Cuz
[2688] 2:20:42	he's nice.
[2689] 2:20:44	He's a good guy cuz he's nice.
[2690] 2:20:47	>> You were talking.
[2691] 2:20:57	>> Yeah. Oh, yeah.
[2692] 2:20:58	>> Teaching.
[2693] 2:20:59	>> Yeah. Yeah, I told I I told BK the other
[2694] 2:21:01	uh yesterday that um you know teachers
[2695] 2:21:05	get double blessing
[2696] 2:21:07	for their teaching, but they also get
[2697] 2:21:08	double judgment if they teach wrongly.
[2698] 2:21:15	Yeah, I didn't see Mike Winger's um a
[2699] 2:21:18	video talking about Joel Ostein, but I
[2700] 2:21:20	can imagine what it was like.
[2701] 2:21:23	So yeah, but yeah, I mean this is what
[2702] 2:21:26	happens when you get teachers out there
[2703] 2:21:27	who are just misquing scripture,
[2704] 2:21:29	twisting scripture, twisting the truth,
[2705] 2:21:32	twisting history, all that stuff.
[2706] 2:21:36	People want to handle them nicely.
[2707] 2:21:40	No, they need a truth sandwich is what
[2708] 2:21:42	they need.
[2709] 2:21:44	All right. Uh what's next?
[2710] 2:21:49	>> Sponsoring.
[2711] 2:21:51	>> Oh, I have a sponsoring question. Yes.
[2712] 2:21:54	Uh from PA888 for 1999. Thank you very
[2713] 2:21:57	much for uh for that. We really
[2714] 2:21:59	appreciate your support of the channel.
[2715] 2:22:01	>> This is one that we've covered before,
[2716] 2:22:03	but it's from a
[2717] 2:22:05	>> Okay.
[2718] 2:22:06	>> 911.
[2719] 2:22:07	>> 911.
[2720] 2:22:10	>> 911.
[2721] 2:22:18	>> Okay.
[2722] 2:22:20	Okay. Okay, we've covered this before,
[2723] 2:22:21	but we'll take this as the uh sponsored
[2724] 2:22:23	question. So, thank you PA uh 888 for
[2725] 2:22:26	sponsoring this question. This question
[2726] 2:22:28	is from C Dog. First-time listeners, so
[2727] 2:22:31	don't know if you've gone over this
[2728] 2:22:32	before, but what's your thoughts on
[2729] 2:22:34	Avarus? Oh, I've got lots of thoughts on
[2730] 2:22:36	Avarus. Avarus is cool. Uh being the
[2731] 2:22:39	town of the Israelites and the Haberu
[2732] 2:22:42	being the Hebrews, uh been hearing.
[2733] 2:22:44	Okay. Um
[2734] 2:22:47	Israelites and Hebrews are not the same
[2735] 2:22:49	thing. Okay. Um, habibiru,
[2736] 2:22:54	uh, that's a social class.
[2737] 2:22:57	Israelite is an ethnonym. Okay. An
[2738] 2:23:00	ethnonym is a a a label of ethnicity.
[2739] 2:23:06	Beiru, that's a a level of social class.
[2740] 2:23:09	Okay. So, what is a habu? Now, we find
[2741] 2:23:12	habiru all over the ancient near east
[2742] 2:23:14	going at least back to the early 2nd
[2743] 2:23:18	millennium BC. So long before they were
[2744] 2:23:20	Israelites, there were habiro. Okay. And
[2745] 2:23:24	what is a habro? And habiro is a social
[2746] 2:23:27	class meaning bum. Uh meaning outcast,
[2747] 2:23:32	sojer, mercenary, thief, robber, no good
[2748] 2:23:38	bum.
[2749] 2:23:39	That's what a habiro is. It's a they're
[2750] 2:23:41	bums.
[2751] 2:23:43	They're they're they're people who live
[2752] 2:23:44	on the outskirts of cities. People who
[2753] 2:23:46	live in cities aren't habu.
[2754] 2:23:49	People who live on the outskirts of
[2755] 2:23:51	cities, they're hibu.
[2756] 2:23:54	They're they're your no goods. They're
[2757] 2:23:57	your bums. Okay?
[2758] 2:24:01	So that's a hibiru.
[2759] 2:24:03	The Israelites were not habu.
[2760] 2:24:07	Abraham was a habiru
[2761] 2:24:10	because he was a sojourer.
[2762] 2:24:13	Okay. Stojaners are in that social class
[2763] 2:24:17	of habu
[2764] 2:24:19	bums.
[2765] 2:24:21	Um in fact we have a letter from Terara
[2766] 2:24:24	of
[2767] 2:24:26	this is part of the Mari letters where
[2768] 2:24:27	he sends a letter to Zimry Lim.
[2769] 2:24:31	Teru was the former ruler of
[2770] 2:24:35	he has an uprising and he's driven out
[2771] 2:24:36	with his two sons and and and some
[2772] 2:24:40	grandchildren. And he goes to Haron and
[2773] 2:24:43	he writes to Zimrelim and he says I used
[2774] 2:24:47	to be this this ruler of now I am a
[2775] 2:24:52	sojourer a habiru.
[2776] 2:24:56	Okay. So he identifies now with his
[2777] 2:25:00	change of status from goes from ruler to
[2778] 2:25:02	a habiru.
[2779] 2:25:04	A bum. Okay. So so that's what a habiru
[2780] 2:25:10	is. It's a it's a social class.
[2781] 2:25:14	Now, Avarus
[2782] 2:25:16	is the city of is an Amoritic city. Uh
